Date,Close,High,Low,Open,Symbol,Volume
1995-11-27,15.275,15.4,15.25,15.4,XPAR:LOUP,463576
1995-11-28,15.475,15.575,15.275,15.275,XPAR:LOUP,177824
1995-11-29,15.675,15.7,15.475,15.55,XPAR:LOUP,107904
1995-11-30,15.3,15.625,15.3,15.625,XPAR:LOUP,160440
1995-12-01,15.425,15.6,15.325,15.6,XPAR:LOUP,85384
1995-12-04,15.05,15.425,15.05,15.425,XPAR:LOUP,40928
1995-12-05,15.325,15.35,15.175,15.25,XPAR:LOUP,42128
1995-12-06,15.6,15.625,15.275,15.275,XPAR:LOUP,57496
1995-12-07,15.825,15.825,15.475,15.6,XPAR:LOUP,35168
1995-12-08,15.775,15.925,15.725,15.925,XPAR:LOUP,146216
1995-12-11,15.625,15.925,15.625,15.925,XPAR:LOUP,28712
1995-12-12,15.625,15.825,15.5,15.625,XPAR:LOUP,9664
1995-12-13,15.625,15.625,15.525,15.625,XPAR:LOUP,6656
1995-12-14,15.725,15.725,15.6,15.625,XPAR:LOUP,11008
1995-12-15,15.75,15.75,15.55,15.75,XPAR:LOUP,2048
1995-12-18,15.625,15.7,15.625,15.7,XPAR:LOUP,5800
1995-12-19,15.5,15.6,15.5,15.55,XPAR:LOUP,27280
1995-12-20,15.7,15.75,15.5,15.6,XPAR:LOUP,50976
1995-12-21,15.675,15.7,15.6,15.7,XPAR:LOUP,26344
1995-12-22,15.925,15.925,15.75,15.75,XPAR:LOUP,47168
1995-12-25,15.925,15.925,15.75,15.75,XPAR:LOUP,0
1995-12-26,15.9,15.925,15.5,15.6,XPAR:LOUP,2656
1995-12-27,15.975,15.975,15.85,15.9,XPAR:LOUP,22576
1995-12-28,15.9,15.975,15.825,15.975,XPAR:LOUP,7568
1995-12-29,15.975,15.975,15.85,15.925,XPAR:LOUP,14936
1996-01-01,15.975,15.975,15.85,15.925,XPAR:LOUP,0
1996-01-02,15.975,16.0,15.975,16.0,XPAR:LOUP,888
1996-01-03,16.0,16.0,15.625,15.825,XPAR:LOUP,5528
1996-01-04,15.825,16.0,15.7,16.0,XPAR:LOUP,46440
1996-01-05,16.0,16.0,15.925,15.975,XPAR:LOUP,14280
1996-01-08,16.2,16.2,16.0,16.0,XPAR:LOUP,101904
1996-01-09,16.0,16.15,15.75,16.125,XPAR:LOUP,12744
1996-01-10,16.2,16.2,16.0,16.075,XPAR:LOUP,12744
1996-01-11,17.0,17.0,16.15,16.15,XPAR:LOUP,22696
1996-01-12,17.525,17.525,16.95,16.95,XPAR:LOUP,21184
1996-01-15,17.375,17.525,17.15,17.525,XPAR:LOUP,15727
1996-01-16,17.525,17.525,17.35,17.375,XPAR:LOUP,22968
1996-01-17,17.525,17.575,17.15,17.525,XPAR:LOUP,35832
1996-01-18,17.3,17.875,17.3,17.725,XPAR:LOUP,12840
1996-01-19,17.525,17.525,17.5,17.5,XPAR:LOUP,12704
1996-01-22,17.8,18.2,17.575,17.575,XPAR:LOUP,8640
1996-01-23,18.1,18.25,17.925,18.05,XPAR:LOUP,15696
1996-01-24,17.575,18.1,17.525,18.1,XPAR:LOUP,63288
1996-01-25,17.5,17.875,17.5,17.85,XPAR:LOUP,18208
1996-01-26,17.5,17.725,17.425,17.45,XPAR:LOUP,170320
1996-01-29,17.675,17.675,17.5,17.575,XPAR:LOUP,14552
