Date,Close,High,Low,Open,Symbol,Volume
2007-04-11,8.85,9.23,8.3,8.3,XPAR:METEX,878328
2007-04-12,8.9,9.08,8.75,9.06,XPAR:METEX,416496
2007-04-13,9.5,9.64,8.75,9.05,XPAR:METEX,329198
2007-04-16,10.8,11.34,10.05,10.39,XPAR:METEX,262133
2007-04-17,10.77,11.2,10.11,11.0,XPAR:METEX,230931
2007-04-18,10.0,10.97,9.85,10.97,XPAR:METEX,247927
2007-04-19,9.7,10.07,9.66,9.85,XPAR:METEX,73365
2007-04-20,9.92,10.2,9.69,9.7,XPAR:METEX,51958
2007-04-23,9.99,10.13,9.94,10.13,XPAR:METEX,17139
2007-04-24,9.82,10.09,9.82,9.96,XPAR:METEX,15788
2007-04-25,9.71,9.89,9.7,9.82,XPAR:METEX,26917
2007-04-26,9.8,9.88,9.4,9.7,XPAR:METEX,43873
2007-04-27,10.08,10.08,9.8,10.0,XPAR:METEX,43419
2007-04-30,10.58,10.75,10.01,10.09,XPAR:METEX,59937
2007-05-01,10.58,10.75,10.01,10.09,XPAR:METEX,0
2007-05-02,11.03,11.1,10.75,10.91,XPAR:METEX,63166
2007-05-03,11.0,11.09,10.9,11.06,XPAR:METEX,40754
2007-05-04,10.95,11.0,10.77,11.0,XPAR:METEX,62383
2007-05-07,10.86,11.02,10.82,11.02,XPAR:METEX,16303
2007-05-08,10.88,10.95,10.75,10.9,XPAR:METEX,19546
2007-05-09,11.22,11.4,10.9,10.9,XPAR:METEX,251311
2007-05-10,11.19,11.65,11.05,11.4,XPAR:METEX,162614
2007-05-11,11.06,11.28,10.9,11.2,XPAR:METEX,120362
2007-05-14,11.22,11.29,11.06,11.09,XPAR:METEX,41680
2007-05-15,11.11,11.22,11.0,11.2,XPAR:METEX,43604
2007-05-16,11.17,11.25,10.85,11.0,XPAR:METEX,76246
2007-05-17,11.12,11.28,11.05,11.11,XPAR:METEX,3890
2007-05-18,11.37,11.39,11.06,11.12,XPAR:METEX,42130
2007-05-21,11.77,11.9,11.61,11.63,XPAR:METEX,67951
2007-05-22,11.74,11.8,11.74,11.8,XPAR:METEX,34038
2007-05-23,11.61,11.75,11.4,11.75,XPAR:METEX,25127
2007-05-24,11.41,11.5,11.11,11.4,XPAR:METEX,25377
2007-05-25,11.45,11.45,11.22,11.22,XPAR:METEX,24793
2007-05-28,11.34,11.5,11.28,11.5,XPAR:METEX,11415
2007-05-29,11.25,11.49,11.25,11.47,XPAR:METEX,14307
2007-05-30,10.95,11.3,10.76,11.25,XPAR:METEX,50658
2007-05-31,10.82,11.1,10.81,10.99,XPAR:METEX,20549
2007-06-01,10.7,10.9,10.55,10.9,XPAR:METEX,35127
2007-06-04,11.59,11.76,10.7,10.7,XPAR:METEX,82599
2007-06-05,11.57,11.65,11.51,11.58,XPAR:METEX,40310
2007-06-06,11.22,11.7,11.0,11.69,XPAR:METEX,32231
2007-06-07,11.0,11.1,10.95,11.1,XPAR:METEX,14773
2007-06-08,11.0,11.08,10.65,10.95,XPAR:METEX,90860
2007-06-11,11.0,11.17,10.96,11.12,XPAR:METEX,7026
2007-06-12,11.07,11.19,10.92,11.19,XPAR:METEX,6008
2007-06-13,10.99,11.1,10.81,11.1,XPAR:METEX,7424
2007-06-14,10.73,10.9,10.73,10.89,XPAR:METEX,9996
2007-06-15,10.51,10.88,10.4,10.74,XPAR:METEX,39985
2007-06-18,10.54,10.69,10.27,10.27,XPAR:METEX,19111
2007-06-19,10.69,10.75,10.54,10.55,XPAR:METEX,12470
2007-06-20,10.7,10.74,10.55,10.73,XPAR:METEX,53429
2007-06-21,10.4,10.63,10.4,10.63,XPAR:METEX,12686
2007-06-22,10.2,10.6,10.2,10.6,XPAR:METEX,44955
2007-06-25,10.02,10.4,10.02,10.31,XPAR:METEX,10023
2007-06-26,9.88,10.25,9.72,10.05,XPAR:METEX,16412
2007-06-27,9.61,10.0,9.55,10.0,XPAR:METEX,46610
2007-06-28,10.06,10.06,9.65,9.65,XPAR:METEX,33548
2007-06-29,9.8,9.97,9.75,9.85,XPAR:METEX,36343
2007-07-02,9.76,9.84,9.7,9.7,XPAR:METEX,16136
2007-07-03,9.81,9.82,9.72,9.77,XPAR:METEX,12875
2007-07-04,9.8,9.89,9.75,9.78,XPAR:METEX,44415
2007-07-05,9.8,9.98,9.79,9.8,XPAR:METEX,10522
2007-07-06,9.8,9.9,9.75,9.9,XPAR:METEX,4686
2007-07-09,10.03,10.1,9.9,9.9,XPAR:METEX,8102
2007-07-10,10.1,10.35,10.1,10.35,XPAR:METEX,8980
2007-07-11,10.17,10.18,9.85,10.0,XPAR:METEX,13254
2007-07-12,10.2,10.2,10.01,10.17,XPAR:METEX,7714
2007-07-13,10.19,10.39,10.15,10.39,XPAR:METEX,14389
2007-07-16,10.2,10.26,10.15,10.15,XPAR:METEX,3119
2007-07-17,10.15,10.26,10.15,10.2,XPAR:METEX,77410
2007-07-18,10.07,10.19,9.95,10.19,XPAR:METEX,5389
2007-07-19,10.19,10.19,10.02,10.07,XPAR:METEX,5047
2007-07-20,10.05,10.22,10.05,10.22,XPAR:METEX,18229
2007-07-23,9.94,10.19,9.94,10.18,XPAR:METEX,6469
2007-07-24,10.05,10.05,9.86,9.86,XPAR:METEX,25786
2007-07-25,10.01,10.23,9.97,9.99,XPAR:METEX,7488
2007-07-26,10.01,10.2,9.71,10.2,XPAR:METEX,29585
2007-07-27,9.9,9.9,9.69,9.83,XPAR:METEX,10465
2007-07-30,9.82,10.02,9.75,9.75,XPAR:METEX,22126
2007-07-31,10.0,10.02,9.89,10.01,XPAR:METEX,7943
2007-08-01,9.72,9.91,9.7,9.91,XPAR:METEX,4244
2007-08-02,9.9,10.02,9.72,9.72,XPAR:METEX,13673
2007-08-03,9.68,9.99,9.68,9.77,XPAR:METEX,4876
2007-08-06,9.56,9.7,9.55,9.68,XPAR:METEX,4951
2007-08-07,9.55,9.62,9.54,9.6,XPAR:METEX,2826
2007-08-08,9.6,9.7,9.51,9.55,XPAR:METEX,7505
2007-08-09,9.4,9.81,9.4,9.66,XPAR:METEX,43326
2007-08-10,8.6,9.0,8.35,8.99,XPAR:METEX,44366
2007-08-13,8.8,9.11,8.71,8.77,XPAR:METEX,5873
2007-08-14,8.5,9.05,8.5,9.05,XPAR:METEX,13915
2007-08-15,8.15,8.5,8.1,8.4,XPAR:METEX,17810
2007-08-16,7.95,7.97,7.5,7.97,XPAR:METEX,42347
2007-08-17,8.3,8.55,7.5,7.51,XPAR:METEX,32843
2007-08-20,8.34,8.47,8.12,8.35,XPAR:METEX,26053
2007-08-21,8.7,8.73,8.52,8.73,XPAR:METEX,29541
2007-08-22,8.8,9.0,8.75,8.76,XPAR:METEX,6842
2007-08-23,9.0,9.0,8.75,8.97,XPAR:METEX,15530
2007-08-24,9.1,9.3,9.05,9.2,XPAR:METEX,7637
2007-08-27,9.5,9.6,9.0,9.3,XPAR:METEX,7338
2007-08-28,9.16,9.55,9.0,9.55,XPAR:METEX,15899
2007-08-29,9.09,9.09,8.63,8.88,XPAR:METEX,19851
2007-08-30,9.5,9.79,9.15,9.25,XPAR:METEX,37487
2007-08-31,9.55,9.7,9.51,9.69,XPAR:METEX,13097
2007-09-03,9.5,9.52,9.35,9.51,XPAR:METEX,1726
2007-09-04,9.35,9.6,9.35,9.56,XPAR:METEX,1585
2007-09-05,9.25,9.54,9.11,9.37,XPAR:METEX,7361
2007-09-06,9.1,9.25,9.0,9.25,XPAR:METEX,3203
2007-09-07,8.95,9.4,8.94,8.94,XPAR:METEX,19634
2007-09-10,8.56,9.0,8.5,9.0,XPAR:METEX,5297
2007-09-11,8.6,8.99,8.56,8.64,XPAR:METEX,9916
2007-09-12,8.88,8.94,8.6,8.62,XPAR:METEX,13874
2007-09-13,8.55,8.88,8.55,8.88,XPAR:METEX,2535
2007-09-14,8.75,8.85,8.52,8.56,XPAR:METEX,3959
2007-09-17,8.55,8.84,8.52,8.84,XPAR:METEX,3277
2007-09-18,8.9,8.9,8.51,8.61,XPAR:METEX,8224
2007-09-19,8.9,9.1,8.9,9.0,XPAR:METEX,3531
2007-09-20,8.96,9.09,8.81,9.09,XPAR:METEX,1412
2007-09-21,8.8,8.95,8.8,8.9,XPAR:METEX,2229
2007-09-24,8.65,9.0,8.65,9.0,XPAR:METEX,4951
2007-09-25,8.55,8.71,8.55,8.6,XPAR:METEX,3966
2007-09-26,8.56,8.78,8.55,8.55,XPAR:METEX,3433
2007-09-27,8.52,8.66,8.52,8.57,XPAR:METEX,1763
2007-09-28,8.38,8.53,8.1,8.51,XPAR:METEX,29425
2007-10-01,8.2,8.51,8.2,8.3,XPAR:METEX,3153
2007-10-02,8.58,8.59,8.3,8.3,XPAR:METEX,5397
2007-10-03,8.85,8.89,8.6,8.69,XPAR:METEX,170284
2007-10-04,8.74,8.95,8.71,8.95,XPAR:METEX,1638
2007-10-05,8.65,8.85,8.65,8.85,XPAR:METEX,8943
2007-10-08,8.85,8.85,8.62,8.62,XPAR:METEX,3771
2007-10-09,8.7,8.85,8.67,8.7,XPAR:METEX,17591
2007-10-10,8.82,8.82,8.64,8.65,XPAR:METEX,14204
2007-10-11,8.75,8.83,8.67,8.82,XPAR:METEX,3640
2007-10-12,8.81,8.81,8.67,8.74,XPAR:METEX,10284
2007-10-15,8.62,8.68,8.42,8.67,XPAR:METEX,7127
2007-10-16,8.58,8.64,8.34,8.45,XPAR:METEX,6338
2007-10-17,8.41,8.6,8.16,8.59,XPAR:METEX,11350
2007-10-18,8.25,8.58,8.2,8.58,XPAR:METEX,3171
2007-10-19,8.26,8.56,8.24,8.24,XPAR:METEX,38393
2007-10-22,7.99,8.2,7.9,8.0,XPAR:METEX,22423
2007-10-23,8.12,8.12,7.73,7.76,XPAR:METEX,11430
2007-10-24,8.06,8.13,7.98,8.13,XPAR:METEX,3219
2007-10-25,8.11,8.14,8.05,8.06,XPAR:METEX,4308
2007-10-26,8.12,8.12,7.97,8.06,XPAR:METEX,7002
2007-10-29,8.48,8.5,8.11,8.12,XPAR:METEX,76898
2007-10-30,8.41,8.5,8.29,8.29,XPAR:METEX,67663
2007-10-31,8.35,8.5,8.35,8.46,XPAR:METEX,12039
2007-11-01,8.35,8.45,8.35,8.45,XPAR:METEX,2281
2007-11-02,8.34,8.45,8.3,8.35,XPAR:METEX,1705
2007-11-05,8.48,8.5,8.3,8.5,XPAR:METEX,1628
2007-11-06,8.45,8.49,8.3,8.48,XPAR:METEX,1264
2007-11-07,8.22,8.35,8.2,8.35,XPAR:METEX,3654
2007-11-08,8.09,8.26,8.0,8.26,XPAR:METEX,5408
2007-11-09,8.01,8.14,8.0,8.03,XPAR:METEX,7901
