Date,Close,High,Low,Open,Symbol,Volume
1990-01-01,16.43,,,,XPAR:MF,0
1990-01-02,16.83,,,,XPAR:MF,0
1990-01-03,16.78,,,,XPAR:MF,0
1990-01-04,16.39,,,,XPAR:MF,0
1990-01-05,16.66,,,,XPAR:MF,0
1990-01-08,16.66,,,,XPAR:MF,0
1990-01-09,16.64,,,,XPAR:MF,0
1990-01-10,16.45,,,,XPAR:MF,0
1990-01-11,16.48,,,,XPAR:MF,0
1990-01-12,16.42,,,,XPAR:MF,0
1990-01-15,16.35,,,,XPAR:MF,0
1990-01-16,16.04,,,,XPAR:MF,0
1990-01-17,16.18,,,,XPAR:MF,0
1990-01-18,15.63,,,,XPAR:MF,0
1990-01-19,15.81,,,,XPAR:MF,0
1990-01-22,15.66,,,,XPAR:MF,0
1990-01-23,15.21,,,,XPAR:MF,0
1990-01-24,14.97,,,,XPAR:MF,0
1990-01-25,15.35,,,,XPAR:MF,0
1990-01-26,14.97,,,,XPAR:MF,0
1990-01-29,15.15,,,,XPAR:MF,0
1990-01-30,15.25,,,,XPAR:MF,0
1990-01-31,15.11,,,,XPAR:MF,0
1990-02-01,15.08,,,,XPAR:MF,0
1990-02-02,15.18,,,,XPAR:MF,0
1990-02-05,15.18,,,,XPAR:MF,0
1990-02-06,14.8,,,,XPAR:MF,0
1990-02-07,14.6,,,,XPAR:MF,0
1990-02-08,14.56,,,,XPAR:MF,0
1990-02-09,14.46,,,,XPAR:MF,0
1990-02-12,14.18,,,,XPAR:MF,0
1990-02-13,14.05,,,,XPAR:MF,0
1990-02-14,13.81,,,,XPAR:MF,0
1990-02-15,13.74,,,,XPAR:MF,0
1990-02-16,13.74,,,,XPAR:MF,0
1990-02-19,13.36,,,,XPAR:MF,0
1990-02-20,13.33,,,,XPAR:MF,0
1990-02-21,12.95,,,,XPAR:MF,0
1990-02-22,13.29,,,,XPAR:MF,0
1990-02-23,12.91,,,,XPAR:MF,0
1990-02-26,13.01,,,,XPAR:MF,0
1990-02-27,13.01,,,,XPAR:MF,0
1990-02-28,13.29,,,,XPAR:MF,0
1990-03-01,13.05,,,,XPAR:MF,0
1990-03-02,13.19,,,,XPAR:MF,0
1990-03-05,13.49,,,,XPAR:MF,0
1990-03-06,13.26,,,,XPAR:MF,0
1990-03-07,13.38,,,,XPAR:MF,0
1990-03-08,14.05,,,,XPAR:MF,0
1990-03-09,14.08,,,,XPAR:MF,0
1990-03-12,14.08,,,,XPAR:MF,0
1990-03-13,14.01,,,,XPAR:MF,0
1990-03-14,14.08,,,,XPAR:MF,0
1990-03-15,14.34,,,,XPAR:MF,0
1990-03-16,14.22,,,,XPAR:MF,0
1990-03-19,14.05,,,,XPAR:MF,0
1990-03-20,13.91,,,,XPAR:MF,0
1990-03-21,13.74,,,,XPAR:MF,0
1990-03-22,13.91,,,,XPAR:MF,0
1990-03-23,14.53,,,,XPAR:MF,0
1990-03-26,14.53,,,,XPAR:MF,0
1990-03-27,14.18,,,,XPAR:MF,0
1990-03-28,14.4,,,,XPAR:MF,0
1990-03-29,14.41,,,,XPAR:MF,0
1990-03-30,14.42,,,,XPAR:MF,0
1990-04-02,14.18,,,,XPAR:MF,0
1990-04-03,14.42,,,,XPAR:MF,0
1990-04-04,14.7,,,,XPAR:MF,0
1990-04-05,14.87,,,,XPAR:MF,0
1990-04-06,15.32,,,,XPAR:MF,0
1990-04-09,15.25,,,,XPAR:MF,0
1990-04-10,15.25,,,,XPAR:MF,0
1990-04-11,15.45,,,,XPAR:MF,0
1990-04-12,15.42,,,,XPAR:MF,0
1990-04-13,15.42,,,,XPAR:MF,0
1990-04-16,15.42,,,,XPAR:MF,0
1990-04-17,15.33,,,,XPAR:MF,0
1990-04-18,15.23,,,,XPAR:MF,0
1990-04-19,15.11,,,,XPAR:MF,0
1990-04-20,15.42,,,,XPAR:MF,0
1990-04-23,15.11,,,,XPAR:MF,0
1990-04-24,15.32,,,,XPAR:MF,0
1990-04-25,15.18,,,,XPAR:MF,0
1990-04-26,15.28,,,,XPAR:MF,0
1990-04-27,15.11,,,,XPAR:MF,0
1990-04-30,14.77,,,,XPAR:MF,0
1990-05-01,14.77,,,,XPAR:MF,0
1990-05-02,15.11,,,,XPAR:MF,0
1990-05-03,15.25,,,,XPAR:MF,0
1990-05-04,15.45,,,,XPAR:MF,0
1990-05-07,15.35,,,,XPAR:MF,0
1990-05-08,15.35,,,,XPAR:MF,0
1990-05-09,15.25,,,,XPAR:MF,0
1990-05-10,15.21,,,,XPAR:MF,0
1990-05-11,15.22,,,,XPAR:MF,0
1990-05-14,15.23,,,,XPAR:MF,0
1990-05-15,14.94,,,,XPAR:MF,0
1990-05-16,14.94,,,,XPAR:MF,0
1990-05-17,14.87,,,,XPAR:MF,0
1990-05-18,14.8,,,,XPAR:MF,0
1990-05-21,14.6,,,,XPAR:MF,0
1990-05-22,14.97,,,,XPAR:MF,0
1990-05-23,15.56,,,,XPAR:MF,0
1990-05-24,15.56,,,,XPAR:MF,0
1990-05-25,15.28,,,,XPAR:MF,0
1990-05-28,15.76,,,,XPAR:MF,0
1990-05-29,15.8,,,,XPAR:MF,0
1990-05-30,15.87,,,,XPAR:MF,0
1990-05-31,15.69,,,,XPAR:MF,0
1990-06-01,15.45,,,,XPAR:MF,0
1990-06-04,15.45,,,,XPAR:MF,0
1990-06-05,15.11,,,,XPAR:MF,0
1990-06-06,14.96,,,,XPAR:MF,0
1990-06-07,14.87,,,,XPAR:MF,0
1990-06-08,14.77,,,,XPAR:MF,0
1990-06-11,14.08,,,,XPAR:MF,0
1990-06-12,13.91,,,,XPAR:MF,0
1990-06-13,14.18,,,,XPAR:MF,0
1990-06-14,14.77,,,,XPAR:MF,0
1990-06-15,14.6,,,,XPAR:MF,0
1990-06-18,14.39,,,,XPAR:MF,0
1990-06-19,14.35,,,,XPAR:MF,0
1990-06-20,14.34,,,,XPAR:MF,0
1990-06-21,14.08,,,,XPAR:MF,0
1990-06-22,14.22,,,,XPAR:MF,0
1990-06-25,14.42,,,,XPAR:MF,0
1990-06-26,14.77,,,,XPAR:MF,0
1990-06-27,14.42,,,,XPAR:MF,0
1990-06-28,14.29,,,,XPAR:MF,0
1990-06-29,14.26,,,,XPAR:MF,0
1990-07-02,14.24,,,,XPAR:MF,0
1990-07-03,14.39,,,,XPAR:MF,0
1990-07-04,14.19,,,,XPAR:MF,0
1990-07-05,14.15,,,,XPAR:MF,0
1990-07-06,14.11,,,,XPAR:MF,0
1990-07-09,14.04,,,,XPAR:MF,0
1990-07-10,13.91,,,,XPAR:MF,0
1990-07-11,13.77,,,,XPAR:MF,0
1990-07-12,13.77,,,,XPAR:MF,0
1990-07-13,14.18,,,,XPAR:MF,0
