Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,3.378,3.38,3.35,3.38,XPAR:MGIC,2450
2000-01-04,3.458,3.554,3.375,3.375,XPAR:MGIC,1110
2000-01-05,3.25,3.3,3.188,3.28,XPAR:MGIC,8500
2000-01-06,3.1,3.3,3.1,3.3,XPAR:MGIC,20390
2000-01-07,3.418,3.418,3.3,3.388,XPAR:MGIC,85140
2000-01-10,3.418,3.418,3.3,3.388,XPAR:MGIC,0
2000-01-11,3.602,3.768,3.6,3.768,XPAR:MGIC,140090
2000-01-12,3.768,3.779,3.65,3.68,XPAR:MGIC,75040
2000-01-13,3.74,3.789,3.71,3.789,XPAR:MGIC,18910
2000-01-14,3.725,3.74,3.7,3.74,XPAR:MGIC,15010
2000-01-17,3.71,3.75,3.7,3.75,XPAR:MGIC,20040
2000-01-18,3.71,3.755,3.71,3.71,XPAR:MGIC,11600
2000-01-19,3.695,3.75,3.695,3.75,XPAR:MGIC,5230
2000-01-20,3.698,3.7,3.61,3.612,XPAR:MGIC,11570
2000-01-21,3.6,3.61,3.6,3.6,XPAR:MGIC,7520
2000-01-24,3.6,3.69,3.6,3.69,XPAR:MGIC,12530
2000-01-25,3.52,3.649,3.52,3.6,XPAR:MGIC,8109
2000-01-26,3.639,3.649,3.5,3.649,XPAR:MGIC,9000
2000-01-27,3.5,3.599,3.5,3.5,XPAR:MGIC,12270
2000-01-28,3.45,3.5,3.45,3.5,XPAR:MGIC,10500
2000-01-31,3.45,3.46,3.45,3.45,XPAR:MGIC,5260
2000-02-01,3.25,3.6,3.22,3.35,XPAR:MGIC,8450
2000-02-02,3.5,3.5,3.23,3.23,XPAR:MGIC,6380
2000-02-03,3.4,3.4,3.24,3.4,XPAR:MGIC,3810
2000-02-04,3.24,3.429,3.24,3.429,XPAR:MGIC,10590
2000-02-07,3.411,3.411,3.24,3.2460000000000004,XPAR:MGIC,7360
2000-02-08,3.2,3.255,3.2,3.255,XPAR:MGIC,20680
2000-02-09,3.22,3.25,3.2,3.25,XPAR:MGIC,8780
2000-02-10,3.15,3.24,3.15,3.2,XPAR:MGIC,14710
2000-02-11,3.307,3.307,3.2,3.2,XPAR:MGIC,13670
2000-02-14,3.299,3.307,3.21,3.307,XPAR:MGIC,9950
2000-02-15,3.15,3.3,3.15,3.3,XPAR:MGIC,8660
2000-02-16,3.201,3.27,3.1,3.1,XPAR:MGIC,47620
2000-02-17,3.2,3.24,3.1,3.24,XPAR:MGIC,4680
2000-02-18,3.055,3.15,3.055,3.15,XPAR:MGIC,3550
2000-02-21,2.82,3.05,2.82,3.05,XPAR:MGIC,45010
2000-02-22,2.8,2.93,2.8,2.9,XPAR:MGIC,15550
2000-02-23,2.8,2.94,2.8,2.94,XPAR:MGIC,14000
2000-02-24,2.875,2.95,2.801,2.85,XPAR:MGIC,12790
2000-02-25,2.804,2.99,2.804,2.95,XPAR:MGIC,20760
2000-02-28,2.97,2.97,2.869,2.97,XPAR:MGIC,9290
2000-02-29,2.82,2.91,2.82,2.91,XPAR:MGIC,13450
2000-03-01,2.85,2.852,2.83,2.83,XPAR:MGIC,4060
2000-03-02,2.85,2.9,2.845,2.86,XPAR:MGIC,7770
2000-03-03,2.805,2.985,2.8,2.8,XPAR:MGIC,12790
2000-03-06,2.89,2.945,2.8,2.8,XPAR:MGIC,11080
2000-03-07,2.891,3.0,2.89,3.0,XPAR:MGIC,5750
2000-03-08,2.8,2.999,2.8,2.8,XPAR:MGIC,10550
2000-03-09,2.71,2.805,2.71,2.8,XPAR:MGIC,15060
2000-03-10,2.8,2.81,2.799,2.81,XPAR:MGIC,2000
2000-03-13,2.7510000000000003,2.81,2.7510000000000003,2.7510000000000003,XPAR:MGIC,7700
2000-03-14,2.805,2.805,2.7510000000000003,2.7510000000000003,XPAR:MGIC,1650
2000-03-15,2.884,2.884,2.81,2.81,XPAR:MGIC,3530
2000-03-16,2.85,2.95,2.806,2.95,XPAR:MGIC,4950
2000-03-17,2.81,2.95,2.8,2.8,XPAR:MGIC,6850
2000-03-20,2.82,2.939,2.82,2.92,XPAR:MGIC,11160
2000-03-21,2.8,2.9,2.8,2.9,XPAR:MGIC,14300
2000-03-22,2.79,2.91,2.79,2.9,XPAR:MGIC,5950
2000-03-23,2.85,2.85,2.8,2.82,XPAR:MGIC,6030
2000-03-24,2.939,2.939,2.79,2.79,XPAR:MGIC,22390
2000-03-27,2.85,2.85,2.795,2.795,XPAR:MGIC,4650
2000-03-28,2.85,2.89,2.85,2.85,XPAR:MGIC,3320
2000-03-29,2.815,2.91,2.76,2.85,XPAR:MGIC,11880
2000-03-30,2.86,2.86,2.81,2.85,XPAR:MGIC,2380
2000-03-31,2.85,2.863,2.85,2.86,XPAR:MGIC,3620
2000-04-03,2.78,2.8,2.692,2.692,XPAR:MGIC,3550
2000-04-04,2.74,2.74,2.6910000000000003,2.74,XPAR:MGIC,4410
2000-04-05,2.66,2.75,2.66,2.71,XPAR:MGIC,11450
2000-04-06,2.73,2.9,2.73,2.895,XPAR:MGIC,2860
2000-04-07,2.775,2.775,2.622,2.72,XPAR:MGIC,2500
2000-04-10,2.91,2.91,2.8,2.8,XPAR:MGIC,3860
2000-04-11,2.9,2.9,2.78,2.805,XPAR:MGIC,5500
2000-04-12,2.8,2.8,2.782,2.8,XPAR:MGIC,1040
2000-04-13,2.72,2.8,2.72,2.8,XPAR:MGIC,7020
2000-04-14,2.702,2.799,2.7,2.75,XPAR:MGIC,9060
2000-04-17,2.66,2.7,2.66,2.7,XPAR:MGIC,8860
2000-04-18,2.546,2.79,2.546,2.67,XPAR:MGIC,21350
2000-04-19,2.5,2.59,2.5,2.59,XPAR:MGIC,15130
2000-04-20,2.75,2.75,2.5,2.547,XPAR:MGIC,9570
2000-04-21,2.75,2.75,2.5,2.547,XPAR:MGIC,0
2000-04-24,2.75,2.75,2.5,2.547,XPAR:MGIC,0
2000-04-25,2.74,2.74,2.613,2.613,XPAR:MGIC,13730
2000-04-26,2.613,2.74,2.613,2.74,XPAR:MGIC,22170
2000-04-27,2.6210000000000004,2.75,2.6210000000000004,2.74,XPAR:MGIC,11340
2000-04-28,2.74,2.74,2.62,2.7,XPAR:MGIC,5860
2000-05-01,2.74,2.74,2.62,2.7,XPAR:MGIC,0
2000-05-02,2.66,2.75,2.651,2.651,XPAR:MGIC,6680
2000-05-03,2.762,2.793,2.74,2.74,XPAR:MGIC,10990
2000-05-04,2.822,2.9,2.74,2.74,XPAR:MGIC,12010
2000-05-05,2.92,2.92,2.821,2.84,XPAR:MGIC,5550
2000-05-08,2.915,2.94,2.91,2.91,XPAR:MGIC,2000
2000-05-09,2.8,2.94,2.8,2.85,XPAR:MGIC,12690
