Date,Close,High,Low,Open,Symbol,Volume
2011-07-06,14.85,17.64,14.5,16.0,XPAR:MKEA,1019922
2011-07-07,15.8,15.95,14.9,15.01,XPAR:MKEA,248412
2011-07-08,17.5,18.7,15.8,16.0,XPAR:MKEA,525576
2011-07-11,17.75,18.7,17.12,18.14,XPAR:MKEA,265758
2011-07-12,17.5,17.88,16.12,17.68,XPAR:MKEA,209403
2011-07-13,17.75,17.95,17.12,17.65,XPAR:MKEA,95358
2011-07-14,17.08,17.7,17.02,17.7,XPAR:MKEA,29533
2011-07-15,16.08,16.8,15.7,16.66,XPAR:MKEA,98748
2011-07-18,15.5,15.9,15.11,15.9,XPAR:MKEA,93004
2011-07-19,16.4,16.7,15.5,15.5,XPAR:MKEA,62583
2011-07-20,16.6,16.88,16.4,16.88,XPAR:MKEA,25516
2011-07-21,16.3,16.8,15.89,16.8,XPAR:MKEA,24817
2011-07-22,16.2,16.75,15.82,16.72,XPAR:MKEA,41937
2011-07-25,16.0,16.02,15.8,16.0,XPAR:MKEA,17484
2011-07-26,15.9,16.01,15.4,16.01,XPAR:MKEA,27133
2011-07-27,15.9,16.0,15.5,15.61,XPAR:MKEA,15301
2011-07-28,15.87,15.88,15.1,15.6,XPAR:MKEA,63414
2011-07-29,15.36,15.69,15.1,15.69,XPAR:MKEA,22371
2011-08-01,15.7,16.0,15.51,15.89,XPAR:MKEA,24227
2011-08-02,15.11,15.8,15.1,15.8,XPAR:MKEA,19368
2011-08-03,14.49,15.15,14.49,15.11,XPAR:MKEA,53168
2011-08-04,13.76,14.84,13.5,14.84,XPAR:MKEA,43610
2011-08-05,14.0,14.7,12.4,13.0,XPAR:MKEA,140285
2011-08-08,12.78,13.86,12.52,12.7,XPAR:MKEA,55169
2011-08-09,13.75,13.75,12.52,12.53,XPAR:MKEA,47468
2011-08-10,13.08,14.48,13.0,14.48,XPAR:MKEA,43210
2011-08-11,13.19,13.5,12.97,13.32,XPAR:MKEA,44139
2011-08-12,13.2,13.78,13.0,13.03,XPAR:MKEA,122643
2011-08-15,13.9,13.95,13.36,13.57,XPAR:MKEA,17488
2011-08-16,13.9,13.9,13.41,13.65,XPAR:MKEA,6121
2011-08-17,14.08,14.13,13.75,14.02,XPAR:MKEA,12630
2011-08-18,13.0,14.08,12.72,14.08,XPAR:MKEA,33040
2011-08-19,13.45,13.7,12.75,13.0,XPAR:MKEA,18208
2011-08-22,13.5,13.85,13.0,13.0,XPAR:MKEA,31959
2011-08-23,13.3,13.85,13.01,13.45,XPAR:MKEA,6539
2011-08-24,13.33,13.73,13.2,13.73,XPAR:MKEA,10785
2011-08-25,13.71,13.79,13.54,13.79,XPAR:MKEA,7700
2011-08-26,13.58,13.7,13.25,13.62,XPAR:MKEA,5771
2011-08-29,13.33,13.67,13.24,13.67,XPAR:MKEA,7280
2011-08-30,14.1,15.2,14.07,14.31,XPAR:MKEA,36027
2011-08-31,14.0,14.25,13.81,14.01,XPAR:MKEA,9669
2011-09-01,13.65,13.99,13.42,13.95,XPAR:MKEA,23263
2011-09-02,12.8,13.55,12.8,13.55,XPAR:MKEA,18935
2011-09-05,11.7,12.7,11.0,12.7,XPAR:MKEA,108144
2011-09-06,11.5,12.44,11.42,11.47,XPAR:MKEA,39164
2011-09-07,12.0,12.17,11.8,12.05,XPAR:MKEA,26132
2011-09-08,12.95,12.95,12.0,12.0,XPAR:MKEA,32720
2011-09-09,12.21,12.94,12.03,12.94,XPAR:MKEA,4502
2011-09-12,11.35,12.0,11.1,12.0,XPAR:MKEA,12947
2011-09-13,12.0,12.1,11.25,12.1,XPAR:MKEA,10817
2011-09-14,11.84,12.09,11.44,12.09,XPAR:MKEA,7979
2011-09-15,11.85,12.1,11.8,12.08,XPAR:MKEA,8246
2011-09-16,12.09,12.1,11.65,12.1,XPAR:MKEA,4609
2011-09-19,11.7,11.7,11.3,11.6,XPAR:MKEA,3553
2011-09-20,11.7,11.8,11.25,11.4,XPAR:MKEA,2348
2011-09-21,11.31,11.7,11.31,11.7,XPAR:MKEA,2681
2011-09-22,10.64,11.19,10.41,11.19,XPAR:MKEA,12730
2011-09-23,10.5,10.5,9.55,10.39,XPAR:MKEA,22292
2011-09-26,10.02,10.63,9.71,10.45,XPAR:MKEA,19799
2011-09-27,10.98,10.98,10.01,10.19,XPAR:MKEA,26782
2011-09-28,11.29,11.3,10.5,11.1,XPAR:MKEA,7359
2011-09-29,11.5,11.53,11.11,11.11,XPAR:MKEA,9328
2011-09-30,11.39,11.44,11.0,11.33,XPAR:MKEA,3166
2011-10-03,11.2,11.25,10.71,10.91,XPAR:MKEA,6703
2011-10-04,10.89,11.18,10.64,10.9,XPAR:MKEA,9384
2011-10-05,11.4,11.46,10.64,11.18,XPAR:MKEA,29378
2011-10-06,12.04,12.04,11.02,11.02,XPAR:MKEA,16247
2011-10-07,12.45,12.45,11.48,12.04,XPAR:MKEA,6106
2011-10-10,12.4,12.46,11.88,12.46,XPAR:MKEA,7340
2011-10-11,12.44,12.49,11.5,12.49,XPAR:MKEA,11388
2011-10-12,12.3,12.45,12.15,12.44,XPAR:MKEA,5810
2011-10-13,12.5,12.54,12.25,12.49,XPAR:MKEA,8850
2011-10-14,12.5,12.69,12.1,12.5,XPAR:MKEA,8746
2011-10-17,12.5,12.5,12.23,12.23,XPAR:MKEA,5976
2011-10-18,12.62,12.62,12.21,12.4,XPAR:MKEA,6252
2011-10-19,12.64,12.64,12.27,12.64,XPAR:MKEA,34598
2011-10-20,12.4,12.5,12.21,12.5,XPAR:MKEA,3529
2011-10-21,12.41,12.49,12.15,12.49,XPAR:MKEA,82931
2011-10-24,12.2,12.5,12.2,12.42,XPAR:MKEA,1782
2011-10-25,12.2,12.43,12.07,12.23,XPAR:MKEA,4059
2011-10-26,12.19,12.19,11.94,12.19,XPAR:MKEA,25595
2011-10-27,12.37,12.37,11.91,12.2,XPAR:MKEA,5269
2011-10-28,12.44,12.45,12.03,12.45,XPAR:MKEA,3309
2011-10-31,12.65,12.65,12.37,12.44,XPAR:MKEA,5469
2011-11-01,11.8,12.49,11.51,12.49,XPAR:MKEA,10590
2011-11-02,12.0,12.14,11.57,11.57,XPAR:MKEA,25830
2011-11-03,12.07,12.07,11.69,12.0,XPAR:MKEA,14727
2011-11-04,12.98,13.3,12.08,12.19,XPAR:MKEA,44458
2011-11-07,12.51,12.89,12.31,12.78,XPAR:MKEA,14887
2011-11-08,12.68,13.25,12.51,12.51,XPAR:MKEA,8532
2011-11-09,12.12,12.9,12.11,12.64,XPAR:MKEA,41194
2011-11-10,12.34,12.38,11.8,12.1,XPAR:MKEA,6053
2011-11-11,12.46,12.46,11.97,12.46,XPAR:MKEA,2167
2011-11-14,12.44,12.46,11.81,12.45,XPAR:MKEA,4593
2011-11-15,12.42,12.44,11.9,12.44,XPAR:MKEA,1765
2011-11-16,12.53,12.88,12.26,12.85,XPAR:MKEA,18710
2011-11-17,12.65,12.69,12.32,12.45,XPAR:MKEA,9453
2011-11-18,12.7,12.71,12.5,12.65,XPAR:MKEA,10854
2011-11-21,12.0,12.56,12.0,12.52,XPAR:MKEA,8649
2011-11-22,12.2,12.39,11.85,11.95,XPAR:MKEA,8265
2011-11-23,12.05,12.17,11.91,12.0,XPAR:MKEA,13347
2011-11-24,12.4,12.4,11.85,12.0,XPAR:MKEA,9790
2011-11-25,12.1,12.45,11.96,12.45,XPAR:MKEA,5542
