Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,53.5,55.0,52.85,53.0,XPAR:MMB,233256
2000-01-04,54.75,57.4,52.3,56.4,XPAR:MMB,1257067
2000-01-05,53.5,54.7,52.0,53.2,XPAR:MMB,610062
2000-01-06,52.75,54.25,51.2,53.9,XPAR:MMB,305688
2000-01-07,55.2,55.2,52.8,52.75,XPAR:MMB,662091
2000-01-10,60.75,63.7,55.45,55.9,XPAR:MMB,2895659
2000-01-11,66.25,66.25,62.9,63.9,XPAR:MMB,3513836
2000-01-12,63.05,67.15,63.0,66.25,XPAR:MMB,976164
2000-01-13,67.5,69.25,64.5,65.5,XPAR:MMB,2446559
2000-01-14,71.0,74.1,67.45,67.6,XPAR:MMB,1785920
2000-01-17,76.9,82.0,73.0,74.4,XPAR:MMB,3478949
2000-01-18,71.95,77.0,71.95,76.5,XPAR:MMB,1864376
2000-01-19,73.8,77.5,71.65,73.0,XPAR:MMB,1020033
2000-01-20,83.0,85.0,75.3,76.0,XPAR:MMB,1601088
2000-01-21,82.1,82.1,79.35,81.2,XPAR:MMB,1246583
2000-01-24,82.8,83.5,81.6,82.0,XPAR:MMB,463359
2000-01-25,80.0,82.0,79.4,80.4,XPAR:MMB,549684
2000-01-26,84.0,85.0,78.7,80.0,XPAR:MMB,889506
2000-01-27,81.5,85.5,81.15,84.0,XPAR:MMB,428762
2000-01-28,80.05,84.4,80.0,83.5,XPAR:MMB,378112
2000-01-31,79.6,80.25,77.3,80.0,XPAR:MMB,727573
2000-02-01,82.5,91.6,80.5,80.5,XPAR:MMB,1980220
2000-02-02,85.0,95.1,84.85,86.4,XPAR:MMB,1548962
2000-02-03,87.8,88.9,82.75,88.9,XPAR:MMB,768262
2000-02-04,91.0,91.35,87.7,88.9,XPAR:MMB,789283
2000-02-07,89.0,92.0,86.5,92.0,XPAR:MMB,430923
2000-02-08,92.0,92.45,88.0,88.5,XPAR:MMB,563529
2000-02-09,91.75,104.7,90.0,93.0,XPAR:MMB,1214315
2000-02-10,88.5,91.4,86.1,91.5,XPAR:MMB,741042
2000-02-11,94.0,95.0,91.1,91.5,XPAR:MMB,842127
2000-02-14,98.1,100.0,94.5,95.0,XPAR:MMB,640577
2000-02-15,96.1,102.8,95.0,99.0,XPAR:MMB,1203969
2000-02-16,90.55,108.0,90.55,105.0,XPAR:MMB,2360649
2000-02-17,97.5,98.0,88.4,90.2,XPAR:MMB,1488758
2000-02-18,94.95,99.0,93.0,98.75,XPAR:MMB,413754
2000-02-21,90.7,93.8,89.05,93.0,XPAR:MMB,487393
2000-02-22,92.35,96.8,90.05,91.0,XPAR:MMB,492762
2000-02-23,93.5,95.95,93.0,95.0,XPAR:MMB,282378
2000-02-24,100.0,106.2,94.8,95.0,XPAR:MMB,1148489
2000-02-25,99.8,104.5,98.95,101.5,XPAR:MMB,470637
2000-02-28,95.0,99.7,95.0,99.7,XPAR:MMB,457024
2000-02-29,97.7,101.4,97.0,97.0,XPAR:MMB,568012
2000-03-01,100.0,104.5,99.2,99.7,XPAR:MMB,528212
2000-03-02,98.0,101.0,96.55,101.0,XPAR:MMB,318455
2000-03-03,104.1,107.4,99.95,100.0,XPAR:MMB,793355
2000-03-06,110.0,110.0,106.0,107.9,XPAR:MMB,322983
2000-03-07,106.0,110.0,105.0,109.7,XPAR:MMB,282306
2000-03-08,99.85,104.4,100.0,103.1,XPAR:MMB,475656
2000-03-09,100.0,102.4,96.9,101.8,XPAR:MMB,459903
2000-03-10,103.6,106.5,102.3,104.8,XPAR:MMB,670442
2000-03-13,95.0,103.8,93.3,103.7,XPAR:MMB,602006
2000-03-14,99.6,99.6,94.0,95.3,XPAR:MMB,346917
2000-03-15,90.0,95.0,90.0,93.0,XPAR:MMB,884999
2000-03-16,86.95,91.0,82.5,90.1,XPAR:MMB,838638
2000-03-17,85.9,92.0,85.05,92.0,XPAR:MMB,687312
2000-03-20,88.5,89.65,86.0,86.0,XPAR:MMB,716247
2000-03-21,89.0,91.3,84.75,86.0,XPAR:MMB,604156
2000-03-22,85.95,94.2,85.95,92.5,XPAR:MMB,670897
