Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,15.475,15.475,13.75,14.375,XPAR:MTU,17444
2000-01-04,14.5,15.25,13.9125,15.0125,XPAR:MTU,18996
2000-01-05,14.875,15.0,14.3625,14.3625,XPAR:MTU,15400
2000-01-06,16.35,16.35,14.875,14.875,XPAR:MTU,35436
2000-01-07,16.625,17.975,16.4625,16.65,XPAR:MTU,46036
2000-01-10,16.975,16.9875,16.55,16.9875,XPAR:MTU,10224
2000-01-11,16.6125,16.75,16.325,16.5,XPAR:MTU,12592
2000-01-12,16.2375,16.7125,15.8375,16.5,XPAR:MTU,15744
2000-01-13,15.5,16.15,15.5,15.825,XPAR:MTU,7148
2000-01-14,15.5,16.0,15.2375,15.5,XPAR:MTU,7852
2000-01-17,16.05,16.25,15.5,15.525,XPAR:MTU,8048
2000-01-18,17.125,17.15,16.25,16.25,XPAR:MTU,39412
2000-01-19,17.45,17.45,16.675,17.0,XPAR:MTU,17096
2000-01-20,19.225,20.0125,17.4625,17.475,XPAR:MTU,41144
2000-01-21,18.4,19.5,18.3,19.5,XPAR:MTU,10968
2000-01-24,18.75,18.95,18.525,18.75,XPAR:MTU,24728
2000-01-25,19.225,19.25,18.625,19.0,XPAR:MTU,14536
2000-01-26,19.025,19.3875,19.025,19.25,XPAR:MTU,6612
2000-01-27,19.25,19.25,18.825,18.875,XPAR:MTU,19060
2000-01-28,19.375,19.375,18.825,19.225,XPAR:MTU,9168
2000-01-31,19.5,19.5,19.25,19.3875,XPAR:MTU,7340
2000-02-01,21.75,22.1125,19.025,19.625,XPAR:MTU,55516
2000-02-02,21.9,22.5625,21.875,22.0,XPAR:MTU,141648
2000-02-03,21.25,22.225,20.3125,22.0,XPAR:MTU,52804
2000-02-04,23.5,24.5,21.9,21.9,XPAR:MTU,107036
2000-02-07,25.5,27.125,24.8,26.25,XPAR:MTU,135012
2000-02-08,23.0,26.25,22.95,26.25,XPAR:MTU,43088
2000-02-09,23.75,23.75,20.75,22.5,XPAR:MTU,44616
2000-02-10,23.0,23.5,22.75,23.2,XPAR:MTU,9108
2000-02-11,22.9625,23.0,21.9,22.775,XPAR:MTU,25732
2000-02-14,23.85,24.25,23.5125,23.75,XPAR:MTU,69932
