Date,Close,High,Low,Open,Symbol,Volume
2012-10-29,6.2,6.41,6.01,6.25,XPAR:NANO,122868
2012-10-30,6.72,6.88,6.25,6.26,XPAR:NANO,175029
2012-10-31,7.01,7.2,6.77,6.78,XPAR:NANO,182180
2012-11-01,6.66,7.15,6.51,7.12,XPAR:NANO,70541
2012-11-02,6.41,6.78,6.2,6.66,XPAR:NANO,46415
2012-11-05,6.7,6.75,6.4,6.47,XPAR:NANO,30654
2012-11-06,6.89,6.95,6.7,6.78,XPAR:NANO,26274
2012-11-07,6.91,6.95,6.69,6.95,XPAR:NANO,35788
2012-11-08,6.79,6.91,6.68,6.91,XPAR:NANO,12564
2012-11-09,6.6,6.8,6.55,6.8,XPAR:NANO,13173
2012-11-12,6.5,6.75,6.4,6.61,XPAR:NANO,26277
2012-11-13,7.0,7.0,6.67,6.7,XPAR:NANO,83085
2012-11-14,7.0,7.0,6.7,6.99,XPAR:NANO,53503
2012-11-15,6.84,7.1,6.77,7.0,XPAR:NANO,21066
2012-11-16,6.78,6.96,6.65,6.83,XPAR:NANO,22936
2012-11-19,6.94,6.95,6.81,6.84,XPAR:NANO,8267
2012-11-20,6.86,6.95,6.79,6.94,XPAR:NANO,13835
2012-11-21,6.9,6.9,6.86,6.87,XPAR:NANO,8753
2012-11-22,6.87,6.95,6.87,6.94,XPAR:NANO,5783
2012-11-23,6.86,6.9,6.82,6.87,XPAR:NANO,4142
2012-11-26,6.68,6.85,6.68,6.85,XPAR:NANO,16809
2012-11-27,6.68,6.78,6.68,6.78,XPAR:NANO,4827
2012-11-28,6.68,6.73,6.68,6.68,XPAR:NANO,13671
2012-11-29,6.63,6.75,6.55,6.71,XPAR:NANO,9087
2012-11-30,6.59,6.68,6.56,6.64,XPAR:NANO,8111
2012-12-03,6.53,6.62,6.53,6.62,XPAR:NANO,6484
2012-12-04,6.57,6.62,6.52,6.53,XPAR:NANO,6110
2012-12-05,6.57,6.58,6.52,6.52,XPAR:NANO,6760
2012-12-06,6.52,6.61,6.51,6.57,XPAR:NANO,8475
2012-12-07,6.55,6.67,6.52,6.52,XPAR:NANO,5837
2012-12-10,6.73,6.75,6.51,6.51,XPAR:NANO,9579
2012-12-11,6.66,6.73,6.61,6.73,XPAR:NANO,5565
2012-12-12,6.74,6.74,6.63,6.66,XPAR:NANO,9591
2012-12-13,6.6,6.74,6.55,6.74,XPAR:NANO,11406
2012-12-14,6.61,6.7,6.59,6.6,XPAR:NANO,3774
2012-12-17,6.63,6.69,6.61,6.69,XPAR:NANO,3226
2012-12-18,6.65,6.7,6.63,6.68,XPAR:NANO,7682
2012-12-19,6.65,6.66,6.65,6.65,XPAR:NANO,3556
2012-12-20,6.65,6.67,6.65,6.65,XPAR:NANO,6328
2012-12-21,6.65,6.66,6.6,6.65,XPAR:NANO,5363
2012-12-24,6.51,6.6,6.51,6.58,XPAR:NANO,7293
2012-12-25,6.51,6.51,6.51,6.51,XPAR:NANO,0
2012-12-26,6.51,6.51,6.51,6.51,XPAR:NANO,0
2012-12-27,6.7,6.7,6.48,6.51,XPAR:NANO,15401
2012-12-28,6.6,6.7,6.59,6.7,XPAR:NANO,5746
2012-12-31,6.7,6.7,6.6,6.65,XPAR:NANO,3298
2013-01-01,6.7,6.7,6.7,6.7,XPAR:NANO,0
2013-01-02,6.7,6.71,6.63,6.7,XPAR:NANO,5985
2013-01-03,6.64,6.7,6.61,6.7,XPAR:NANO,5410
2013-01-04,6.57,6.65,6.57,6.65,XPAR:NANO,3980
2013-01-07,6.51,6.63,6.51,6.51,XPAR:NANO,10935
2013-01-08,6.51,6.56,6.5,6.53,XPAR:NANO,6448
2013-01-09,6.51,6.52,6.5,6.51,XPAR:NANO,10136
2013-01-10,6.53,6.53,6.51,6.52,XPAR:NANO,3354
2013-01-11,6.62,6.62,6.51,6.54,XPAR:NANO,7823
2013-01-14,6.76,6.76,6.59,6.63,XPAR:NANO,16624
2013-01-15,6.79,6.8,6.76,6.8,XPAR:NANO,5225
2013-01-16,6.8,6.8,6.73,6.79,XPAR:NANO,13987
2013-01-17,6.75,6.8,6.73,6.8,XPAR:NANO,3870
2013-01-18,6.8,6.8,6.75,6.75,XPAR:NANO,15893
2013-01-21,6.79,6.8,6.73,6.8,XPAR:NANO,7099
2013-01-22,6.77,6.8,6.77,6.8,XPAR:NANO,6793
2013-01-23,6.77,6.8,6.76,6.78,XPAR:NANO,9874
2013-01-24,6.76,6.77,6.74,6.77,XPAR:NANO,5318
2013-01-25,6.7,6.76,6.7,6.76,XPAR:NANO,6095
2013-01-28,6.71,6.8,6.7,6.75,XPAR:NANO,9589
2013-01-29,6.69,6.71,6.69,6.71,XPAR:NANO,2783
2013-01-30,6.74,6.74,6.69,6.69,XPAR:NANO,8347
2013-01-31,6.71,6.75,6.66,6.75,XPAR:NANO,5619
2013-02-01,6.7,6.74,6.67,6.74,XPAR:NANO,3621
2013-02-04,6.67,6.72,6.66,6.72,XPAR:NANO,4176
2013-02-05,6.73,6.73,6.66,6.67,XPAR:NANO,2395
2013-02-06,6.74,6.74,6.7,6.73,XPAR:NANO,5810
2013-02-07,6.72,6.74,6.66,6.74,XPAR:NANO,5688
2013-02-08,6.69,6.72,6.66,6.72,XPAR:NANO,3371
2013-02-11,6.69,6.7,6.66,6.69,XPAR:NANO,3847
2013-02-12,6.73,6.73,6.69,6.71,XPAR:NANO,4229
2013-02-13,6.73,6.74,6.67,6.73,XPAR:NANO,4781
2013-02-14,6.66,6.73,6.63,6.73,XPAR:NANO,5299
2013-02-15,6.72,6.72,6.63,6.66,XPAR:NANO,4599
2013-02-18,6.7,6.73,6.63,6.73,XPAR:NANO,5474
2013-02-19,6.68,6.75,6.63,6.7,XPAR:NANO,6459
2013-02-20,6.55,6.68,6.49,6.68,XPAR:NANO,21188
2013-02-21,6.48,6.55,6.44,6.55,XPAR:NANO,6487
2013-02-22,6.37,6.5,6.3,6.5,XPAR:NANO,7238
2013-02-25,6.35,6.38,6.33,6.37,XPAR:NANO,5269
2013-02-26,6.27,6.29,6.2,6.29,XPAR:NANO,17211
2013-02-27,6.15,6.2,5.98,6.2,XPAR:NANO,25688
2013-02-28,6.06,6.1,6.04,6.1,XPAR:NANO,17662
2013-03-01,5.99,6.05,5.95,6.05,XPAR:NANO,9312
2013-03-04,6.02,6.02,5.98,5.99,XPAR:NANO,37897
2013-03-05,5.98,6.03,5.98,6.02,XPAR:NANO,10365
2013-03-06,5.99,6.05,5.95,5.98,XPAR:NANO,10488
2013-03-07,6.01,6.1,5.99,5.99,XPAR:NANO,4348
2013-03-08,6.01,6.1,6.0,6.01,XPAR:NANO,1901
2013-03-11,6.21,6.24,6.01,6.01,XPAR:NANO,7264
2013-03-12,6.25,6.28,6.21,6.21,XPAR:NANO,2071
2013-03-13,6.27,6.28,6.23,6.25,XPAR:NANO,5405
2013-03-14,6.35,6.35,6.27,6.27,XPAR:NANO,3566
2013-03-15,6.35,6.4,6.27,6.38,XPAR:NANO,3221
2013-03-18,6.35,6.6,6.35,6.6,XPAR:NANO,8469
2013-03-19,6.48,6.48,6.35,6.4,XPAR:NANO,5361
2013-03-20,6.56,6.56,6.48,6.49,XPAR:NANO,5508
2013-03-21,6.5,6.57,6.5,6.57,XPAR:NANO,1770
2013-03-22,6.48,6.5,6.4,6.5,XPAR:NANO,2951
2013-03-25,6.38,6.48,6.3,6.48,XPAR:NANO,5858
2013-03-26,6.43,6.43,6.29,6.38,XPAR:NANO,2148
2013-03-27,6.5,6.5,6.3,6.43,XPAR:NANO,5699
2013-03-28,6.5,6.56,6.49,6.5,XPAR:NANO,3595
2013-03-29,6.5,6.5,6.5,6.5,XPAR:NANO,0
2013-04-01,6.5,6.5,6.5,6.5,XPAR:NANO,0
2013-04-02,6.4,6.49,6.4,6.49,XPAR:NANO,4022
2013-04-03,6.39,6.45,6.35,6.4,XPAR:NANO,3332
2013-04-04,6.39,6.4,6.31,6.4,XPAR:NANO,4122
2013-04-05,6.3,6.39,6.27,6.3,XPAR:NANO,6855
2013-04-08,6.27,6.3,6.25,6.28,XPAR:NANO,2399
2013-04-09,6.3,6.3,6.15,6.27,XPAR:NANO,2371
2013-04-10,6.23,6.3,6.2,6.25,XPAR:NANO,2931
2013-04-11,6.15,6.21,6.14,6.21,XPAR:NANO,3394
2013-04-12,6.18,6.18,6.15,6.15,XPAR:NANO,1581
2013-04-15,6.18,6.18,6.15,6.18,XPAR:NANO,1076
2013-04-16,6.19,6.2,6.14,6.19,XPAR:NANO,4834
2013-04-17,6.17,6.19,6.09,6.19,XPAR:NANO,3939
2013-04-18,6.15,6.18,6.15,6.18,XPAR:NANO,1094
2013-04-19,6.17,6.17,6.14,6.15,XPAR:NANO,1578
2013-04-22,6.08,6.17,6.08,6.17,XPAR:NANO,2282
2013-04-23,6.13,6.13,6.05,6.08,XPAR:NANO,1580
2013-04-24,6.15,6.15,6.08,6.13,XPAR:NANO,1761
2013-04-25,6.18,6.19,5.95,6.15,XPAR:NANO,14643
2013-04-26,6.18,6.19,6.0,6.19,XPAR:NANO,3885
2013-04-29,6.14,6.18,6.07,6.18,XPAR:NANO,4273
2013-04-30,6.16,6.16,6.14,6.14,XPAR:NANO,244
2013-05-01,6.16,6.16,6.16,6.16,XPAR:NANO,0
2013-05-02,6.16,6.17,6.16,6.17,XPAR:NANO,1811
2013-05-03,6.17,6.17,6.16,6.17,XPAR:NANO,631
2013-05-06,6.17,6.2,6.17,6.17,XPAR:NANO,2942
2013-05-07,6.13,6.17,6.13,6.17,XPAR:NANO,2715
2013-05-08,6.04,6.15,6.04,6.14,XPAR:NANO,1974
2013-05-09,6.0,6.07,6.0,6.07,XPAR:NANO,3915
2013-05-10,6.0,6.0,5.95,6.0,XPAR:NANO,3204
2013-05-13,5.96,6.0,5.95,6.0,XPAR:NANO,13333
2013-05-14,5.88,6.0,5.75,6.0,XPAR:NANO,8815
2013-05-15,5.8,5.96,5.75,5.96,XPAR:NANO,8932
2013-05-16,5.92,5.94,5.83,5.84,XPAR:NANO,5010
2013-05-17,5.92,5.96,5.92,5.92,XPAR:NANO,373
2013-05-20,5.98,6.02,5.96,6.02,XPAR:NANO,2528
2013-05-21,5.93,5.98,5.93,5.98,XPAR:NANO,928
2013-05-22,6.02,6.02,5.95,5.98,XPAR:NANO,2742
2013-05-23,5.9,6.02,5.82,6.02,XPAR:NANO,6570
2013-05-24,5.9,5.95,5.9,5.9,XPAR:NANO,7726
2013-05-27,6.0,6.01,5.98,6.01,XPAR:NANO,4085
2013-05-28,5.99,6.01,5.96,6.0,XPAR:NANO,3098
2013-05-29,5.99,6.0,5.98,5.99,XPAR:NANO,1181
2013-05-30,5.83,6.0,5.65,6.0,XPAR:NANO,26614
2013-05-31,5.7,5.88,5.65,5.88,XPAR:NANO,7685
2013-06-03,6.43,6.63,6.0,6.01,XPAR:NANO,96854
2013-06-04,6.5,6.66,6.5,6.6,XPAR:NANO,23651
2013-06-05,6.59,6.6,6.52,6.59,XPAR:NANO,10165
2013-06-06,6.53,6.59,6.5,6.59,XPAR:NANO,7020
2013-06-07,6.5,6.53,6.5,6.53,XPAR:NANO,10148
2013-06-10,6.5,6.54,6.49,6.5,XPAR:NANO,6475
2013-06-11,6.44,6.5,6.35,6.5,XPAR:NANO,5910
2013-06-12,6.44,6.44,6.38,6.44,XPAR:NANO,2583
2013-06-13,6.4,6.45,6.3,6.44,XPAR:NANO,9961
2013-06-14,6.3,6.45,6.23,6.4,XPAR:NANO,11597
2013-06-17,6.31,6.31,6.06,6.3,XPAR:NANO,9262
2013-06-18,6.37,6.38,6.29,6.31,XPAR:NANO,1999
2013-06-19,6.4,6.4,6.3,6.36,XPAR:NANO,3839
2013-06-20,6.2,6.33,6.14,6.33,XPAR:NANO,6378
2013-06-21,6.2,6.2,6.14,6.2,XPAR:NANO,2716
2013-06-24,6.19,6.2,6.05,6.2,XPAR:NANO,6779
2013-06-25,6.15,6.18,6.05,6.05,XPAR:NANO,4982
2013-06-26,6.19,6.2,6.13,6.16,XPAR:NANO,13193
2013-06-27,6.17,6.2,6.16,6.2,XPAR:NANO,5039
2013-06-28,6.2,6.2,6.15,6.18,XPAR:NANO,4749
2013-07-01,6.19,6.2,6.14,6.2,XPAR:NANO,2989
2013-07-02,6.14,6.19,6.14,6.19,XPAR:NANO,2051
2013-07-03,6.13,6.15,6.0,6.14,XPAR:NANO,13223
2013-07-04,6.15,6.15,6.12,6.12,XPAR:NANO,10031
2013-07-05,6.13,6.15,6.08,6.15,XPAR:NANO,14764
2013-07-08,6.1,6.14,6.1,6.13,XPAR:NANO,1867
2013-07-09,6.05,6.1,6.0,6.06,XPAR:NANO,5123
2013-07-10,6.05,6.05,5.96,6.04,XPAR:NANO,6844
2013-07-11,6.04,6.05,6.0,6.0,XPAR:NANO,2861
2013-07-12,5.95,6.03,5.92,6.03,XPAR:NANO,6534
2013-07-15,6.05,6.05,5.95,5.95,XPAR:NANO,4883
2013-07-16,5.96,6.04,5.96,6.04,XPAR:NANO,2713
2013-07-17,6.03,6.03,5.96,6.0,XPAR:NANO,6391
2013-07-18,6.02,6.02,5.94,6.02,XPAR:NANO,2121
2013-07-19,6.0,6.02,6.0,6.02,XPAR:NANO,1765
