Date,Close,High,Low,Open,Symbol,Volume
2000-06-16,48.0,49.72,47.25,49.0,XPAR:NRG,366535
2000-06-19,49.0,49.4,48.05,48.55,XPAR:NRG,59044
2000-06-20,52.4,53.2,49.4,49.4,XPAR:NRG,100332
2000-06-21,50.5,52.95,50.5,52.95,XPAR:NRG,61976
2000-06-22,50.5,51.5,50.0,51.5,XPAR:NRG,45270
2000-06-23,48.01,51.0,48.01,49.5,XPAR:NRG,48695
2000-06-26,51.0,51.8,49.2,51.8,XPAR:NRG,484011
2000-06-27,50.5,51.75,50.0,51.0,XPAR:NRG,53647
2000-06-28,50.55,51.45,50.05,50.9,XPAR:NRG,29281
2000-06-29,50.8,51.2,49.9,51.0,XPAR:NRG,35643
2000-06-30,51.0,51.0,50.05,51.0,XPAR:NRG,46194
2000-07-03,51.15,51.5,50.5,51.0,XPAR:NRG,27077
2000-07-04,50.0,51.0,50.0,51.0,XPAR:NRG,14064
2000-07-05,50.7,50.9,49.6,50.0,XPAR:NRG,16588
2000-07-06,49.6,51.9,49.6,50.6,XPAR:NRG,153848
2000-07-07,50.25,51.0,50.0,50.0,XPAR:NRG,19456
2000-07-10,51.8,51.9,50.5,50.9,XPAR:NRG,32210
2000-07-11,51.0,51.4,50.6,51.1,XPAR:NRG,12109
2000-07-12,51.0,51.4,50.25,51.0,XPAR:NRG,372587
2000-07-13,51.4,51.85,51.0,51.4,XPAR:NRG,31509
2000-07-14,51.4,51.4,51.4,51.4,XPAR:NRG,0
2000-07-17,53.0,54.0,51.5,51.6,XPAR:NRG,22593
2000-07-18,53.1,55.4,52.75,52.75,XPAR:NRG,16129
2000-07-19,53.0,54.45,53.0,54.0,XPAR:NRG,29203
2000-07-20,52.15,53.9,52.1,52.5,XPAR:NRG,31427
2000-07-21,53.15,54.4,53.0,53.1,XPAR:NRG,30105
2000-07-24,56.4,58.0,52.1,52.1,XPAR:NRG,33382
2000-07-25,59.0,59.5,56.25,56.8,XPAR:NRG,162528
2000-07-26,57.6,59.25,57.6,59.0,XPAR:NRG,26583
2000-07-27,56.6,58.0,56.6,57.2,XPAR:NRG,12399
2000-07-28,56.9,57.0,54.6,56.5,XPAR:NRG,19515
2000-07-31,55.0,56.8,53.8,56.8,XPAR:NRG,25029
2000-08-01,54.0,55.0,53.5,55.0,XPAR:NRG,26533
2000-08-02,55.0,55.0,53.2,53.9,XPAR:NRG,91404
2000-08-03,53.4,55.3,53.2,54.0,XPAR:NRG,7913
2000-08-04,52.8,53.85,52.8,53.55,XPAR:NRG,8538
2000-08-07,52.5,53.5,52.1,52.7,XPAR:NRG,7607
2000-08-08,52.2,53.4,51.7,52.85,XPAR:NRG,11768
2000-08-09,50.6,53.55,50.6,52.2,XPAR:NRG,25372
2000-08-10,52.0,54.0,51.0,51.9,XPAR:NRG,18398
2000-08-11,51.3,53.4,50.35,52.4,XPAR:NRG,73379
2000-08-14,49.65,51.45,49.53,51.45,XPAR:NRG,36796
2000-08-15,49.3,49.95,45.0,49.95,XPAR:NRG,27426
2000-08-16,48.86,49.15,48.71,49.0,XPAR:NRG,33241
2000-08-17,46.5,48.78,46.3,48.78,XPAR:NRG,94950
2000-08-18,46.61,47.0,46.5,46.65,XPAR:NRG,71797
2000-08-21,48.18,48.5,47.4,47.4,XPAR:NRG,30574
2000-08-22,48.0,48.2,47.5,48.2,XPAR:NRG,58277
2000-08-23,47.9,48.2,47.01,48.2,XPAR:NRG,44203
2000-08-24,48.0,48.16,47.75,48.0,XPAR:NRG,67592
2000-08-25,50.0,50.0,48.06,49.5,XPAR:NRG,73487
2000-08-28,49.99,50.2,49.0,50.2,XPAR:NRG,43852
2000-08-29,49.79,49.99,49.2,49.99,XPAR:NRG,17212
2000-08-30,49.45,49.79,49.3,49.79,XPAR:NRG,70952
2000-08-31,55.05,55.05,49.55,49.8,XPAR:NRG,308645
2000-09-01,53.55,55.05,53.1,55.05,XPAR:NRG,58128
2000-09-04,52.75,54.6,52.5,53.6,XPAR:NRG,19838
2000-09-05,53.9,53.9,50.4,52.9,XPAR:NRG,14083
2000-09-06,51.8,54.0,50.55,53.9,XPAR:NRG,16346
2000-09-07,50.5,51.8,50.2,50.6,XPAR:NRG,30258
2000-09-08,50.2,52.0,49.7,51.5,XPAR:NRG,150662
2000-09-11,49.9,51.0,49.45,49.8,XPAR:NRG,12361
2000-09-12,49.4,50.7,48.9,50.7,XPAR:NRG,86492
2000-09-13,48.57,49.74,48.5,49.6,XPAR:NRG,22802
2000-09-14,48.8,49.5,48.4,49.45,XPAR:NRG,18726
2000-09-15,48.5,49.0,48.2,49.0,XPAR:NRG,37370
2000-09-18,48.5,48.5,48.1,48.4,XPAR:NRG,29366
2000-09-19,48.3,50.0,48.0,48.0,XPAR:NRG,110469
2000-09-20,46.5,48.5,46.5,48.5,XPAR:NRG,25562
2000-09-21,45.1,47.0,44.0,46.4,XPAR:NRG,24736
2000-09-22,45.3,45.4,44.15,45.4,XPAR:NRG,77464
2000-09-25,48.0,48.2,46.5,46.5,XPAR:NRG,13218
2000-09-26,46.0,48.0,46.0,48.0,XPAR:NRG,5902
2000-09-27,45.3,46.74,45.2,45.73,XPAR:NRG,5373
2000-09-28,43.0,45.3,40.77,45.0,XPAR:NRG,41835
2000-09-29,44.6,46.85,44.0,44.5,XPAR:NRG,20075
2000-10-02,43.71,44.75,42.5,42.5,XPAR:NRG,14939
2000-10-03,42.49,43.68,42.49,43.68,XPAR:NRG,14157
2000-10-04,39.0,42.5,37.0,42.5,XPAR:NRG,73418
2000-10-05,40.0,40.79,39.8,40.0,XPAR:NRG,117765
2000-10-06,38.9,40.49,37.51,39.5,XPAR:NRG,33402
2000-10-09,33.3,38.0,33.3,38.0,XPAR:NRG,56207
2000-10-10,35.0,38.11,34.7,36.63,XPAR:NRG,70498
2000-10-11,37.7,38.5,33.6,34.65,XPAR:NRG,86464
2000-10-12,39.95,41.47,38.35,39.2,XPAR:NRG,66706
2000-10-13,38.45,39.5,37.5,38.5,XPAR:NRG,48029
2000-10-16,39.0,40.0,38.0,40.0,XPAR:NRG,61401
2000-10-17,39.44,39.7,38.0,38.11,XPAR:NRG,46590
2000-10-18,38.35,39.85,38.0,39.0,XPAR:NRG,50096
2000-10-19,39.48,39.5,38.41,38.51,XPAR:NRG,43987
2000-10-20,39.57,39.95,39.11,39.5,XPAR:NRG,72827
2000-10-23,39.35,39.6,39.0,39.5,XPAR:NRG,25040
2000-10-24,39.0,39.4,38.0,39.0,XPAR:NRG,15490
2000-10-25,38.5,39.0,38.1,39.0,XPAR:NRG,3853
2000-10-26,38.35,38.99,38.08,38.08,XPAR:NRG,1669
2000-10-27,39.0,39.3,38.36,38.45,XPAR:NRG,75212
2000-10-30,39.0,39.0,38.7,38.99,XPAR:NRG,6814
2000-10-31,39.0,39.0,38.51,38.7,XPAR:NRG,14096
2000-11-01,38.9,39.0,38.51,38.99,XPAR:NRG,1336
2000-11-02,38.6,38.89,38.0,38.1,XPAR:NRG,365954
2000-11-03,38.95,39.0,38.01,38.8,XPAR:NRG,7405
2000-11-06,42.0,42.0,40.1,40.1,XPAR:NRG,16625
2000-11-07,40.48,42.0,40.0,42.0,XPAR:NRG,64712
2000-11-08,39.06,41.4,37.3,40.98,XPAR:NRG,40422
2000-11-09,37.6,39.3,37.25,38.85,XPAR:NRG,29260
2000-11-10,34.9,37.7,34.35,37.5,XPAR:NRG,72197
2000-11-13,34.5,35.12,33.9,34.8,XPAR:NRG,65292
2000-11-14,30.5,33.7,28.03,33.7,XPAR:NRG,1027409
2000-11-15,31.4,32.45,28.9,31.4,XPAR:NRG,319676
2000-11-16,31.31,32.19,30.0,31.5,XPAR:NRG,383524
2000-11-17,30.4,30.95,29.99,30.5,XPAR:NRG,120699
2000-11-20,30.25,31.0,30.21,31.0,XPAR:NRG,88088
2000-11-21,30.3,30.4,30.1,30.3,XPAR:NRG,26432
2000-11-22,29.4,30.5,29.0,30.5,XPAR:NRG,165094
2000-11-23,30.3,30.3,29.0,29.6,XPAR:NRG,18709
2000-11-24,30.1,30.48,29.61,30.4,XPAR:NRG,172694
2000-11-27,29.99,30.75,29.5,30.55,XPAR:NRG,69288
2000-11-28,27.0,30.0,27.0,30.0,XPAR:NRG,128705
2000-11-29,26.4,27.2,25.5,26.99,XPAR:NRG,126671
2000-11-30,26.3,26.8,25.93,26.8,XPAR:NRG,79462
2000-12-01,27.65,27.8,26.5,26.5,XPAR:NRG,25130
2000-12-04,27.5,27.65,26.5,27.5,XPAR:NRG,26739
2000-12-05,28.51,28.78,26.8,27.5,XPAR:NRG,59833
2000-12-06,29.0,29.5,28.25,29.45,XPAR:NRG,53960
2000-12-07,27.0,27.7,26.3,26.3,XPAR:NRG,36727
2000-12-08,28.5,28.8,27.0,27.25,XPAR:NRG,45108
2000-12-11,29.0,29.6,28.45,28.5,XPAR:NRG,30041
2000-12-12,29.4,29.4,28.97,29.3,XPAR:NRG,113169
2000-12-13,30.4,30.66,29.5,29.5,XPAR:NRG,119908
2000-12-14,30.29,30.45,29.1,30.25,XPAR:NRG,15852
2000-12-15,29.0,29.6,28.52,28.52,XPAR:NRG,177765
2000-12-18,29.99,30.05,29.15,29.2,XPAR:NRG,44608
2000-12-19,28.25,30.24,28.25,30.01,XPAR:NRG,37718
2000-12-20,27.0,28.94,26.05,28.0,XPAR:NRG,35149
2000-12-21,25.1,27.45,25.1,26.3,XPAR:NRG,78838
2000-12-22,26.98,27.71,26.35,27.61,XPAR:NRG,138419
2000-12-25,26.98,27.71,26.35,27.61,XPAR:NRG,0
2000-12-26,26.98,27.71,26.35,27.61,XPAR:NRG,0
2000-12-27,28.9,29.1,28.0,29.0,XPAR:NRG,78075
2000-12-28,30.02,30.1,29.15,29.5,XPAR:NRG,161313
2000-12-29,30.44,30.7,30.3,30.4,XPAR:NRG,139976
2001-01-01,30.44,30.7,30.3,30.4,XPAR:NRG,0
2001-01-02,29.45,31.75,29.4,31.0,XPAR:NRG,40411
2001-01-03,27.5,30.0,26.2,29.99,XPAR:NRG,58920
2001-01-04,29.0,30.9,28.76,30.1,XPAR:NRG,60054
2001-01-05,29.0,29.5,28.55,29.0,XPAR:NRG,38660
2001-01-08,28.1,29.35,28.1,29.04,XPAR:NRG,18314
2001-01-09,29.0,29.1,28.15,29.1,XPAR:NRG,21327
2001-01-10,28.7,29.2,28.5,29.0,XPAR:NRG,35196
2001-01-11,28.9,29.69,28.8,28.99,XPAR:NRG,29259
2001-01-12,30.49,31.6,29.1,29.69,XPAR:NRG,147078
2001-01-15,30.95,31.0,29.7,31.0,XPAR:NRG,39703
2001-01-16,30.2,31.0,29.6,31.0,XPAR:NRG,37842
2001-01-17,30.0,30.4,29.95,30.0,XPAR:NRG,36389
2001-01-18,29.5,30.5,28.5,30.4,XPAR:NRG,38992
2001-01-19,33.0,34.01,29.5,29.5,XPAR:NRG,349311
2001-01-22,34.19,34.19,32.2,33.27,XPAR:NRG,74749
2001-01-23,33.0,33.96,32.96,33.96,XPAR:NRG,45697
2001-01-24,33.0,33.96,32.96,33.96,XPAR:NRG,0
2001-01-25,32.93,33.4,32.92,33.4,XPAR:NRG,74391
2001-01-26,32.93,33.4,32.92,33.4,XPAR:NRG,0
2001-01-29,32.7,33.4,32.55,33.0,XPAR:NRG,21432
2001-01-30,32.7,33.05,32.55,32.8,XPAR:NRG,38690
2001-01-31,32.7,33.15,32.7,33.1,XPAR:NRG,37576
2001-02-01,32.75,33.0,32.75,33.0,XPAR:NRG,39150
2001-02-02,32.52,33.5,32.52,32.72,XPAR:NRG,16440
2001-02-05,33.1,33.2,32.8,33.0,XPAR:NRG,15963
2001-02-06,32.5,33.1,32.1,33.0,XPAR:NRG,52849
2001-02-07,32.01,32.65,32.0,32.5,XPAR:NRG,34140
2001-02-08,32.0,32.15,31.1,32.01,XPAR:NRG,66181
2001-02-09,31.5,32.2,31.4,32.0,XPAR:NRG,28591
2001-02-12,30.85,32.3,30.01,31.21,XPAR:NRG,54112
2001-02-13,28.79,30.9,28.4,30.85,XPAR:NRG,118508
2001-02-14,27.95,29.0,26.82,29.0,XPAR:NRG,106443
2001-02-15,28.28,28.9,28.0,28.68,XPAR:NRG,41038
2001-02-16,26.76,28.0,26.7,28.0,XPAR:NRG,73867
2001-02-19,26.5,26.88,25.9,26.85,XPAR:NRG,41920
2001-02-20,26.97,27.35,26.6,26.8,XPAR:NRG,22101
2001-02-21,25.62,26.98,25.57,26.98,XPAR:NRG,46057
2001-02-22,24.7,25.77,24.7,25.5,XPAR:NRG,48824
2001-02-23,26.11,27.8,25.5,25.5,XPAR:NRG,69670
2001-02-26,27.2,27.91,26.55,27.4,XPAR:NRG,368270
2001-02-27,27.4,28.0,27.0,27.55,XPAR:NRG,17569
2001-02-28,26.86,27.28,26.85,27.0,XPAR:NRG,11139
2001-03-01,26.7,26.88,26.0,26.82,XPAR:NRG,22173
2001-03-02,26.35,26.8,26.02,26.21,XPAR:NRG,66819
2001-03-05,26.8,26.95,26.2,26.95,XPAR:NRG,9711
2001-03-06,27.25,28.0,27.0,27.0,XPAR:NRG,47323
2001-03-07,28.0,28.75,27.3,27.5,XPAR:NRG,58981
2001-03-08,27.0,28.0,27.0,28.0,XPAR:NRG,20473
2001-03-09,26.34,27.4,25.8,27.0,XPAR:NRG,53924
2001-03-12,23.77,26.5,23.76,26.0,XPAR:NRG,31540
2001-03-13,24.74,24.95,23.0,23.0,XPAR:NRG,36102
2001-03-14,24.74,24.95,23.0,23.0,XPAR:NRG,0
2001-03-15,24.0,24.6,23.5,24.6,XPAR:NRG,11455
2001-03-16,23.43,24.15,23.43,24.0,XPAR:NRG,15446
2001-03-19,23.8,24.0,23.35,23.5,XPAR:NRG,10323
2001-03-20,22.79,24.3,22.39,24.0,XPAR:NRG,19528
2001-03-21,20.64,22.35,20.45,22.35,XPAR:NRG,60097
2001-03-22,19.21,20.64,18.0,20.64,XPAR:NRG,49505
2001-03-23,20.5,20.89,19.62,20.0,XPAR:NRG,142316
2001-03-26,20.7,20.98,20.2,20.9,XPAR:NRG,43016
2001-03-27,22.0,22.0,19.9,20.6,XPAR:NRG,57918
2001-03-28,22.6,22.8,21.5,22.8,XPAR:NRG,387791
2001-03-29,21.95,21.95,20.7,21.9,XPAR:NRG,16117
2001-03-30,21.0,22.05,21.0,22.0,XPAR:NRG,20872
2001-04-02,21.1,21.5,20.9,21.5,XPAR:NRG,25852
2001-04-03,21.08,21.25,20.92,21.0,XPAR:NRG,18169
