Date,Close,High,Low,Open,Symbol,Volume
2000-05-24,8.65,9.0,8.5,9.0,XPAR:NRO,125149
2000-05-25,8.75,8.99,8.55,8.98,XPAR:NRO,39401
2000-05-26,8.7,8.8,8.6,8.8,XPAR:NRO,6763
2000-05-29,9.0,9.25,8.61,8.8,XPAR:NRO,43388
2000-05-30,9.0,9.0,8.9,9.0,XPAR:NRO,7620
2000-05-31,8.81,9.0,8.81,9.0,XPAR:NRO,17922
2000-06-01,8.94,8.95,8.71,8.71,XPAR:NRO,2236
2000-06-02,8.91,8.99,8.8,8.9,XPAR:NRO,17098
2000-06-05,8.81,8.99,8.77,8.99,XPAR:NRO,34691
2000-06-06,8.85,8.94,8.85,8.85,XPAR:NRO,9099
2000-06-07,8.7,8.9,8.7,8.9,XPAR:NRO,18819
2000-06-08,8.4,8.93,8.4,8.89,XPAR:NRO,34896
2000-06-09,8.0,8.57,7.65,8.57,XPAR:NRO,15494
2000-06-12,8.0,8.0,8.0,8.0,XPAR:NRO,0
2000-06-13,7.95,8.15,7.8,7.95,XPAR:NRO,7667
2000-06-14,7.8,8.0,7.65,8.0,XPAR:NRO,64350
2000-06-15,8.0,8.7,7.62,7.9,XPAR:NRO,77232
2000-06-16,9.2,9.2,8.46,8.79,XPAR:NRO,191565
2000-06-19,9.4,9.9,9.4,9.85,XPAR:NRO,84559
2000-06-20,9.04,9.7,9.0,9.7,XPAR:NRO,33659
2000-06-21,9.04,9.4,9.01,9.2,XPAR:NRO,68925
2000-06-22,9.06,9.13,8.71,9.12,XPAR:NRO,15285
2000-06-23,9.08,9.09,8.71,8.75,XPAR:NRO,8650
2000-06-26,8.97,9.05,8.97,8.98,XPAR:NRO,8467
2000-06-27,8.6,8.97,8.51,8.97,XPAR:NRO,5988
2000-06-28,8.98,9.0,8.6,8.6,XPAR:NRO,6979
2000-06-29,8.5,8.9,8.2,8.27,XPAR:NRO,11594
2000-06-30,8.14,8.7,8.05,8.7,XPAR:NRO,2935
2000-07-03,7.99,8.2,7.6,7.6,XPAR:NRO,12138
2000-07-04,7.99,8.49,7.95,8.49,XPAR:NRO,1437
2000-07-05,8.2,8.2,7.91,8.03,XPAR:NRO,2330
2000-07-06,7.7,8.0,7.5,7.91,XPAR:NRO,12252
2000-07-07,8.0,8.2,7.56,7.99,XPAR:NRO,2017
2000-07-10,7.75,8.0,7.65,8.0,XPAR:NRO,631
2000-07-11,7.95,7.95,7.6,7.65,XPAR:NRO,1033
2000-07-12,7.95,7.95,7.62,7.75,XPAR:NRO,3835
2000-07-13,7.9,7.95,7.65,7.95,XPAR:NRO,1357
2000-07-14,7.9,7.9,7.9,7.9,XPAR:NRO,0
2000-07-17,7.61,7.89,7.61,7.89,XPAR:NRO,990
2000-07-18,7.1,7.6,7.0,7.6,XPAR:NRO,15017
2000-07-19,7.29,7.45,7.0,7.0,XPAR:NRO,9783
2000-07-20,7.8,8.0,7.36,7.36,XPAR:NRO,7202
2000-07-21,7.35,7.93,7.3,7.93,XPAR:NRO,8464
2000-07-24,7.4,7.55,7.35,7.45,XPAR:NRO,2032
2000-07-25,7.77,7.79,7.3,7.37,XPAR:NRO,10095
