Date,Close,High,Low,Open,Symbol,Volume
2007-02-09,13.8286,14.8571,13.7143,14.5714,XPAR:OLG,2877448
2007-02-12,13.6171,14.2857,13.32,14.2857,XPAR:OLG,456650
2007-02-13,13.6114,13.6571,13.5143,13.6229,XPAR:OLG,103762
2007-02-14,13.3543,13.64,13.0971,13.64,XPAR:OLG,292526
2007-02-15,13.3371,13.3429,13.2,13.3429,XPAR:OLG,23674
2007-02-16,13.4571,13.4571,13.2057,13.4286,XPAR:OLG,31727
2007-02-19,13.4571,13.4857,13.2571,13.4857,XPAR:OLG,15639
2007-02-20,13.3714,13.4286,13.1714,13.2914,XPAR:OLG,22167
2007-02-21,13.4286,13.4514,13.2743,13.3714,XPAR:OLG,14497
2007-02-22,13.36,13.4286,13.2571,13.4229,XPAR:OLG,11401
2007-02-23,13.1429,13.3029,13.0857,13.1429,XPAR:OLG,117999
2007-02-26,13.0971,13.1429,12.9143,13.0857,XPAR:OLG,75423
2007-02-27,12.5714,13.0229,12.5143,13.0229,XPAR:OLG,62739
2007-02-28,12.4114,12.4286,11.8286,12.3429,XPAR:OLG,102914
2007-03-01,13.1429,13.2571,12.2,12.28,XPAR:OLG,24484
2007-03-02,12.9657,13.2743,12.4057,13.2743,XPAR:OLG,14519
2007-03-05,12.8,12.9657,12.5829,12.9657,XPAR:OLG,9439
2007-03-06,13.1429,13.3714,12.8,12.8,XPAR:OLG,45150
2007-03-07,12.5714,12.7371,12.4571,12.4571,XPAR:OLG,50218
2007-03-08,12.2857,12.5714,12.2857,12.4571,XPAR:OLG,24717
2007-03-09,12.0,12.28,11.96,12.2514,XPAR:OLG,60222
2007-03-12,11.88,11.88,11.4286,11.8571,XPAR:OLG,43099
2007-03-13,12.1371,12.1371,11.5543,11.8514,XPAR:OLG,105194
2007-03-14,12.0,12.1257,11.9886,11.9886,XPAR:OLG,29650
2007-03-15,12.2286,12.2286,11.7143,12.0,XPAR:OLG,41186
2007-03-16,12.1714,12.2286,12.0171,12.0171,XPAR:OLG,3508
2007-03-19,12.1257,12.1429,12.0571,12.0857,XPAR:OLG,19097
2007-03-20,12.2286,12.3429,12.1257,12.1257,XPAR:OLG,4760
2007-03-21,12.2114,12.2286,12.0114,12.2286,XPAR:OLG,3176
2007-03-22,12.1143,12.28,12.0,12.2114,XPAR:OLG,40521
2007-03-23,12.0,12.1371,11.8629,12.1143,XPAR:OLG,34798
2007-03-26,12.0229,12.1657,11.8857,12.0,XPAR:OLG,6305
2007-03-27,11.8857,12.0,11.6629,12.0,XPAR:OLG,24451
2007-03-28,11.8286,11.88,11.6686,11.72,XPAR:OLG,5979
2007-03-29,11.8114,11.8286,11.6571,11.7143,XPAR:OLG,9019
2007-03-30,11.8114,11.8114,11.5429,11.6571,XPAR:OLG,17013
2007-04-02,11.68,11.7143,11.48,11.7143,XPAR:OLG,8510
2007-04-03,11.6571,11.8571,11.5657,11.68,XPAR:OLG,20823
2007-04-04,11.6571,11.7257,11.4971,11.6571,XPAR:OLG,49376
2007-04-05,11.52,11.6914,11.5143,11.6914,XPAR:OLG,3346
2007-04-06,11.52,11.6914,11.5143,11.6914,XPAR:OLG,0
2007-04-09,11.52,11.6914,11.5143,11.6914,XPAR:OLG,0
2007-04-10,11.56,11.6,11.4286,11.5143,XPAR:OLG,10976
2007-04-11,11.5429,11.5429,11.3829,11.5371,XPAR:OLG,15132
2007-04-12,11.4286,11.5714,11.3886,11.5714,XPAR:OLG,31524
2007-04-13,11.5371,11.5657,11.3771,11.3771,XPAR:OLG,30840
2007-04-16,11.6457,11.7143,11.4286,11.4571,XPAR:OLG,16038
2007-04-17,11.7714,11.7714,11.6,11.6,XPAR:OLG,20527
2007-04-18,11.9829,11.9886,11.7714,11.7771,XPAR:OLG,12094
2007-04-19,11.7714,11.9886,11.7714,11.9886,XPAR:OLG,9983
2007-04-20,11.8857,11.8857,11.7714,11.7714,XPAR:OLG,20065
2007-04-23,11.8286,11.8857,11.8,11.88,XPAR:OLG,4021
2007-04-24,11.8971,11.8971,11.8057,11.8571,XPAR:OLG,6881
