Date,Close,High,Low,Open,Symbol,Volume
2015-03-30,10.45,10.9,10.06,10.9,XPAR:OSE,369342
2015-03-31,10.6,10.66,10.22,10.35,XPAR:OSE,127828
2015-04-01,10.55,10.72,10.44,10.72,XPAR:OSE,37255
2015-04-02,10.5,10.65,10.27,10.6,XPAR:OSE,29880
2015-04-03,10.5,10.5,10.5,10.5,XPAR:OSE,0
2015-04-06,10.5,10.5,10.5,10.5,XPAR:OSE,0
2015-04-07,10.12,10.56,10.1,10.5,XPAR:OSE,34170
2015-04-08,9.75,10.22,9.7,10.19,XPAR:OSE,78147
2015-04-09,9.3,9.72,9.01,9.72,XPAR:OSE,79211
2015-04-10,9.49,9.49,8.75,9.18,XPAR:OSE,53280
2015-04-13,9.76,9.76,9.31,9.59,XPAR:OSE,20355
2015-04-14,9.36,9.86,9.3,9.86,XPAR:OSE,18057
2015-04-15,9.72,9.75,9.4,9.4,XPAR:OSE,17956
2015-04-16,9.75,9.78,9.5,9.72,XPAR:OSE,19255
2015-04-17,9.78,10.07,9.55,9.55,XPAR:OSE,17886
2015-04-20,10.04,10.14,9.81,10.04,XPAR:OSE,12225
2015-04-21,10.0,10.17,9.86,9.86,XPAR:OSE,12919
2015-04-22,9.7,10.0,9.7,9.99,XPAR:OSE,8838
2015-04-23,9.5,10.0,9.5,10.0,XPAR:OSE,13327
2015-04-24,9.94,9.96,9.68,9.68,XPAR:OSE,5953
2015-04-27,9.81,9.95,9.58,9.95,XPAR:OSE,8449
2015-04-28,9.75,9.85,9.54,9.8,XPAR:OSE,7412
2015-04-29,9.68,9.85,9.54,9.77,XPAR:OSE,6525
2015-04-30,9.68,9.82,9.54,9.82,XPAR:OSE,2007
2015-05-01,9.68,9.68,9.68,9.68,XPAR:OSE,0
2015-05-04,9.48,9.7,9.48,9.6,XPAR:OSE,3896
2015-05-05,9.59,9.59,9.35,9.48,XPAR:OSE,7250
2015-05-06,9.54,9.59,9.36,9.5,XPAR:OSE,2273
2015-05-07,9.49,9.57,9.32,9.49,XPAR:OSE,4532
2015-05-08,9.54,9.57,9.49,9.56,XPAR:OSE,1794
2015-05-11,9.6,9.6,9.5,9.5,XPAR:OSE,1406
2015-05-12,10.44,11.7,10.15,10.15,XPAR:OSE,223412
2015-05-13,10.2,10.56,9.9,10.34,XPAR:OSE,43902
2015-05-14,10.08,10.55,9.93,10.2,XPAR:OSE,14420
2015-05-15,10.08,10.33,10.08,10.1,XPAR:OSE,7457
2015-05-18,9.95,10.29,9.82,10.18,XPAR:OSE,6055
2015-05-19,9.65,9.94,9.5,9.77,XPAR:OSE,17395
2015-05-20,9.7,9.79,9.5,9.79,XPAR:OSE,5768
2015-05-21,9.63,9.8,9.5,9.7,XPAR:OSE,12025
2015-05-22,9.7,9.7,9.55,9.7,XPAR:OSE,7800
2015-05-25,9.67,9.76,9.67,9.7,XPAR:OSE,7115
2015-05-26,9.52,9.8,9.51,9.68,XPAR:OSE,14398
2015-05-27,9.49,9.68,9.49,9.52,XPAR:OSE,9474
2015-05-28,9.75,9.95,9.45,9.45,XPAR:OSE,15290
2015-05-29,9.95,10.0,9.65,9.65,XPAR:OSE,9970
2015-06-01,10.02,10.15,9.87,10.0,XPAR:OSE,10931
2015-06-02,10.0,10.14,9.9,10.14,XPAR:OSE,13619
2015-06-03,10.2,10.29,9.95,9.95,XPAR:OSE,12971
2015-06-04,9.99,10.15,9.9,10.02,XPAR:OSE,6189
2015-06-05,9.82,9.99,9.82,9.99,XPAR:OSE,2912
2015-06-08,10.0,10.15,9.82,9.82,XPAR:OSE,13011
2015-06-09,9.99,10.04,9.8,9.91,XPAR:OSE,8257
2015-06-10,9.82,9.9,9.71,9.8,XPAR:OSE,5119
2015-06-11,9.8,9.92,9.79,9.8,XPAR:OSE,7848
2015-06-12,9.7,9.89,9.55,9.71,XPAR:OSE,7937
2015-06-15,9.77,9.89,9.6,9.6,XPAR:OSE,5501
2015-06-16,9.9,9.9,9.7,9.81,XPAR:OSE,8588
2015-06-17,9.77,9.9,9.65,9.9,XPAR:OSE,5902
2015-06-18,9.8,9.82,9.6,9.77,XPAR:OSE,5975
2015-06-19,9.72,9.8,9.59,9.7,XPAR:OSE,9081
2015-06-22,11.6,12.15,10.16,10.16,XPAR:OSE,281179
2015-06-23,11.2,11.74,10.82,11.7,XPAR:OSE,52375
2015-06-24,10.42,10.98,10.21,10.91,XPAR:OSE,46927
2015-06-25,10.48,10.68,10.32,10.68,XPAR:OSE,8800
2015-06-26,10.78,10.83,10.25,10.6,XPAR:OSE,17122
2015-06-29,9.95,10.28,9.72,10.01,XPAR:OSE,43969
2015-06-30,10.12,10.28,9.9,10.0,XPAR:OSE,7900
2015-07-01,10.16,10.34,10.03,10.17,XPAR:OSE,9840
2015-07-02,10.2,10.27,9.97,10.27,XPAR:OSE,8893
2015-07-03,9.78,10.2,9.75,10.2,XPAR:OSE,19866
2015-07-06,9.83,10.1,9.7,9.72,XPAR:OSE,3803
2015-07-07,9.91,10.19,9.88,9.94,XPAR:OSE,10230
2015-07-08,9.76,9.95,9.75,9.91,XPAR:OSE,4647
2015-07-09,9.85,9.88,9.7,9.8,XPAR:OSE,9238
2015-07-10,9.83,9.91,9.53,9.91,XPAR:OSE,19097
2015-07-13,9.7,9.9,9.58,9.8,XPAR:OSE,4312
2015-07-14,9.58,9.95,9.55,9.91,XPAR:OSE,15845
2015-07-15,9.78,9.9,9.7,9.81,XPAR:OSE,13645
2015-07-16,10.13,10.17,9.62,9.9,XPAR:OSE,17803
2015-07-17,10.57,10.79,10.19,10.33,XPAR:OSE,20737
2015-07-20,10.51,10.6,10.41,10.6,XPAR:OSE,10677
2015-07-21,10.45,10.55,10.17,10.17,XPAR:OSE,11664
2015-07-22,10.26,10.33,10.2,10.3,XPAR:OSE,2624
2015-07-23,10.11,10.34,10.1,10.34,XPAR:OSE,4581
2015-07-24,10.73,10.8,10.28,10.3,XPAR:OSE,26122
2015-07-27,10.09,10.8,10.01,10.8,XPAR:OSE,11160
2015-07-28,10.04,10.37,10.0,10.37,XPAR:OSE,6124
2015-07-29,10.2,10.32,10.19,10.25,XPAR:OSE,2602
2015-07-30,10.24,10.39,10.23,10.23,XPAR:OSE,1849
2015-07-31,10.49,10.49,10.26,10.34,XPAR:OSE,5627
2015-08-03,10.52,10.55,10.31,10.5,XPAR:OSE,2903
2015-08-04,10.25,10.47,10.25,10.39,XPAR:OSE,3063
2015-08-05,11.15,11.29,10.27,10.27,XPAR:OSE,44889
2015-08-06,11.0,11.41,10.8,11.18,XPAR:OSE,26947
2015-08-07,10.81,11.1,10.8,10.91,XPAR:OSE,5600
2015-08-10,10.69,10.8,10.4,10.8,XPAR:OSE,6682
2015-08-11,10.6,10.6,10.4,10.42,XPAR:OSE,4808
2015-08-12,10.47,10.56,10.29,10.56,XPAR:OSE,3681
2015-08-13,10.45,10.57,10.3,10.57,XPAR:OSE,2404
2015-08-14,10.21,10.37,10.2,10.37,XPAR:OSE,5449
2015-08-17,10.37,10.5,10.12,10.12,XPAR:OSE,3553
2015-08-18,10.96,10.96,10.2,10.2,XPAR:OSE,27342
2015-08-19,11.3,11.9,10.78,10.99,XPAR:OSE,143908
2015-08-20,11.13,12.65,11.02,11.5,XPAR:OSE,161604
2015-08-21,11.32,12.38,11.2,11.7,XPAR:OSE,99775
2015-08-24,10.3,10.91,9.63,10.6,XPAR:OSE,73652
2015-08-25,10.2,10.7,10.1,10.59,XPAR:OSE,28202
2015-08-26,9.9,10.4,9.81,10.2,XPAR:OSE,26503
2015-08-27,10.22,10.55,10.0,10.2,XPAR:OSE,20845
2015-08-28,10.33,10.47,10.05,10.22,XPAR:OSE,20753
2015-08-31,10.11,10.59,10.11,10.3,XPAR:OSE,13540
2015-09-01,9.71,10.12,9.69,10.11,XPAR:OSE,20288
2015-09-02,10.25,10.9,10.12,10.35,XPAR:OSE,30705
2015-09-03,10.25,10.49,10.12,10.31,XPAR:OSE,9943
2015-09-04,10.13,10.24,9.9,10.13,XPAR:OSE,7009
2015-09-07,10.04,10.11,9.95,9.96,XPAR:OSE,5192
2015-09-08,9.93,10.08,9.8,9.92,XPAR:OSE,9127
2015-09-09,9.9,10.29,9.87,10.28,XPAR:OSE,19613
2015-09-10,9.86,10.05,9.82,9.9,XPAR:OSE,6522
2015-09-11,9.8,10.1,9.69,9.84,XPAR:OSE,14198
2015-09-14,9.42,9.72,9.2,9.7,XPAR:OSE,13166
2015-09-15,9.47,9.48,9.1,9.41,XPAR:OSE,16181
2015-09-16,9.48,9.48,9.2,9.4,XPAR:OSE,8087
2015-09-17,9.3,9.48,9.05,9.48,XPAR:OSE,4112
2015-09-18,9.3,9.48,9.29,9.3,XPAR:OSE,3011
2015-09-21,9.3,9.43,9.3,9.43,XPAR:OSE,2188
2015-09-22,9.07,9.46,8.93,9.46,XPAR:OSE,9968
2015-09-23,8.93,9.09,8.9,8.93,XPAR:OSE,5084
2015-09-24,9.03,9.05,8.88,8.91,XPAR:OSE,8923
2015-09-25,8.92,9.03,8.89,8.95,XPAR:OSE,5676
2015-09-28,8.88,9.03,8.88,8.92,XPAR:OSE,4543
2015-09-29,8.78,8.92,8.45,8.89,XPAR:OSE,16024
2015-09-30,8.8,8.9,8.6,8.8,XPAR:OSE,12265
2015-10-01,8.41,8.87,8.41,8.6,XPAR:OSE,4390
2015-10-02,8.48,8.63,8.48,8.63,XPAR:OSE,2940
2015-10-05,8.59,8.7,8.4,8.4,XPAR:OSE,5485
2015-10-06,8.56,8.7,8.55,8.69,XPAR:OSE,1971
2015-10-07,8.6,8.69,8.5,8.55,XPAR:OSE,3996
2015-10-08,9.08,9.09,8.61,8.77,XPAR:OSE,7778
2015-10-09,9.41,9.41,9.0,9.3,XPAR:OSE,6997
2015-10-12,9.35,9.59,9.32,9.49,XPAR:OSE,6810
2015-10-13,9.3,9.5,9.15,9.5,XPAR:OSE,3021
2015-10-14,9.09,9.25,8.81,9.25,XPAR:OSE,4046
2015-10-15,8.86,9.07,8.85,8.9,XPAR:OSE,2380
2015-10-16,9.07,9.2,8.91,9.0,XPAR:OSE,1695
2015-10-19,9.22,9.22,9.0,9.2,XPAR:OSE,1958
2015-10-20,9.2,9.2,8.9,8.9,XPAR:OSE,2082
2015-10-21,9.02,9.19,8.8,9.19,XPAR:OSE,2278
2015-10-22,8.93,9.05,8.8,8.83,XPAR:OSE,2219
2015-10-23,9.01,9.2,8.8,8.9,XPAR:OSE,10605
2015-10-26,9.2,9.25,9.0,9.05,XPAR:OSE,3137
2015-10-27,9.11,9.2,9.0,9.2,XPAR:OSE,2561
2015-10-28,8.96,9.09,8.95,9.09,XPAR:OSE,1321
2015-10-29,8.8,8.98,8.8,8.95,XPAR:OSE,2908
2015-10-30,8.71,9.03,8.7,8.8,XPAR:OSE,3015
2015-11-02,9.63,9.79,9.35,9.7,XPAR:OSE,37797
2015-11-03,9.31,9.63,9.3,9.6,XPAR:OSE,9764
2015-11-04,9.05,9.4,9.05,9.4,XPAR:OSE,2037
2015-11-05,9.3,9.37,9.05,9.05,XPAR:OSE,2020
2015-11-06,9.19,9.29,9.04,9.29,XPAR:OSE,1632
2015-11-09,9.01,9.21,9.0,9.21,XPAR:OSE,4881
2015-11-10,9.1,9.19,8.79,9.0,XPAR:OSE,5442
2015-11-11,9.0,9.19,8.89,9.03,XPAR:OSE,3126
2015-11-12,8.91,9.1,8.9,9.1,XPAR:OSE,1582
2015-11-13,8.95,8.95,8.8,8.9,XPAR:OSE,2418
2015-11-16,8.74,9.04,8.71,8.9,XPAR:OSE,2826
2015-11-17,8.86,8.87,8.7,8.7,XPAR:OSE,2187
2015-11-18,8.72,8.89,8.61,8.86,XPAR:OSE,2493
2015-11-19,8.86,8.9,8.52,8.61,XPAR:OSE,5158
2015-11-20,9.17,9.7,8.93,9.6,XPAR:OSE,15369
2015-11-23,9.02,9.48,9.0,9.4,XPAR:OSE,2996
2015-11-24,8.7,9.01,8.63,9.01,XPAR:OSE,3538
2015-11-25,8.6,8.81,8.6,8.7,XPAR:OSE,9211
2015-11-26,8.7,8.79,8.6,8.79,XPAR:OSE,2049
2015-11-27,8.79,8.79,8.6,8.6,XPAR:OSE,2363
2015-11-30,8.75,8.75,8.62,8.7,XPAR:OSE,4316
2015-12-01,8.56,8.67,8.55,8.63,XPAR:OSE,2473
2015-12-02,8.61,8.68,8.51,8.68,XPAR:OSE,2007
2015-12-03,8.58,8.73,8.57,8.65,XPAR:OSE,2744
2015-12-04,8.55,8.73,8.49,8.5,XPAR:OSE,4635
2015-12-07,8.58,8.67,8.4,8.67,XPAR:OSE,7894
2015-12-08,8.5,8.58,8.4,8.58,XPAR:OSE,1775
2015-12-09,8.49,8.5,8.4,8.5,XPAR:OSE,1652
2015-12-10,8.43,8.5,8.12,8.5,XPAR:OSE,3873
2015-12-11,8.01,8.3,7.86,8.0,XPAR:OSE,7006
2015-12-14,8.13,8.19,8.0,8.05,XPAR:OSE,3646
2015-12-15,8.1,8.15,7.92,8.15,XPAR:OSE,6368
2015-12-16,8.1,8.1,7.98,8.09,XPAR:OSE,5824
2015-12-17,8.17,8.17,7.97,8.1,XPAR:OSE,7730
2015-12-18,8.37,8.45,8.21,8.45,XPAR:OSE,9220
2015-12-21,8.43,8.43,8.11,8.3,XPAR:OSE,3737
2015-12-22,8.34,8.35,8.2,8.2,XPAR:OSE,5170
2015-12-23,8.27,8.37,8.2,8.28,XPAR:OSE,4995
2015-12-24,8.44,8.62,8.35,8.44,XPAR:OSE,12195
2015-12-25,8.44,8.44,8.44,8.44,XPAR:OSE,0
2015-12-28,8.68,8.9,8.4,8.4,XPAR:OSE,54312
2015-12-29,8.56,8.73,8.52,8.52,XPAR:OSE,6221
2015-12-30,8.48,8.6,8.47,8.55,XPAR:OSE,4474
2015-12-31,8.47,8.58,8.41,8.5,XPAR:OSE,2556
2016-01-01,8.48,8.48,8.48,8.48,XPAR:OSE,0
2016-01-04,8.17,8.43,8.17,8.41,XPAR:OSE,4939
2016-01-05,8.08,8.1,8.06,8.1,XPAR:OSE,1876
2016-01-06,8.22,8.22,8.08,8.08,XPAR:OSE,3173
2016-01-07,8.31,8.59,8.06,8.59,XPAR:OSE,19259
2016-01-08,8.16,8.37,8.16,8.37,XPAR:OSE,4135
2016-01-11,7.97,8.19,7.94,8.19,XPAR:OSE,9464
2016-01-12,8.08,8.08,7.94,7.97,XPAR:OSE,5597
2016-01-13,8.02,8.12,8.0,8.09,XPAR:OSE,5211
2016-01-14,7.9,8.09,7.86,8.0,XPAR:OSE,4655
2016-01-15,7.31,8.02,7.26,7.9,XPAR:OSE,9114
2016-01-18,6.9,7.38,6.21,7.32,XPAR:OSE,15119
2016-01-19,7.04,7.24,6.76,6.76,XPAR:OSE,5086
2016-01-20,6.32,6.74,6.2,6.58,XPAR:OSE,13946
2016-01-21,6.6,6.66,6.37,6.5,XPAR:OSE,5854
2016-01-22,6.73,6.86,6.66,6.75,XPAR:OSE,6213
2016-01-25,6.84,6.85,6.5,6.78,XPAR:OSE,7422
2016-01-26,6.95,6.95,6.66,6.83,XPAR:OSE,4459
2016-01-27,6.95,6.99,6.83,6.95,XPAR:OSE,3457
2016-01-28,6.73,6.95,6.7,6.9,XPAR:OSE,6440
2016-01-29,6.52,6.95,6.32,6.73,XPAR:OSE,16077
2016-02-01,6.25,6.5,6.2,6.5,XPAR:OSE,16074
2016-02-02,6.15,6.32,6.15,6.27,XPAR:OSE,12952
2016-02-03,5.89,6.3,5.83,6.3,XPAR:OSE,13532
2016-02-04,6.04,6.11,5.91,5.94,XPAR:OSE,17900
2016-02-05,6.59,7.11,6.23,6.23,XPAR:OSE,31691
2016-02-08,6.05,6.69,5.96,6.69,XPAR:OSE,21622
2016-02-09,5.9,6.05,5.7,6.0,XPAR:OSE,16059
2016-02-10,6.62,6.8,6.02,6.25,XPAR:OSE,43341
2016-02-11,6.6,6.84,6.51,6.82,XPAR:OSE,13332
2016-02-12,6.64,6.79,6.5,6.68,XPAR:OSE,17840
2016-02-15,6.9,6.98,6.6,6.8,XPAR:OSE,12648
2016-02-16,6.82,6.85,6.66,6.66,XPAR:OSE,5154
2016-02-17,7.0,7.18,6.83,6.83,XPAR:OSE,9281
2016-02-18,7.02,7.25,6.92,7.17,XPAR:OSE,13299
2016-02-19,6.9,7.19,6.9,7.19,XPAR:OSE,5741
2016-02-22,7.0,7.15,7.0,7.14,XPAR:OSE,3622
2016-02-23,7.8,8.25,7.19,7.19,XPAR:OSE,68559
2016-02-24,7.6,7.91,7.3,7.65,XPAR:OSE,18648
2016-02-25,7.71,8.11,7.68,8.09,XPAR:OSE,31226
2016-02-26,7.99,8.0,7.9,7.97,XPAR:OSE,16796
2016-02-29,7.94,8.02,7.92,8.0,XPAR:OSE,7416
2016-03-01,8.14,8.24,8.0,8.05,XPAR:OSE,11192
2016-03-02,8.05,8.17,8.0,8.17,XPAR:OSE,17738
2016-03-03,8.15,8.18,8.0,8.03,XPAR:OSE,6303
2016-03-04,8.1,8.14,7.99,8.14,XPAR:OSE,9501
2016-03-07,8.02,8.14,8.02,8.1,XPAR:OSE,3081
2016-03-08,8.05,8.14,8.02,8.14,XPAR:OSE,3297
2016-03-09,7.97,8.08,7.91,8.05,XPAR:OSE,3933
2016-03-10,7.79,8.07,7.6,8.02,XPAR:OSE,9141
2016-03-11,7.76,7.8,7.61,7.8,XPAR:OSE,3155
2016-03-14,7.48,7.56,7.2,7.51,XPAR:OSE,12703
2016-03-15,7.52,7.54,7.36,7.36,XPAR:OSE,2188
2016-03-16,7.56,7.63,7.51,7.52,XPAR:OSE,2780
2016-03-17,7.57,7.57,7.1,7.57,XPAR:OSE,4764
2016-03-18,7.49,7.62,7.28,7.6,XPAR:OSE,6046
2016-03-21,7.44,7.5,7.28,7.5,XPAR:OSE,1688
2016-03-22,7.43,7.43,7.3,7.3,XPAR:OSE,2749
2016-03-23,7.34,7.46,7.31,7.44,XPAR:OSE,1102
2016-03-24,7.45,7.45,7.35,7.35,XPAR:OSE,499
2016-03-25,7.45,7.45,7.45,7.45,XPAR:OSE,0
2016-03-28,7.45,7.45,7.45,7.45,XPAR:OSE,0
2016-03-29,7.45,7.45,7.33,7.45,XPAR:OSE,481
2016-03-30,7.59,7.59,7.4,7.45,XPAR:OSE,2919
2016-03-31,7.5,7.51,7.46,7.5,XPAR:OSE,6072
2016-04-01,7.28,7.55,7.18,7.55,XPAR:OSE,2399
2016-04-04,7.04,7.2,6.9,7.2,XPAR:OSE,13002
2016-04-05,7.0,7.1,6.98,7.1,XPAR:OSE,842
2016-04-06,6.99,7.1,6.99,7.1,XPAR:OSE,6688
2016-04-07,7.05,7.15,7.04,7.1,XPAR:OSE,19794
2016-04-08,7.03,7.1,7.03,7.1,XPAR:OSE,9017
2016-04-11,7.1,7.24,7.1,7.2,XPAR:OSE,16329
2016-04-12,7.03,7.18,6.9,7.05,XPAR:OSE,10374
2016-04-13,7.0,7.05,6.92,7.0,XPAR:OSE,5593
2016-04-14,6.94,7.05,6.92,7.05,XPAR:OSE,8432
2016-04-15,6.94,7.08,6.91,6.91,XPAR:OSE,4861
2016-04-18,6.92,7.04,6.91,7.03,XPAR:OSE,11019
2016-04-19,6.94,7.04,6.91,7.04,XPAR:OSE,12455
2016-04-20,6.99,7.0,6.9,6.9,XPAR:OSE,10199
2016-04-21,7.03,7.03,6.91,6.99,XPAR:OSE,7993
2016-04-22,6.98,7.04,6.98,7.04,XPAR:OSE,3008
2016-04-25,6.98,6.98,6.95,6.98,XPAR:OSE,1791
2016-04-26,6.98,6.98,6.89,6.92,XPAR:OSE,4176
2016-04-27,6.93,6.99,6.92,6.92,XPAR:OSE,2210
2016-04-28,6.92,7.0,6.92,6.95,XPAR:OSE,2817
2016-04-29,6.89,6.92,6.89,6.92,XPAR:OSE,4245
2016-05-02,6.92,6.95,6.88,6.89,XPAR:OSE,1068
2016-05-03,6.87,6.92,6.8,6.92,XPAR:OSE,1796
2016-05-04,6.83,6.89,6.73,6.89,XPAR:OSE,1752
2016-05-05,6.64,6.83,6.62,6.83,XPAR:OSE,2774
2016-05-06,6.65,6.79,6.63,6.77,XPAR:OSE,1147
2016-05-09,6.49,6.61,6.46,6.6,XPAR:OSE,5069
2016-05-10,6.46,6.51,6.3,6.47,XPAR:OSE,4328
2016-05-11,6.42,6.6,6.42,6.46,XPAR:OSE,1298
2016-05-12,6.5,6.9,6.46,6.66,XPAR:OSE,10891
2016-05-13,6.6,6.73,6.45,6.58,XPAR:OSE,6759
2016-05-16,6.6,6.61,6.51,6.6,XPAR:OSE,2163
2016-05-17,6.4,6.59,6.4,6.59,XPAR:OSE,3418
2016-05-18,6.41,6.5,6.41,6.49,XPAR:OSE,641
2016-05-19,6.4,6.5,6.4,6.42,XPAR:OSE,4195
2016-05-20,6.38,6.68,6.31,6.66,XPAR:OSE,3524
2016-05-23,6.5,6.6,6.4,6.52,XPAR:OSE,4256
2016-05-24,6.5,6.58,6.5,6.54,XPAR:OSE,1391
2016-05-25,6.6,6.7,6.5,6.52,XPAR:OSE,8760
2016-05-26,6.9,6.9,6.51,6.7,XPAR:OSE,9969
2016-05-27,6.84,7.0,6.84,6.9,XPAR:OSE,12655
2016-05-30,6.91,6.91,6.8,6.8,XPAR:OSE,250
2016-05-31,7.07,7.11,6.9,6.93,XPAR:OSE,12401
2016-06-01,7.0,7.16,6.91,7.05,XPAR:OSE,13247
2016-06-02,7.22,7.27,7.0,7.0,XPAR:OSE,17645
2016-06-03,7.52,7.54,7.19,7.22,XPAR:OSE,24099
2016-06-06,7.47,7.5,7.37,7.5,XPAR:OSE,5275
2016-06-07,7.38,7.46,7.3,7.46,XPAR:OSE,1852
2016-06-08,7.32,7.43,7.2,7.43,XPAR:OSE,4901
2016-06-09,7.26,7.44,7.25,7.35,XPAR:OSE,3556
