Date,Close,High,Low,Open,Symbol,Volume
2005-12-22,68.202,76.2084,66.4229,72.1558,XPAR:PAR,1895
2005-12-23,70.6731,72.1558,68.8939,70.6731,XPAR:PAR,280
2005-12-26,70.6731,72.1558,68.8939,70.6731,XPAR:PAR,0
2005-12-27,71.6616,71.8098,71.1673,71.8098,XPAR:PAR,663
2005-12-28,69.4376,71.5627,69.4376,71.1673,XPAR:PAR,477
2005-12-29,70.426,71.0685,70.2778,71.0685,XPAR:PAR,222
2005-12-30,70.9202,70.9202,70.6731,70.7225,XPAR:PAR,214
2006-01-02,70.1789,70.426,70.1789,70.426,XPAR:PAR,122
2006-01-03,70.3272,70.6731,70.2283,70.2283,XPAR:PAR,55
2006-01-04,70.1789,70.77199999999998,69.6847,70.3766,XPAR:PAR,562
2006-01-05,70.5743,70.5743,70.1789,70.1789,XPAR:PAR,46
2006-01-06,70.2778,70.6237,70.2778,70.4754,XPAR:PAR,174
2006-01-09,70.1789,70.3766,70.1789,70.3766,XPAR:PAR,125
2006-01-10,69.6847,70.2283,69.6847,70.2283,XPAR:PAR,114
2006-01-11,69.6847,69.7341,69.6847,69.7341,XPAR:PAR,54
2006-01-12,69.7835,69.7835,68.4491,69.7341,XPAR:PAR,222
2006-01-13,69.7835,69.7835,68.4986,69.7341,XPAR:PAR,78
2006-01-16,68.4986,69.7341,68.4986,69.7341,XPAR:PAR,23
2006-01-17,69.9318,69.9318,68.4491,68.6963,XPAR:PAR,171
2006-01-18,67.7572,69.9318,67.4607,69.8824,XPAR:PAR,546
2006-01-19,69.1905,69.1905,67.7078,67.8067,XPAR:PAR,102
2006-01-20,69.1905,69.1905,69.1905,69.1905,XPAR:PAR,5
2006-01-23,69.6847,69.6847,67.5101,69.0916,XPAR:PAR,596
2006-01-24,70.0801,70.0801,69.6847,69.6847,XPAR:PAR,251
2006-01-25,70.426,70.426,69.6847,70.0801,XPAR:PAR,274
2006-01-26,70.1789,70.426,70.1789,70.426,XPAR:PAR,51
2006-01-27,69.2399,69.2399,69.2399,69.2399,XPAR:PAR,19
2006-01-30,69.6847,69.6847,69.3387,69.3387,XPAR:PAR,208
