Date,Close,High,Low,Open,Symbol,Volume
2006-06-28,23.45,23.5,22.5,23.5,XPAR:PARRO,378843
2006-06-29,23.1,23.45,23.0,23.45,XPAR:PARRO,45059
2006-06-30,23.5,23.6,23.05,23.05,XPAR:PARRO,32785
2006-07-03,23.41,23.68,23.4,23.68,XPAR:PARRO,23844
2006-07-04,23.3,23.5,23.15,23.15,XPAR:PARRO,19002
2006-07-05,23.48,23.5,23.15,23.3,XPAR:PARRO,21035
2006-07-06,23.45,23.6,23.15,23.4,XPAR:PARRO,8638
2006-07-07,23.6,23.64,23.15,23.5,XPAR:PARRO,15154
2006-07-10,23.6,23.6,23.6,23.6,XPAR:PARRO,1644
2006-07-11,23.2,23.6,23.2,23.6,XPAR:PARRO,1330
2006-07-12,23.59,23.59,23.01,23.05,XPAR:PARRO,6255
2006-07-13,23.8,23.8,23.6,23.6,XPAR:PARRO,5092
2006-07-14,24.5,24.67,24.0,24.67,XPAR:PARRO,310
2006-07-17,26.5,26.95,24.0,24.0,XPAR:PARRO,4328
2006-07-18,27.74,32.06,26.5,26.5,XPAR:PARRO,4347
2006-07-19,26.5,27.97,26.5,27.97,XPAR:PARRO,4803
2006-07-20,25.5,26.5,24.5,26.5,XPAR:PARRO,21761
2006-07-21,24.5,25.0,24.5,24.5,XPAR:PARRO,32564
2006-07-24,25.25,25.5,25.25,25.5,XPAR:PARRO,5129
2006-07-25,25.5,25.5,24.01,25.5,XPAR:PARRO,22007
2006-07-26,25.5,25.5,25.0,25.5,XPAR:PARRO,36983
2006-07-27,25.0,25.5,25.0,25.5,XPAR:PARRO,7754
2006-07-28,24.51,25.0,24.51,25.0,XPAR:PARRO,486
2006-07-31,25.0,25.0,25.0,25.0,XPAR:PARRO,406
2006-08-01,25.5,25.5,24.5,24.5,XPAR:PARRO,5106
2006-08-02,25.49,25.5,24.52,25.5,XPAR:PARRO,374
2006-08-03,25.75,26.5,25.5,25.5,XPAR:PARRO,35158
2006-08-04,25.9,26.0,25.75,25.75,XPAR:PARRO,29305
2006-08-07,25.8,26.0,25.75,25.8,XPAR:PARRO,6001
2006-08-08,25.8,26.0,25.75,26.0,XPAR:PARRO,336
2006-08-09,25.75,26.0,25.75,25.8,XPAR:PARRO,1379
2006-08-10,25.75,25.8,25.75,25.8,XPAR:PARRO,19482
2006-08-11,25.8,25.8,25.0,25.0,XPAR:PARRO,1298
2006-08-14,25.95,26.0,25.9,26.0,XPAR:PARRO,574
2006-08-15,25.95,25.95,25.95,25.95,XPAR:PARRO,195
2006-08-16,25.8,25.86,25.5,25.86,XPAR:PARRO,530
2006-08-17,25.2,25.8,25.2,25.8,XPAR:PARRO,1736
2006-08-18,24.99,25.25,24.01,25.25,XPAR:PARRO,6149
2006-08-21,24.98,24.99,24.02,24.8,XPAR:PARRO,1318
2006-08-22,24.97,24.98,24.97,24.98,XPAR:PARRO,135
2006-08-23,25.0,25.0,24.11,24.11,XPAR:PARRO,1894
2006-08-24,25.0,25.0,24.55,24.55,XPAR:PARRO,202
2006-08-25,25.0,25.6,24.3,25.48,XPAR:PARRO,736
2006-08-28,25.0,25.4,24.9,25.0,XPAR:PARRO,1677
2006-08-29,25.0,25.0,25.0,25.0,XPAR:PARRO,500
2006-08-30,25.4,25.4,25.0,25.0,XPAR:PARRO,4051
2006-08-31,25.5,25.55,24.56,25.4,XPAR:PARRO,3836
2006-09-01,25.59,25.9,24.62,25.9,XPAR:PARRO,421
2006-09-04,25.6,25.6,25.6,25.6,XPAR:PARRO,11
2006-09-05,24.83,25.4,24.83,25.3,XPAR:PARRO,7525
2006-09-06,25.6,25.95,25.6,25.64,XPAR:PARRO,5450
2006-09-07,25.3,26.0,25.3,26.0,XPAR:PARRO,8341
2006-09-08,24.5,25.45,24.5,25.4,XPAR:PARRO,5777
2006-09-11,25.0,25.0,25.0,25.0,XPAR:PARRO,11425
2006-09-12,24.3,25.0,24.3,25.0,XPAR:PARRO,715
2006-09-13,24.2,24.75,24.16,24.3,XPAR:PARRO,3658
2006-09-14,25.45,25.45,24.5,24.5,XPAR:PARRO,22489
2006-09-15,27.0,28.0,25.5,25.5,XPAR:PARRO,138557
2006-09-18,27.48,27.5,26.5,27.5,XPAR:PARRO,93058
2006-09-19,27.95,27.98,27.4,27.8,XPAR:PARRO,8919
2006-09-20,27.3,27.95,27.0,27.95,XPAR:PARRO,24701
2006-09-21,27.85,28.5,27.7,27.89,XPAR:PARRO,34404
2006-09-22,27.27,27.8,27.27,27.8,XPAR:PARRO,11847
2006-09-25,27.74,28.4,27.0,27.3,XPAR:PARRO,2110
2006-09-26,27.5,28.0,27.5,27.95,XPAR:PARRO,10217
2006-09-27,27.8,28.0,27.6,28.0,XPAR:PARRO,1837
2006-09-28,27.95,27.95,27.8,27.8,XPAR:PARRO,1021
2006-09-29,27.6,27.8,27.6,27.8,XPAR:PARRO,2338
2006-10-02,27.31,27.6,27.31,27.6,XPAR:PARRO,2417
2006-10-03,27.1,27.5,27.1,27.5,XPAR:PARRO,3241
2006-10-04,27.0,27.4,27.0,27.4,XPAR:PARRO,14932
2006-10-05,27.0,27.3,26.8,27.0,XPAR:PARRO,8536
2006-10-06,26.8,27.2,26.8,26.84,XPAR:PARRO,19068
2006-10-09,26.91,27.0,26.3,26.3,XPAR:PARRO,10254
2006-10-10,26.89,27.0,26.8,26.81,XPAR:PARRO,3023
2006-10-11,27.0,27.4,26.8,27.4,XPAR:PARRO,9411
