Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,5.2975,5.2975,5.2975,5.2975,XPAR:PERR,280
2000-01-04,5.25,5.25,5.25,5.25,XPAR:PERR,24
2000-01-05,5.125,5.25,5.125,5.25,XPAR:PERR,1040
2000-01-06,5.125,5.125,5.125,5.125,XPAR:PERR,64
2000-01-07,5.125,5.125,5.0,5.0,XPAR:PERR,1632
2000-01-10,5.25,5.25,5.25,5.25,XPAR:PERR,1472
2000-01-11,5.125,5.125,5.125,5.125,XPAR:PERR,448
2000-01-12,5.125,5.125,5.03,5.03,XPAR:PERR,816
2000-01-13,5.2375,5.2375,5.125,5.125,XPAR:PERR,1600
2000-01-14,5.235,5.235,5.235,5.235,XPAR:PERR,800
2000-01-17,5.25,5.25,5.25,5.25,XPAR:PERR,2032
2000-01-18,5.1375,5.225,5.1375,5.225,XPAR:PERR,1912
2000-01-19,5.1375,5.1375,5.1375,5.1375,XPAR:PERR,2440
2000-01-20,5.1375,5.1375,5.1375,5.1375,XPAR:PERR,1600
2000-01-21,5.25,5.25,5.0,5.0,XPAR:PERR,4840
2000-01-24,5.395,5.395,5.375,5.375,XPAR:PERR,3911
2000-01-25,5.75,5.75,5.6375,5.6375,XPAR:PERR,6096
2000-01-26,5.6375,5.6375,5.6375,5.6375,XPAR:PERR,3112
2000-01-27,5.6375,5.6375,5.6125,5.6125,XPAR:PERR,3392
2000-01-28,5.75,5.75,5.6375,5.6375,XPAR:PERR,3720
2000-01-31,5.6375,5.65,5.6375,5.65,XPAR:PERR,272
2000-02-01,5.5,5.5,5.5,5.5,XPAR:PERR,2232
2000-02-02,5.475,5.475,5.475,5.475,XPAR:PERR,1648
2000-02-03,5.475,5.5,5.475,5.5,XPAR:PERR,888
2000-02-04,5.475,5.475,5.25,5.25,XPAR:PERR,4752
2000-02-07,5.5125,5.6,5.5125,5.6,XPAR:PERR,1296
2000-02-08,5.5875,5.5875,5.475,5.475,XPAR:PERR,688
2000-02-09,5.25,5.25,5.25,5.25,XPAR:PERR,1600
2000-02-10,5.275,5.275,5.275,5.275,XPAR:PERR,64
2000-02-11,5.395,5.4875,5.395,5.4875,XPAR:PERR,1696
2000-02-14,5.6,5.6,5.6,5.6,XPAR:PERR,80
2000-02-15,5.625,5.625,5.625,5.625,XPAR:PERR,9192
2000-02-16,5.62,5.62,5.62,5.62,XPAR:PERR,2256
2000-02-17,5.4375,5.555,5.4375,5.555,XPAR:PERR,2144
2000-02-18,5.4375,5.4375,5.4375,5.4375,XPAR:PERR,14000
2000-02-21,5.55,5.55,5.55,5.55,XPAR:PERR,880
2000-02-22,5.75,5.75,5.725,5.725,XPAR:PERR,8352
2000-02-23,6.25,6.25,6.0,6.0,XPAR:PERR,6568
2000-02-24,6.73,6.73,6.5625,6.5625,XPAR:PERR,5208
2000-02-25,7.0625,7.0625,7.0625,7.0625,XPAR:PERR,27216
2000-02-28,7.4125,7.4125,7.4125,7.4125,XPAR:PERR,42512
