Date,Close,High,Low,Open,Symbol,Volume
2001-09-03,40.7,40.775,40.7,40.75,XPAR:PGP,3104
2001-09-04,42.525,42.525,41.05,41.05,XPAR:PGP,5546
2001-09-05,42.75,42.75,42.225,42.525,XPAR:PGP,13776
2001-09-06,42.3,42.9,42.225,42.75,XPAR:PGP,2072
2001-09-07,41.25,42.25,41.25,42.0,XPAR:PGP,3746
2001-09-10,40.975,41.075,40.575,41.075,XPAR:PGP,1836
2001-09-11,40.0,41.3,38.5,41.25,XPAR:PGP,3306
2001-09-12,40.0,41.3,38.5,41.25,XPAR:PGP,0
2001-09-13,36.2,39.5,36.2,39.5,XPAR:PGP,0
2001-09-14,36.2,39.5,36.2,39.5,XPAR:PGP,0
2001-09-17,39.375,39.75,37.0,37.0,XPAR:PGP,1276
2001-09-18,39.675,40.25,39.575,39.65,XPAR:PGP,2180
2001-09-19,40.425,40.5,40.1,40.1,XPAR:PGP,764
2001-09-20,39.5,39.95,39.5,39.75,XPAR:PGP,3996
2001-09-21,37.3,39.5,37.3,39.5,XPAR:PGP,8872
2001-09-24,38.125,38.125,36.475,36.475,XPAR:PGP,6748
2001-09-25,38.025,38.025,37.475,37.475,XPAR:PGP,900
2001-09-26,38.65,38.65,38.4,38.4,XPAR:PGP,636
2001-09-27,39.0,39.0,38.425,38.675,XPAR:PGP,806
2001-09-28,39.0,39.0,38.425,38.675,XPAR:PGP,0
2001-10-01,39.8,40.0,39.8,40.0,XPAR:PGP,2160
2001-10-02,39.725,39.725,39.075,39.45,XPAR:PGP,10030
2001-10-03,39.15,39.65,39.15,39.45,XPAR:PGP,6028
2001-10-04,39.075,40.075,39.075,40.0,XPAR:PGP,4003
2001-10-05,38.6,38.975,38.375,38.975,XPAR:PGP,5020
2001-10-08,39.625,39.625,38.9,38.9,XPAR:PGP,1522
2001-10-09,39.95,39.95,39.15,39.25,XPAR:PGP,344
2001-10-10,40.0,40.0,39.45,39.7,XPAR:PGP,2148
2001-10-11,40.875,40.875,40.15,40.175,XPAR:PGP,4180
2001-10-12,39.925,40.225,39.925,40.175,XPAR:PGP,522
