Date,Close,High,Low,Open,Symbol,Volume
2015-02-06,7.19,7.19,6.53,6.66,XPAR:POXEL,185692
2015-02-09,11.5,12.2,7.18,7.3,XPAR:POXEL,1419348
2015-02-10,15.26,17.3,12.02,12.5,XPAR:POXEL,2182897
2015-02-11,12.74,17.74,12.04,17.0,XPAR:POXEL,1298436
2015-02-12,13.63,14.36,12.2,12.68,XPAR:POXEL,365825
2015-02-13,13.28,13.76,12.7,13.68,XPAR:POXEL,122584
2015-02-16,12.4,13.2,11.8,13.2,XPAR:POXEL,156872
2015-02-17,13.8,13.86,11.9,12.1,XPAR:POXEL,209825
2015-02-18,12.9,13.87,12.85,13.87,XPAR:POXEL,128507
2015-02-19,12.8,13.37,12.7,13.09,XPAR:POXEL,47891
2015-02-20,12.27,12.94,12.05,12.71,XPAR:POXEL,62397
2015-02-23,11.65,12.14,11.62,12.13,XPAR:POXEL,98731
2015-02-24,10.9,11.5,10.85,11.36,XPAR:POXEL,92963
2015-02-25,11.99,12.14,10.8,10.9,XPAR:POXEL,121151
2015-02-26,11.72,12.12,11.43,12.0,XPAR:POXEL,45691
2015-02-27,11.37,11.69,11.32,11.45,XPAR:POXEL,27534
2015-03-02,11.05,11.72,10.93,11.25,XPAR:POXEL,38792
2015-03-03,10.9,11.25,10.8,10.8,XPAR:POXEL,23110
2015-03-04,10.84,11.12,10.81,11.1,XPAR:POXEL,21438
2015-03-05,12.51,12.66,10.88,11.05,XPAR:POXEL,161490
2015-03-06,13.18,13.64,12.1,12.48,XPAR:POXEL,220336
2015-03-09,14.17,14.36,13.2,13.65,XPAR:POXEL,159399
2015-03-10,13.36,14.39,13.14,14.39,XPAR:POXEL,84351
2015-03-11,13.04,13.6,13.0,13.2,XPAR:POXEL,40031
2015-03-12,12.92,13.32,12.9,13.04,XPAR:POXEL,29881
2015-03-13,12.12,13.3,11.89,13.2,XPAR:POXEL,73338
2015-03-16,12.2,12.5,11.8,12.1,XPAR:POXEL,18916
2015-03-17,11.98,12.2,11.8,12.07,XPAR:POXEL,24352
2015-03-18,11.34,11.99,11.3,11.99,XPAR:POXEL,46579
2015-03-19,11.65,12.1,11.5,11.6,XPAR:POXEL,19102
