Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,3.2,3.2,3.2,3.2,XPAR:PVL,40
2000-01-04,3.2,3.25,3.1375,3.25,XPAR:PVL,1432
2000-01-05,3.125,3.1375,3.125,3.1375,XPAR:PVL,2280
2000-01-06,3.125,3.125,3.1212,3.1212,XPAR:PVL,200
2000-01-07,3.0625,3.125,3.0625,3.125,XPAR:PVL,36480
2000-01-10,3.145,3.145,3.0625,3.0625,XPAR:PVL,2016
2000-01-11,3.075,3.1375,3.0625,3.1375,XPAR:PVL,3248
2000-01-12,3.07,3.15,3.07,3.15,XPAR:PVL,520
2000-01-13,3.075,3.075,3.075,3.075,XPAR:PVL,40
2000-01-14,3.125,3.125,3.125,3.125,XPAR:PVL,160
2000-01-17,3.0688,3.125,3.0625,3.125,XPAR:PVL,2920
2000-01-18,3.1,3.1,3.05,3.0625,XPAR:PVL,3952
2000-01-19,3.205,3.205,3.0625,3.1062,XPAR:PVL,14392
2000-01-20,3.14,3.225,3.0625,3.225,XPAR:PVL,1288
2000-01-21,3.05,3.1263,3.05,3.1263,XPAR:PVL,1184
2000-01-24,3.2,3.2,3.05,3.05,XPAR:PVL,7232
2000-01-25,3.0938,3.25,3.0938,3.1188,XPAR:PVL,12560
2000-01-26,3.0088,3.1125,3.0088,3.015,XPAR:PVL,8760
2000-01-27,3.26,3.3175,3.1062,3.1062,XPAR:PVL,64575
2000-01-28,3.2875,3.3625,3.2625,3.3125,XPAR:PVL,232144
2000-01-31,3.4188,3.4512,3.3062,3.4375,XPAR:PVL,218880
2000-02-01,3.375,3.4375,3.375,3.4125,XPAR:PVL,116264
2000-02-02,3.435,3.435,3.375,3.375,XPAR:PVL,44480
2000-02-03,3.75,3.75,3.45,3.475,XPAR:PVL,115872
2000-02-04,4.1125,4.1238,3.995,4.0375,XPAR:PVL,117080
2000-02-07,4.1875,4.2938,4.0625,4.25,XPAR:PVL,208672
2000-02-08,4.5625,4.5738,4.175,4.25,XPAR:PVL,87648
2000-02-09,4.9625,4.9812,4.8125,4.875,XPAR:PVL,100192
2000-02-10,4.625,4.8875,4.5,4.8362,XPAR:PVL,50544
2000-02-11,4.3725,4.5,4.25,4.3825,XPAR:PVL,70624
2000-02-14,4.2375,4.36,4.225,4.3,XPAR:PVL,34992
2000-02-15,4.345,4.36,4.175,4.2375,XPAR:PVL,31320
2000-02-16,4.3488,4.3562,4.1375,4.3562,XPAR:PVL,24152
2000-02-17,4.235,4.275,4.1325,4.225,XPAR:PVL,17536
2000-02-18,4.2462,4.2462,4.125,4.1312,XPAR:PVL,28928
2000-02-21,4.0,4.1375,4.0,4.1375,XPAR:PVL,25672
2000-02-22,3.9,4.1662,3.9,4.1025,XPAR:PVL,7480
2000-02-23,4.0925,4.1662,4.0,4.0,XPAR:PVL,3112
2000-02-24,4.2938,4.2938,4.0,4.175,XPAR:PVL,33248
2000-02-25,4.0938,4.3112,4.0938,4.3112,XPAR:PVL,12576
2000-02-28,3.875,3.9888,3.875,3.9888,XPAR:PVL,10384
2000-02-29,3.9938,3.9938,3.7812,3.875,XPAR:PVL,7920
2000-03-01,3.7625,3.9738,3.7625,3.8925,XPAR:PVL,5144
2000-03-02,3.7625,3.865,3.7625,3.825,XPAR:PVL,8536
2000-03-03,3.625,3.6662,3.5875,3.6662,XPAR:PVL,11488
2000-03-06,3.5375,3.675,3.5375,3.625,XPAR:PVL,17312
2000-03-07,3.45,3.625,3.45,3.5,XPAR:PVL,16744
2000-03-08,3.705,3.705,3.3625,3.3625,XPAR:PVL,11216
2000-03-09,3.875,3.9738,3.7438,3.7438,XPAR:PVL,7464
2000-03-10,3.75,3.9375,3.75,3.9375,XPAR:PVL,8031
2000-03-13,3.75,3.875,3.75,3.8462,XPAR:PVL,9368
2000-03-14,3.625,3.8125,3.625,3.8125,XPAR:PVL,2760
2000-03-15,3.4375,3.6025,3.375,3.5325,XPAR:PVL,12936
2000-03-16,3.4,3.435,3.3312,3.3812,XPAR:PVL,22432
2000-03-17,3.7475,3.7475,3.4862,3.4862,XPAR:PVL,7304
2000-03-20,3.875,4.0,3.875,4.0,XPAR:PVL,20264
2000-03-21,3.5062,3.825,3.5062,3.7762,XPAR:PVL,11544
2000-03-22,3.4375,3.5688,3.4375,3.4375,XPAR:PVL,27320
2000-03-23,3.375,3.5,3.375,3.5,XPAR:PVL,5672
2000-03-24,3.3875,3.3875,3.325,3.3625,XPAR:PVL,7096
2000-03-27,3.5,3.5,3.4738,3.4738,XPAR:PVL,640
2000-03-28,3.4375,3.5812,3.4375,3.4625,XPAR:PVL,26152
2000-03-29,3.4375,3.5562,3.4375,3.4375,XPAR:PVL,16480
2000-03-30,3.3125,3.4375,3.3125,3.43,XPAR:PVL,10232
2000-03-31,3.2688,3.2688,3.1875,3.1875,XPAR:PVL,13032
2000-04-03,3.25,3.3125,3.25,3.275,XPAR:PVL,16928
2000-04-04,3.2525,3.3375,3.25,3.3,XPAR:PVL,10568
2000-04-05,3.32,3.41,3.2375,3.25,XPAR:PVL,22672
2000-04-06,3.4188,3.4375,3.3075,3.3125,XPAR:PVL,11992
2000-04-07,3.4375,3.4375,3.2888,3.375,XPAR:PVL,3312
2000-04-10,3.35,3.375,3.35,3.35,XPAR:PVL,984
2000-04-11,3.4125,3.4125,3.35,3.35,XPAR:PVL,1120
2000-04-12,3.25,3.3688,3.25,3.3462,XPAR:PVL,1400
2000-04-13,3.1875,3.2375,3.1838,3.1838,XPAR:PVL,1240
2000-04-14,3.2,3.2375,3.1838,3.1938,XPAR:PVL,1520
2000-04-17,3.0625,3.1275,3.0438,3.1188,XPAR:PVL,17304
2000-04-18,3.0625,3.0625,3.0625,3.0625,XPAR:PVL,8128
2000-04-19,3.1175,3.2,3.0625,3.0625,XPAR:PVL,23824
2000-04-20,3.3,3.3538,3.1875,3.1875,XPAR:PVL,27016
2000-04-21,3.3,3.3,3.3,3.3,XPAR:PVL,0
2000-04-24,3.3,3.3,3.3,3.3,XPAR:PVL,0
2000-04-25,3.3625,3.4375,3.2625,3.2625,XPAR:PVL,29632
2000-04-26,3.6125,3.6788,3.375,3.375,XPAR:PVL,13184
2000-04-27,3.7625,3.9812,3.5875,3.5875,XPAR:PVL,111464
2000-04-28,3.9438,3.9738,3.775,3.8588,XPAR:PVL,8824
2000-05-01,3.9438,3.9438,3.9438,3.9438,XPAR:PVL,0
2000-05-02,4.05,4.0625,3.9575,4.0,XPAR:PVL,20208
2000-05-03,4.0625,4.0625,4.0488,4.05,XPAR:PVL,24424
2000-05-04,4.0625,4.0625,3.9588,4.0,XPAR:PVL,11104
2000-05-05,4.1875,4.25,3.9625,4.0625,XPAR:PVL,27384
2000-05-08,4.2688,4.2875,4.1788,4.2875,XPAR:PVL,180624
2000-05-09,4.25,4.25,4.14,4.16,XPAR:PVL,13712
2000-05-10,4.2875,4.2875,4.1412,4.2,XPAR:PVL,14416
2000-05-11,4.2875,4.2875,4.1812,4.1812,XPAR:PVL,14792
2000-05-12,4.25,4.25,3.875,4.1788,XPAR:PVL,333616
2000-05-15,4.275,4.375,4.2,4.2438,XPAR:PVL,40176
2000-05-16,4.22,4.2812,4.215,4.2812,XPAR:PVL,2960
2000-05-17,4.375,4.375,4.1925,4.1925,XPAR:PVL,27328
2000-05-18,4.375,4.375,4.1562,4.3125,XPAR:PVL,43792
2000-05-19,4.375,4.4875,4.1812,4.2638,XPAR:PVL,39280
2000-05-22,4.1175,4.3125,4.1175,4.2638,XPAR:PVL,5424
2000-05-23,3.9088,4.115,3.9088,4.0125,XPAR:PVL,2920
2000-05-24,3.8375,3.9375,3.715,3.9125,XPAR:PVL,4320
2000-05-25,3.8462,3.8462,3.7,3.7412,XPAR:PVL,9128
2000-05-26,4.0,4.0375,3.835,3.8375,XPAR:PVL,6064
2000-05-29,4.25,4.25,4.0,4.0,XPAR:PVL,6216
2000-05-30,4.375,4.425,4.25,4.25,XPAR:PVL,23184
2000-05-31,4.5,4.5,4.375,4.375,XPAR:PVL,28272
2000-06-01,4.5625,4.5625,4.3375,4.5125,XPAR:PVL,12456
2000-06-02,4.7875,4.7875,4.5,4.5,XPAR:PVL,33080
2000-06-05,4.75,4.8125,4.625,4.7875,XPAR:PVL,17632
2000-06-06,4.5625,4.75,4.5625,4.75,XPAR:PVL,12848
2000-06-07,4.5,4.6125,4.5,4.5062,XPAR:PVL,7344
2000-06-08,4.6062,4.725,4.5062,4.7,XPAR:PVL,9600
2000-06-09,4.75,4.75,4.5688,4.6188,XPAR:PVL,7184
2000-06-12,4.75,4.75,4.75,4.75,XPAR:PVL,0
2000-06-13,4.5,4.615,4.5,4.5,XPAR:PVL,2192
2000-06-14,4.3812,4.6125,4.3812,4.5,XPAR:PVL,25024
2000-06-15,4.5625,4.5625,4.3938,4.3938,XPAR:PVL,5432
2000-06-16,4.4988,4.625,4.3925,4.4875,XPAR:PVL,5624
2000-06-19,4.375,4.375,4.3125,4.3125,XPAR:PVL,800
2000-06-20,4.1875,4.35,4.125,4.35,XPAR:PVL,4608
2000-06-21,4.1662,4.1875,4.0625,4.1875,XPAR:PVL,4176
2000-06-22,4.2,4.275,4.1412,4.25,XPAR:PVL,25240
2000-06-23,4.375,4.375,4.1938,4.1938,XPAR:PVL,3983
2000-06-26,4.3988,4.4125,4.3125,4.375,XPAR:PVL,3304
2000-06-27,4.3875,4.6,4.3875,4.3875,XPAR:PVL,15959
2000-06-28,4.5,4.5062,4.4025,4.4062,XPAR:PVL,7896
2000-06-29,4.45,4.625,4.3875,4.615,XPAR:PVL,14424
2000-06-30,4.375,4.3875,4.3125,4.3875,XPAR:PVL,24232
