Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,70.0,72.1,69.0,72.1,XPAR:RAL,2100
2000-01-04,67.5,70.0,65.25,70.0,XPAR:RAL,10200
2000-01-05,65.1,67.0,65.1,65.3,XPAR:RAL,9000
2000-01-06,66.0,66.45,65.0,66.45,XPAR:RAL,12400
2000-01-07,66.4,67.0,65.0,65.0,XPAR:RAL,10400
2000-01-10,63.8,67.4,63.5,67.0,XPAR:RAL,27400
2000-01-11,63.5,65.9,62.5,65.4,XPAR:RAL,38500
2000-01-12,65.5,66.7,62.3,63.6,XPAR:RAL,40400
2000-01-13,63.1,65.85,63.0,65.85,XPAR:RAL,34100
2000-01-14,62.95,65.0,60.5,65.0,XPAR:RAL,29800
2000-01-17,63.8,63.8,60.6,62.5,XPAR:RAL,10600
2000-01-18,63.0,64.5,60.45,64.5,XPAR:RAL,20000
2000-01-19,61.0,62.0,58.55,61.0,XPAR:RAL,24000
2000-01-20,63.0,63.8,59.7,62.35,XPAR:RAL,38000
2000-01-21,63.0,63.85,62.0,63.4,XPAR:RAL,35300
2000-01-24,62.5,63.7,60.1,63.7,XPAR:RAL,5700
2000-01-25,59.0,60.9,58.5,60.0,XPAR:RAL,25200
2000-01-26,58.45,59.95,56.0,59.5,XPAR:RAL,32900
2000-01-27,56.6,59.0,56.5,59.0,XPAR:RAL,9700
2000-01-28,58.1,58.8,57.0,57.0,XPAR:RAL,3600
2000-01-31,57.0,59.0,57.0,59.0,XPAR:RAL,12600
2000-02-01,61.0,62.7,59.4,60.0,XPAR:RAL,75000
2000-02-02,63.6,64.9,60.5,61.0,XPAR:RAL,45300
2000-02-03,65.0,65.1,63.4,63.4,XPAR:RAL,25500
2000-02-04,65.8,65.8,63.7,64.75,XPAR:RAL,10600
2000-02-07,66.5,66.8,64.0,65.5,XPAR:RAL,13200
2000-02-08,64.6,66.0,63.6,66.0,XPAR:RAL,10900
2000-02-09,63.3,64.1,61.0,63.6,XPAR:RAL,39000
2000-02-10,62.0,63.3,60.75,63.3,XPAR:RAL,43600
2000-02-11,60.4,62.9,60.4,60.7,XPAR:RAL,3800
2000-02-14,59.35,62.7,59.3,60.4,XPAR:RAL,1900
2000-02-15,58.0,61.9,58.0,61.9,XPAR:RAL,4800
2000-02-16,58.8,60.7,57.5,57.5,XPAR:RAL,12900
2000-02-17,58.1,59.0,57.6,59.0,XPAR:RAL,6500
2000-02-18,57.05,59.4,57.05,58.2,XPAR:RAL,10400
2000-02-21,55.9,58.8,55.0,58.8,XPAR:RAL,28100
2000-02-22,53.0,56.4,52.0,55.1,XPAR:RAL,29800
2000-02-23,55.6,56.0,52.0,52.0,XPAR:RAL,13600
2000-02-24,56.1,56.2,53.4,56.1,XPAR:RAL,7600
2000-02-25,54.55,56.1,54.55,56.1,XPAR:RAL,3600
2000-02-28,54.65,55.9,54.6,55.9,XPAR:RAL,5100
2000-02-29,56.2,59.0,55.15,55.9,XPAR:RAL,37500
2000-03-01,56.9,57.0,55.15,55.15,XPAR:RAL,22000
