Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,22.21,22.8,21.5,22.78,XPAR:RCO,12517
2000-01-04,22.5,22.5,21.65,21.72,XPAR:RCO,16927
2000-01-05,22.09,22.11,21.34,21.5,XPAR:RCO,28839
2000-01-06,21.87,22.12,21.81,22.0,XPAR:RCO,13943
2000-01-07,22.0,22.4,21.91,22.0,XPAR:RCO,24608
2000-01-10,22.01,22.48,21.87,22.4,XPAR:RCO,26209
2000-01-11,22.0,22.4,22.0,22.4,XPAR:RCO,34165
2000-01-12,22.0,22.2,22.0,22.0,XPAR:RCO,93808
2000-01-13,21.65,22.14,21.2,22.0,XPAR:RCO,34017
2000-01-14,21.21,22.0,21.19,22.0,XPAR:RCO,15972
2000-01-17,22.59,22.59,21.2,21.25,XPAR:RCO,69910
2000-01-18,23.11,23.6,22.76,22.76,XPAR:RCO,94114
2000-01-19,22.7,23.4,22.2,23.3,XPAR:RCO,50666
2000-01-20,22.7,23.05,22.38,22.85,XPAR:RCO,39693
2000-01-21,23.4,23.45,21.75,22.26,XPAR:RCO,88749
2000-01-24,23.2,23.4,23.0,23.4,XPAR:RCO,51272
2000-01-25,22.8,23.17,22.71,23.01,XPAR:RCO,10553
2000-01-26,22.85,23.0,22.5,22.75,XPAR:RCO,6536
2000-01-27,22.9,23.0,22.2,22.85,XPAR:RCO,17828
2000-01-28,23.49,23.5,22.5,22.95,XPAR:RCO,55591
2000-01-31,23.43,23.48,22.56,23.48,XPAR:RCO,23027
2000-02-01,22.87,23.4,22.7,22.71,XPAR:RCO,47031
2000-02-02,23.45,23.45,22.2,22.2,XPAR:RCO,38044
2000-02-03,22.2,23.48,22.2,23.0,XPAR:RCO,46198
2000-02-04,21.0,22.8,21.0,22.41,XPAR:RCO,45316
2000-02-07,21.1,22.0,21.1,21.5,XPAR:RCO,52691
2000-02-08,21.2,21.5,20.12,21.0,XPAR:RCO,21852
2000-02-09,20.5,21.24,20.11,20.11,XPAR:RCO,35213
2000-02-10,20.75,21.18,20.11,20.11,XPAR:RCO,48223
2000-02-11,20.89,20.9,20.35,20.7,XPAR:RCO,11923
2000-02-14,20.51,20.97,20.15,20.15,XPAR:RCO,30183
2000-02-15,20.9,21.0,20.2,20.2,XPAR:RCO,29665
2000-02-16,21.0,21.15,20.52,20.52,XPAR:RCO,46206
2000-02-17,21.0,21.0,20.3,20.9,XPAR:RCO,22506
2000-02-18,20.9,20.9,20.31,20.73,XPAR:RCO,16761
2000-02-21,21.0,21.0,18.83,20.2,XPAR:RCO,53710
2000-02-22,20.88,20.88,19.11,19.11,XPAR:RCO,21933
2000-02-23,21.0,21.19,20.26,21.19,XPAR:RCO,18918
2000-02-24,21.08,21.2,20.6,21.0,XPAR:RCO,7837
2000-02-25,21.4,21.4,20.55,20.55,XPAR:RCO,13820
2000-02-28,21.3,21.44,20.2,20.56,XPAR:RCO,16975
2000-02-29,22.0,22.0,20.72,20.72,XPAR:RCO,27082
2000-03-01,22.44,22.5,21.1,22.0,XPAR:RCO,43511
2000-03-02,22.34,22.39,21.6,21.6,XPAR:RCO,29710
2000-03-03,22.23,22.29,21.75,22.28,XPAR:RCO,15293
2000-03-06,21.49,21.97,20.52,20.52,XPAR:RCO,10530
2000-03-07,21.0,21.2,20.6,20.6,XPAR:RCO,29309
2000-03-08,21.18,21.3,20.6,21.3,XPAR:RCO,5169
2000-03-09,20.99,21.29,20.44,21.01,XPAR:RCO,11477
2000-03-10,21.0,21.0,20.19,20.6,XPAR:RCO,13933
2000-03-13,20.5,20.85,20.05,20.06,XPAR:RCO,17572
2000-03-14,20.45,20.55,20.2,20.55,XPAR:RCO,9342
2000-03-15,20.0,20.5,19.89,20.5,XPAR:RCO,22927
2000-03-16,19.8,20.0,19.35,19.8,XPAR:RCO,28948
2000-03-17,20.25,20.25,19.5,19.6,XPAR:RCO,73737
2000-03-20,19.5,20.1,19.37,20.1,XPAR:RCO,25650
2000-03-21,19.18,19.18,18.8,19.18,XPAR:RCO,58637
2000-03-22,19.1,19.1,18.8,18.8,XPAR:RCO,13639
2000-03-23,19.29,19.29,18.84,19.0,XPAR:RCO,27175
2000-03-24,20.0,20.0,18.87,19.18,XPAR:RCO,19749
2000-03-27,20.73,21.0,20.0,20.21,XPAR:RCO,8118
2000-03-28,19.8,20.99,19.8,20.99,XPAR:RCO,13617
2000-03-29,20.0,20.2,19.5,19.8,XPAR:RCO,11777
2000-03-30,20.0,20.4,20.0,20.15,XPAR:RCO,19550
2000-03-31,20.98,21.0,20.0,20.4,XPAR:RCO,41500
2000-04-03,21.49,21.49,20.55,20.92,XPAR:RCO,27042
2000-04-04,21.21,21.98,21.0,21.0,XPAR:RCO,17226
2000-04-05,19.85,21.2,19.6,21.2,XPAR:RCO,8504
2000-04-06,19.3,20.2,19.23,19.23,XPAR:RCO,13913
2000-04-07,19.8,19.8,19.4,19.7,XPAR:RCO,9870
2000-04-10,19.46,20.0,19.45,19.8,XPAR:RCO,11998
2000-04-11,19.75,19.8,19.41,19.65,XPAR:RCO,9988
2000-04-12,19.43,19.79,19.41,19.73,XPAR:RCO,2741
2000-04-13,20.0,20.33,19.4,19.41,XPAR:RCO,20831
2000-04-14,21.8,21.89,19.68,20.0,XPAR:RCO,81433
2000-04-17,20.45,20.45,19.41,19.5,XPAR:RCO,42765
2000-04-18,20.5,21.34,20.1,21.25,XPAR:RCO,18489
2000-04-19,21.7,21.72,19.8,20.1,XPAR:RCO,26487
2000-04-20,21.5,21.5,20.6,21.49,XPAR:RCO,7707
2000-04-21,21.5,21.5,21.5,21.5,XPAR:RCO,0
2000-04-24,21.5,21.5,21.5,21.5,XPAR:RCO,0
2000-04-25,21.9,21.9,21.1,21.12,XPAR:RCO,19885
2000-04-26,21.72,21.92,21.6,21.9,XPAR:RCO,12688
2000-04-27,21.69,21.69,20.74,21.43,XPAR:RCO,18946
2000-04-28,22.09,22.49,21.76,21.76,XPAR:RCO,29841
2000-05-01,22.09,22.09,22.09,22.09,XPAR:RCO,0
2000-05-02,22.6,23.0,21.8,21.8,XPAR:RCO,162997
2000-05-03,23.0,23.0,22.6,22.87,XPAR:RCO,32276
2000-05-04,23.3,23.5,22.61,23.0,XPAR:RCO,49650
2000-05-05,23.5,23.6,22.81,23.5,XPAR:RCO,51244
2000-05-08,23.58,23.58,23.2,23.2,XPAR:RCO,8739
2000-05-09,23.6,23.6,23.25,23.5,XPAR:RCO,13510
2000-05-10,23.9,23.9,22.61,23.2,XPAR:RCO,38998
2000-05-11,24.28,24.35,23.43,23.9,XPAR:RCO,76546
2000-05-12,25.0,25.69,24.05,24.35,XPAR:RCO,144494
2000-05-15,24.8,24.89,23.41,23.41,XPAR:RCO,20494
2000-05-16,25.48,25.5,24.03,24.8,XPAR:RCO,75592
2000-05-17,25.0,25.48,24.6,25.02,XPAR:RCO,48586
2000-05-18,24.25,24.97,24.25,24.97,XPAR:RCO,17303
2000-05-19,22.56,24.2,22.5,24.05,XPAR:RCO,40353
2000-05-22,22.6,22.84,22.0,22.51,XPAR:RCO,12739
2000-05-23,22.75,23.2,22.0,22.0,XPAR:RCO,19962
2000-05-24,21.84,22.1,21.0,22.0,XPAR:RCO,19047
2000-05-25,22.5,23.3,22.2,23.3,XPAR:RCO,10269
2000-05-26,22.7,22.8,21.9,22.5,XPAR:RCO,12122
2000-05-29,23.99,24.0,22.4,22.7,XPAR:RCO,13634
2000-05-30,23.9,24.0,23.38,24.0,XPAR:RCO,58080
2000-05-31,23.3,23.9,22.5,23.9,XPAR:RCO,6639
2000-06-01,23.47,23.47,22.58,22.58,XPAR:RCO,1826
2000-06-02,23.6,24.0,23.0,23.88,XPAR:RCO,20589
2000-06-05,24.1,24.1,23.0,23.75,XPAR:RCO,46625
2000-06-06,23.61,23.98,23.01,23.01,XPAR:RCO,8274
2000-06-07,24.24,24.25,23.0,23.9,XPAR:RCO,27253
2000-06-08,25.3,25.3,23.42,23.42,XPAR:RCO,92866
2000-06-09,26.45,26.49,25.05,25.3,XPAR:RCO,129797
2000-06-12,26.45,26.45,26.45,26.45,XPAR:RCO,0
2000-06-13,26.48,26.48,26.0,26.0,XPAR:RCO,104857
2000-06-14,32.01,32.01,27.0,27.0,XPAR:RCO,758299
2000-06-15,32.69,36.59,30.0,30.1,XPAR:RCO,344458
2000-06-16,33.0,33.16,31.15,32.6,XPAR:RCO,98821
2000-06-19,34.49,34.55,32.5,33.0,XPAR:RCO,174089
2000-06-20,36.0,37.0,34.65,34.9,XPAR:RCO,205515
2000-06-21,35.2,37.9,34.7,36.03,XPAR:RCO,110913
2000-06-22,34.2,35.3,34.0,34.9,XPAR:RCO,175209
2000-06-23,33.8,34.15,33.15,34.01,XPAR:RCO,42902
2000-06-26,33.86,34.5,33.17,33.8,XPAR:RCO,18408
2000-06-27,33.2,33.9,33.2,33.77,XPAR:RCO,54228
2000-06-28,33.5,33.5,33.11,33.2,XPAR:RCO,44282
2000-06-29,33.4,33.78,33.25,33.54,XPAR:RCO,17789
2000-06-30,34.05,34.3,33.4,33.5,XPAR:RCO,34605
2000-07-03,35.5,35.75,33.95,34.0,XPAR:RCO,61173
2000-07-04,36.1,36.2,35.15,35.5,XPAR:RCO,171063
2000-07-05,36.6,36.85,35.65,36.0,XPAR:RCO,290973
2000-07-06,36.49,36.59,34.2,35.5,XPAR:RCO,148094
2000-07-07,36.15,36.5,35.26,36.0,XPAR:RCO,82051
2000-07-10,35.61,36.05,34.91,36.0,XPAR:RCO,14961
2000-07-11,35.1,35.3,34.2,34.51,XPAR:RCO,19600
2000-07-12,34.1,34.99,34.1,34.52,XPAR:RCO,19719
2000-07-13,32.95,33.5,32.31,33.32,XPAR:RCO,26540
2000-07-14,32.95,32.95,32.95,32.95,XPAR:RCO,0
2000-07-17,31.67,32.5,31.01,32.4,XPAR:RCO,57529
2000-07-18,31.2,31.69,30.93,31.57,XPAR:RCO,90368
2000-07-19,32.5,33.0,31.5,31.5,XPAR:RCO,75746
2000-07-20,32.35,32.69,31.5,32.5,XPAR:RCO,26082
2000-07-21,31.71,32.37,31.63,32.37,XPAR:RCO,43593
2000-07-24,32.5,32.71,31.95,32.0,XPAR:RCO,39672
2000-07-25,33.9,34.0,33.0,33.33,XPAR:RCO,15893
2000-07-26,33.62,34.0,33.12,34.0,XPAR:RCO,14933
2000-07-27,33.43,33.75,33.31,33.31,XPAR:RCO,10846
2000-07-28,33.0,33.4,33.0,33.4,XPAR:RCO,11923
2000-07-31,33.5,34.14,33.0,33.0,XPAR:RCO,121416
2000-08-01,34.25,35.21,33.41,33.41,XPAR:RCO,28482
2000-08-02,35.8,36.4,34.2,34.2,XPAR:RCO,74260
2000-08-03,35.34,36.49,35.3,36.4,XPAR:RCO,70109
2000-08-04,36.2,36.5,35.5,35.99,XPAR:RCO,104969
2000-08-07,36.85,36.94,36.3,36.4,XPAR:RCO,107140
2000-08-08,37.09,37.1,36.2,36.74,XPAR:RCO,148671
2000-08-09,37.48,37.5,36.45,36.45,XPAR:RCO,61207
2000-08-10,37.7,37.75,37.0,37.4,XPAR:RCO,81692
2000-08-11,38.01,38.12,37.5,37.5,XPAR:RCO,90683
2000-08-14,38.7,38.7,38.01,38.01,XPAR:RCO,39353
2000-08-15,39.09,39.09,38.15,38.73,XPAR:RCO,23280
2000-08-16,39.89,39.89,39.11,39.11,XPAR:RCO,72378
2000-08-17,40.59,40.59,39.15,39.89,XPAR:RCO,81946
2000-08-18,40.75,41.0,40.0,40.5,XPAR:RCO,50963
2000-08-21,39.5,40.7,38.95,40.0,XPAR:RCO,51031
2000-08-22,37.9,38.35,36.41,37.4,XPAR:RCO,80642
2000-08-23,38.0,38.7,37.85,37.9,XPAR:RCO,72068
2000-08-24,36.7,38.15,36.7,37.95,XPAR:RCO,34171
2000-08-25,36.8,37.0,36.1,36.1,XPAR:RCO,46370
2000-08-28,37.5,38.12,37.25,38.1,XPAR:RCO,66879
2000-08-29,37.9,38.0,37.2,38.0,XPAR:RCO,54445
2000-08-30,37.4,38.0,37.15,38.0,XPAR:RCO,32987
2000-08-31,36.5,37.0,36.2,36.98,XPAR:RCO,27897
2000-09-01,35.35,36.7,35.15,36.7,XPAR:RCO,56499
2000-09-04,35.89,36.33,35.35,35.35,XPAR:RCO,68067
2000-09-05,35.56,36.0,35.35,35.88,XPAR:RCO,16596
2000-09-06,35.54,35.8,35.2,35.6,XPAR:RCO,17768
2000-09-07,37.9,37.99,35.8,35.8,XPAR:RCO,54748
2000-09-08,37.51,37.7,37.1,37.7,XPAR:RCO,35903
2000-09-11,37.31,37.7,36.89,37.7,XPAR:RCO,18507
2000-09-12,37.47,37.5,36.85,36.85,XPAR:RCO,19662
2000-09-13,37.8,38.5,37.0,37.5,XPAR:RCO,41079
2000-09-14,38.8,38.8,38.12,38.47,XPAR:RCO,15442
2000-09-15,38.91,39.7,38.22,38.5,XPAR:RCO,31105
2000-09-18,35.86,38.85,35.1,38.85,XPAR:RCO,54785
2000-09-19,34.36,36.49,34.1,35.86,XPAR:RCO,24737
2000-09-20,34.2,35.0,34.2,34.25,XPAR:RCO,18006
2000-09-21,33.95,34.85,33.1,34.11,XPAR:RCO,24990
2000-09-22,33.64,34.64,32.2,32.2,XPAR:RCO,15817
2000-09-25,35.0,35.8,33.7,33.7,XPAR:RCO,8815
2000-09-26,34.55,35.84,34.0,34.21,XPAR:RCO,6075
2000-09-27,34.15,34.95,33.9,34.5,XPAR:RCO,26364
2000-09-28,34.36,35.0,33.58,34.05,XPAR:RCO,39503
2000-09-29,34.6,35.0,33.5,35.0,XPAR:RCO,22596
2000-10-02,34.0,34.6,33.39,34.6,XPAR:RCO,6884
2000-10-03,34.99,34.99,33.4,34.0,XPAR:RCO,114043
2000-10-04,34.22,34.22,33.42,34.0,XPAR:RCO,2667
2000-10-05,35.0,35.0,33.56,34.0,XPAR:RCO,74538
2000-10-06,35.25,35.5,33.8,35.0,XPAR:RCO,120650
2000-10-09,34.08,36.0,33.66,34.0,XPAR:RCO,9624
2000-10-10,33.41,34.1,33.01,33.99,XPAR:RCO,6723
2000-10-11,32.6,33.99,31.82,33.99,XPAR:RCO,7828
2000-10-12,31.5,34.0,31.3,32.55,XPAR:RCO,24453
2000-10-13,32.2,33.0,28.65,28.65,XPAR:RCO,22336
2000-10-16,33.0,33.0,32.2,32.2,XPAR:RCO,7814
2000-10-17,32.89,33.0,32.4,33.0,XPAR:RCO,9337
2000-10-18,33.6,34.1,32.5,32.5,XPAR:RCO,19254
2000-10-19,35.2,35.35,34.0,34.0,XPAR:RCO,14712
2000-10-20,35.87,35.9,34.2,35.12,XPAR:RCO,23171
2000-10-23,34.25,34.92,34.01,34.92,XPAR:RCO,9380
