Date,Close,High,Low,Open,Symbol,Volume
1992-07-20,27.4118,28.3736,27.4118,28.3736,XPAR:RE,135959
1992-07-21,27.6522,27.8927,27.6522,27.6522,XPAR:RE,66490
1992-07-22,28.614,29.5758,27.6522,27.6522,XPAR:RE,105034
1992-07-23,30.0567,30.0567,28.614,28.614,XPAR:RE,186763
1992-07-24,30.0567,30.0567,28.8545,29.5758,XPAR:RE,107995
1992-07-27,29.5758,29.5758,29.0949,29.0949,XPAR:RE,26250
1992-07-28,30.2972,30.2972,29.5758,29.5758,XPAR:RE,50820
1992-07-29,30.5377,30.5377,29.8163,30.0567,XPAR:RE,19047
1992-07-30,30.2972,30.5377,30.0567,30.5377,XPAR:RE,14821
1992-07-31,30.5377,30.5377,30.0567,30.2972,XPAR:RE,41488
1992-08-03,30.0567,30.2972,29.8163,30.0567,XPAR:RE,16102
1992-08-04,30.0567,30.0567,30.0567,30.0567,XPAR:RE,8899
1992-08-05,30.5377,30.5377,29.8163,30.2972,XPAR:RE,24137
1992-08-06,30.2972,30.2972,30.0567,30.0567,XPAR:RE,1696
1992-08-07,29.5758,30.0567,29.5758,30.0567,XPAR:RE,1696
1992-08-10,29.0949,29.0949,28.614,28.614,XPAR:RE,3393
1992-08-11,27.8927,28.3736,27.6522,28.3736,XPAR:RE,33453
1992-08-12,27.8927,27.8927,27.8927,27.8927,XPAR:RE,5922
1992-08-13,28.1331,28.1331,27.6522,27.8927,XPAR:RE,8899
1992-08-14,27.8927,28.3736,27.8927,28.1331,XPAR:RE,7618
1992-08-17,28.614,28.8545,27.8927,27.8927,XPAR:RE,4225
1992-08-18,28.3736,28.614,28.1331,28.614,XPAR:RE,19496
1992-08-19,28.3736,28.614,28.3736,28.614,XPAR:RE,19496
1992-08-20,28.3736,28.3736,28.1331,28.1331,XPAR:RE,12293
1992-08-21,28.3736,28.614,27.8927,28.3736,XPAR:RE,125778
1992-08-24,27.8927,27.8927,27.4118,27.8927,XPAR:RE,5090
1992-08-25,27.4118,27.4118,26.6904,26.6904,XPAR:RE,5922
1992-08-26,27.6522,27.6522,27.1713,27.1713,XPAR:RE,2977
1992-08-27,28.614,28.614,26.9308,26.9308,XPAR:RE,22025
1992-08-28,29.3354,29.3354,28.614,28.614,XPAR:RE,63097
1992-08-31,30.2972,31.259,29.0949,31.259,XPAR:RE,58871
1992-09-01,28.614,29.0949,28.614,29.0949,XPAR:RE,6787
1992-09-02,28.3736,28.3736,28.3736,28.3736,XPAR:RE,2528
1992-09-03,28.8545,28.8545,28.8545,28.8545,XPAR:RE,1280
1992-09-04,29.0949,29.3354,28.8545,29.0949,XPAR:RE,42769
1992-09-07,28.614,29.0949,28.1331,28.1331,XPAR:RE,52949
1992-09-08,29.0949,29.0949,28.3736,28.3736,XPAR:RE,831
1992-09-09,27.4118,28.3736,26.9308,26.9308,XPAR:RE,11012
1992-09-10,28.8545,28.8545,28.3736,28.3736,XPAR:RE,9731
1992-09-11,27.8927,28.8545,27.8927,28.8545,XPAR:RE,4674
1992-09-14,28.3736,28.3736,27.8927,28.1331,XPAR:RE,20744
1992-09-15,27.8927,28.3736,27.8927,28.1331,XPAR:RE,38543
1992-09-16,27.4118,27.8927,27.1713,27.6522,XPAR:RE,38543
1992-09-17,28.1331,28.3736,27.1713,27.4118,XPAR:RE,88515
1992-09-18,28.3736,28.3736,27.6522,27.6522,XPAR:RE,44881
1992-09-21,27.8927,28.614,27.8927,28.614,XPAR:RE,5090
1992-09-22,27.6522,27.8927,27.4118,27.4118,XPAR:RE,16102
1992-09-23,27.6522,27.6522,27.6522,27.6522,XPAR:RE,44465
1992-09-24,27.6522,27.6522,27.6522,27.6522,XPAR:RE,4674
1992-09-25,27.8927,28.614,27.8927,28.1331,XPAR:RE,104169
1992-09-28,27.8927,28.3736,27.8927,28.1331,XPAR:RE,36846
1992-09-29,27.6522,27.8927,27.6522,27.8927,XPAR:RE,11844
1992-09-30,27.6522,27.6522,27.6522,27.6522,XPAR:RE,46162
1992-10-01,27.6522,28.614,27.6522,28.1331,XPAR:RE,54646
1992-10-02,27.6522,27.6522,26.9308,27.4118,XPAR:RE,80481
1992-10-05,26.6904,27.1713,26.6904,27.1713,XPAR:RE,98663
1992-10-06,26.2095,26.9308,26.2095,26.6904,XPAR:RE,29228
1992-10-07,25.7286,26.2095,25.7286,26.2095,XPAR:RE,34734
1992-10-08,25.969,26.2095,25.7286,25.969,XPAR:RE,7618
1992-10-09,24.5263,25.969,24.5263,25.7286,XPAR:RE,140600
1992-10-12,24.2859,25.7286,24.2859,25.7286,XPAR:RE,22856
1992-10-13,24.2859,25.0072,24.0454,25.0072,XPAR:RE,62265
1992-10-14,24.5263,24.7668,24.2859,24.7668,XPAR:RE,21609
1992-10-15,24.5263,24.5263,24.0454,24.5263,XPAR:RE,2528
1992-10-16,24.0454,24.7668,24.0454,24.7668,XPAR:RE,90628
1992-10-19,23.8049,24.0454,23.5645,24.0454,XPAR:RE,125362
1992-10-20,22.8431,23.8049,22.8431,23.8049,XPAR:RE,270621
1992-10-21,23.324,23.8049,22.8431,23.8049,XPAR:RE,12709
1992-10-22,23.5645,24.0454,23.324,23.8049,XPAR:RE,316784
1992-10-23,23.5645,24.0454,23.5645,24.0454,XPAR:RE,82593
1992-10-26,24.5263,24.5263,24.0454,24.5263,XPAR:RE,51668
1992-10-27,24.5263,24.5263,24.2859,24.2859,XPAR:RE,35566
1992-10-28,24.5263,24.5263,24.0454,24.5263,XPAR:RE,87234
1992-10-29,24.5263,24.7668,24.5263,24.5263,XPAR:RE,71148
1992-10-30,24.5263,24.5263,24.2859,24.5263,XPAR:RE,388781
1992-11-02,24.5263,24.5263,24.2859,24.5263,XPAR:RE,0
1992-11-03,25.969,26.6904,24.5263,24.5263,XPAR:RE,170244
1992-11-04,25.2477,25.969,25.0072,25.969,XPAR:RE,107313
1992-11-05,25.7286,26.2095,25.4881,25.7286,XPAR:RE,65659
1992-11-06,26.9308,27.1713,26.2095,26.2095,XPAR:RE,128323
1992-11-09,27.1713,27.1713,26.6904,27.1713,XPAR:RE,59703
1992-11-10,26.9308,27.1713,26.4499,26.9308,XPAR:RE,62681
1992-11-11,26.9308,27.1713,26.4499,26.9308,XPAR:RE,0
1992-11-12,26.9308,27.1713,26.9308,26.9308,XPAR:RE,215991
1992-11-13,26.2095,26.4499,25.4881,25.969,XPAR:RE,229116
1992-11-16,25.969,26.2095,25.969,26.2095,XPAR:RE,52500
1992-11-17,26.6904,26.9308,26.2095,26.2095,XPAR:RE,120688
1992-11-18,26.4499,26.4499,26.2095,26.4499,XPAR:RE,49556
1992-11-19,26.2095,26.6904,26.2095,26.4499,XPAR:RE,47443
1992-11-20,26.9308,26.9308,26.2095,26.9308,XPAR:RE,39375
1992-11-23,26.2095,26.2095,26.2095,26.2095,XPAR:RE,42353
1992-11-24,27.6522,27.6522,25.969,26.9308,XPAR:RE,36431
1992-11-25,26.9308,27.4118,26.6904,26.9308,XPAR:RE,177148
1992-11-26,26.6904,26.9308,26.4499,26.4499,XPAR:RE,221913
1992-11-27,27.1713,27.1713,26.4499,26.4499,XPAR:RE,263850
1992-11-30,27.1713,27.4118,27.1713,27.1713,XPAR:RE,83425
1992-12-01,28.1331,28.1331,27.1713,27.1713,XPAR:RE,73278
1992-12-02,27.6522,27.8927,27.1713,27.4118,XPAR:RE,177863
1992-12-03,28.1331,28.3736,27.6522,27.6522,XPAR:RE,114766
1992-12-04,27.8927,28.3736,27.8927,28.1331,XPAR:RE,40240
1992-12-07,28.3736,28.3736,27.8927,28.1331,XPAR:RE,41937
1992-12-08,28.1331,28.3736,28.1331,28.3736,XPAR:RE,103337
1992-12-09,28.8545,29.0949,28.1331,28.1331,XPAR:RE,108844
1992-12-10,28.8545,29.0949,28.614,28.8545,XPAR:RE,74109
1992-12-11,28.8545,29.0949,28.8545,28.8545,XPAR:RE,17799
1992-12-14,28.614,28.8545,28.3736,28.8545,XPAR:RE,114350
1992-12-15,28.614,28.8545,28.3736,28.614,XPAR:RE,48691
1992-12-16,28.614,28.8545,28.614,28.614,XPAR:RE,53781
1992-12-17,28.8545,28.8545,28.614,28.614,XPAR:RE,65659
1992-12-18,29.5758,29.8163,28.614,28.614,XPAR:RE,59703
1992-12-21,29.8163,29.8163,29.0949,29.3354,XPAR:RE,21609
1992-12-22,30.2972,30.2972,29.5758,29.5758,XPAR:RE,63513
1992-12-23,31.259,31.259,29.8163,29.8163,XPAR:RE,42769
1992-12-24,31.4995,31.4995,30.5377,31.0186,XPAR:RE,28812
1992-12-25,31.4995,31.4995,30.5377,31.0186,XPAR:RE,0
1992-12-28,31.4995,31.4995,31.0186,31.4995,XPAR:RE,66490
1992-12-29,31.4995,31.7399,31.0186,31.259,XPAR:RE,89347
1992-12-30,31.4995,31.7399,31.259,31.259,XPAR:RE,31340
1992-12-31,31.9804,31.9804,31.4995,31.4995,XPAR:RE,34318
1993-01-01,31.9804,31.9804,31.4995,31.4995,XPAR:RE,0
1993-01-04,31.259,31.9804,31.259,31.9804,XPAR:RE,13541
1993-01-05,30.7781,31.0186,30.7781,31.0186,XPAR:RE,45330
1993-01-06,31.0186,31.259,30.7781,30.7781,XPAR:RE,50820
1993-01-07,30.5377,31.4995,30.5377,31.4995,XPAR:RE,62681
1993-01-08,30.7781,30.7781,30.5377,30.5377,XPAR:RE,46578
1993-01-11,30.0567,30.5377,29.8163,30.5377,XPAR:RE,401058
1993-01-12,29.5758,29.8163,28.8545,29.8163,XPAR:RE,37678
1993-01-13,29.5758,30.2972,29.5758,30.2972,XPAR:RE,168547
1993-01-14,30.0567,30.0567,29.8163,29.8163,XPAR:RE,222778
1993-01-15,30.0567,30.0567,29.8163,29.8163,XPAR:RE,105034
1993-01-18,30.5377,30.5377,29.8163,30.0567,XPAR:RE,48691
1993-01-19,31.259,31.259,30.2972,30.2972,XPAR:RE,168547
1993-01-20,30.7781,31.259,30.5377,31.259,XPAR:RE,210901
1993-01-21,31.4995,31.4995,30.5377,30.5377,XPAR:RE,135094
1993-01-22,31.7399,31.7399,31.259,31.259,XPAR:RE,43634
1993-01-25,31.0186,31.7399,30.2972,31.7399,XPAR:RE,71997
1993-01-26,31.0186,31.0186,30.0567,30.5377,XPAR:RE,7618
1993-01-27,30.7781,31.0186,30.5377,30.5377,XPAR:RE,45746
1993-01-28,30.7781,30.7781,30.2972,30.2972,XPAR:RE,23305
1993-01-29,30.7781,31.259,30.5377,30.5377,XPAR:RE,80896
1993-02-01,31.0186,31.259,30.5377,30.5377,XPAR:RE,13990
1993-02-02,31.0186,31.7399,31.0186,31.0186,XPAR:RE,77919
1993-02-03,30.7781,31.0186,30.5377,30.5377,XPAR:RE,200753
1993-02-04,30.7781,31.0186,30.7781,31.0186,XPAR:RE,51668
1993-02-05,31.4995,31.7399,30.7781,31.0186,XPAR:RE,301113
1993-02-08,32.4613,33.4231,31.0186,31.0186,XPAR:RE,179144
1993-02-09,31.259,32.7017,31.0186,31.7399,XPAR:RE,113934
1993-02-10,31.7399,31.7399,31.259,31.259,XPAR:RE,30924
1993-02-11,31.7399,31.7399,31.4995,31.7399,XPAR:RE,37678
1993-02-12,31.7399,31.7399,31.4995,31.7399,XPAR:RE,310429
1993-02-15,31.9804,32.2208,31.7399,31.9804,XPAR:RE,108428
1993-02-16,31.7399,31.9804,31.7399,31.9804,XPAR:RE,13990
1993-02-17,31.7399,31.9804,31.4995,31.9804,XPAR:RE,53781
1993-02-18,32.2208,33.1826,31.7399,31.7399,XPAR:RE,411654
1993-02-19,31.9804,33.1826,31.9804,32.4613,XPAR:RE,103753
1993-02-22,33.904,33.904,32.9422,33.904,XPAR:RE,20328
1993-02-23,33.904,33.904,33.4231,33.904,XPAR:RE,15653
1993-02-24,33.6636,33.904,33.4231,33.6636,XPAR:RE,25418
1993-02-25,32.9422,33.6636,32.9422,33.6636,XPAR:RE,28363
1993-02-26,33.1826,33.4231,32.7017,33.4231,XPAR:RE,41488
1993-03-01,34.6254,34.6254,33.1826,33.1826,XPAR:RE,63513
1993-03-02,34.6254,35.1063,33.904,34.6254,XPAR:RE,37678
1993-03-03,34.6254,35.1063,34.3849,34.8658,XPAR:RE,91476
1993-03-04,34.6254,34.8658,34.1445,34.8658,XPAR:RE,28812
1993-03-05,35.3467,35.5872,34.6254,34.6254,XPAR:RE,91909
1993-03-08,35.5872,35.5872,35.3467,35.3467,XPAR:RE,117743
1993-03-09,35.5872,35.5872,34.6254,35.3467,XPAR:RE,122385
1993-03-10,35.5872,35.5872,35.3467,35.3467,XPAR:RE,103337
1993-03-11,35.5872,35.5872,35.3467,35.5872,XPAR:RE,74109
1993-03-12,35.5872,36.0681,35.3467,35.5872,XPAR:RE,78784
1993-03-15,35.5872,35.8276,35.3467,35.8276,XPAR:RE,69468
1993-03-16,37.2704,38.4726,35.8276,35.8276,XPAR:RE,295607
1993-03-17,37.5108,37.7513,37.2704,37.5108,XPAR:RE,155006
1993-03-18,37.9917,37.9917,37.5108,37.7513,XPAR:RE,210901
1993-03-19,37.5108,37.9917,37.5108,37.9917,XPAR:RE,35150
1993-03-22,37.2704,37.9917,37.2704,37.7513,XPAR:RE,272318
1993-03-23,37.5108,37.9917,37.5108,37.5108,XPAR:RE,123250
1993-03-24,35.8276,37.5108,35.8276,37.5108,XPAR:RE,85122
1993-03-25,36.0681,36.3085,35.8276,36.0681,XPAR:RE,104618
1993-03-26,37.9917,37.9917,36.0681,36.0681,XPAR:RE,493815
1993-03-29,39.4345,39.4345,37.5108,38.2322,XPAR:RE,130004
1993-03-30,39.6749,39.6749,38.9535,39.6749,XPAR:RE,96983
1993-03-31,39.194,39.6749,38.9535,39.6749,XPAR:RE,27531
1993-04-01,38.7131,39.6749,37.7513,39.6749,XPAR:RE,119008
1993-04-02,38.7131,38.9535,37.9917,38.9535,XPAR:RE,25002
1993-04-05,38.2322,38.4726,37.9917,37.9917,XPAR:RE,10596
1993-04-06,37.9917,38.4726,37.0299,38.2322,XPAR:RE,53781
