Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,48.8,49.2,48.3,48.57,XPAR:RNO,377649
2000-01-04,47.5,49.0,47.0,49.0,XPAR:RNO,447410
2000-01-05,47.7,48.38,47.0,47.5,XPAR:RNO,534377
2000-01-06,50.95,50.95,48.5,48.9,XPAR:RNO,1300230
2000-01-07,51.95,52.75,51.45,51.8,XPAR:RNO,930494
2000-01-10,49.91,52.55,49.7,52.55,XPAR:RNO,571625
2000-01-11,49.8,51.3,49.1,50.5,XPAR:RNO,1473217
2000-01-12,51.9,51.95,48.2,49.03,XPAR:RNO,1178553
2000-01-13,53.05,54.5,51.9,52.0,XPAR:RNO,1279884
2000-01-14,53.0,53.4,52.15,53.05,XPAR:RNO,460719
2000-01-17,53.2,54.0,52.0,53.8,XPAR:RNO,537624
2000-01-18,53.95,54.0,52.55,53.75,XPAR:RNO,798392
2000-01-19,53.0,54.0,52.2,53.0,XPAR:RNO,687090
2000-01-20,51.5,53.4,51.5,52.6,XPAR:RNO,659265
2000-01-21,52.0,52.0,50.9,51.8,XPAR:RNO,238763
2000-01-24,52.2,52.75,51.05,52.0,XPAR:RNO,342232
2000-01-25,51.8,52.5,50.1,51.5,XPAR:RNO,977063
2000-01-26,53.15,53.85,52.25,52.9,XPAR:RNO,725595
2000-01-27,54.95,55.4,53.5,54.0,XPAR:RNO,1242374
2000-01-28,54.8,55.0,54.0,54.7,XPAR:RNO,622391
2000-01-31,53.9,54.5,52.85,54.0,XPAR:RNO,877794
2000-02-01,52.2,54.4,51.6,54.1,XPAR:RNO,666556
2000-02-02,47.75,52.7,47.41,52.5,XPAR:RNO,2081786
2000-02-03,46.01,48.7,44.85,48.5,XPAR:RNO,2548462
2000-02-04,46.8,47.35,46.0,46.98,XPAR:RNO,1134961
2000-02-07,46.94,47.89,46.94,47.89,XPAR:RNO,448788
2000-02-08,47.9,49.0,47.2,47.3,XPAR:RNO,765387
2000-02-09,45.2,48.16,45.1,48.1,XPAR:RNO,1024883
2000-02-10,43.45,45.86,43.3,45.86,XPAR:RNO,1198053
2000-02-11,42.0,45.0,41.9,43.6,XPAR:RNO,815169
2000-02-14,42.79,43.2,42.0,42.98,XPAR:RNO,649486
2000-02-15,44.34,44.48,42.3,42.61,XPAR:RNO,590958
2000-02-16,44.77,45.0,44.1,45.0,XPAR:RNO,558496
2000-02-17,44.16,45.18,43.5,44.9,XPAR:RNO,464033
2000-02-18,44.2,45.7,42.6,43.05,XPAR:RNO,1232461
2000-02-21,45.13,45.2,43.75,44.6,XPAR:RNO,393019
