Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,9.5,9.5,9.5,9.5,XPAR:SABE,700
2000-01-04,9.49,9.49,9.49,9.49,XPAR:SABE,1000
2000-01-05,9.5,9.5,9.44,9.44,XPAR:SABE,1000
2000-01-06,9.5,9.5,9.5,9.5,XPAR:SABE,690
2000-01-07,9.8,9.8,9.8,9.8,XPAR:SABE,500
2000-01-10,9.9,9.9,9.8,9.8,XPAR:SABE,580
2000-01-11,10.01,10.01,10.0,10.0,XPAR:SABE,3000
2000-01-12,10.06,10.1,10.06,10.1,XPAR:SABE,0
2000-01-13,10.0,10.06,10.0,10.06,XPAR:SABE,1000
2000-01-14,10.0,10.0,10.0,10.0,XPAR:SABE,450
2000-01-17,10.2,10.2,10.0,10.0,XPAR:SABE,4000
2000-01-18,10.0,10.0,9.805,9.805,XPAR:SABE,2000
2000-01-19,10.03,10.28,10.03,10.28,XPAR:SABE,1000
2000-01-20,10.01,10.01,10.01,10.01,XPAR:SABE,250
2000-01-21,10.2,10.2,10.2,10.2,XPAR:SABE,2000
2000-01-24,10.38,10.38,10.38,10.38,XPAR:SABE,1000
2000-01-25,10.1,10.1,10.1,10.1,XPAR:SABE,630
2000-01-26,10.1,10.1,10.1,10.1,XPAR:SABE,700
2000-01-27,10.11,10.11,10.1,10.1,XPAR:SABE,1000
2000-01-28,10.09,10.4,10.09,10.4,XPAR:SABE,1000
2000-01-31,10.0,10.02,10.0,10.02,XPAR:SABE,1000
2000-02-01,9.98,9.98,9.98,9.98,XPAR:SABE,1000
2000-02-02,9.85,9.9,9.85,9.9,XPAR:SABE,880
2000-02-03,10.0,10.0,10.0,10.0,XPAR:SABE,1000
2000-02-04,10.35,10.35,10.1,10.1,XPAR:SABE,6000
2000-02-07,10.3,10.3,10.3,10.3,XPAR:SABE,1000
2000-02-08,10.4,10.4,10.4,10.4,XPAR:SABE,3000
2000-02-09,10.5,10.5,10.4,10.4,XPAR:SABE,3000
2000-02-10,10.51,10.51,10.51,10.51,XPAR:SABE,1000
2000-02-11,10.51,10.7,10.51,10.7,XPAR:SABE,1000
2000-02-14,10.5,10.59,10.5,10.59,XPAR:SABE,1000
2000-02-15,10.5,10.5,10.5,10.5,XPAR:SABE,1000
