Date,Close,High,Low,Open,Symbol,Volume
2015-02-10,5.1875,5.2015,2.1241,2.8041,XPAR:SAFOR,1946169
2015-02-11,5.502999999999999,7.5569,5.2576,5.4889,XPAR:SAFOR,4867517
2015-02-12,5.531000000000001,6.4283,5.3628,5.7203,XPAR:SAFOR,1144038
2015-02-13,4.5916,5.6081,4.3884,5.5731,XPAR:SAFOR,694099
2015-02-16,4.2692,4.4444,3.9748,4.2552,XPAR:SAFOR,614909
2015-02-17,4.0098,4.4094,4.0098,4.2271,XPAR:SAFOR,275685
2015-02-18,4.0659,4.0799,3.7715,3.9958,XPAR:SAFOR,237487
2015-02-19,4.2482,4.5075,3.8556,4.0238,XPAR:SAFOR,306407
2015-02-20,4.0659,4.4024,4.0028,4.2762,XPAR:SAFOR,142329
2015-02-23,3.9537,4.0659,3.7574,4.0449,XPAR:SAFOR,171678
2015-02-24,3.9117,4.0308,3.8416,3.8766,XPAR:SAFOR,73674
2015-02-25,3.7574,4.0939,3.7224,3.9117,XPAR:SAFOR,125532
2015-02-26,3.6733,3.7785,3.5752,3.7294,XPAR:SAFOR,136911
2015-02-27,3.5962,3.6873,3.5612,3.6873,XPAR:SAFOR,47087
2015-03-02,4.1079,4.3112,3.47,3.5752,XPAR:SAFOR,435949
2015-03-03,3.6873,4.0869,3.6803,4.0659,XPAR:SAFOR,392837
2015-03-04,3.6242,3.7645,3.6032,3.6943,XPAR:SAFOR,61088
2015-03-05,3.7715,3.9187,3.6383,3.7434,XPAR:SAFOR,136101
2015-03-06,4.0729,4.5496,3.8556,3.8556,XPAR:SAFOR,794196
2015-03-09,4.2061,4.3954,4.0939,4.3253,XPAR:SAFOR,142258
2015-03-10,4.0308,4.2692,4.0308,4.2411,XPAR:SAFOR,59915
2015-03-11,4.0378,4.2411,4.0308,4.157,XPAR:SAFOR,32054
2015-03-12,3.9677,4.0378,3.9677,4.0098,XPAR:SAFOR,25033
2015-03-13,3.9257,4.0659,3.8976,3.9958,XPAR:SAFOR,24173
2015-03-16,3.8556,3.9748,3.8416,3.9257,XPAR:SAFOR,41113
2015-03-17,3.8275,3.8976,3.8275,3.8976,XPAR:SAFOR,17922
2015-03-18,3.7014,3.8205,3.6313,3.8205,XPAR:SAFOR,42063
2015-03-19,3.6453,3.7014,3.6453,3.7014,XPAR:SAFOR,16534
2015-03-20,3.6453,3.6803,3.5892,3.6453,XPAR:SAFOR,42762
2015-03-23,3.5962,3.6733,3.5892,3.6313,XPAR:SAFOR,16584
2015-03-24,3.7574,3.9537,3.6102,3.6102,XPAR:SAFOR,45331
2015-03-25,3.5752,3.8205,3.5401,3.7785,XPAR:SAFOR,59065
2015-03-26,3.6242,3.6803,3.47,3.5752,XPAR:SAFOR,51111
2015-03-27,3.484,3.5752,3.4210000000000003,3.5752,XPAR:SAFOR,41728
2015-03-30,3.435,3.5051,3.3789,3.5051,XPAR:SAFOR,22637
2015-03-31,3.5051,3.5682,3.4069,3.4069,XPAR:SAFOR,26183
2015-04-01,3.3859,3.5051,3.3719,3.5051,XPAR:SAFOR,19951
2015-04-02,3.3579,3.435,3.2948,3.3789,XPAR:SAFOR,20541
2015-04-03,3.3579,3.3579,3.3579,3.3579,XPAR:SAFOR,0
2015-04-06,3.3579,3.3579,3.3579,3.3579,XPAR:SAFOR,0
2015-04-07,3.3228,3.3999,3.3088,3.3509,XPAR:SAFOR,8523
2015-04-08,3.3368,3.3999,3.3368,3.3999,XPAR:SAFOR,6904
2015-04-09,3.3509,3.435,3.3158,3.3929,XPAR:SAFOR,10372
2015-04-10,3.3298,3.4069,3.2948,3.3509,XPAR:SAFOR,14447
2015-04-13,3.4419999999999997,3.47,3.3298,3.3298,XPAR:SAFOR,13255
2015-04-14,3.47,3.47,3.3158,3.3999,XPAR:SAFOR,18155
2015-04-15,3.6242,3.7504,3.4069,3.435,XPAR:SAFOR,51623
2015-04-16,3.428,3.5401,3.3999,3.5121,XPAR:SAFOR,40588
2015-04-17,3.3088,3.4210000000000003,3.3088,3.3999,XPAR:SAFOR,25035
2015-04-20,3.4139,3.428,3.2878,3.2948,XPAR:SAFOR,18299
2015-04-21,3.3579,3.5051,3.3579,3.428,XPAR:SAFOR,64627
2015-04-22,3.2667,3.4139,3.0845,3.4139,XPAR:SAFOR,46037
2015-04-23,3.2177,3.2667,3.1546,3.2667,XPAR:SAFOR,22099
2015-04-24,3.0704,3.2106,3.0704,3.1616,XPAR:SAFOR,48857
2015-04-27,2.9653,3.0845,2.9443,3.0704,XPAR:SAFOR,25126
2015-04-28,3.2808,3.2878,2.8111,2.9162,XPAR:SAFOR,68329
2015-04-29,3.1966,3.2878,3.0284,3.2878,XPAR:SAFOR,16946
2015-04-30,3.0704,3.1405,2.9443,3.0775,XPAR:SAFOR,22995
2015-05-01,3.0704,3.0704,3.0704,3.0704,XPAR:SAFOR,0
2015-05-04,3.0144,3.0845,2.9513,2.9863,XPAR:SAFOR,26632
2015-05-05,3.0144,3.1335,2.9863,3.0144,XPAR:SAFOR,9685
2015-05-06,3.0424,3.0915,2.9373,3.0144,XPAR:SAFOR,15566
2015-05-07,3.0284,3.1195,2.9863,3.1195,XPAR:SAFOR,20815
2015-05-08,3.0564,3.0845,2.9863,3.0284,XPAR:SAFOR,10279
2015-05-11,3.0704,3.0845,3.0144,3.0144,XPAR:SAFOR,3186
2015-05-12,3.0144,3.0845,3.0144,3.0845,XPAR:SAFOR,5423
2015-05-13,3.4419999999999997,3.5752,3.0144,3.0144,XPAR:SAFOR,178438
2015-05-14,3.2597,3.4981,3.2597,3.3999,XPAR:SAFOR,88691
2015-05-15,3.3649,3.3999,3.2597,3.3298,XPAR:SAFOR,51595
2015-05-18,3.2948,3.3999,3.2387,3.3649,XPAR:SAFOR,39411
2015-05-19,3.1896,3.3649,3.1686,3.2948,XPAR:SAFOR,40268
2015-05-20,3.1616,3.2878,3.1335,3.2387,XPAR:SAFOR,12243
2015-05-21,3.2177,3.2247,3.1476,3.2247,XPAR:SAFOR,6108
2015-05-22,3.1896,3.2317,3.1335,3.2177,XPAR:SAFOR,4111
2015-05-25,3.1616,3.2527,3.1616,3.2457,XPAR:SAFOR,3066
2015-05-26,3.1616,3.1756,3.0915,3.1686,XPAR:SAFOR,11182
2015-05-27,3.1756,3.1896,3.0985,3.0985,XPAR:SAFOR,2711
2015-05-28,3.1125,3.1756,3.1055,3.1125,XPAR:SAFOR,7098
2015-05-29,3.1546,3.1756,3.0915,3.1756,XPAR:SAFOR,11098
2015-06-01,3.1055,3.1756,3.1055,3.1756,XPAR:SAFOR,2917
2015-06-02,3.1476,3.1756,3.0915,3.1335,XPAR:SAFOR,3564
2015-06-03,3.1265,3.1686,3.0985,3.0985,XPAR:SAFOR,1483
2015-06-04,3.1125,3.1195,3.1125,3.1125,XPAR:SAFOR,1562
2015-06-05,3.0354,3.1405,3.0284,3.0915,XPAR:SAFOR,9004
2015-06-08,3.0494,3.1265,3.0144,3.0284,XPAR:SAFOR,9633
2015-06-09,3.1125,3.1125,2.9232,3.0915,XPAR:SAFOR,23468
2015-06-10,3.1055,3.1125,3.0494,3.1125,XPAR:SAFOR,2349
2015-06-11,3.0354,3.1055,3.0214,3.0214,XPAR:SAFOR,1911
2015-06-12,3.1055,3.1616,3.0284,3.0284,XPAR:SAFOR,21500
2015-06-15,3.0284,3.1195,2.9583,3.0634,XPAR:SAFOR,11520
2015-06-16,3.0144,3.0775,2.9302,3.0144,XPAR:SAFOR,16207
2015-06-17,2.9863,3.1195,2.9793,3.0144,XPAR:SAFOR,17631
2015-06-18,3.0003,3.0564,2.9302,2.9723,XPAR:SAFOR,6628
2015-06-19,3.0845,3.1195,2.8812,2.9513,XPAR:SAFOR,23220
2015-06-22,3.1826,3.3579,3.0214,3.1055,XPAR:SAFOR,27480
2015-06-23,3.1616,3.2247,3.0214,3.1616,XPAR:SAFOR,14526
2015-06-24,3.1826,3.2106,3.0634,3.0634,XPAR:SAFOR,6240
2015-06-25,3.1265,3.1826,3.0564,3.1826,XPAR:SAFOR,4586
2015-06-26,3.0915,3.1546,3.0845,3.1335,XPAR:SAFOR,2162
2015-06-29,2.9373,3.0775,2.9092,2.9092,XPAR:SAFOR,11431
2015-06-30,2.9373,2.9933,2.9373,2.9793,XPAR:SAFOR,991
2015-07-01,2.8952,3.0003,2.8952,2.9302,XPAR:SAFOR,10658
2015-07-02,3.0003,3.0003,2.8742,2.9232,XPAR:SAFOR,7273
2015-07-03,2.8952,2.9793,2.8812,2.8812,XPAR:SAFOR,7755
2015-07-06,2.8672,2.9373,2.8321,2.8952,XPAR:SAFOR,4124
2015-07-07,2.8461,2.9162,2.8251,2.9162,XPAR:SAFOR,4004
2015-07-08,2.9092,3.2597,2.8742,3.0144,XPAR:SAFOR,51416
2015-07-09,2.9092,3.0074,2.9092,3.0074,XPAR:SAFOR,9111
2015-07-10,2.9583,3.0144,2.8882,2.9793,XPAR:SAFOR,7871
2015-07-13,2.9863,3.0845,2.9443,2.9583,XPAR:SAFOR,15643
2015-07-14,3.2737,3.463,2.9933,2.9933,XPAR:SAFOR,140059
2015-07-15,3.5261,3.8205,3.2808,3.2878,XPAR:SAFOR,353193
2015-07-16,3.5892,3.9888,3.5401,3.9257,XPAR:SAFOR,239766
2015-07-17,3.3368,3.6102,3.3088,3.5261,XPAR:SAFOR,77103
2015-07-20,3.2948,3.3579,3.1896,3.3368,XPAR:SAFOR,44322
2015-07-21,3.2948,3.3649,3.2527,3.3649,XPAR:SAFOR,26079
2015-07-22,3.2597,3.3018,3.2036,3.2527,XPAR:SAFOR,16641
2015-07-23,3.3649,3.435,3.2737,3.3719,XPAR:SAFOR,37069
2015-07-24,3.2948,3.3649,3.2387,3.2878,XPAR:SAFOR,12855
2015-07-27,3.2457,3.3368,3.2317,3.2597,XPAR:SAFOR,7372
2015-07-28,3.2948,3.3789,3.2387,3.2457,XPAR:SAFOR,11607
2015-07-29,3.3719,3.3789,3.2597,3.3579,XPAR:SAFOR,14886
2015-07-30,3.3859,3.3999,3.2948,3.2948,XPAR:SAFOR,5872
2015-07-31,3.2597,3.3298,3.2597,3.3298,XPAR:SAFOR,5153
2015-08-03,3.2387,3.3579,3.1756,3.2667,XPAR:SAFOR,20400
2015-08-04,3.2036,3.2036,3.0915,3.1826,XPAR:SAFOR,24437
2015-08-05,3.0985,3.1546,3.0775,3.1335,XPAR:SAFOR,13521
2015-08-06,3.0144,3.0845,3.0144,3.0704,XPAR:SAFOR,23301
2015-08-07,3.1826,3.2737,3.0144,3.0284,XPAR:SAFOR,31903
2015-08-10,3.1546,3.1896,3.0144,3.0845,XPAR:SAFOR,19849
2015-08-11,3.2036,3.2036,3.0845,3.0845,XPAR:SAFOR,7713
2015-08-12,3.1265,3.1686,3.0144,3.0915,XPAR:SAFOR,11150
2015-08-13,3.1546,3.1546,3.0424,3.0424,XPAR:SAFOR,4989
2015-08-14,3.0775,3.1756,3.0144,3.1756,XPAR:SAFOR,3604
2015-08-17,3.1195,3.1195,2.9723,3.0704,XPAR:SAFOR,9143
2015-08-18,3.0564,3.1476,3.0564,3.1476,XPAR:SAFOR,915
2015-08-19,2.9933,3.0494,2.9723,3.0494,XPAR:SAFOR,5828
2015-08-20,3.0214,3.0985,3.0144,3.0214,XPAR:SAFOR,8524
2015-08-21,2.9443,3.0775,2.9443,3.0775,XPAR:SAFOR,6492
2015-08-24,2.741,2.8742,2.6639,2.8742,XPAR:SAFOR,32893
2015-08-25,2.8742,2.8742,2.6779,2.6989,XPAR:SAFOR,8884
2015-08-26,2.8391,2.8742,2.762,2.8742,XPAR:SAFOR,2489
2015-08-27,2.9793,2.9793,2.783,2.8461,XPAR:SAFOR,6620
2015-08-28,2.9723,3.0144,2.9723,2.9863,XPAR:SAFOR,2395
2015-08-31,2.8111,3.0144,2.8111,3.0144,XPAR:SAFOR,6142
2015-09-01,2.7689999999999997,2.9373,2.755,2.8181,XPAR:SAFOR,9128
2015-09-02,2.748,2.8672,2.748,2.8672,XPAR:SAFOR,3674
2015-09-03,2.8251,2.8391,2.734,2.734,XPAR:SAFOR,6676
2015-09-04,2.9022,2.9373,2.7689999999999997,2.8251,XPAR:SAFOR,3738
2015-09-07,2.9022,2.9162,2.8111,2.9162,XPAR:SAFOR,2696
2015-09-08,2.8251,2.8672,2.8111,2.8111,XPAR:SAFOR,1479
2015-09-09,2.8391,2.8461,2.8111,2.8251,XPAR:SAFOR,8812
2015-09-10,2.7689999999999997,2.8321,2.7689999999999997,2.8041,XPAR:SAFOR,10837
2015-09-11,2.79,2.7969999999999997,2.734,2.7689999999999997,XPAR:SAFOR,16593
2015-09-14,2.7199,2.7969999999999997,2.7129,2.7129,XPAR:SAFOR,3226
2015-09-15,2.7760000000000002,2.7760000000000002,2.6639,2.734,XPAR:SAFOR,22906
2015-09-16,2.7269,2.79,2.6849,2.79,XPAR:SAFOR,10172
2015-09-17,2.762,2.7969999999999997,2.6919,2.7969999999999997,XPAR:SAFOR,10169
2015-09-18,2.6849,3.0144,2.6849,2.8672,XPAR:SAFOR,77576
2015-09-21,2.762,2.7760000000000002,2.7199,2.7760000000000002,XPAR:SAFOR,5208
2015-09-22,2.6078,2.7689999999999997,2.5938,2.7689999999999997,XPAR:SAFOR,19106
2015-09-23,2.6148,2.6639,2.6148,2.6148,XPAR:SAFOR,4005
2015-09-24,2.5096,2.6568,2.4465,2.6008,XPAR:SAFOR,22440
2015-09-25,2.5377,2.5447,2.4676,2.4676,XPAR:SAFOR,2139
2015-09-28,2.4746,2.5727,2.4536,2.5727,XPAR:SAFOR,5531
2015-09-29,2.2783,2.2993,2.2082,2.2432,XPAR:SAFOR,19630
2015-09-30,2.2783,2.3133,2.1872,2.3133,XPAR:SAFOR,15501
2015-10-01,2.2082,2.2152,2.1942,2.1942,XPAR:SAFOR,1376
2015-10-02,2.2362,2.3274,2.1942,2.2012,XPAR:SAFOR,8751
2015-10-05,2.2573,2.3063,2.2292,2.2292,XPAR:SAFOR,2467
2015-10-06,2.2783,2.3133,2.2503,2.2713,XPAR:SAFOR,3636
2015-10-07,2.3133,2.3133,2.2783,2.2853,XPAR:SAFOR,2025
2015-10-08,2.3835,2.3835,2.3133,2.3764,XPAR:SAFOR,4034
2015-10-09,2.4465,2.4465,2.3204,2.3764,XPAR:SAFOR,2369
2015-10-12,2.4465,2.4536,2.3554,2.3554,XPAR:SAFOR,704
2015-10-13,2.3835,2.4395,2.3344,2.4395,XPAR:SAFOR,295
2015-10-14,2.6849,3.1195,2.6639,2.9443,XPAR:SAFOR,196175
2015-10-15,2.734,2.8391,2.5517,2.8321,XPAR:SAFOR,91023
2015-10-16,2.6779,2.734,2.6148,2.6148,XPAR:SAFOR,6494
2015-10-19,2.6568,2.6779,2.6498,2.6779,XPAR:SAFOR,4691
2015-10-20,2.5938,2.6498,2.5727,2.5797,XPAR:SAFOR,10178
2015-10-21,2.6498,2.6568,2.5797,2.6428,XPAR:SAFOR,3907
2015-10-22,2.5867,2.6498,2.5867,2.6498,XPAR:SAFOR,1803
2015-10-23,2.4886,2.5797,2.4886,2.5797,XPAR:SAFOR,9801
2015-10-26,2.4816,2.6428,2.4606,2.5587,XPAR:SAFOR,14230
2015-10-27,2.4465,2.4465,2.3905,2.3975,XPAR:SAFOR,15088
2015-10-28,2.4185,2.4676,2.4115,2.4676,XPAR:SAFOR,3564
2015-10-29,2.3835,2.4185,2.3835,2.4185,XPAR:SAFOR,3947
2015-10-30,2.4045,2.5166,2.3835,2.4536,XPAR:SAFOR,12416
2015-11-02,2.4115,2.5026,2.3835,2.3835,XPAR:SAFOR,4226
2015-11-03,2.5166,2.7059,2.4255,2.6008,XPAR:SAFOR,39752
2015-11-04,2.5166,2.5237,2.4185,2.5237,XPAR:SAFOR,14985
2015-11-05,2.3905,2.5096,2.3204,2.5096,XPAR:SAFOR,15433
2015-11-06,2.3975,2.3975,2.3344,2.3905,XPAR:SAFOR,6327
2015-11-09,2.3414,2.3764,2.3414,2.3414,XPAR:SAFOR,12130
2015-11-10,2.3414,2.3414,2.2993,2.3414,XPAR:SAFOR,13751
2015-11-11,2.3414,2.3624,2.3133,2.3624,XPAR:SAFOR,4979
2015-11-12,2.2713,2.3414,2.2362,2.3414,XPAR:SAFOR,17841
2015-11-13,2.2152,2.3063,2.1731,2.2993,XPAR:SAFOR,13210
2015-11-16,2.1942,2.2432,2.1872,2.2152,XPAR:SAFOR,4329
2015-11-17,2.1942,2.1942,2.1802,2.1942,XPAR:SAFOR,2423
2015-11-18,2.2082,2.2853,2.2082,2.2432,XPAR:SAFOR,12014
2015-11-19,2.2503,2.2503,2.2503,2.2503,XPAR:SAFOR,1246
2015-11-20,2.2152,2.2573,2.2152,2.2573,XPAR:SAFOR,4031
2015-11-23,2.2432,2.2503,2.2432,2.2432,XPAR:SAFOR,1763
2015-11-24,2.2082,2.2292,2.2082,2.2152,XPAR:SAFOR,5409
2015-11-25,2.2082,2.2082,2.1872,2.2082,XPAR:SAFOR,10447
2015-11-26,2.1591,2.1942,2.1521,2.1872,XPAR:SAFOR,14420
2015-11-27,2.1521,2.1661,2.1521,2.1661,XPAR:SAFOR,10046
2015-11-30,2.1521,2.1661,2.1381,2.1661,XPAR:SAFOR,11994
2015-12-01,2.1311,2.1661,2.1171,2.1661,XPAR:SAFOR,6440
2015-12-02,2.1241,2.1521,2.1171,2.1241,XPAR:SAFOR,2199
2015-12-03,2.103,2.1521,2.103,2.1521,XPAR:SAFOR,14959
2015-12-04,2.068,2.1171,2.0329,2.1171,XPAR:SAFOR,7142
2015-12-07,2.0189,2.0469999999999997,1.9839,2.04,XPAR:SAFOR,11229
2015-12-08,2.0329,2.103,1.9628,1.9839,XPAR:SAFOR,34976
2015-12-09,2.096,2.096,1.9699,2.068,XPAR:SAFOR,8536
2015-12-10,2.075,2.103,1.9839,1.9839,XPAR:SAFOR,8210
2015-12-11,2.0189,2.075,1.9699,2.075,XPAR:SAFOR,12827
