Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,52.0,52.65,52.0,52.0,XPAR:SCHP,1499
2000-01-04,52.0,53.5,51.0,52.5,XPAR:SCHP,4336
2000-01-05,52.0,52.0,50.8,50.8,XPAR:SCHP,2143
2000-01-06,57.0,57.0,51.2,51.2,XPAR:SCHP,7525
2000-01-07,57.0,58.0,55.6,57.5,XPAR:SCHP,5521
2000-01-10,56.2,57.3,55.0,55.0,XPAR:SCHP,1975
2000-01-11,58.4,58.4,55.1,55.1,XPAR:SCHP,3307
2000-01-12,57.6,58.0,57.6,58.0,XPAR:SCHP,2106
2000-01-13,61.1,63.0,57.7,57.9,XPAR:SCHP,7425
2000-01-14,67.0,67.0,64.5,66.5,XPAR:SCHP,6121
2000-01-17,64.3,67.0,64.0,66.5,XPAR:SCHP,6766
2000-01-18,61.0,64.7,61.0,62.9,XPAR:SCHP,8272
2000-01-19,61.0,63.0,60.6,62.5,XPAR:SCHP,8441
2000-01-20,67.15,67.25,66.5,66.9,XPAR:SCHP,6957
2000-01-21,67.5,67.9,67.1,67.1,XPAR:SCHP,2811
2000-01-24,66.2,67.4,66.2,67.35,XPAR:SCHP,1221
2000-01-25,66.15,66.9,62.9,66.9,XPAR:SCHP,2405
2000-01-26,67.0,67.5,66.2,67.2,XPAR:SCHP,3440
2000-01-27,68.1,68.1,67.2,68.0,XPAR:SCHP,2006
2000-01-28,68.0,69.15,68.0,68.0,XPAR:SCHP,2173
2000-01-31,69.8,69.8,67.0,68.0,XPAR:SCHP,1522
2000-02-01,73.0,74.8,70.0,73.0,XPAR:SCHP,1069
2000-02-02,77.95,80.4,72.5,74.0,XPAR:SCHP,4362
2000-02-03,81.0,81.0,77.95,79.0,XPAR:SCHP,1724
2000-02-04,81.0,81.0,78.0,80.0,XPAR:SCHP,2997
2000-02-07,82.0,82.0,78.1,80.2,XPAR:SCHP,3013
2000-02-08,81.0,82.0,79.2,82.0,XPAR:SCHP,8701
2000-02-09,80.9,81.0,79.3,80.0,XPAR:SCHP,2936
2000-02-10,77.2,80.0,77.2,80.0,XPAR:SCHP,2739
2000-02-11,76.0,77.0,72.2,77.0,XPAR:SCHP,1287
2000-02-14,74.0,75.0,72.2,72.8,XPAR:SCHP,1120
2000-02-15,70.1,73.0,70.1,72.1,XPAR:SCHP,1333
2000-02-16,70.5,70.5,66.6,70.0,XPAR:SCHP,3025
2000-02-17,73.95,73.95,70.0,70.0,XPAR:SCHP,3739
2000-02-18,75.0,76.0,72.1,74.0,XPAR:SCHP,711
2000-02-21,77.0,78.1,75.0,78.1,XPAR:SCHP,1700
2000-02-22,81.0,81.0,77.0,77.9,XPAR:SCHP,6112
2000-02-23,81.0,82.0,79.1,82.0,XPAR:SCHP,9848
2000-02-24,83.5,84.65,81.1,81.1,XPAR:SCHP,3798
2000-02-25,84.0,85.0,83.0,85.0,XPAR:SCHP,2136
2000-02-28,80.5,85.0,80.5,85.0,XPAR:SCHP,3440
2000-02-29,80.5,81.3,79.0,81.3,XPAR:SCHP,2347
2000-03-01,76.5,80.5,76.5,80.5,XPAR:SCHP,930
2000-03-02,74.7,79.25,74.7,77.75,XPAR:SCHP,2082
2000-03-03,73.0,75.0,71.0,75.0,XPAR:SCHP,2512
2000-03-06,77.0,77.0,71.5,73.0,XPAR:SCHP,2605
2000-03-07,82.85,82.85,75.7,77.0,XPAR:SCHP,3462
2000-03-08,83.7,83.7,79.2,79.2,XPAR:SCHP,1330
2000-03-09,85.0,85.0,81.2,83.85,XPAR:SCHP,2101
2000-03-10,89.6,89.6,85.0,85.1,XPAR:SCHP,1882
2000-03-13,88.9,90.0,85.15,89.6,XPAR:SCHP,3711
2000-03-14,82.9,89.0,82.4,84.5,XPAR:SCHP,1059
2000-03-15,79.15,83.0,76.85,78.8,XPAR:SCHP,1408
2000-03-16,71.55,76.4,71.55,76.0,XPAR:SCHP,2667
2000-03-17,70.0,73.2,68.0,71.0,XPAR:SCHP,3360
2000-03-20,73.4,73.4,68.1,72.0,XPAR:SCHP,1216
2000-03-21,70.7,75.0,70.2,73.0,XPAR:SCHP,670
2000-03-22,72.0,72.0,70.6,70.6,XPAR:SCHP,1925
2000-03-23,68.0,72.0,68.0,72.0,XPAR:SCHP,3739
2000-03-24,65.4,68.0,64.6,68.0,XPAR:SCHP,1556
2000-03-27,67.0,70.0,66.9,70.0,XPAR:SCHP,3002
2000-03-28,67.5,69.9,66.0,66.0,XPAR:SCHP,2102
2000-03-29,68.0,70.0,67.0,70.0,XPAR:SCHP,1703
2000-03-30,70.0,71.0,68.0,70.0,XPAR:SCHP,505
2000-03-31,68.5,70.0,68.0,69.0,XPAR:SCHP,410
2000-04-03,66.5,70.0,65.5,70.0,XPAR:SCHP,994
2000-04-04,63.2,67.95,63.2,65.0,XPAR:SCHP,1013
2000-04-05,60.4,65.0,60.05,65.0,XPAR:SCHP,3400
2000-04-06,62.8,63.0,61.0,61.0,XPAR:SCHP,1130
2000-04-07,67.5,67.5,62.5,62.9,XPAR:SCHP,2116
2000-04-10,64.15,70.0,64.15,68.0,XPAR:SCHP,793
2000-04-11,70.0,70.0,63.15,67.35,XPAR:SCHP,1980
2000-04-12,68.0,69.9,66.5,68.6,XPAR:SCHP,307
2000-04-13,70.0,71.0,68.1,70.0,XPAR:SCHP,4807
2000-04-14,68.4,70.0,66.5,70.0,XPAR:SCHP,6742
2000-04-17,62.0,65.0,61.75,61.75,XPAR:SCHP,3630
2000-04-18,66.5,66.5,62.0,62.0,XPAR:SCHP,218
2000-04-19,70.9,71.5,65.9,65.9,XPAR:SCHP,2373
2000-04-20,68.0,72.0,68.0,70.0,XPAR:SCHP,1590
2000-04-21,68.0,68.0,68.0,68.0,XPAR:SCHP,0
2000-04-24,68.0,68.0,68.0,68.0,XPAR:SCHP,0
2000-04-25,68.0,70.8,68.0,70.0,XPAR:SCHP,876
2000-04-26,68.0,70.0,68.0,68.0,XPAR:SCHP,885
2000-04-27,66.0,68.0,66.0,68.0,XPAR:SCHP,1470
2000-04-28,66.3,67.9,66.3,66.3,XPAR:SCHP,82
2000-05-01,66.3,66.3,66.3,66.3,XPAR:SCHP,0
2000-05-02,65.55,67.0,63.0,65.55,XPAR:SCHP,402
2000-05-03,59.95,62.35,59.8,62.3,XPAR:SCHP,6716
2000-05-04,62.85,62.9,60.0,60.0,XPAR:SCHP,8033
2000-05-05,67.5,67.5,64.5,65.95,XPAR:SCHP,9067
2000-05-08,68.0,68.6,67.95,68.0,XPAR:SCHP,984
2000-05-09,71.4,71.4,68.1,69.0,XPAR:SCHP,5772
2000-05-10,71.4,71.9,69.35,71.9,XPAR:SCHP,552
2000-05-11,70.95,71.0,68.7,70.6,XPAR:SCHP,1023
2000-05-12,70.5,70.95,68.6,70.95,XPAR:SCHP,425
2000-05-15,68.0,70.9,68.0,70.0,XPAR:SCHP,966
2000-05-16,67.0,69.95,67.0,69.95,XPAR:SCHP,716
2000-05-17,65.5,68.05,65.3,67.0,XPAR:SCHP,826
2000-05-18,68.5,68.5,68.1,68.1,XPAR:SCHP,300
2000-05-19,68.6,69.8,68.5,68.55,XPAR:SCHP,827
2000-05-22,69.8,69.8,68.0,69.0,XPAR:SCHP,469
2000-05-23,68.1,70.0,68.1,69.8,XPAR:SCHP,216
2000-05-24,68.0,69.0,68.0,68.1,XPAR:SCHP,443
2000-05-25,68.0,68.0,68.0,68.0,XPAR:SCHP,114
2000-05-26,66.0,68.0,66.0,68.0,XPAR:SCHP,749
2000-05-29,65.1,68.0,65.1,66.0,XPAR:SCHP,5006
2000-05-30,66.5,68.0,65.05,68.0,XPAR:SCHP,594
2000-05-31,67.0,67.0,66.0,66.0,XPAR:SCHP,55
2000-06-01,66.0,66.0,66.0,66.0,XPAR:SCHP,400
2000-06-02,66.0,67.0,66.0,67.0,XPAR:SCHP,438
2000-06-05,67.0,67.0,62.7,62.7,XPAR:SCHP,2704
2000-06-06,66.5,66.8,66.5,66.5,XPAR:SCHP,1559
2000-06-07,65.0,65.0,65.0,65.0,XPAR:SCHP,380
2000-06-08,65.0,66.3,65.0,65.0,XPAR:SCHP,736
2000-06-09,66.2,66.2,66.2,66.2,XPAR:SCHP,177
2000-06-12,66.2,66.2,66.2,66.2,XPAR:SCHP,0
2000-06-13,65.5,65.5,65.0,65.0,XPAR:SCHP,300
2000-06-14,65.5,65.5,65.0,65.0,XPAR:SCHP,448
2000-06-15,66.8,67.6,65.0,65.1,XPAR:SCHP,4071
2000-06-16,66.8,67.2,66.5,67.0,XPAR:SCHP,36241
2000-06-19,68.1,68.1,66.8,67.0,XPAR:SCHP,2824
2000-06-20,69.6,69.9,68.1,68.1,XPAR:SCHP,750
2000-06-21,71.0,71.0,69.0,69.1,XPAR:SCHP,15310
2000-06-22,69.1,70.8,69.0,69.0,XPAR:SCHP,1343
2000-06-23,71.9,71.9,69.0,69.0,XPAR:SCHP,6981
2000-06-26,68.7,71.5,68.7,71.5,XPAR:SCHP,500
2000-06-27,68.1,68.9,68.1,68.9,XPAR:SCHP,892
2000-06-28,67.6,68.7,67.6,68.2,XPAR:SCHP,755
2000-06-29,67.0,68.0,66.5,67.6,XPAR:SCHP,3726
2000-06-30,66.0,67.0,65.1,66.1,XPAR:SCHP,2220
2000-07-03,63.5,67.0,63.0,67.0,XPAR:SCHP,223
2000-07-04,64.9,65.0,64.9,64.9,XPAR:SCHP,697
2000-07-05,61.9,65.0,60.3,65.0,XPAR:SCHP,4370
2000-07-06,60.0,64.9,60.0,60.1,XPAR:SCHP,4350
2000-07-07,61.0,64.0,60.1,60.45,XPAR:SCHP,1508
2000-07-10,60.7,62.0,60.7,61.0,XPAR:SCHP,1251
2000-07-11,57.7,60.7,55.0,60.7,XPAR:SCHP,1411
2000-07-12,60.65,61.95,59.05,61.95,XPAR:SCHP,549
2000-07-13,61.45,61.45,59.05,60.9,XPAR:SCHP,3303
2000-07-14,61.45,61.45,61.45,61.45,XPAR:SCHP,0
2000-07-17,64.45,64.45,61.5,61.5,XPAR:SCHP,2137
2000-07-18,66.0,66.0,63.0,64.4,XPAR:SCHP,8628
2000-07-19,68.0,69.3,66.5,67.3,XPAR:SCHP,4307
2000-07-20,70.0,70.0,66.5,66.5,XPAR:SCHP,6679
2000-07-21,72.9,73.0,69.6,70.0,XPAR:SCHP,5760
2000-07-24,71.0,73.0,70.2,73.0,XPAR:SCHP,2147
2000-07-25,73.0,73.0,70.3,70.3,XPAR:SCHP,1864
2000-07-26,72.0,73.0,71.1,73.0,XPAR:SCHP,845
2000-07-27,73.0,73.0,71.0,71.65,XPAR:SCHP,1459
2000-07-28,71.7,73.0,71.05,71.05,XPAR:SCHP,1497
2000-07-31,73.0,73.1,71.7,71.7,XPAR:SCHP,776
2000-08-01,73.5,75.5,73.5,73.5,XPAR:SCHP,575
2000-08-02,73.5,75.0,73.5,73.7,XPAR:SCHP,1606
2000-08-03,75.3,75.5,73.5,75.0,XPAR:SCHP,2423
2000-08-04,76.0,76.0,75.0,75.0,XPAR:SCHP,3547
2000-08-07,76.55,77.0,75.0,75.0,XPAR:SCHP,3178
2000-08-08,76.5,77.0,76.25,76.4,XPAR:SCHP,766
2000-08-09,77.0,78.0,76.6,76.6,XPAR:SCHP,6311
2000-08-10,76.5,77.9,76.5,77.9,XPAR:SCHP,1089
2000-08-11,77.0,77.0,76.0,77.0,XPAR:SCHP,1289
2000-08-14,78.0,78.0,76.5,76.7,XPAR:SCHP,526
2000-08-15,78.0,78.0,78.0,78.0,XPAR:SCHP,0
2000-08-16,76.0,78.0,76.0,78.0,XPAR:SCHP,355
2000-08-17,76.0,77.5,76.0,76.0,XPAR:SCHP,323
2000-08-18,77.75,77.75,76.0,76.0,XPAR:SCHP,543
2000-08-21,77.0,77.7,76.05,77.7,XPAR:SCHP,1910
2000-08-22,75.8,76.0,74.0,76.0,XPAR:SCHP,1050
2000-08-23,74.9,74.9,74.0,74.0,XPAR:SCHP,189
2000-08-24,75.9,75.9,73.5,74.0,XPAR:SCHP,2700
2000-08-25,76.2,76.2,73.5,75.9,XPAR:SCHP,7021
2000-08-28,76.0,78.0,76.0,77.0,XPAR:SCHP,3593
2000-08-29,77.0,77.9,77.0,77.9,XPAR:SCHP,146
2000-08-30,76.0,76.5,76.0,76.1,XPAR:SCHP,742
2000-08-31,76.0,76.8,76.0,76.0,XPAR:SCHP,380
2000-09-01,76.0,77.7,72.3,72.3,XPAR:SCHP,2194
2000-09-04,79.0,79.0,76.5,76.8,XPAR:SCHP,2313
2000-09-05,81.0,81.0,78.0,78.0,XPAR:SCHP,4106
2000-09-06,82.2,82.2,78.5,81.0,XPAR:SCHP,2497
2000-09-07,82.4,82.4,80.1,81.2,XPAR:SCHP,602
2000-09-08,82.0,84.9,79.5,79.5,XPAR:SCHP,5857
2000-09-11,85.5,85.5,81.1,81.5,XPAR:SCHP,3256
2000-09-12,85.4,86.0,82.7,82.7,XPAR:SCHP,1118
2000-09-13,89.0,89.65,85.15,85.15,XPAR:SCHP,4002
2000-09-14,91.35,92.0,87.0,88.0,XPAR:SCHP,11769
2000-09-15,88.0,91.0,87.1,91.0,XPAR:SCHP,3296
2000-09-18,90.3,92.0,85.6,87.0,XPAR:SCHP,3680
2000-09-19,91.0,92.0,90.0,90.0,XPAR:SCHP,6656
2000-09-20,93.45,95.0,91.0,91.45,XPAR:SCHP,9702
2000-09-21,91.9,92.95,90.3,92.0,XPAR:SCHP,7287
2000-09-22,89.0,91.9,87.5,91.9,XPAR:SCHP,9438
2000-09-25,86.0,89.0,85.0,88.0,XPAR:SCHP,3109
2000-09-26,86.0,87.95,86.0,86.0,XPAR:SCHP,809
2000-09-27,88.0,88.0,83.1,86.0,XPAR:SCHP,1552
2000-09-28,86.0,88.0,86.0,88.0,XPAR:SCHP,377
2000-09-29,87.0,88.6,87.0,87.0,XPAR:SCHP,225
2000-10-02,87.0,88.5,86.3,88.0,XPAR:SCHP,1535
2000-10-03,87.0,88.0,84.0,86.1,XPAR:SCHP,727
2000-10-04,87.0,87.0,86.0,87.0,XPAR:SCHP,1000
2000-10-05,90.0,90.0,88.0,88.1,XPAR:SCHP,1579
2000-10-06,94.4,94.4,90.0,90.0,XPAR:SCHP,4732
2000-10-09,94.0,95.0,91.6,94.4,XPAR:SCHP,9778
2000-10-10,98.3,100.9,92.8,97.8,XPAR:SCHP,8429
2000-10-11,102.0,102.0,95.2,99.0,XPAR:SCHP,16295
2000-10-12,101.5,102.5,100.0,100.0,XPAR:SCHP,4035
2000-10-13,99.4,100.0,97.1,100.0,XPAR:SCHP,3026
2000-10-16,100.0,100.0,97.5,98.0,XPAR:SCHP,3150
2000-10-17,100.0,101.0,97.35,100.0,XPAR:SCHP,3526
2000-10-18,100.8,100.8,98.0,98.0,XPAR:SCHP,1599
2000-10-19,105.8,105.8,100.5,100.5,XPAR:SCHP,2639
2000-10-20,112.2,115.0,105.9,105.9,XPAR:SCHP,11221
2000-10-23,112.0,112.0,107.5,112.0,XPAR:SCHP,970
2000-10-24,110.9,111.0,107.0,110.0,XPAR:SCHP,1288
2000-10-25,109.0,110.0,105.4,110.0,XPAR:SCHP,2466
2000-10-26,103.6,107.0,103.6,107.0,XPAR:SCHP,1296
2000-10-27,97.0,104.0,97.0,104.0,XPAR:SCHP,3099
2000-10-30,98.0,99.0,97.0,97.1,XPAR:SCHP,105
2000-10-31,100.0,100.0,96.0,99.0,XPAR:SCHP,1058
2000-11-01,100.0,100.0,100.0,100.0,XPAR:SCHP,20
2000-11-02,99.35,100.0,95.0,100.0,XPAR:SCHP,533
2000-11-03,96.1,99.65,96.05,96.2,XPAR:SCHP,206
2000-11-06,96.15,99.5,96.1,96.1,XPAR:SCHP,331
2000-11-07,97.5,98.4,96.1,98.35,XPAR:SCHP,5661
2000-11-08,99.0,99.0,97.0,97.15,XPAR:SCHP,2618
2000-11-09,97.0,99.0,96.1,99.0,XPAR:SCHP,460
2000-11-10,92.15,98.7,92.15,98.7,XPAR:SCHP,1450
2000-11-13,87.55,92.9,87.55,92.0,XPAR:SCHP,2611
2000-11-14,94.1,94.1,86.0,86.0,XPAR:SCHP,8309
2000-11-15,103.7,103.7,100.1,100.1,XPAR:SCHP,107946
2000-11-16,101.9,104.4,101.0,103.1,XPAR:SCHP,2887
2000-11-17,101.9,103.0,98.0,103.0,XPAR:SCHP,3911
2000-11-20,100.9,101.8,98.5,101.0,XPAR:SCHP,816
2000-11-21,99.9,100.0,98.1,99.5,XPAR:SCHP,799
2000-11-22,99.85,99.95,96.5,99.95,XPAR:SCHP,608
2000-11-23,98.95,99.7,97.0,97.0,XPAR:SCHP,3737
2000-11-24,100.7,101.5,98.0,98.5,XPAR:SCHP,13355
2000-11-27,100.9,101.0,99.6,100.3,XPAR:SCHP,3493
2000-11-28,100.8,100.9,99.8,100.9,XPAR:SCHP,10572
2000-11-29,100.0,100.4,99.5,100.4,XPAR:SCHP,2616
2000-11-30,100.0,100.0,98.55,100.0,XPAR:SCHP,1378
2000-12-01,99.9,100.0,96.6,98.1,XPAR:SCHP,2646
2000-12-04,98.9,99.0,96.85,96.85,XPAR:SCHP,1860
2000-12-05,98.7,98.8,98.1,98.1,XPAR:SCHP,2731
2000-12-06,97.6,98.8,94.0,98.8,XPAR:SCHP,4434
2000-12-07,95.3,97.0,92.8,97.0,XPAR:SCHP,7915
2000-12-08,93.9,93.9,90.8,92.0,XPAR:SCHP,17291
2000-12-11,93.0,94.0,90.75,94.0,XPAR:SCHP,10411
2000-12-12,92.85,92.95,91.0,92.95,XPAR:SCHP,909
2000-12-13,93.0,93.0,90.0,92.85,XPAR:SCHP,557
2000-12-14,92.8,92.8,90.6,92.5,XPAR:SCHP,1474
2000-12-15,96.5,97.0,91.55,92.2,XPAR:SCHP,66194
2000-12-18,96.3,96.4,93.5,93.5,XPAR:SCHP,363
2000-12-19,96.0,97.0,95.0,96.2,XPAR:SCHP,52558
2000-12-20,95.95,97.0,94.0,97.0,XPAR:SCHP,3899
2000-12-21,96.8,96.8,92.0,94.0,XPAR:SCHP,4396
2000-12-22,93.0,96.8,92.0,96.8,XPAR:SCHP,6181
2000-12-25,93.0,96.8,92.0,96.8,XPAR:SCHP,0
2000-12-26,93.0,96.8,92.0,96.8,XPAR:SCHP,0
2000-12-27,97.4,97.4,90.0,90.0,XPAR:SCHP,43280
2000-12-28,93.7,97.4,93.0,97.4,XPAR:SCHP,9134
2000-12-29,95.8,95.8,93.7,93.7,XPAR:SCHP,226
2001-01-01,95.8,95.8,95.8,95.8,XPAR:SCHP,0
2001-01-02,96.8,96.8,95.0,96.0,XPAR:SCHP,1600
2001-01-03,97.4,97.4,96.0,96.5,XPAR:SCHP,521
2001-01-04,96.5,97.5,94.0,97.5,XPAR:SCHP,2920
2001-01-05,96.6,96.6,95.1,96.6,XPAR:SCHP,674
2001-01-08,97.0,97.5,95.2,96.5,XPAR:SCHP,1200
2001-01-09,97.5,97.5,96.05,97.0,XPAR:SCHP,28101
2001-01-10,97.5,97.5,96.5,97.3,XPAR:SCHP,3101
2001-01-11,98.0,100.0,97.4,97.4,XPAR:SCHP,33864
2001-01-12,100.0,100.0,98.1,99.95,XPAR:SCHP,2852
2001-01-15,101.0,101.0,99.0,99.0,XPAR:SCHP,1543
2001-01-16,102.0,102.0,100.0,101.4,XPAR:SCHP,335
2001-01-17,101.5,103.0,101.0,101.0,XPAR:SCHP,19701
2001-01-18,108.5,110.9,103.0,103.0,XPAR:SCHP,15758
2001-01-19,110.4,112.9,108.5,108.5,XPAR:SCHP,14480
2001-01-22,105.0,110.0,105.0,109.1,XPAR:SCHP,1302
2001-01-23,105.0,107.0,104.5,105.9,XPAR:SCHP,1309
2001-01-24,105.0,107.0,104.5,105.9,XPAR:SCHP,0
2001-01-25,113.5,113.5,107.1,110.3,XPAR:SCHP,7992
2001-01-26,113.5,113.5,107.1,110.3,XPAR:SCHP,0
2001-01-29,114.9,114.9,111.6,114.0,XPAR:SCHP,6384
2001-01-30,112.5,115.0,112.5,115.0,XPAR:SCHP,2020
2001-01-31,112.3,114.0,112.3,114.0,XPAR:SCHP,32135
2001-02-01,112.7,113.7,111.0,113.7,XPAR:SCHP,9935
2001-02-02,113.0,113.0,111.0,111.0,XPAR:SCHP,1678
2001-02-05,111.0,113.4,111.0,113.0,XPAR:SCHP,3342
2001-02-06,112.1,113.4,111.1,112.0,XPAR:SCHP,3081
2001-02-07,113.4,113.4,112.5,112.5,XPAR:SCHP,1374
2001-02-08,113.4,113.4,112.0,112.0,XPAR:SCHP,2697
2001-02-09,115.0,115.0,112.5,113.4,XPAR:SCHP,1976
2001-02-12,116.0,116.0,114.0,115.0,XPAR:SCHP,7197
2001-02-13,115.0,117.0,114.1,116.0,XPAR:SCHP,11525
2001-02-14,114.9,117.0,112.4,115.0,XPAR:SCHP,454
2001-02-15,114.5,115.0,112.3,115.0,XPAR:SCHP,2543
2001-02-16,110.0,114.9,109.0,114.9,XPAR:SCHP,3426
2001-02-19,112.5,112.8,108.2,112.8,XPAR:SCHP,302
2001-02-20,108.2,112.5,106.9,112.5,XPAR:SCHP,894
2001-02-21,108.0,108.0,106.7,107.0,XPAR:SCHP,126
2001-02-22,105.0,110.0,105.0,108.0,XPAR:SCHP,4646
2001-02-23,105.1,110.0,103.1,103.1,XPAR:SCHP,13568
2001-02-26,110.0,110.8,105.1,105.4,XPAR:SCHP,154
2001-02-27,106.1,106.1,106.0,106.0,XPAR:SCHP,35
2001-02-28,106.7,107.6,106.1,106.1,XPAR:SCHP,9260
2001-03-01,107.0,109.3,105.5,105.5,XPAR:SCHP,23101
2001-03-02,107.0,111.8,106.2,106.3,XPAR:SCHP,1396
2001-03-05,107.1,109.0,107.0,107.0,XPAR:SCHP,893
2001-03-06,107.8,112.5,107.2,111.3,XPAR:SCHP,235
2001-03-07,110.0,110.9,110.0,110.9,XPAR:SCHP,109
2001-03-08,107.2,108.5,106.8,107.6,XPAR:SCHP,7941
2001-03-09,107.2,109.0,107.2,107.2,XPAR:SCHP,75
2001-03-12,108.5,108.5,107.0,107.2,XPAR:SCHP,202
2001-03-13,103.1,108.0,103.1,107.0,XPAR:SCHP,4159
