Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,217.4129,218.136,212.5922,212.5922,XPAR:SCR,17839
2000-01-04,211.7245,218.377,210.1819,217.4129,XPAR:SCR,12050
2000-01-05,216.9308,217.4611,209.2659,209.6998,XPAR:SCR,18200
2000-01-06,226.3312,226.3312,215.5328,217.4129,XPAR:SCR,20393
2000-01-07,232.357,232.8391,226.3312,226.5722,XPAR:SCR,25753
2000-01-10,231.3929,233.6104,227.0543,232.8391,XPAR:SCR,13789
2000-01-11,228.4041,231.3929,223.1977,231.3929,XPAR:SCR,8454
2000-01-12,228.5005,228.5005,226.0901,226.524,XPAR:SCR,4059
2000-01-13,231.4893,233.5622,226.6204,228.9825,XPAR:SCR,10095
2000-01-14,231.3929,233.2247,227.5845,232.5981,XPAR:SCR,7782
2000-01-17,235.7315,237.1777,231.8749,233.8032,XPAR:SCR,29465
2000-01-18,241.9984,249.2294,236.2136,236.2136,XPAR:SCR,43666
2000-01-19,239.588,243.2036,236.6956,241.9984,XPAR:SCR,22955
2000-01-20,245.8549,250.6756,238.6239,241.0342,XPAR:SCR,61360
2000-01-21,247.7832,247.7832,239.106,245.8549,XPAR:SCR,38144
2000-01-24,239.4916,244.8908,237.4669,243.4446,XPAR:SCR,22137
2000-01-25,249.7115,250.6756,234.2853,238.6239,XPAR:SCR,29382
2000-01-26,249.7115,249.7115,241.5163,241.5163,XPAR:SCR,12044
2000-01-27,248.2653,248.7473,243.4446,245.8549,XPAR:SCR,10775
2000-01-28,254.5322,256.4604,241.7574,241.7574,XPAR:SCR,18314
2000-01-31,245.8549,254.5322,244.1677,249.7115,XPAR:SCR,4892
2000-02-01,240.7932,250.6756,240.7932,250.6756,XPAR:SCR,10262
2000-02-02,255.4963,260.317,243.4446,243.4446,XPAR:SCR,38059
2000-02-03,251.1577,253.086,247.5422,253.086,XPAR:SCR,15976
2000-02-04,255.4963,255.4963,247.3011,248.2653,XPAR:SCR,15855
2000-02-07,255.4963,268.9942,251.6398,255.4963,XPAR:SCR,25180
2000-02-08,245.8549,255.4963,243.4446,255.2553,XPAR:SCR,13054
2000-02-09,241.0342,250.1936,239.1542,245.8549,XPAR:SCR,46248
2000-02-10,241.0342,243.4446,239.588,241.0342,XPAR:SCR,5706
2000-02-11,240.0701,241.9984,239.588,241.0342,XPAR:SCR,3119
2000-02-14,227.5363,239.588,227.5363,237.1777,XPAR:SCR,6475
2000-02-15,234.8638,239.106,228.9825,228.9825,XPAR:SCR,7804
2000-02-16,226.5722,239.588,225.126,238.6239,XPAR:SCR,7519
2000-02-17,238.6239,238.6239,224.885,227.0543,XPAR:SCR,5070
2000-02-18,234.7674,239.106,229.9467,229.9467,XPAR:SCR,7126
2000-02-21,222.9567,236.2136,220.8356,229.0307,XPAR:SCR,12457
2000-02-22,211.8209,221.7515,205.3612,221.7515,XPAR:SCR,13421
2000-02-23,213.0743,220.3053,212.1101,214.5205,XPAR:SCR,4400
2000-02-24,208.5428,218.8591,207.5305,216.9308,XPAR:SCR,9088
2000-02-25,198.6122,212.1101,193.0684,208.9767,XPAR:SCR,13406
2000-02-28,205.8432,211.8691,202.4206,204.3006,XPAR:SCR,6758
2000-02-29,200.5405,216.5934,200.1066,212.0619,XPAR:SCR,12235
2000-03-01,212.1583,213.3153,204.6381,205.1684,XPAR:SCR,8078
2000-03-02,217.6539,217.6539,208.4464,209.6998,XPAR:SCR,8662
