Date,Close,High,Low,Open,Symbol,Volume
2014-06-25,12.12,12.3,11.93,12.0,XPAR:SEFER,224719
2014-06-26,12.25,12.29,12.02,12.19,XPAR:SEFER,11748
2014-06-27,12.28,12.28,12.15,12.25,XPAR:SEFER,3538
2014-06-30,12.21,12.44,12.16,12.3,XPAR:SEFER,20365
2014-07-01,12.52,12.68,12.16,12.42,XPAR:SEFER,5500
2014-07-02,13.06,13.06,12.6,12.6,XPAR:SEFER,15851
2014-07-03,13.09,13.18,13.0,13.18,XPAR:SEFER,4993
2014-07-04,13.17,13.2,12.95,13.15,XPAR:SEFER,11341
2014-07-07,13.12,13.25,13.11,13.2,XPAR:SEFER,16178
2014-07-08,12.93,13.11,12.66,13.11,XPAR:SEFER,3840
2014-07-09,12.8,12.9,12.7,12.71,XPAR:SEFER,16740
2014-07-10,12.66,12.91,12.5,12.66,XPAR:SEFER,2633
2014-07-11,12.49,12.64,12.49,12.5,XPAR:SEFER,1689
2014-07-14,12.65,12.65,12.55,12.59,XPAR:SEFER,396
2014-07-15,12.51,12.65,12.5,12.65,XPAR:SEFER,895
2014-07-16,12.55,12.63,12.35,12.53,XPAR:SEFER,3000
2014-07-17,12.4,12.54,12.21,12.54,XPAR:SEFER,1927
2014-07-18,12.5,12.5,12.2,12.39,XPAR:SEFER,9620
2014-07-21,12.49,12.5,12.3,12.49,XPAR:SEFER,971
2014-07-22,12.62,12.8,12.36,12.5,XPAR:SEFER,10407
2014-07-23,12.73,12.77,12.61,12.76,XPAR:SEFER,464
2014-07-24,13.12,13.12,12.72,12.72,XPAR:SEFER,3354
2014-07-25,13.0,13.32,13.0,13.1,XPAR:SEFER,4609
2014-07-28,13.15,13.21,12.95,12.95,XPAR:SEFER,1450
2014-07-29,13.18,13.2,13.01,13.2,XPAR:SEFER,4593
2014-07-30,13.19,13.2,13.1,13.18,XPAR:SEFER,789
2014-07-31,13.19,13.2,13.01,13.19,XPAR:SEFER,2341
2014-08-01,13.13,13.2,12.9,13.19,XPAR:SEFER,4864
2014-08-04,13.09,13.2,12.8,13.2,XPAR:SEFER,3501
2014-08-05,13.09,13.25,12.8,13.09,XPAR:SEFER,6082
2014-08-06,12.79,13.09,12.7,13.09,XPAR:SEFER,1309
2014-08-07,12.6,12.79,12.42,12.7,XPAR:SEFER,7564
2014-08-08,12.56,12.6,12.17,12.6,XPAR:SEFER,14213
2014-08-11,12.43,12.5,12.17,12.5,XPAR:SEFER,895
2014-08-12,12.3,12.43,12.18,12.43,XPAR:SEFER,1055
2014-08-13,12.17,12.3,12.17,12.3,XPAR:SEFER,2006
2014-08-14,12.35,12.36,12.17,12.18,XPAR:SEFER,7970
2014-08-15,12.35,12.35,12.35,12.35,XPAR:SEFER,136
2014-08-18,12.54,12.54,12.3,12.35,XPAR:SEFER,2127
2014-08-19,12.9,12.9,12.56,12.56,XPAR:SEFER,1107
2014-08-20,12.9,12.9,12.6,12.9,XPAR:SEFER,11813
2014-08-21,12.7,12.9,12.7,12.9,XPAR:SEFER,696
2014-08-22,12.7,12.72,12.69,12.7,XPAR:SEFER,13089
2014-08-25,12.7,12.8,12.7,12.8,XPAR:SEFER,416
2014-08-26,12.7,12.7,12.55,12.7,XPAR:SEFER,1263
2014-08-27,12.7,12.7,12.6,12.7,XPAR:SEFER,324
2014-08-28,12.8,12.85,12.56,12.7,XPAR:SEFER,10439
2014-08-29,12.71,12.8,12.61,12.8,XPAR:SEFER,1141
2014-09-01,12.5,12.75,12.5,12.71,XPAR:SEFER,13450
2014-09-02,12.56,12.8,12.45,12.45,XPAR:SEFER,50494
