Date,Close,High,Low,Open,Symbol,Volume
2004-05-05,7.15,7.4,6.85,7.3,XPAR:SESG,8412318
2004-05-06,7.25,7.28,7.12,7.2,XPAR:SESG,1145919
2004-05-07,7.39,7.4,7.25,7.25,XPAR:SESG,876108
2004-05-10,6.9,7.37,6.85,7.21,XPAR:SESG,649785
2004-05-11,6.97,7.15,6.85,7.15,XPAR:SESG,414508
2004-05-12,6.88,7.1,6.75,7.0,XPAR:SESG,575463
2004-05-13,6.76,6.95,6.75,6.9,XPAR:SESG,201903
2004-05-14,6.75,6.9,6.56,6.9,XPAR:SESG,2666045
2004-05-17,6.48,6.75,6.45,6.75,XPAR:SESG,382245
2004-05-18,6.5,6.65,6.5,6.57,XPAR:SESG,1002659
2004-05-19,6.6,6.84,6.5,6.84,XPAR:SESG,349141
2004-05-20,6.6,6.72,6.6,6.72,XPAR:SESG,4861
2004-05-21,6.7,6.8,6.65,6.74,XPAR:SESG,50774
2004-05-24,6.75,6.88,6.7,6.7,XPAR:SESG,407275
2004-05-25,6.75,6.75,6.65,6.75,XPAR:SESG,200650
2004-05-26,6.7,6.8,6.7,6.74,XPAR:SESG,934899
2004-05-27,6.6,6.7,6.6,6.7,XPAR:SESG,75667
2004-05-28,6.4,6.7,6.4,6.7,XPAR:SESG,313719
2004-05-31,6.6,6.85,6.5,6.85,XPAR:SESG,130472
2004-06-01,6.5,6.65,6.4,6.65,XPAR:SESG,449460
2004-06-02,6.45,6.53,6.4,6.5,XPAR:SESG,503958
2004-06-03,6.59,6.6,6.51,6.55,XPAR:SESG,575862
2004-06-04,6.74,6.74,6.65,6.65,XPAR:SESG,255357
2004-06-07,6.96,6.96,6.76,6.79,XPAR:SESG,250591
2004-06-08,7.09,7.09,6.88,6.96,XPAR:SESG,218732
2004-06-09,7.26,7.3,7.1,7.13,XPAR:SESG,946594
2004-06-10,7.35,7.4,7.23,7.32,XPAR:SESG,929734
2004-06-11,7.2,7.38,7.15,7.38,XPAR:SESG,50674
2004-06-14,7.27,7.34,7.2,7.3,XPAR:SESG,407944
2004-06-15,7.3,7.35,7.2,7.35,XPAR:SESG,98415
2004-06-16,7.3,7.3,7.25,7.25,XPAR:SESG,36290
2004-06-17,7.25,7.33,7.16,7.3,XPAR:SESG,151987
2004-06-18,6.95,7.15,6.61,7.15,XPAR:SESG,522852
2004-06-21,6.95,7.11,6.9,7.0,XPAR:SESG,142499
2004-06-22,6.96,7.05,6.9,7.05,XPAR:SESG,344455
2004-06-23,6.88,7.03,6.78,7.03,XPAR:SESG,82684
2004-06-24,6.8,6.9,6.71,6.88,XPAR:SESG,676793
2004-06-25,6.75,6.8,6.7,6.77,XPAR:SESG,1050007
2004-06-28,6.9,6.96,6.7,6.75,XPAR:SESG,734360
2004-06-29,6.9,6.95,6.75,6.9,XPAR:SESG,196392
2004-06-30,6.9,6.99,6.9,6.99,XPAR:SESG,210440
2004-07-01,7.07,7.1,7.0,7.0,XPAR:SESG,297239
2004-07-02,7.14,7.14,7.04,7.08,XPAR:SESG,130375
2004-07-05,7.04,7.14,7.01,7.14,XPAR:SESG,67107
2004-07-06,6.98,7.09,6.97,7.09,XPAR:SESG,65762
2004-07-07,7.12,7.15,6.98,7.15,XPAR:SESG,26436
2004-07-08,7.12,7.2,7.08,7.11,XPAR:SESG,284454
2004-07-09,7.18,7.22,7.13,7.2,XPAR:SESG,164315
2004-07-12,7.06,7.19,7.02,7.19,XPAR:SESG,188469
2004-07-13,7.04,7.14,6.95,7.14,XPAR:SESG,227664
2004-07-14,7.03,7.08,7.0,7.05,XPAR:SESG,115105
2004-07-15,7.14,7.17,7.07,7.09,XPAR:SESG,96129
2004-07-16,7.15,7.19,7.1,7.14,XPAR:SESG,135694
2004-07-19,6.97,7.19,6.95,7.15,XPAR:SESG,225177
2004-07-20,7.08,7.14,6.92,7.1,XPAR:SESG,145662
2004-07-21,7.15,7.15,7.0,7.13,XPAR:SESG,359885
2004-07-22,7.05,7.15,6.96,7.15,XPAR:SESG,651415
2004-07-23,7.08,7.1,7.0,7.1,XPAR:SESG,304828
2004-07-26,7.05,7.13,6.95,7.08,XPAR:SESG,150700
2004-07-27,7.07,7.1,7.0,7.1,XPAR:SESG,23403
2004-07-28,6.88,7.1,6.81,7.1,XPAR:SESG,108192
2004-07-29,6.98,7.08,6.95,7.0,XPAR:SESG,30029
2004-07-30,6.99,7.0,6.85,6.92,XPAR:SESG,42147
2004-08-02,6.85,7.08,6.85,7.0,XPAR:SESG,80542
2004-08-03,6.95,7.0,6.88,6.96,XPAR:SESG,267390
2004-08-04,6.97,7.05,6.96,7.05,XPAR:SESG,495303
2004-08-05,6.85,7.02,6.85,7.02,XPAR:SESG,421985
2004-08-06,6.85,6.9,6.75,6.83,XPAR:SESG,591865
2004-08-09,6.8,6.95,6.75,6.95,XPAR:SESG,241454
2004-08-10,6.8,6.85,6.77,6.8,XPAR:SESG,126206
2004-08-11,6.85,6.9,6.7,6.9,XPAR:SESG,274750
2004-08-12,6.83,6.9,6.77,6.88,XPAR:SESG,51829
2004-08-13,6.78,6.85,6.72,6.8,XPAR:SESG,300100
2004-08-16,6.84,6.86,6.75,6.75,XPAR:SESG,558803
2004-08-17,6.85,6.89,6.72,6.8,XPAR:SESG,668611
2004-08-18,7.04,7.04,6.82,6.9,XPAR:SESG,242087
2004-08-19,7.04,7.05,6.9,7.05,XPAR:SESG,266543
2004-08-20,7.0,7.05,6.9,6.9,XPAR:SESG,78072
2004-08-23,7.0,7.1,6.9,7.0,XPAR:SESG,46321
2004-08-24,7.0,7.1,6.83,7.0,XPAR:SESG,305699
2004-08-25,7.02,7.09,6.97,7.09,XPAR:SESG,705669
2004-08-26,6.98,7.07,6.92,7.07,XPAR:SESG,560252
2004-08-27,6.93,6.98,6.85,6.98,XPAR:SESG,87550
2004-08-30,6.94,6.96,6.84,6.84,XPAR:SESG,283900
2004-08-31,6.95,6.97,6.9,6.9,XPAR:SESG,117118
2004-09-01,6.95,7.0,6.95,6.98,XPAR:SESG,264817
2004-09-02,6.9,7.03,6.88,7.03,XPAR:SESG,153915
2004-09-03,6.9,6.94,6.86,6.9,XPAR:SESG,385772
2004-09-06,6.9,6.98,6.89,6.9,XPAR:SESG,225161
2004-09-07,6.85,6.87,6.84,6.87,XPAR:SESG,55347
2004-09-08,6.95,6.95,6.87,6.95,XPAR:SESG,213593
2004-09-09,6.9,6.95,6.87,6.9,XPAR:SESG,46150
2004-09-10,6.95,6.97,6.86,6.95,XPAR:SESG,90497
2004-09-13,6.9,6.95,6.9,6.95,XPAR:SESG,164090
2004-09-14,6.93,6.95,6.85,6.95,XPAR:SESG,44712
2004-09-15,7.07,7.1,6.91,6.91,XPAR:SESG,935426
2004-09-16,7.1,7.1,7.0,7.05,XPAR:SESG,332839
2004-09-17,7.06,7.09,7.0,7.05,XPAR:SESG,88076
2004-09-20,7.13,7.18,7.05,7.1,XPAR:SESG,343062
2004-09-21,7.25,7.26,7.1,7.1,XPAR:SESG,874767
2004-09-22,7.54,7.65,7.28,7.28,XPAR:SESG,1001249
2004-09-23,7.41,7.65,7.4,7.54,XPAR:SESG,534319
2004-09-24,7.44,7.5,7.3,7.47,XPAR:SESG,377820
2004-09-27,7.5,7.55,7.4,7.49,XPAR:SESG,296823
2004-09-28,7.7,7.7,7.48,7.55,XPAR:SESG,678386
2004-09-29,7.95,8.1,7.7,7.8,XPAR:SESG,670917
2004-09-30,7.86,7.96,7.75,7.94,XPAR:SESG,231475
2004-10-01,7.75,7.85,7.75,7.85,XPAR:SESG,503829
2004-10-04,7.85,7.95,7.75,7.9,XPAR:SESG,487182
2004-10-05,7.99,8.0,7.88,7.92,XPAR:SESG,500252
2004-10-06,8.0,8.05,7.94,7.99,XPAR:SESG,236047
2004-10-07,8.0,8.06,8.0,8.05,XPAR:SESG,393980
2004-10-08,8.15,8.3,8.0,8.0,XPAR:SESG,466289
2004-10-11,8.15,8.18,8.01,8.18,XPAR:SESG,228450
2004-10-12,8.0,8.2,8.0,8.15,XPAR:SESG,391433
2004-10-13,8.22,8.22,8.06,8.16,XPAR:SESG,718753
2004-10-14,8.11,8.2,8.1,8.1,XPAR:SESG,374115
2004-10-15,8.18,8.18,8.1,8.18,XPAR:SESG,131257
2004-10-18,8.1,8.28,8.0,8.21,XPAR:SESG,437106
2004-10-19,8.2,8.25,8.05,8.18,XPAR:SESG,43878
2004-10-20,8.2,8.25,8.1,8.1,XPAR:SESG,1884618
2004-10-21,8.07,8.22,8.05,8.21,XPAR:SESG,447742
2004-10-22,8.0,8.19,8.0,8.1,XPAR:SESG,26131
2004-10-25,8.1,8.18,8.0,8.0,XPAR:SESG,311861
2004-10-26,8.1,8.15,8.1,8.1,XPAR:SESG,152124
2004-10-27,8.12,8.15,8.07,8.15,XPAR:SESG,611730
2004-10-28,8.13,8.18,8.1,8.13,XPAR:SESG,483465
2004-10-29,8.1,8.17,8.1,8.15,XPAR:SESG,458899
2004-11-01,8.05,8.12,7.95,8.12,XPAR:SESG,800211
2004-11-02,8.17,8.17,7.99,8.0,XPAR:SESG,260880
2004-11-03,8.4,8.55,8.16,8.17,XPAR:SESG,394077
2004-11-04,8.38,8.43,8.38,8.4,XPAR:SESG,675016
2004-11-05,8.5,8.54,8.38,8.5,XPAR:SESG,790873
2004-11-08,8.32,8.7,8.09,8.47,XPAR:SESG,434237
2004-11-09,8.4,8.45,8.1,8.4,XPAR:SESG,803623
2004-11-10,8.48,8.6,8.35,8.45,XPAR:SESG,1979696
2004-11-11,8.52,8.53,8.45,8.47,XPAR:SESG,1567628
2004-11-12,8.35,8.55,8.25,8.55,XPAR:SESG,218106
2004-11-15,8.5,8.5,8.26,8.35,XPAR:SESG,28641
2004-11-16,8.4,8.53,8.37,8.49,XPAR:SESG,272857
2004-11-17,8.11,8.2,8.07,8.1,XPAR:SESG,2014018
2004-11-18,8.3,8.35,8.12,8.16,XPAR:SESG,4885373
2004-11-19,8.3,8.34,8.23,8.34,XPAR:SESG,651254
2004-11-22,8.27,8.35,8.25,8.35,XPAR:SESG,1273685
2004-11-23,8.39,8.41,8.31,8.35,XPAR:SESG,1376770
2004-11-24,8.48,8.48,8.37,8.39,XPAR:SESG,1305751
2004-11-25,8.85,8.85,8.5,8.5,XPAR:SESG,3033817
2004-11-26,8.75,8.89,8.75,8.8,XPAR:SESG,662815
2004-11-29,8.71,8.8,8.71,8.76,XPAR:SESG,1445433
2004-11-30,8.75,8.89,8.65,8.7,XPAR:SESG,469028
2004-12-01,8.84,8.84,8.55,8.8,XPAR:SESG,1842944
2004-12-02,8.89,8.9,8.83,8.85,XPAR:SESG,653945
2004-12-03,8.95,8.97,8.9,8.9,XPAR:SESG,2006627
2004-12-06,8.86,8.97,8.8,8.96,XPAR:SESG,360016
2004-12-07,8.69,8.9,8.6,8.9,XPAR:SESG,197840
2004-12-08,8.61,8.8,8.57,8.75,XPAR:SESG,922390
2004-12-09,8.58,8.8,8.5,8.61,XPAR:SESG,468988
2004-12-10,8.67,8.75,8.5,8.51,XPAR:SESG,180284
2004-12-13,8.75,8.86,8.6,8.86,XPAR:SESG,289116
2004-12-14,8.68,8.82,8.65,8.82,XPAR:SESG,630811
2004-12-15,8.66,8.8,8.65,8.78,XPAR:SESG,262972
2004-12-16,8.6,8.8,8.6,8.8,XPAR:SESG,168999
2004-12-17,8.8,8.8,8.65,8.7,XPAR:SESG,664175
2004-12-20,9.0,9.0,8.82,8.84,XPAR:SESG,1667683
2004-12-21,9.1,9.1,8.9,9.0,XPAR:SESG,342653
2004-12-22,9.15,9.57,8.96,9.15,XPAR:SESG,1474919
2004-12-23,9.24,9.4,9.15,9.4,XPAR:SESG,105800
2004-12-24,9.4,9.4,9.18,9.18,XPAR:SESG,136019
2004-12-27,9.2,9.43,9.2,9.39,XPAR:SESG,236350
2004-12-28,9.2,9.25,9.18,9.23,XPAR:SESG,166388
2004-12-29,9.23,9.29,9.21,9.26,XPAR:SESG,295384
2004-12-30,9.47,9.47,9.26,9.29,XPAR:SESG,278457
2004-12-31,9.6,9.68,9.45,9.45,XPAR:SESG,341059
2005-01-03,9.5,9.89,9.5,9.89,XPAR:SESG,330051
2005-01-04,9.4,9.55,9.38,9.55,XPAR:SESG,271988
2005-01-05,9.38,9.4,9.35,9.4,XPAR:SESG,267887
2005-01-06,9.37,9.4,9.35,9.4,XPAR:SESG,69249
2005-01-07,9.24,9.4,9.15,9.35,XPAR:SESG,313103
2005-01-10,9.2,9.25,9.1,9.25,XPAR:SESG,651640
2005-01-11,9.27,9.35,9.15,9.18,XPAR:SESG,769254
2005-01-12,9.24,9.39,9.24,9.39,XPAR:SESG,112169
2005-01-13,9.31,9.35,9.28,9.3,XPAR:SESG,238309
2005-01-14,9.35,9.4,9.3,9.4,XPAR:SESG,1953468
2005-01-17,9.35,9.48,9.35,9.35,XPAR:SESG,322283
2005-01-18,9.2,9.3,9.15,9.15,XPAR:SESG,330273
2005-01-19,9.2,9.34,9.13,9.3,XPAR:SESG,814167
2005-01-20,9.08,9.2,9.02,9.13,XPAR:SESG,430649
2005-01-21,9.15,9.25,9.1,9.12,XPAR:SESG,766400
2005-01-24,9.03,9.2,9.01,9.2,XPAR:SESG,174799
2005-01-25,8.97,9.05,8.8,9.02,XPAR:SESG,515866
2005-01-26,9.11,9.25,8.97,9.08,XPAR:SESG,718577
2005-01-27,9.2,9.29,9.02,9.2,XPAR:SESG,595223
2005-01-28,9.3,9.3,9.15,9.15,XPAR:SESG,267262
2005-01-31,9.58,9.58,9.26,9.39,XPAR:SESG,761181
2005-02-01,9.38,9.53,9.3,9.49,XPAR:SESG,480857
2005-02-02,9.4,9.43,9.1,9.31,XPAR:SESG,485115
2005-02-03,9.6,9.6,9.35,9.35,XPAR:SESG,1189302
2005-02-04,9.6,9.65,9.45,9.55,XPAR:SESG,686222
2005-02-07,9.65,9.71,9.5,9.59,XPAR:SESG,398454
2005-02-08,9.63,9.65,9.56,9.63,XPAR:SESG,207637
2005-02-09,9.6,9.68,9.54,9.68,XPAR:SESG,206129
2005-02-10,9.58,9.65,9.55,9.64,XPAR:SESG,608162
2005-02-11,9.9,10.05,9.5,9.65,XPAR:SESG,434336
2005-02-14,9.95,9.97,9.75,9.97,XPAR:SESG,801178
2005-02-15,10.06,10.06,9.9,10.0,XPAR:SESG,1423528
2005-02-16,10.5,10.75,10.08,10.08,XPAR:SESG,3412591
2005-02-17,10.61,10.63,10.4,10.59,XPAR:SESG,2032674
2005-02-18,10.78,10.8,10.54,10.64,XPAR:SESG,819690
2005-02-21,10.19,10.87,9.83,10.85,XPAR:SESG,1542352
2005-02-22,10.41,10.5,9.89,10.15,XPAR:SESG,1109484
2005-02-23,10.46,10.69,10.22,10.22,XPAR:SESG,1072668
2005-02-24,10.43,10.54,10.35,10.5,XPAR:SESG,765703
2005-02-25,10.34,10.5,10.34,10.45,XPAR:SESG,382684
2005-02-28,10.53,10.53,10.02,10.5,XPAR:SESG,428426
2005-03-01,10.65,10.68,10.3,10.49,XPAR:SESG,530636
2005-03-02,11.09,11.33,10.61,10.64,XPAR:SESG,1409761
2005-03-03,10.85,11.24,10.8,11.0,XPAR:SESG,1062337
2005-03-04,11.0,11.06,10.85,10.92,XPAR:SESG,858315
2005-03-07,11.0,11.04,10.89,11.04,XPAR:SESG,187025
2005-03-08,10.94,10.94,10.75,10.9,XPAR:SESG,313459
2005-03-09,10.87,10.95,10.85,10.95,XPAR:SESG,292847
2005-03-10,10.62,10.87,10.5,10.85,XPAR:SESG,646914
2005-03-11,10.58,10.74,10.52,10.63,XPAR:SESG,375776
2005-03-14,10.29,10.6,10.11,10.58,XPAR:SESG,199883
2005-03-15,10.45,10.59,10.3,10.33,XPAR:SESG,151439
2005-03-16,10.45,10.52,10.4,10.45,XPAR:SESG,240756
2005-03-17,10.61,10.61,10.1,10.4,XPAR:SESG,256629
2005-03-18,10.76,10.76,10.35,10.6,XPAR:SESG,596363
2005-03-21,10.47,10.85,10.47,10.58,XPAR:SESG,444916
2005-03-22,10.5,10.6,10.25,10.51,XPAR:SESG,363665
2005-03-23,10.28,10.5,10.18,10.5,XPAR:SESG,305051
2005-03-24,10.06,10.49,10.03,10.3,XPAR:SESG,516432
2005-03-25,10.06,10.49,10.03,10.3,XPAR:SESG,0
2005-03-28,10.06,10.49,10.03,10.3,XPAR:SESG,0
2005-03-29,9.7,10.15,9.7,10.13,XPAR:SESG,502719
2005-03-30,9.75,9.8,9.42,9.8,XPAR:SESG,1424066
2005-03-31,9.99,10.03,9.8,9.8,XPAR:SESG,802332
2005-04-01,10.4,10.53,9.98,9.98,XPAR:SESG,871553
2005-04-04,10.5,10.71,10.31,10.31,XPAR:SESG,617583
2005-04-05,10.4,10.54,10.1,10.5,XPAR:SESG,476217
2005-04-06,10.5,10.55,10.35,10.4,XPAR:SESG,265048
2005-04-07,10.5,10.65,10.25,10.57,XPAR:SESG,180725
2005-04-08,10.6,10.8,10.48,10.63,XPAR:SESG,484129
2005-04-11,10.52,10.81,10.48,10.61,XPAR:SESG,401967
2005-04-12,10.26,10.52,10.2,10.5,XPAR:SESG,364199
2005-04-13,10.45,10.55,10.25,10.3,XPAR:SESG,170892
2005-04-14,10.55,10.59,10.48,10.5,XPAR:SESG,732642
2005-04-15,10.55,10.56,10.4,10.53,XPAR:SESG,466049
2005-04-18,10.3,10.55,10.15,10.45,XPAR:SESG,578078
2005-04-19,10.4,10.55,10.2,10.55,XPAR:SESG,748712
2005-04-20,10.41,10.45,10.35,10.39,XPAR:SESG,431768
2005-04-21,10.37,10.43,10.3,10.4,XPAR:SESG,411750
2005-04-22,10.5,10.51,10.45,10.48,XPAR:SESG,1227352
2005-04-25,10.55,10.65,10.43,10.52,XPAR:SESG,175201
2005-04-26,10.6,10.85,10.5,10.61,XPAR:SESG,915465
2005-04-27,10.4,10.7,10.33,10.61,XPAR:SESG,97248
2005-04-28,10.43,10.64,10.26,10.48,XPAR:SESG,211661
2005-04-29,10.6,10.6,10.25,10.3,XPAR:SESG,513966
2005-05-02,10.6,10.65,10.37,10.37,XPAR:SESG,400901
2005-05-03,10.4,10.65,10.35,10.65,XPAR:SESG,383734
2005-05-04,10.3,10.49,10.2,10.49,XPAR:SESG,380338
2005-05-05,10.34,10.37,10.28,10.31,XPAR:SESG,1327806
2005-05-06,10.5,10.51,10.29,10.35,XPAR:SESG,1044218
2005-05-09,10.5,10.62,10.4,10.54,XPAR:SESG,697361
2005-05-10,10.2,10.66,10.32,10.55,XPAR:SESG,522599
2005-05-11,10.3,10.35,10.23,10.3,XPAR:SESG,282178
2005-05-12,10.28,10.6,10.16,10.35,XPAR:SESG,527129
2005-05-13,10.25,10.33,10.17,10.28,XPAR:SESG,457656
2005-05-16,10.6,10.65,10.25,10.25,XPAR:SESG,486242
2005-05-17,10.39,10.65,10.3,10.65,XPAR:SESG,787758
2005-05-18,10.25,10.42,10.17,10.4,XPAR:SESG,1985075
2005-05-19,10.42,10.45,10.24,10.25,XPAR:SESG,936580
2005-05-20,10.35,10.43,10.3,10.35,XPAR:SESG,277656
2005-05-23,10.34,10.36,10.26,10.35,XPAR:SESG,333284
2005-05-24,10.2,10.36,10.2,10.36,XPAR:SESG,1122350
2005-05-25,10.43,10.45,10.27,10.29,XPAR:SESG,227386
