Date,Close,High,Low,Open,Symbol,Volume
2000-04-28,29.0,29.5,27.75,27.75,XPAR:SFT,33654
2000-05-01,29.0,29.5,27.75,27.75,XPAR:SFT,0
2000-05-02,29.4,29.9,26.1,29.0,XPAR:SFT,15232
2000-05-03,31.0,31.5,28.25,29.0,XPAR:SFT,45717
2000-05-04,35.0,35.0,30.01,30.5,XPAR:SFT,10352
2000-05-05,38.45,40.0,35.0,35.0,XPAR:SFT,12972
2000-05-08,38.0,38.99,37.15,38.99,XPAR:SFT,4685
2000-05-09,37.5,38.5,35.0,35.0,XPAR:SFT,5791
2000-05-10,35.06,37.5,35.0,37.5,XPAR:SFT,5504
2000-05-11,33.75,34.0,33.01,33.65,XPAR:SFT,2149
2000-05-12,34.85,34.99,33.8,33.8,XPAR:SFT,2339
2000-05-15,36.8,37.45,35.31,37.0,XPAR:SFT,10068
2000-05-16,35.2,36.8,35.0,36.8,XPAR:SFT,11935
2000-05-17,35.51,36.2,35.01,35.05,XPAR:SFT,3364
2000-05-18,35.0,35.5,35.0,35.01,XPAR:SFT,4178
2000-05-19,31.7,34.7,30.0,32.0,XPAR:SFT,1646
2000-05-22,29.5,30.05,28.53,30.0,XPAR:SFT,4202
2000-05-23,30.49,30.49,29.01,30.0,XPAR:SFT,2357
2000-05-24,28.0,30.0,26.08,28.0,XPAR:SFT,1204
2000-05-25,32.0,32.88,30.0,30.3,XPAR:SFT,1032
2000-05-26,34.55,34.55,32.0,32.0,XPAR:SFT,803
2000-05-29,33.0,33.75,31.5,31.5,XPAR:SFT,6997
2000-05-30,35.0,35.5,32.0,32.0,XPAR:SFT,9967
2000-05-31,36.7,38.3,33.61,33.61,XPAR:SFT,14159
2000-06-01,36.5,36.5,34.0,36.49,XPAR:SFT,355
2000-06-02,36.7,37.0,36.41,36.5,XPAR:SFT,1910
2000-06-05,36.59,36.7,35.0,35.0,XPAR:SFT,3810
2000-06-06,36.0,36.45,34.1,35.2,XPAR:SFT,6188
2000-06-07,36.0,36.0,33.3,33.3,XPAR:SFT,2280
2000-06-08,35.0,35.0,34.5,34.5,XPAR:SFT,443
2000-06-09,35.8,35.8,34.0,35.0,XPAR:SFT,2970
2000-06-12,35.8,35.8,34.0,35.0,XPAR:SFT,0
2000-06-13,35.0,35.5,35.0,35.0,XPAR:SFT,995
2000-06-14,34.2,35.0,34.0,35.0,XPAR:SFT,410
2000-06-15,32.3,35.0,32.3,34.2,XPAR:SFT,3568
2000-06-16,35.0,35.0,33.75,35.0,XPAR:SFT,1397
2000-06-19,35.0,36.0,34.0,36.0,XPAR:SFT,473
2000-06-20,35.0,35.0,32.5,33.0,XPAR:SFT,2120
2000-06-21,32.5,34.0,32.5,34.0,XPAR:SFT,550
2000-06-22,32.5,33.0,31.26,32.2,XPAR:SFT,2285
2000-06-23,32.0,32.5,30.0,32.5,XPAR:SFT,428
2000-06-26,31.0,31.0,30.0,30.0,XPAR:SFT,667
2000-06-27,32.0,33.0,31.01,32.0,XPAR:SFT,1734
2000-06-28,32.0,32.0,31.01,32.0,XPAR:SFT,2716
2000-06-29,30.1,31.5,30.1,31.5,XPAR:SFT,1643
2000-06-30,30.5,30.5,30.0,30.1,XPAR:SFT,2085
2000-07-03,30.0,32.0,30.0,30.5,XPAR:SFT,348
2000-07-04,30.1,30.1,30.0,30.0,XPAR:SFT,465
2000-07-05,30.0,30.5,30.0,30.5,XPAR:SFT,837
2000-07-06,30.0,30.0,30.0,30.0,XPAR:SFT,115
2000-07-07,29.4,30.0,28.0,30.0,XPAR:SFT,473
2000-07-10,29.5,30.0,29.0,30.0,XPAR:SFT,269
2000-07-11,28.35,28.5,27.0,27.0,XPAR:SFT,272
2000-07-12,27.7,29.5,27.05,28.32,XPAR:SFT,523
2000-07-13,28.03,28.03,27.7,28.0,XPAR:SFT,472
2000-07-14,28.03,28.03,27.7,28.0,XPAR:SFT,0
2000-07-17,28.0,28.0,27.05,27.05,XPAR:SFT,202
2000-07-18,28.5,30.0,27.7,29.0,XPAR:SFT,11466
2000-07-19,29.5,30.0,28.0,30.0,XPAR:SFT,2065
2000-07-20,29.0,29.0,28.0,29.0,XPAR:SFT,298
2000-07-21,29.0,29.5,28.0,29.0,XPAR:SFT,2725
2000-07-24,28.5,28.5,27.5,28.25,XPAR:SFT,1483
2000-07-25,29.48,29.48,27.05,28.5,XPAR:SFT,2608
2000-07-26,30.5,30.9,27.56,27.56,XPAR:SFT,10768
2000-07-27,30.5,30.55,30.0,30.55,XPAR:SFT,313
2000-07-28,30.0,30.0,30.0,30.0,XPAR:SFT,125
2000-07-31,30.0,30.0,30.0,30.0,XPAR:SFT,207
2000-08-01,31.5,31.5,30.0,30.0,XPAR:SFT,9398
2000-08-02,34.5,34.5,32.0,33.0,XPAR:SFT,1635
2000-08-03,36.0,36.8,33.2,34.85,XPAR:SFT,1579
2000-08-04,34.0,36.0,33.6,34.5,XPAR:SFT,1266
2000-08-07,32.13,34.5,30.5,34.5,XPAR:SFT,365
2000-08-08,35.0,35.0,33.5,33.5,XPAR:SFT,3196
2000-08-09,34.9,34.9,32.5,34.9,XPAR:SFT,2885
2000-08-10,34.95,34.95,34.9,34.9,XPAR:SFT,2212
2000-08-11,33.5,33.8,33.5,33.8,XPAR:SFT,142
2000-08-14,33.0,33.7,33.0,33.7,XPAR:SFT,128
2000-08-15,33.0,33.0,31.05,33.0,XPAR:SFT,111
2000-08-16,33.0,33.1,30.5,33.1,XPAR:SFT,440
2000-08-17,31.95,32.5,30.0,32.5,XPAR:SFT,166
2000-08-18,32.0,32.0,31.8,31.8,XPAR:SFT,150
2000-08-21,31.5,32.0,30.5,32.0,XPAR:SFT,490
2000-08-22,31.0,31.0,31.0,31.0,XPAR:SFT,38
2000-08-23,31.0,31.0,30.6,31.0,XPAR:SFT,10120
2000-08-24,31.7,31.7,31.7,31.7,XPAR:SFT,330
2000-08-25,33.75,33.75,32.75,33.0,XPAR:SFT,5197
2000-08-28,33.8,35.0,33.6,33.75,XPAR:SFT,1294
2000-08-29,36.5,36.5,35.0,35.0,XPAR:SFT,2893
2000-08-30,36.5,36.5,33.5,35.0,XPAR:SFT,2623
2000-08-31,37.0,37.0,33.03,33.03,XPAR:SFT,2595
2000-09-01,38.0,39.9,35.5,35.5,XPAR:SFT,909
2000-09-04,38.0,39.0,36.25,39.0,XPAR:SFT,329
2000-09-05,38.5,39.4,38.12,39.0,XPAR:SFT,6849
2000-09-06,38.99,39.0,38.5,38.5,XPAR:SFT,1929
2000-09-07,36.5,38.89,36.5,38.7,XPAR:SFT,3047
2000-09-08,37.95,38.0,36.51,36.51,XPAR:SFT,1400
2000-09-11,37.8,38.0,36.3,38.0,XPAR:SFT,1887
2000-09-12,35.0,37.8,35.0,37.8,XPAR:SFT,677
2000-09-13,34.2,34.5,34.2,34.5,XPAR:SFT,720
2000-09-14,33.1,34.46,32.0,34.2,XPAR:SFT,7832
2000-09-15,32.5,35.0,32.0,33.3,XPAR:SFT,2019
2000-09-18,30.51,35.2,30.15,35.2,XPAR:SFT,1386
2000-09-19,30.0,30.52,29.0,30.1,XPAR:SFT,1010
2000-09-20,29.16,30.2,29.16,30.0,XPAR:SFT,940
2000-09-21,28.35,30.0,27.0,29.5,XPAR:SFT,516
2000-09-22,28.2,28.2,27.6,28.0,XPAR:SFT,510
2000-09-25,29.0,29.0,27.0,28.5,XPAR:SFT,1192
2000-09-26,27.01,28.0,26.7,28.0,XPAR:SFT,556
2000-09-27,27.0,27.0,26.7,26.7,XPAR:SFT,129
2000-09-28,26.51,27.7,24.3,26.7,XPAR:SFT,2900
2000-09-29,27.0,28.45,25.8,26.5,XPAR:SFT,6789
2000-10-02,27.5,28.2,27.5,28.0,XPAR:SFT,416
2000-10-03,26.5,29.46,26.5,27.5,XPAR:SFT,4358
2000-10-04,27.0,27.0,27.0,27.0,XPAR:SFT,250
2000-10-05,27.2,27.2,27.2,27.2,XPAR:SFT,220
2000-10-06,26.0,26.11,26.0,26.11,XPAR:SFT,450
2000-10-09,27.9,27.9,26.0,26.1,XPAR:SFT,527
2000-10-10,28.5,29.7,27.5,27.5,XPAR:SFT,926
2000-10-11,26.0,29.25,26.0,28.0,XPAR:SFT,4155
2000-10-12,27.7,27.9,27.0,27.2,XPAR:SFT,3281
2000-10-13,27.7,27.9,25.0,27.9,XPAR:SFT,880
2000-10-16,28.5,28.5,27.5,27.5,XPAR:SFT,770
2000-10-17,28.5,29.2,28.5,29.2,XPAR:SFT,1459
2000-10-18,26.0,28.0,26.0,27.5,XPAR:SFT,954
2000-10-19,27.5,27.5,26.5,27.0,XPAR:SFT,368
2000-10-20,27.5,27.5,26.0,26.0,XPAR:SFT,250
2000-10-23,27.5,28.0,27.0,28.0,XPAR:SFT,504
2000-10-24,25.2,26.5,25.2,25.6,XPAR:SFT,1063
2000-10-25,26.8,26.8,24.6,25.5,XPAR:SFT,1884
2000-10-26,26.4,27.5,24.26,26.8,XPAR:SFT,14185
2000-10-27,24.81,26.4,24.81,26.4,XPAR:SFT,1299
2000-10-30,25.0,26.0,25.0,26.0,XPAR:SFT,665
2000-10-31,23.95,25.2,23.95,25.1,XPAR:SFT,2554
2000-11-01,23.95,24.0,23.95,24.0,XPAR:SFT,400
2000-11-02,23.9,24.0,21.6,24.0,XPAR:SFT,600
2000-11-03,22.5,23.8,22.03,23.8,XPAR:SFT,2137
2000-11-06,23.0,23.0,22.5,22.5,XPAR:SFT,900
2000-11-07,23.0,23.0,22.5,22.5,XPAR:SFT,2536
2000-11-08,23.0,23.4,22.5,23.4,XPAR:SFT,1291
2000-11-09,23.0,23.4,22.5,23.4,XPAR:SFT,759
2000-11-10,22.4,23.4,21.4,23.4,XPAR:SFT,1320
2000-11-13,22.4,22.5,20.5,22.5,XPAR:SFT,2245
2000-11-14,23.45,23.45,21.0,21.0,XPAR:SFT,2081
2000-11-15,24.7,24.7,23.5,23.5,XPAR:SFT,1030
2000-11-16,25.5,25.5,25.0,25.3,XPAR:SFT,636
2000-11-17,25.0,25.5,24.0,25.5,XPAR:SFT,4607
2000-11-20,24.0,25.0,22.75,25.0,XPAR:SFT,1591
2000-11-21,25.3,25.3,23.55,23.55,XPAR:SFT,1045
2000-11-22,24.0,24.75,24.0,24.75,XPAR:SFT,200
2000-11-23,24.0,24.75,24.0,24.75,XPAR:SFT,0
2000-11-24,23.89,23.89,23.5,23.5,XPAR:SFT,53
2000-11-27,22.8,23.5,22.8,23.5,XPAR:SFT,300
2000-11-28,23.2,24.0,23.2,23.9,XPAR:SFT,2700
2000-11-29,22.4,22.8,22.4,22.8,XPAR:SFT,700
2000-11-30,22.0,22.4,22.0,22.4,XPAR:SFT,300
2000-12-01,22.0,22.0,21.5,22.0,XPAR:SFT,79
2000-12-04,22.5,23.0,22.5,23.0,XPAR:SFT,500
2000-12-05,20.5,21.5,20.5,20.5,XPAR:SFT,1600
2000-12-06,21.3,22.0,20.51,22.0,XPAR:SFT,2500
2000-12-07,20.0,21.0,19.81,19.81,XPAR:SFT,900
2000-12-08,20.0,21.0,19.81,19.81,XPAR:SFT,0
2000-12-11,20.0,21.0,19.81,19.81,XPAR:SFT,0
2000-12-12,20.0,20.0,19.1,20.0,XPAR:SFT,60
2000-12-13,21.0,21.0,20.5,20.5,XPAR:SFT,1300
2000-12-14,21.0,21.0,20.5,20.5,XPAR:SFT,0
2000-12-15,19.1,20.0,19.1,20.0,XPAR:SFT,100
2000-12-18,17.95,18.1,17.3,18.1,XPAR:SFT,100
2000-12-19,17.5,18.0,17.5,18.0,XPAR:SFT,500
2000-12-20,16.3,16.5,15.75,15.8,XPAR:SFT,1000
2000-12-21,15.0,15.75,15.0,15.5,XPAR:SFT,19900
2000-12-22,15.0,16.0,15.0,16.0,XPAR:SFT,2200
2000-12-25,15.0,16.0,15.0,16.0,XPAR:SFT,0
2000-12-26,15.0,16.0,15.0,16.0,XPAR:SFT,0
2000-12-27,15.25,15.5,15.1,15.1,XPAR:SFT,600
2000-12-28,16.75,16.75,16.0,16.0,XPAR:SFT,2100
2000-12-29,17.3,17.3,16.5,17.3,XPAR:SFT,900
2001-01-01,17.3,17.3,16.5,17.3,XPAR:SFT,0
2001-01-02,20.97,20.97,19.0,19.0,XPAR:SFT,350
2001-01-03,21.0,21.0,21.0,21.0,XPAR:SFT,50
2001-01-04,17.8,21.0,17.8,21.0,XPAR:SFT,946
2001-01-05,17.0,17.0,17.0,17.0,XPAR:SFT,50
2001-01-08,15.0,15.0,15.0,15.0,XPAR:SFT,809
2001-01-09,13.8,15.0,13.7,15.0,XPAR:SFT,801
2001-01-10,13.06,14.0,13.06,13.7,XPAR:SFT,765
2001-01-11,14.0,14.0,12.8,12.8,XPAR:SFT,490
2001-01-12,14.0,14.0,13.5,13.95,XPAR:SFT,1635
2001-01-15,13.64,14.0,12.6,14.0,XPAR:SFT,1984
2001-01-16,13.4,13.6,13.4,13.6,XPAR:SFT,815
2001-01-17,12.61,13.2,12.6,13.0,XPAR:SFT,1735
2001-01-18,13.76,14.61,13.67,14.52,XPAR:SFT,11045
2001-01-19,15.28,15.28,14.0,14.0,XPAR:SFT,20356
2001-01-22,16.8,17.35,16.0,16.0,XPAR:SFT,8829
2001-01-23,17.6,18.3,17.05,18.3,XPAR:SFT,8179
2001-01-24,17.6,18.3,17.05,18.3,XPAR:SFT,0
2001-01-25,16.5,16.74,16.2,16.25,XPAR:SFT,870
2001-01-26,16.5,16.74,16.2,16.25,XPAR:SFT,0
2001-01-29,15.81,16.23,15.81,16.23,XPAR:SFT,1951
2001-01-30,15.8,15.89,15.8,15.85,XPAR:SFT,1510
2001-01-31,15.8,16.15,15.8,16.1,XPAR:SFT,1315
