Date,Close,High,Low,Open,Symbol,Volume
2016-07-13,8.15,8.59,8.1,8.24,XPAR:SIGHT,11146
2016-07-14,8.4,8.44,8.3,8.35,XPAR:SIGHT,4018
2016-07-15,8.25,8.49,8.15,8.44,XPAR:SIGHT,2290
2016-07-18,8.0,8.44,8.0,8.44,XPAR:SIGHT,13265
2016-07-19,8.09,8.14,8.0,8.1,XPAR:SIGHT,6151
2016-07-20,8.08,8.08,8.0,8.0,XPAR:SIGHT,17467
2016-07-21,8.0,8.08,8.0,8.08,XPAR:SIGHT,7282
2016-07-22,8.05,8.06,8.0,8.0,XPAR:SIGHT,11162
2016-07-25,8.0,8.09,8.0,8.07,XPAR:SIGHT,10810
2016-07-26,8.0,8.08,8.0,8.0,XPAR:SIGHT,5491
2016-07-27,8.0,8.0,8.0,8.0,XPAR:SIGHT,5810
2016-07-28,8.0,8.07,8.0,8.0,XPAR:SIGHT,6226
2016-07-29,8.0,8.06,8.0,8.06,XPAR:SIGHT,2462
2016-08-01,8.0,8.0,8.0,8.0,XPAR:SIGHT,8636
2016-08-02,8.0,8.0,8.0,8.0,XPAR:SIGHT,296
2016-08-03,8.0,8.07,8.0,8.07,XPAR:SIGHT,4450
2016-08-04,8.06,8.06,8.0,8.0,XPAR:SIGHT,120
2016-08-05,8.07,8.07,8.01,8.01,XPAR:SIGHT,112
2016-08-08,8.01,8.38,8.01,8.07,XPAR:SIGHT,1701
2016-08-09,8.04,8.04,8.02,8.04,XPAR:SIGHT,1263
2016-08-10,8.29,8.29,8.04,8.04,XPAR:SIGHT,620
2016-08-11,8.2,8.38,8.14,8.35,XPAR:SIGHT,2003
2016-08-12,8.19,8.32,8.19,8.28,XPAR:SIGHT,971
2016-08-15,8.15,8.19,8.12,8.19,XPAR:SIGHT,1000
2016-08-16,8.09,8.18,8.09,8.14,XPAR:SIGHT,809
2016-08-17,8.08,8.11,8.08,8.09,XPAR:SIGHT,201
2016-08-18,8.0,8.15,8.0,8.08,XPAR:SIGHT,1978
2016-08-19,8.01,8.05,7.72,8.0,XPAR:SIGHT,1742
2016-08-22,8.0,8.01,8.0,8.01,XPAR:SIGHT,816
2016-08-23,8.05,8.05,8.0,8.0,XPAR:SIGHT,1145
2016-08-24,8.0,8.1,7.96,8.05,XPAR:SIGHT,1005
2016-08-25,8.0,8.14,8.0,8.14,XPAR:SIGHT,348
2016-08-26,7.98,8.0,7.86,8.0,XPAR:SIGHT,1383
2016-08-29,7.98,8.2,7.98,8.2,XPAR:SIGHT,861
2016-08-30,8.01,8.01,7.99,7.99,XPAR:SIGHT,647
2016-08-31,8.0,8.01,7.98,8.01,XPAR:SIGHT,1498
2016-09-01,8.0,8.59,8.0,8.05,XPAR:SIGHT,3195
2016-09-02,9.0,10.82,8.51,8.7,XPAR:SIGHT,54886
2016-09-05,8.61,9.25,8.61,9.25,XPAR:SIGHT,10754
2016-09-06,9.5,10.1,8.61,8.67,XPAR:SIGHT,25218
2016-09-07,9.4,9.79,9.4,9.49,XPAR:SIGHT,10994
2016-09-08,9.39,9.7,9.31,9.5,XPAR:SIGHT,16089
2016-09-09,9.5,9.76,9.31,9.44,XPAR:SIGHT,7321
2016-09-12,9.5,9.5,9.31,9.5,XPAR:SIGHT,2362
