Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,14.9,15.0,14.9,14.92,XPAR:SO,3545
2000-01-04,14.94,15.0,14.8,14.88,XPAR:SO,4220
2000-01-05,14.7,15.2,14.7,15.2,XPAR:SO,7670
2000-01-06,15.0,15.0,14.7,14.71,XPAR:SO,10615
2000-01-07,14.74,15.0,14.68,15.0,XPAR:SO,18710
2000-01-10,15.0,15.0,14.9,14.96,XPAR:SO,22775
2000-01-11,15.2,15.2,14.91,15.0,XPAR:SO,231540
2000-01-12,15.26,15.8,15.2,15.28,XPAR:SO,14935
2000-01-13,15.04,15.4,15.0,15.4,XPAR:SO,3490
2000-01-14,15.4,15.4,15.04,15.04,XPAR:SO,1350
2000-01-17,15.38,15.41,15.0,15.4,XPAR:SO,3150
2000-01-18,15.38,15.38,15.0,15.2,XPAR:SO,2435
2000-01-19,15.08,15.24,15.0,15.24,XPAR:SO,8140
2000-01-20,15.12,15.24,15.12,15.24,XPAR:SO,3790
2000-01-21,15.25,15.25,15.0,15.0,XPAR:SO,6280
2000-01-24,15.04,15.25,15.0,15.24,XPAR:SO,7894
2000-01-25,15.0,15.0,15.0,15.0,XPAR:SO,135
2000-01-26,15.0,15.27,15.0,15.0,XPAR:SO,1315
2000-01-27,15.0,15.28,15.0,15.0,XPAR:SO,18195
2000-01-28,15.0,15.2,15.0,15.0,XPAR:SO,3505
2000-01-31,14.9,15.16,14.9,15.0,XPAR:SO,17245
2000-02-01,15.0,15.13,14.9,14.9,XPAR:SO,7135
2000-02-02,15.39,15.4,15.0,15.0,XPAR:SO,8455
2000-02-03,15.46,15.46,15.04,15.04,XPAR:SO,7155
2000-02-04,15.0,15.12,15.0,15.0,XPAR:SO,1600
2000-02-07,15.44,15.45,15.0,15.0,XPAR:SO,5235
2000-02-08,15.26,15.46,15.26,15.46,XPAR:SO,2775
2000-02-09,15.45,15.46,15.0,15.26,XPAR:SO,2850
2000-02-10,15.0,15.2,15.0,15.2,XPAR:SO,1495
2000-02-11,15.2,15.2,15.0,15.0,XPAR:SO,1200
2000-02-14,15.2,15.38,15.2,15.2,XPAR:SO,3350
2000-02-15,15.0,15.36,15.0,15.2,XPAR:SO,4925
2000-02-16,15.0,15.0,14.9,15.0,XPAR:SO,9885
2000-02-17,14.9,15.0,14.8,15.0,XPAR:SO,4440
2000-02-18,14.8,14.94,14.65,14.94,XPAR:SO,2930
2000-02-21,14.44,14.9,14.44,14.9,XPAR:SO,4400
2000-02-22,14.38,14.6,14.36,14.6,XPAR:SO,6125
2000-02-23,14.41,15.36,14.3,14.6,XPAR:SO,2200
2000-02-24,15.2,15.36,14.44,14.7,XPAR:SO,6065
2000-02-25,14.8,15.27,14.8,15.27,XPAR:SO,2765
2000-02-28,14.8,14.8,14.63,14.8,XPAR:SO,1965
2000-02-29,14.5,14.63,14.42,14.63,XPAR:SO,3100
2000-03-01,14.8,14.8,14.56,14.6,XPAR:SO,14950
2000-03-02,14.8,14.8,14.6,14.8,XPAR:SO,1915
2000-03-03,14.8,14.8,14.6,14.6,XPAR:SO,5715
2000-03-06,14.6,14.8,14.4,14.6,XPAR:SO,6595
2000-03-07,14.42,14.8,14.42,14.6,XPAR:SO,865
2000-03-08,14.44,14.5,14.42,14.42,XPAR:SO,1590
2000-03-09,14.68,14.8,14.3,14.8,XPAR:SO,3050
2000-03-10,14.42,14.5,14.4,14.5,XPAR:SO,1900
2000-03-13,14.42,14.68,14.4,14.42,XPAR:SO,3070
2000-03-14,14.46,14.68,14.42,14.42,XPAR:SO,1685
2000-03-15,14.42,14.8,14.42,14.44,XPAR:SO,4340
2000-03-16,14.3,14.44,14.3,14.44,XPAR:SO,1525
2000-03-17,14.46,14.46,14.3,14.3,XPAR:SO,675
2000-03-20,14.24,14.6,14.22,14.22,XPAR:SO,1880
2000-03-21,14.2,14.25,14.2,14.25,XPAR:SO,2365
2000-03-22,14.21,14.21,14.21,14.21,XPAR:SO,520
2000-03-23,14.2,14.3,14.16,14.2,XPAR:SO,1820
2000-03-24,14.04,14.16,14.04,14.16,XPAR:SO,1315
2000-03-27,14.2,14.5,14.17,14.5,XPAR:SO,1060
2000-03-28,13.99,14.5,12.8,14.5,XPAR:SO,12450
2000-03-29,14.14,14.17,14.0,14.0,XPAR:SO,3230
2000-03-30,14.36,14.4,14.02,14.16,XPAR:SO,2265
2000-03-31,14.04,14.2,14.04,14.2,XPAR:SO,1870
2000-04-03,14.4,14.4,14.18,14.4,XPAR:SO,4870
2000-04-04,14.36,14.4,14.1,14.1,XPAR:SO,3595
2000-04-05,14.0,14.4,14.0,14.4,XPAR:SO,11955
2000-04-06,14.36,14.4,14.02,14.02,XPAR:SO,1125
2000-04-07,14.4,14.4,14.02,14.4,XPAR:SO,3255
2000-04-10,14.04,14.44,14.0,14.2,XPAR:SO,2385
2000-04-11,14.0,14.2,13.82,14.0,XPAR:SO,4650
2000-04-12,13.8,14.2,13.8,14.2,XPAR:SO,2275
2000-04-13,14.0,14.0,13.8,13.8,XPAR:SO,1165
2000-04-14,14.0,14.0,13.81,13.81,XPAR:SO,1375
2000-04-17,13.81,14.0,13.65,13.65,XPAR:SO,4830
2000-04-18,13.81,14.0,13.81,14.0,XPAR:SO,815
2000-04-19,13.72,13.99,13.65,13.8,XPAR:SO,2220
2000-04-20,13.78,14.63,13.0,13.0,XPAR:SO,2060
2000-04-21,13.78,13.78,13.78,13.78,XPAR:SO,0
2000-04-24,13.78,13.78,13.78,13.78,XPAR:SO,0
2000-04-25,14.0,14.0,13.84,14.0,XPAR:SO,1705
2000-04-26,14.0,14.0,13.8,14.0,XPAR:SO,1140
2000-04-27,13.88,14.0,13.8,14.0,XPAR:SO,1080
2000-04-28,14.0,14.0,13.88,14.0,XPAR:SO,890
2000-05-01,14.0,14.0,14.0,14.0,XPAR:SO,0
2000-05-02,14.0,14.0,13.95,14.0,XPAR:SO,1300
2000-05-03,13.85,13.85,13.8,13.8,XPAR:SO,1085
2000-05-04,13.85,13.85,13.78,13.84,XPAR:SO,640
2000-05-05,13.79,13.86,13.79,13.86,XPAR:SO,3805
2000-05-08,13.77,13.9,13.61,13.9,XPAR:SO,725
2000-05-09,13.6,14.0,13.5,13.75,XPAR:SO,5715
2000-05-10,13.6,13.97,13.6,13.6,XPAR:SO,1475
2000-05-11,13.6,13.8,13.6,13.77,XPAR:SO,1350
2000-05-12,13.6,14.0,13.6,13.6,XPAR:SO,1250
2000-05-15,14.0,14.0,13.5,13.6,XPAR:SO,10260
2000-05-16,13.8,14.0,13.7,13.97,XPAR:SO,2850
2000-05-17,13.7,13.85,13.7,13.85,XPAR:SO,2505
2000-05-18,13.63,13.99,13.63,13.99,XPAR:SO,8140
2000-05-19,13.5,13.67,13.5,13.63,XPAR:SO,5155
