Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,14.1,14.1,14.1,14.1,XPAR:SOG,3416
2000-01-04,13.925,13.925,13.925,13.925,XPAR:SOG,3084
2000-01-05,13.925,13.925,13.925,13.925,XPAR:SOG,0
2000-01-06,13.025,13.025,12.525,12.525,XPAR:SOG,8376
2000-01-07,13.025,13.025,13.025,13.025,XPAR:SOG,1300
2000-01-10,12.75,12.75,12.75,12.75,XPAR:SOG,3504
2000-01-11,12.875,13.0,12.875,13.0,XPAR:SOG,13436
2000-01-12,12.725,12.725,12.5625,12.5625,XPAR:SOG,4736
2000-01-13,12.875,12.875,12.75,12.75,XPAR:SOG,7955
2000-01-14,13.0,13.0,12.875,12.875,XPAR:SOG,3820
2000-01-17,12.925,12.925,12.925,12.925,XPAR:SOG,4432
2000-01-18,12.85,13.0,12.85,13.0,XPAR:SOG,7756
2000-01-19,12.75,12.75,12.75,12.75,XPAR:SOG,5464
2000-01-20,12.75,12.75,12.75,12.75,XPAR:SOG,0
2000-01-21,15.25,15.25,14.75,14.75,XPAR:SOG,29092
2000-01-24,16.75,16.75,16.75,16.75,XPAR:SOG,15276
2000-01-25,16.5,16.5,16.5,16.5,XPAR:SOG,13416
2000-01-26,16.5,16.625,16.5,16.625,XPAR:SOG,9368
2000-01-27,16.0,16.375,16.0,16.375,XPAR:SOG,6700
2000-01-28,16.25,16.25,16.0,16.0,XPAR:SOG,4392
2000-01-31,15.6,15.6,15.5,15.5,XPAR:SOG,5868
2000-02-01,16.0,16.2,16.0,16.2,XPAR:SOG,3056
2000-02-02,16.25,16.25,16.0,16.0,XPAR:SOG,4176
2000-02-03,15.375,16.0,15.375,16.0,XPAR:SOG,9084
2000-02-04,16.2,16.2,15.75,15.75,XPAR:SOG,2952
2000-02-07,16.5,16.5,16.25,16.25,XPAR:SOG,10116
2000-02-08,16.6125,16.625,16.6125,16.625,XPAR:SOG,8628
2000-02-09,17.125,17.125,17.0,17.0,XPAR:SOG,3972
2000-02-10,16.775,16.775,16.7625,16.7625,XPAR:SOG,3644
2000-02-11,17.0,17.0,16.65,16.65,XPAR:SOG,3320
2000-02-14,17.125,17.125,17.0,17.0,XPAR:SOG,4704
2000-02-15,17.8,17.8,17.8,17.8,XPAR:SOG,6196
2000-02-16,17.8,17.8,17.8,17.8,XPAR:SOG,0
2000-02-17,19.75,20.5875,19.75,20.5875,XPAR:SOG,20160
2000-02-18,20.125,20.125,19.875,19.875,XPAR:SOG,3800
2000-02-21,18.75,19.125,18.75,19.125,XPAR:SOG,5312
2000-02-22,17.5,17.5,17.5,17.5,XPAR:SOG,4988
2000-02-23,17.5,17.5,17.375,17.375,XPAR:SOG,2860
2000-02-24,18.775,18.775,18.775,18.775,XPAR:SOG,4892
2000-02-25,20.5,20.5,20.5,20.5,XPAR:SOG,6832
2000-02-28,19.75,19.75,19.75,19.75,XPAR:SOG,7088
2000-02-29,21.0,21.0,20.5,20.5,XPAR:SOG,10144
2000-03-01,23.15,23.15,23.15,23.15,XPAR:SOG,11836
2000-03-02,22.5,22.5,22.025,22.025,XPAR:SOG,14096
2000-03-03,21.775,21.875,21.775,21.875,XPAR:SOG,10012
2000-03-06,23.75,23.75,23.75,23.75,XPAR:SOG,31620
2000-03-07,26.0,26.0,26.0,26.0,XPAR:SOG,24060
2000-03-08,25.0,25.25,25.0,25.25,XPAR:SOG,18136
2000-03-09,25.75,25.75,25.75,25.75,XPAR:SOG,9760
2000-03-10,25.875,25.9,25.875,25.9,XPAR:SOG,4524
2000-03-13,25.75,25.9,25.75,25.9,XPAR:SOG,11176
2000-03-14,25.525,25.525,25.0,25.0,XPAR:SOG,6768
2000-03-15,25.525,25.525,25.0,25.0,XPAR:SOG,0
2000-03-16,20.8,20.8,20.8,20.8,XPAR:SOG,18304
2000-03-17,22.925,22.925,22.925,22.925,XPAR:SOG,3068
2000-03-20,23.0,23.0,22.525,22.525,XPAR:SOG,4380
2000-03-21,21.75,21.85,21.75,21.85,XPAR:SOG,4692
2000-03-22,22.45,22.5,22.45,22.5,XPAR:SOG,3272
2000-03-23,22.45,22.5,22.45,22.5,XPAR:SOG,0
2000-03-24,21.0,21.0,21.0,21.0,XPAR:SOG,9572
2000-03-27,22.5,22.5,22.05,22.05,XPAR:SOG,2716
2000-03-28,22.875,22.875,22.05,22.05,XPAR:SOG,4132
2000-03-29,21.25,21.25,21.25,21.25,XPAR:SOG,3208
2000-03-30,19.1875,19.1875,19.1875,19.1875,XPAR:SOG,6828
2000-03-31,18.525,18.525,18.525,18.525,XPAR:SOG,4756
2000-04-03,18.5,19.875,18.5,19.1,XPAR:SOG,5544
2000-04-04,16.7125,17.0,16.7125,16.7125,XPAR:SOG,9240
2000-04-05,15.125,15.5,15.1125,15.1125,XPAR:SOG,5588
2000-04-06,16.5,16.5,15.0,15.0,XPAR:SOG,5164
2000-04-07,18.0,18.0,17.0,18.0,XPAR:SOG,5160
2000-04-10,19.05,19.75,18.9,18.9,XPAR:SOG,6688
2000-04-11,18.075,18.5,17.225,18.5,XPAR:SOG,9296
2000-04-12,18.75,18.975,18.0,18.0,XPAR:SOG,1572
2000-04-13,18.7,18.7,17.8125,17.8125,XPAR:SOG,4152
2000-04-14,19.35,19.5,18.25,18.675,XPAR:SOG,4055
2000-04-17,17.95,17.95,17.475,17.5,XPAR:SOG,9404
2000-04-18,17.25,18.25,17.25,17.5,XPAR:SOG,2860
2000-04-19,18.1125,18.1125,17.125,17.575,XPAR:SOG,516
2000-04-20,18.45,18.475,17.2125,17.2125,XPAR:SOG,3640
2000-04-21,18.45,18.475,17.2125,17.2125,XPAR:SOG,0
2000-04-24,18.45,18.475,17.2125,17.2125,XPAR:SOG,0
2000-04-25,17.6125,18.2375,17.5375,17.5375,XPAR:SOG,2220
2000-04-26,18.0,18.225,17.75,17.7625,XPAR:SOG,2056
2000-04-27,18.475,18.475,17.3,17.3,XPAR:SOG,2852
2000-04-28,18.75,18.75,17.775,17.775,XPAR:SOG,368
2000-05-01,18.75,18.75,17.775,17.775,XPAR:SOG,0
2000-05-02,18.75,19.625,17.825,18.1,XPAR:SOG,4876
2000-05-03,18.925,19.0,17.8375,18.75,XPAR:SOG,4712
2000-05-04,19.0,19.7,18.25,18.275,XPAR:SOG,21696
2000-05-05,18.5,19.5,18.5,18.8125,XPAR:SOG,5616
2000-05-08,18.5,18.5,18.5,18.5,XPAR:SOG,200
2000-05-09,18.45,18.5,18.0,18.0,XPAR:SOG,2472
2000-05-10,18.55,18.55,18.0,18.0,XPAR:SOG,556
2000-05-11,18.15,18.5,18.15,18.5,XPAR:SOG,448
2000-05-12,18.2,18.6,18.15,18.6,XPAR:SOG,192
2000-05-15,18.125,18.1375,18.125,18.1375,XPAR:SOG,1936
2000-05-16,18.0,18.475,17.25,18.125,XPAR:SOG,3740
2000-05-17,17.0,17.525,17.0,17.275,XPAR:SOG,3492
2000-05-18,17.85,17.85,16.8,17.025,XPAR:SOG,2304
2000-05-19,17.0,17.4625,17.0,17.4625,XPAR:SOG,228
2000-05-22,16.875,17.05,16.8,17.05,XPAR:SOG,2700
2000-05-23,17.0,17.0,16.55,16.55,XPAR:SOG,764
2000-05-24,17.0,17.0,16.3,16.55,XPAR:SOG,1524
2000-05-25,16.75,17.225,16.5375,16.5375,XPAR:SOG,708
2000-05-26,16.75,16.75,16.75,16.75,XPAR:SOG,812
2000-05-29,16.525,16.75,16.525,16.75,XPAR:SOG,464
2000-05-30,16.75,16.75,15.7,16.5,XPAR:SOG,1576
2000-05-31,16.75,17.225,16.75,17.0,XPAR:SOG,1596
2000-06-01,17.25,17.25,16.0,16.75,XPAR:SOG,960
2000-06-02,17.375,17.375,17.25,17.25,XPAR:SOG,756
2000-06-05,16.75,17.25,16.2875,17.2375,XPAR:SOG,1664
2000-06-06,17.275,17.375,16.325,17.375,XPAR:SOG,1060
2000-06-07,17.275,17.375,16.325,17.375,XPAR:SOG,0
2000-06-08,17.225,17.225,16.5,16.5,XPAR:SOG,256
2000-06-09,17.1875,17.225,16.5,17.225,XPAR:SOG,560
2000-06-12,17.1875,17.225,16.5,17.225,XPAR:SOG,0
2000-06-13,17.125,17.375,16.75,17.2,XPAR:SOG,1108
2000-06-14,17.1875,17.325,16.275,16.275,XPAR:SOG,760
2000-06-15,17.2125,17.25,16.5,16.5,XPAR:SOG,2027
2000-06-16,17.475,17.475,16.525,17.225,XPAR:SOG,5040
2000-06-19,16.625,17.5,16.625,17.5,XPAR:SOG,260
2000-06-20,17.3,17.3,16.3,16.625,XPAR:SOG,2140
2000-06-21,17.125,17.125,16.45,16.45,XPAR:SOG,2168
2000-06-22,17.425,17.45,16.325,16.325,XPAR:SOG,3788
2000-06-23,17.55,17.55,16.5625,17.25,XPAR:SOG,2932
2000-06-26,16.5,17.05,16.5,16.675,XPAR:SOG,1800
2000-06-27,16.9,16.9,16.275,16.625,XPAR:SOG,4332
2000-06-28,16.7,16.9,16.275,16.9,XPAR:SOG,1436
2000-06-29,16.625,16.725,16.625,16.725,XPAR:SOG,576
2000-06-30,17.325,17.325,16.5,16.75,XPAR:SOG,3420
2000-07-03,16.5,17.5,16.35,16.35,XPAR:SOG,2136
2000-07-04,16.5,16.5,15.675,16.5,XPAR:SOG,1536
2000-07-05,16.5,16.5,15.6875,16.25,XPAR:SOG,1580
2000-07-06,16.0,16.275,15.2875,16.275,XPAR:SOG,2844
2000-07-07,16.7875,16.7875,15.2,15.2875,XPAR:SOG,6352
2000-07-10,16.25,16.25,15.95,16.075,XPAR:SOG,780
2000-07-11,15.7625,16.2375,15.45,16.2375,XPAR:SOG,1252
2000-07-12,14.975,15.75,14.975,15.75,XPAR:SOG,1080
2000-07-13,13.8875,13.8875,13.8875,13.8875,XPAR:SOG,2160
2000-07-14,13.8875,13.8875,13.8875,13.8875,XPAR:SOG,0
2000-07-17,12.5625,13.45,12.5625,12.875,XPAR:SOG,5488
2000-07-18,12.2175,13.1875,11.4625,11.9375,XPAR:SOG,6996
2000-07-19,11.3175,12.4375,11.3175,11.625,XPAR:SOG,2588
2000-07-20,10.95,11.3175,10.95,11.3175,XPAR:SOG,2948
2000-07-21,11.325,11.325,10.5125,10.7525,XPAR:SOG,3148
2000-07-24,12.1825,12.1825,11.25,11.325,XPAR:SOG,2080
2000-07-25,12.075,12.7375,11.9,12.7375,XPAR:SOG,1724
2000-07-26,11.725,11.975,11.725,11.975,XPAR:SOG,1412
2000-07-27,11.725,12.0,11.725,12.0,XPAR:SOG,880
2000-07-28,11.4125,11.7775,10.9,11.7775,XPAR:SOG,5628
2000-07-31,12.525,12.575,12.25,12.575,XPAR:SOG,7000
2000-08-01,13.8,13.8,13.75,13.8,XPAR:SOG,3324
2000-08-02,14.55,15.2,14.525,15.2,XPAR:SOG,8083
2000-08-03,15.0875,15.175,14.25,14.5,XPAR:SOG,6156
2000-08-04,15.0,15.0,14.425,15.0,XPAR:SOG,3176
2000-08-07,14.975,15.225,14.5,15.225,XPAR:SOG,1804
2000-08-08,14.975,14.975,14.4125,14.975,XPAR:SOG,1732
2000-08-09,14.95,14.95,14.25,14.875,XPAR:SOG,480
2000-08-10,14.925,14.925,14.925,14.925,XPAR:SOG,760
2000-08-11,14.5,14.5,14.1875,14.2625,XPAR:SOG,960
2000-08-14,14.4625,14.5,14.45,14.5,XPAR:SOG,760
2000-08-15,14.0,14.4625,14.0,14.4625,XPAR:SOG,416
2000-08-16,13.875,14.0,13.875,14.0,XPAR:SOG,452
2000-08-17,13.8,13.875,13.8,13.875,XPAR:SOG,120
2000-08-18,13.75,13.875,13.75,13.825,XPAR:SOG,700
2000-08-21,13.975,13.975,13.75,13.75,XPAR:SOG,868
2000-08-22,13.75,14.0,13.75,14.0,XPAR:SOG,1356
2000-08-23,14.0,14.025,13.75,14.025,XPAR:SOG,540
2000-08-24,14.0,14.375,13.75,14.375,XPAR:SOG,1024
2000-08-25,13.9875,13.9875,13.75,13.75,XPAR:SOG,260
2000-08-28,14.425,14.425,13.875,13.875,XPAR:SOG,1324
2000-08-29,14.475,14.475,14.05,14.45,XPAR:SOG,2148
2000-08-30,14.05,14.475,14.05,14.475,XPAR:SOG,2592
2000-08-31,14.75,14.75,14.175,14.175,XPAR:SOG,2576
2000-09-01,14.375,14.75,14.025,14.75,XPAR:SOG,1252
2000-09-04,14.375,14.375,14.1,14.25,XPAR:SOG,2936
2000-09-05,14.2,14.3125,14.2,14.3,XPAR:SOG,944
2000-09-06,14.0,14.175,14.0,14.175,XPAR:SOG,2228
2000-09-07,14.0,14.075,14.0,14.075,XPAR:SOG,300
2000-09-08,13.5,14.0,13.5,14.0,XPAR:SOG,2084
2000-09-11,13.125,13.5,12.75,13.5,XPAR:SOG,2444
2000-09-12,13.25,13.25,12.75,12.75,XPAR:SOG,464
2000-09-13,12.85,12.85,12.7875,12.7875,XPAR:SOG,1088
2000-09-14,13.125,13.125,12.85,13.125,XPAR:SOG,900
2000-09-15,13.125,13.125,13.025,13.1,XPAR:SOG,360
