Date,Close,High,Low,Open,Symbol,Volume
2015-10-30,17.62,19.56,16.85,19.5,XPAR:SRP,3641144
2015-11-02,17.5,17.8,16.62,17.76,XPAR:SRP,470557
2015-11-03,18.3,18.3,17.8,17.8,XPAR:SRP,132005
2015-11-04,19.0,19.0,18.34,18.35,XPAR:SRP,94884
2015-11-05,19.1,19.47,18.81,19.2,XPAR:SRP,71034
2015-11-06,19.3,19.4,19.25,19.25,XPAR:SRP,41600
2015-11-09,19.5,19.75,19.26,19.49,XPAR:SRP,73391
2015-11-10,19.5,19.68,19.35,19.5,XPAR:SRP,41152
2015-11-11,19.5,19.6,18.8,19.5,XPAR:SRP,17575
2015-11-12,19.35,19.5,19.31,19.5,XPAR:SRP,8835
2015-11-13,18.85,19.3,18.8,19.3,XPAR:SRP,26185
2015-11-16,19.0,19.2,18.55,18.55,XPAR:SRP,24097
2015-11-17,19.17,19.17,18.63,19.1,XPAR:SRP,13544
2015-11-18,19.24,19.25,18.7,18.7,XPAR:SRP,32238
2015-11-19,19.0,19.0,18.56,19.0,XPAR:SRP,23405
2015-11-20,18.85,19.0,18.6,19.0,XPAR:SRP,20365
2015-11-23,18.8,18.9,18.47,18.8,XPAR:SRP,9640
2015-11-24,18.5,18.8,18.15,18.8,XPAR:SRP,40413
2015-11-25,18.8,18.8,18.25,18.25,XPAR:SRP,41203
2015-11-26,18.8,18.8,18.33,18.7,XPAR:SRP,9418
2015-11-27,18.9,18.9,18.48,18.52,XPAR:SRP,15171
2015-11-30,18.0,18.82,18.0,18.65,XPAR:SRP,16014
2015-12-01,17.95,18.01,17.05,17.05,XPAR:SRP,33262
2015-12-02,18.1,18.1,17.9,18.0,XPAR:SRP,16303
2015-12-03,18.0,18.21,17.8,18.1,XPAR:SRP,85890
2015-12-04,18.0,18.0,17.39,17.39,XPAR:SRP,66190
2015-12-07,17.99,18.0,17.65,17.99,XPAR:SRP,15515
2015-12-08,17.9,17.99,17.73,17.99,XPAR:SRP,16571
2015-12-09,18.4,18.9,18.31,18.6,XPAR:SRP,385706
2015-12-10,18.0,18.6,17.89,18.3,XPAR:SRP,17074
2015-12-11,18.0,18.5,17.63,18.0,XPAR:SRP,69450
2015-12-14,18.23,18.54,17.83,18.5,XPAR:SRP,12754
2015-12-15,18.45,18.5,18.0,18.5,XPAR:SRP,66917
2015-12-16,18.73,19.0,18.34,18.49,XPAR:SRP,122039
2015-12-17,18.92,19.0,18.51,19.0,XPAR:SRP,15744
2015-12-18,18.76,19.0,18.61,18.93,XPAR:SRP,26890
2015-12-21,18.7,18.98,18.3,18.97,XPAR:SRP,146972
2015-12-22,18.5,18.84,18.28,18.83,XPAR:SRP,28953
2015-12-23,19.1,19.1,18.5,18.5,XPAR:SRP,11374
2015-12-24,19.37,19.42,19.0,19.1,XPAR:SRP,20038
2015-12-25,19.37,19.37,19.37,19.37,XPAR:SRP,0
2015-12-28,19.5,19.5,19.0,19.37,XPAR:SRP,22211
2015-12-29,19.6,19.64,19.45,19.5,XPAR:SRP,69023
2015-12-30,20.03,20.33,19.6,19.7,XPAR:SRP,41579
2015-12-31,19.99,20.11,19.85,20.05,XPAR:SRP,2553
2016-01-01,20.03,20.03,20.03,20.03,XPAR:SRP,0
2016-01-04,19.56,20.4,19.4,20.38,XPAR:SRP,108011
2016-01-05,20.37,20.5,20.1,20.37,XPAR:SRP,92049
2016-01-06,20.99,21.0,20.36,20.5,XPAR:SRP,46044
2016-01-07,20.57,21.18,20.18,21.0,XPAR:SRP,104496
2016-01-08,20.35,20.48,20.0,20.45,XPAR:SRP,29220
2016-01-11,20.0,20.36,19.94,20.35,XPAR:SRP,54509
2016-01-12,20.5,20.85,19.99,20.0,XPAR:SRP,83130
2016-01-13,20.25,21.15,20.25,20.6,XPAR:SRP,133071
2016-01-14,20.14,20.55,19.6,20.32,XPAR:SRP,52695
2016-01-15,19.74,20.15,19.24,20.15,XPAR:SRP,56573
2016-01-18,19.52,19.99,19.3,19.99,XPAR:SRP,9228
2016-01-19,20.0,20.1,19.61,19.7,XPAR:SRP,31760
2016-01-20,19.72,20.05,19.47,19.87,XPAR:SRP,55692
2016-01-21,19.54,20.0,19.31,20.0,XPAR:SRP,12466
2016-01-22,20.06,20.3,19.53,19.68,XPAR:SRP,116483
2016-01-25,20.39,20.62,20.22,20.22,XPAR:SRP,149732
2016-01-26,20.69,21.0,20.22,20.5,XPAR:SRP,42027
2016-01-27,20.88,21.3,20.68,20.7,XPAR:SRP,75306
2016-01-28,20.97,21.04,20.78,20.89,XPAR:SRP,31510
2016-01-29,21.0,21.15,20.96,20.99,XPAR:SRP,127639
2016-02-01,21.0,21.85,20.92,21.36,XPAR:SRP,82191
2016-02-02,21.09,21.14,20.88,21.02,XPAR:SRP,34220
2016-02-03,21.0,21.26,20.78,21.09,XPAR:SRP,17848
