Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,203.9176,209.9708,203.9176,204.6742,XPAR:TCH,13129
2000-01-04,193.3245,206.7172,193.3245,204.2959,XPAR:TCH,14738
2000-01-05,181.218,189.1629,171.6086,189.1629,XPAR:TCH,96821
2000-01-06,168.355,183.1097,164.5717,177.8131,XPAR:TCH,69287
2000-01-07,169.4899,174.4082,164.5717,166.4633,XPAR:TCH,84322
2000-01-10,185.3796,186.8929,179.9317,184.2446,XPAR:TCH,44464
2000-01-11,197.1077,204.2959,191.0545,192.9461,XPAR:TCH,100914
2000-01-12,203.5392,203.5392,189.1629,192.0381,XPAR:TCH,48090
2000-01-13,204.2959,205.0526,199.1507,203.5392,XPAR:TCH,60463
2000-01-14,224.7255,224.7255,204.2959,205.0526,XPAR:TCH,84553
2000-01-17,226.6171,235.6969,221.6989,228.8871,XPAR:TCH,110078
2000-01-18,221.3206,226.9954,219.4289,223.2122,XPAR:TCH,37439
2000-01-19,214.5107,222.4555,209.2141,220.1856,XPAR:TCH,155402
2000-01-20,219.8073,219.8073,210.5004,213.3757,XPAR:TCH,73702
2000-01-21,223.2122,226.9954,212.0137,219.4289,XPAR:TCH,30145
2000-01-24,234.9403,270.5029,221.3206,223.2122,XPAR:TCH,99908
2000-01-25,249.3167,257.6398,231.157,236.4536,XPAR:TCH,83360
2000-01-26,264.828,279.961,255.3699,256.8832,XPAR:TCH,134475
2000-01-27,287.5276,295.0941,264.828,271.7892,XPAR:TCH,104507
2000-01-28,321.5769,325.9655,292.0675,293.2025,XPAR:TCH,133078
2000-01-31,290.1758,317.7936,290.1758,316.6586,XPAR:TCH,69565
2000-02-01,306.4439,310.2271,302.5093,302.5093,XPAR:TCH,42566
2000-02-02,348.0597,353.7346,315.902,321.1986,XPAR:TCH,146024
2000-02-03,380.2174,418.0499,363.1927,412.3751,XPAR:TCH,144239
2000-02-04,409.7268,416.915,390.8105,397.24199999999996,XPAR:TCH,133196
2000-02-07,374.1642,416.1583,368.8676,416.1583,XPAR:TCH,94455
2000-02-08,430.1564,430.5347,393.4588,415.78,XPAR:TCH,120223
2000-02-09,465.3407,496.3634,451.3426,465.3407,XPAR:TCH,190259
2000-02-10,455.1259,458.9091,435.8313,452.0993,XPAR:TCH,129681
2000-02-11,537.6009,537.6009,480.4737,488.0402,XPAR:TCH,116595
2000-02-14,473.2855,518.3063,473.2855,497.4984,XPAR:TCH,130766
2000-02-15,410.4834,495.6067,406.7002,491.8235,XPAR:TCH,158719
2000-02-16,431.2913,450.2076,416.1583,450.2076,XPAR:TCH,91169
2000-02-17,423.7248,443.7761,416.1583,443.7761,XPAR:TCH,48605
2000-02-18,427.1298,435.0746,420.3199,435.0746,XPAR:TCH,26948
2000-02-21,393.4588,410.4834,384.7573,397.24199999999996,XPAR:TCH,47113
2000-02-22,389.6755,432.8046,388.1622,389.6755,XPAR:TCH,69505
2000-02-23,412.3751,419.9416,404.8085,416.1583,XPAR:TCH,53716
2000-02-24,431.2913,453.2342,429.3997,435.0746,XPAR:TCH,55304
2000-02-25,450.2076,453.6126,419.9416,446.4244,XPAR:TCH,72981
2000-02-28,472.9072,472.9072,442.6411,452.0993,XPAR:TCH,43320
2000-02-29,517.5496,527.0078,473.2855,476.6904,XPAR:TCH,99316
2000-03-01,532.6826,562.5704,518.3063,543.2758,XPAR:TCH,117226
2000-03-02,522.0895,552.3556,503.1732,552.3556,XPAR:TCH,58625
2000-03-03,547.8157,547.8157,496.7417,510.7398,XPAR:TCH,105466
2000-03-06,522.0895,548.5723,510.3614,548.5723,XPAR:TCH,49093
2000-03-07,500.9033,529.656,499.0117,518.3063,XPAR:TCH,46571
2000-03-08,480.4737,527.7644,476.6904,485.3919,XPAR:TCH,105474
2000-03-09,491.8235,510.7398,491.8235,491.8235,XPAR:TCH,73219
2000-03-10,527.7644,529.656,515.2797,519.8196,XPAR:TCH,56479
2000-03-13,506.9565,522.0895,480.852,522.0895,XPAR:TCH,60300
2000-03-14,499.39,505.8215,491.8235,495.6067,XPAR:TCH,33016
2000-03-15,467.2323,480.4737,439.6145,457.7741,XPAR:TCH,93205
2000-03-16,393.4588,468.7456,382.8657,455.1259,XPAR:TCH,91088
2000-03-17,435.0746,453.2342,423.7248,441.8845,XPAR:TCH,123749
2000-03-20,472.1505,472.1505,453.9909,453.9909,XPAR:TCH,35245
2000-03-21,452.0993,468.3673,425.6165,436.9662,XPAR:TCH,73759
