Date,Close,High,Low,Open,Symbol,Volume
1992-07-17,7.2,7.2,7.2,7.2,XPAR:TFI,1436900
1992-07-20,7.13,7.13,7.13,7.13,XPAR:TFI,571300
1992-07-21,7.21,7.21,7.21,7.21,XPAR:TFI,1786300
1992-07-22,7.2,7.2,7.2,7.2,XPAR:TFI,1570000
1992-07-23,7.32,7.32,7.32,7.32,XPAR:TFI,3946100
1992-07-24,7.5,7.5,7.5,7.5,XPAR:TFI,4648200
1992-07-27,7.73,7.73,7.73,7.73,XPAR:TFI,1692700
1992-07-28,7.85,7.85,7.85,7.85,XPAR:TFI,1792300
1992-07-29,7.96,7.96,7.96,7.96,XPAR:TFI,2463500
1992-07-30,7.93,7.93,7.93,7.93,XPAR:TFI,3906400
1992-07-31,7.8,7.8,7.8,7.8,XPAR:TFI,962000
1992-08-03,7.65,7.65,7.65,7.65,XPAR:TFI,1157000
1992-08-04,7.8,7.8,7.8,7.8,XPAR:TFI,968000
1992-08-05,7.8,7.8,7.8,7.8,XPAR:TFI,6670600
1992-08-06,7.85,7.85,7.85,7.85,XPAR:TFI,4832000
1992-08-07,7.96,7.96,7.96,7.96,XPAR:TFI,3369100
1992-08-10,7.82,7.82,7.82,7.82,XPAR:TFI,1278500
1992-08-11,7.76,7.76,7.76,7.76,XPAR:TFI,2013199
1992-08-12,7.78,7.78,7.78,7.78,XPAR:TFI,9693100
1992-08-13,7.68,7.68,7.68,7.68,XPAR:TFI,1199700
1992-08-14,7.62,7.62,7.62,7.62,XPAR:TFI,4132300
1992-08-17,7.7,7.7,7.7,7.7,XPAR:TFI,977800
1992-08-18,7.62,7.62,7.62,7.62,XPAR:TFI,2093999
1992-08-19,7.7,7.7,7.7,7.7,XPAR:TFI,317900
1992-08-20,7.71,7.71,7.71,7.71,XPAR:TFI,340800
1992-08-21,7.67,7.67,7.67,7.67,XPAR:TFI,1580800
1992-08-24,7.39,7.39,7.39,7.39,XPAR:TFI,826100
1992-08-25,7.17,7.17,7.16,7.16,XPAR:TFI,920300
1992-08-26,6.94,6.94,6.94,6.94,XPAR:TFI,682600
1992-08-27,7.03,7.03,7.03,7.03,XPAR:TFI,1662500
1992-08-28,6.88,6.88,6.88,6.88,XPAR:TFI,2209300
1992-08-31,6.86,6.86,6.86,6.86,XPAR:TFI,624400
1992-09-01,6.71,6.71,6.71,6.71,XPAR:TFI,1075300
1992-09-02,6.42,6.42,6.42,6.42,XPAR:TFI,4593300
1992-09-03,6.67,6.67,6.67,6.67,XPAR:TFI,3878300
1992-09-04,6.39,6.39,6.39,6.39,XPAR:TFI,4678400
1992-09-07,6.78,6.78,6.78,6.78,XPAR:TFI,3337600
1992-09-08,6.66,6.66,6.66,6.66,XPAR:TFI,2110700
1992-09-09,6.52,6.52,6.52,6.52,XPAR:TFI,1046200
1992-09-10,6.52,6.52,6.52,6.52,XPAR:TFI,1324300
1992-09-11,6.81,6.81,6.81,6.81,XPAR:TFI,4461700
1992-09-14,7.12,7.12,7.12,7.12,XPAR:TFI,3028600
1992-09-15,7.2,7.2,7.2,7.2,XPAR:TFI,1283000
1992-09-16,7.21,7.21,7.21,7.21,XPAR:TFI,3182200
1992-09-17,7.16,7.16,7.16,7.16,XPAR:TFI,463600
1992-09-18,7.23,7.23,7.23,7.23,XPAR:TFI,1658100
1992-09-21,7.21,7.21,7.21,7.21,XPAR:TFI,1727600
1992-09-22,6.89,6.89,6.89,6.89,XPAR:TFI,6477000
1992-09-23,6.8,6.8,6.8,6.8,XPAR:TFI,1190700
1992-09-24,6.81,6.81,6.81,6.81,XPAR:TFI,1126500
1992-09-25,6.94,6.94,6.94,6.94,XPAR:TFI,880900
1992-09-28,6.71,6.71,6.71,6.71,XPAR:TFI,465300
1992-09-29,6.52,6.52,6.52,6.52,XPAR:TFI,1848600
1992-09-30,6.23,6.23,6.23,6.23,XPAR:TFI,1852100
1992-10-01,6.13,6.13,6.13,6.13,XPAR:TFI,1679500
1992-10-02,5.84,5.84,5.84,5.84,XPAR:TFI,1920100
1992-10-05,5.22,5.22,5.22,5.22,XPAR:TFI,1671900
1992-10-06,5.67,5.67,5.67,5.67,XPAR:TFI,3586500
1992-10-07,5.79,5.79,5.79,5.79,XPAR:TFI,3853700
1992-10-08,5.92,5.92,5.92,5.92,XPAR:TFI,2814100
1992-10-09,5.89,5.89,5.89,5.89,XPAR:TFI,1645600
1992-10-12,5.81,5.81,5.81,5.81,XPAR:TFI,1626600
1992-10-13,5.78,5.78,5.78,5.78,XPAR:TFI,6301400
1992-10-14,5.46,5.46,5.46,5.46,XPAR:TFI,2044500
1992-10-15,5.46,5.46,5.46,5.46,XPAR:TFI,0
1992-10-16,5.03,5.03,5.03,5.03,XPAR:TFI,5823500
1992-10-19,4.77,4.77,4.77,4.77,XPAR:TFI,5146500
1992-10-20,4.97,4.97,4.97,4.97,XPAR:TFI,3768300
1992-10-21,5.09,5.09,5.09,5.09,XPAR:TFI,556700
1992-10-22,5.03,5.03,5.03,5.03,XPAR:TFI,959300
1992-10-23,5.06,5.06,5.06,5.06,XPAR:TFI,1438600
1992-10-26,5.0,5.0,5.0,5.0,XPAR:TFI,1320400
1992-10-27,5.03,5.03,5.03,5.03,XPAR:TFI,1459500
1992-10-28,5.01,5.01,5.01,5.01,XPAR:TFI,623200
1992-10-29,4.96,4.96,4.96,4.96,XPAR:TFI,975900
1992-10-30,4.88,4.88,4.88,4.88,XPAR:TFI,1530700
1992-11-02,4.88,4.88,4.88,4.88,XPAR:TFI,0
1992-11-03,4.92,4.92,4.92,4.92,XPAR:TFI,2153300
1992-11-04,5.05,5.05,5.05,5.05,XPAR:TFI,513100
1992-11-05,5.23,5.23,5.23,5.23,XPAR:TFI,2204200
1992-11-06,5.17,5.17,5.17,5.17,XPAR:TFI,1228800
1992-11-09,5.12,5.12,5.12,5.12,XPAR:TFI,471200
1992-11-10,5.14,5.14,5.14,5.14,XPAR:TFI,660000
1992-11-11,5.14,5.14,5.14,5.14,XPAR:TFI,0
1992-11-12,5.09,5.09,5.09,5.09,XPAR:TFI,3090000
1992-11-13,5.05,5.05,5.05,5.05,XPAR:TFI,2129400
1992-11-16,4.97,4.97,4.97,4.97,XPAR:TFI,2141800
1992-11-17,4.99,4.99,4.99,4.99,XPAR:TFI,1628800
1992-11-18,4.96,4.96,4.96,4.96,XPAR:TFI,1387200
1992-11-19,4.99,4.99,4.99,4.99,XPAR:TFI,1167600
1992-11-20,5.14,5.14,5.14,5.14,XPAR:TFI,3094800
1992-11-23,5.09,5.09,5.09,5.09,XPAR:TFI,1385000
1992-11-24,5.29,5.29,5.29,5.29,XPAR:TFI,1678700
1992-11-25,5.72,5.72,5.72,5.72,XPAR:TFI,2739400
1992-11-26,5.74,5.74,5.74,5.74,XPAR:TFI,3185200
1992-11-27,5.72,5.72,5.72,5.72,XPAR:TFI,2357100
1992-11-30,5.72,5.72,5.72,5.72,XPAR:TFI,4753700
1992-12-01,5.76,5.76,5.76,5.76,XPAR:TFI,6226700
1992-12-02,5.64,5.64,5.64,5.64,XPAR:TFI,2331200
1992-12-03,5.44,5.44,5.44,5.44,XPAR:TFI,1170500
1992-12-04,5.34,5.34,5.34,5.34,XPAR:TFI,4319100
1992-12-07,5.4,5.4,5.4,5.4,XPAR:TFI,2225100
1992-12-08,5.55,5.55,5.55,5.55,XPAR:TFI,305000
1992-12-09,5.55,5.55,5.55,5.55,XPAR:TFI,2662700
1992-12-10,5.55,5.55,5.55,5.55,XPAR:TFI,1700800
1992-12-11,5.71,5.71,5.71,5.71,XPAR:TFI,556800
1992-12-14,5.72,5.72,5.72,5.72,XPAR:TFI,513300
1992-12-15,5.66,5.66,5.66,5.66,XPAR:TFI,626400
1992-12-16,5.5,5.5,5.5,5.5,XPAR:TFI,1484200
