Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,18.8,18.9,18.8,18.9,XPAR:TVRB,150
2000-01-04,19.05,19.05,19.05,19.05,XPAR:TVRB,650
2000-01-05,19.79,19.79,19.5,19.5,XPAR:TVRB,1350
2000-01-06,20.12,20.12,19.8,19.8,XPAR:TVRB,3934
2000-01-07,20.5,20.5,20.5,20.5,XPAR:TVRB,4186
2000-01-10,20.95,20.95,20.62,20.62,XPAR:TVRB,12214
2000-01-11,21.0,21.0,21.0,21.0,XPAR:TVRB,150
2000-01-12,22.1,22.1,22.01,22.01,XPAR:TVRB,1250
2000-01-13,22.16,22.16,22.16,22.16,XPAR:TVRB,3750
2000-01-14,24.0,24.0,23.26,23.26,XPAR:TVRB,1273
2000-01-17,24.0,24.0,24.0,24.0,XPAR:TVRB,3220
2000-01-18,24.0,24.0,23.9,23.9,XPAR:TVRB,1480
2000-01-19,23.8,23.9,23.8,23.9,XPAR:TVRB,330
2000-01-20,23.5,23.5,23.0,23.0,XPAR:TVRB,492
2000-01-21,23.85,23.85,23.5,23.5,XPAR:TVRB,1521
2000-01-24,25.04,25.04,25.04,25.04,XPAR:TVRB,2405
2000-01-25,23.02,23.02,23.02,23.02,XPAR:TVRB,530
2000-01-26,23.6,23.6,23.05,23.05,XPAR:TVRB,375
2000-01-27,24.98,24.98,24.78,24.78,XPAR:TVRB,3662
2000-01-28,24.1,24.1,24.1,24.1,XPAR:TVRB,730
2000-01-31,23.3,23.3,23.0,23.0,XPAR:TVRB,900
2000-02-01,24.0,24.0,24.0,24.0,XPAR:TVRB,50
2000-02-02,24.4,24.4,24.4,24.4,XPAR:TVRB,205
2000-02-03,23.3,24.05,23.3,24.05,XPAR:TVRB,1819
2000-02-04,25.0,25.0,24.46,24.46,XPAR:TVRB,1581
2000-02-07,24.2,25.0,24.2,25.0,XPAR:TVRB,6059
2000-02-08,23.05,23.05,23.05,23.05,XPAR:TVRB,250
2000-02-09,24.8,24.8,24.2,24.2,XPAR:TVRB,399
2000-02-10,24.0,24.8,24.0,24.8,XPAR:TVRB,805
2000-02-11,24.8,24.8,24.7,24.7,XPAR:TVRB,110
2000-02-14,23.7,24.9,23.7,24.9,XPAR:TVRB,895
2000-02-15,25.0,25.0,24.5,24.5,XPAR:TVRB,200
2000-02-16,25.0,25.0,25.0,25.0,XPAR:TVRB,2715
2000-02-17,25.0,25.0,23.85,23.85,XPAR:TVRB,308
2000-02-18,25.25,25.25,25.25,25.25,XPAR:TVRB,500
2000-02-21,25.0,25.0,24.95,24.95,XPAR:TVRB,1550
2000-02-22,26.0,26.0,25.0,25.0,XPAR:TVRB,756
2000-02-23,26.0,26.0,26.0,26.0,XPAR:TVRB,50
2000-02-24,25.29,26.0,25.29,26.0,XPAR:TVRB,1100
2000-02-25,25.59,25.6,25.59,25.6,XPAR:TVRB,150
2000-02-28,25.6,25.6,25.6,25.6,XPAR:TVRB,100
2000-02-29,25.1,26.0,25.1,26.0,XPAR:TVRB,7124
2000-03-01,26.0,26.0,26.0,26.0,XPAR:TVRB,500
2000-03-02,25.0,26.0,25.0,26.0,XPAR:TVRB,575
2000-03-03,25.5,25.5,25.0,25.0,XPAR:TVRB,3568
2000-03-06,24.8,25.9,24.8,25.9,XPAR:TVRB,432
2000-03-07,25.5,25.5,25.5,25.5,XPAR:TVRB,1000
2000-03-08,25.5,25.5,24.5,24.5,XPAR:TVRB,1250
2000-03-09,26.0,26.0,25.5,25.5,XPAR:TVRB,2295
2000-03-10,25.5,26.0,25.5,26.0,XPAR:TVRB,4400
2000-03-13,26.5,26.6,26.5,26.6,XPAR:TVRB,300
2000-03-14,26.2,26.2,26.15,26.15,XPAR:TVRB,545
2000-03-15,26.15,26.15,26.15,26.15,XPAR:TVRB,497
2000-03-16,25.3,25.3,25.3,25.3,XPAR:TVRB,825
2000-03-17,23.5,24.3,23.5,24.3,XPAR:TVRB,240
2000-03-20,22.8,22.8,22.8,22.8,XPAR:TVRB,1225
2000-03-21,22.8,22.8,22.8,22.8,XPAR:TVRB,0
2000-03-22,22.8,22.8,22.8,22.8,XPAR:TVRB,0
2000-03-23,23.0,23.0,23.0,23.0,XPAR:TVRB,65
2000-03-24,23.0,23.0,23.0,23.0,XPAR:TVRB,750
2000-03-27,25.0,25.0,25.0,25.0,XPAR:TVRB,551
2000-03-28,26.13,26.13,26.1,26.1,XPAR:TVRB,3306
2000-03-29,27.0,27.0,27.0,27.0,XPAR:TVRB,720
2000-03-30,27.0,27.01,27.0,27.01,XPAR:TVRB,1324
2000-03-31,27.01,27.01,27.01,27.01,XPAR:TVRB,1110
2000-04-03,27.0,27.0,26.0,26.0,XPAR:TVRB,9898
2000-04-04,26.0,26.0,26.0,26.0,XPAR:TVRB,525
2000-04-05,26.0,26.0,26.0,26.0,XPAR:TVRB,718
2000-04-06,26.0,26.0,26.0,26.0,XPAR:TVRB,1442
2000-04-07,26.0,26.01,26.0,26.01,XPAR:TVRB,1825
2000-04-10,26.0,26.0,26.0,26.0,XPAR:TVRB,905
2000-04-11,26.0,26.0,26.0,26.0,XPAR:TVRB,1370
2000-04-12,26.0,26.0,26.0,26.0,XPAR:TVRB,1250
2000-04-13,26.0,26.0,26.0,26.0,XPAR:TVRB,350
2000-04-14,26.0,26.0,24.8,24.8,XPAR:TVRB,1025
2000-04-17,26.0,26.0,26.0,26.0,XPAR:TVRB,51
2000-04-18,25.5,26.0,25.5,26.0,XPAR:TVRB,860
2000-04-19,26.0,26.0,26.0,26.0,XPAR:TVRB,1586
2000-04-20,26.0,26.0,26.0,26.0,XPAR:TVRB,940
2000-04-21,26.0,26.0,26.0,26.0,XPAR:TVRB,0
2000-04-24,26.0,26.0,26.0,26.0,XPAR:TVRB,0
2000-04-25,26.0,26.0,26.0,26.0,XPAR:TVRB,583
2000-04-26,26.0,26.0,26.0,26.0,XPAR:TVRB,11
2000-04-27,26.0,26.0,26.0,26.0,XPAR:TVRB,1
2000-04-28,26.0,26.0,26.0,26.0,XPAR:TVRB,102
2000-05-01,26.0,26.0,26.0,26.0,XPAR:TVRB,0
2000-05-02,25.9,25.9,25.9,25.9,XPAR:TVRB,100
2000-05-03,24.99,24.99,24.99,24.99,XPAR:TVRB,20
2000-05-04,23.9,23.9,23.9,23.9,XPAR:TVRB,50
2000-05-05,23.5,23.5,23.0,23.0,XPAR:TVRB,30
2000-05-08,22.0,22.99,22.0,22.99,XPAR:TVRB,45
2000-05-09,21.94,21.94,21.94,21.94,XPAR:TVRB,1130
2000-05-10,21.94,21.95,21.94,21.95,XPAR:TVRB,605
2000-05-11,21.94,21.94,21.94,21.94,XPAR:TVRB,1465
2000-05-12,22.01,22.01,21.0,21.0,XPAR:TVRB,850
2000-05-15,23.5,23.5,23.5,23.5,XPAR:TVRB,5
2000-05-16,24.67,24.67,24.67,24.67,XPAR:TVRB,205
2000-05-17,24.67,24.67,24.67,24.67,XPAR:TVRB,5
2000-05-18,24.6,24.6,24.6,24.6,XPAR:TVRB,100
2000-05-19,23.99,23.99,23.99,23.99,XPAR:TVRB,5
2000-05-22,23.49,23.49,23.49,23.49,XPAR:TVRB,5
