Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,26.5872,27.4534,26.5872,27.4294,XPAR:UG,750528
2000-01-04,26.082,26.876,25.6369,27.0564,XPAR:UG,1965712
2000-01-05,25.5045,25.8654,25.1436,25.6248,XPAR:UG,1982245
2000-01-06,26.2263,26.3106,25.3842,25.5045,XPAR:UG,1471640
2000-01-07,26.467,26.8279,25.7692,26.6835,XPAR:UG,1490492
2000-01-10,27.5858,28.1512,26.5872,26.9482,XPAR:UG,1968422
2000-01-11,27.4294,27.9106,27.3332,27.5858,XPAR:UG,1857104
2000-01-12,27.7903,28.0574,27.2489,27.2489,XPAR:UG,1402700
2000-01-13,28.3317,28.8731,27.5738,27.7302,XPAR:UG,1443295
2000-01-14,29.1136,29.4144,28.4039,28.4039,XPAR:UG,1388360
2000-01-17,28.8129,29.4746,28.3196,29.4144,XPAR:UG,822819
2000-01-18,28.2835,29.0535,28.2355,28.8129,XPAR:UG,950022
2000-01-19,27.9828,28.4279,27.7903,28.2716,XPAR:UG,1138311
2000-01-20,27.682,27.9948,27.4294,27.9106,XPAR:UG,1223744
2000-01-21,27.8986,28.2716,27.3933,27.4895,XPAR:UG,770435
2000-01-24,27.9347,28.0309,27.5497,27.7903,XPAR:UG,1231291
2000-01-25,27.7903,28.2716,27.5497,28.0069,XPAR:UG,1181193
2000-01-26,27.7302,28.2716,27.5016,27.8504,XPAR:UG,1290475
2000-01-27,27.6941,28.2234,26.7196,27.3693,XPAR:UG,4971396
2000-01-28,26.3828,27.9106,26.1061,27.67,XPAR:UG,2738410
2000-01-31,25.9737,26.5392,25.9015,26.07,XPAR:UG,1908266
2000-02-01,26.0339,26.6835,25.8895,26.2263,XPAR:UG,1152017
2000-02-02,25.8775,26.1662,25.4684,26.1301,XPAR:UG,2654207
2000-02-03,26.6474,26.9482,25.8895,25.8895,XPAR:UG,2971810
2000-02-04,26.6474,27.4173,26.3587,26.9482,XPAR:UG,1564097
2000-02-07,27.1888,27.4294,26.7076,26.888,XPAR:UG,847532
2000-02-08,27.3091,27.4775,26.8279,27.0685,XPAR:UG,1217759
2000-02-09,25.1436,26.9723,25.1436,26.888,XPAR:UG,2565856
2000-02-10,25.0714,25.3722,24.1812,25.1436,XPAR:UG,1947126
2000-02-11,24.1812,25.2399,23.9887,24.6985,XPAR:UG,1041074
2000-02-14,24.506,24.7466,23.9406,24.1812,XPAR:UG,726746
2000-02-15,25.9978,27.0685,25.5767,25.9737,XPAR:UG,3423057
2000-02-16,26.2504,26.9121,26.1181,26.888,XPAR:UG,1572700
2000-02-17,26.1301,26.4549,25.7452,26.467,XPAR:UG,577600
2000-02-18,26.1061,26.467,25.6369,26.1301,XPAR:UG,750494
2000-02-21,25.7211,26.1061,25.3241,26.1061,XPAR:UG,544525
2000-02-22,25.7211,26.094,25.1557,25.8654,XPAR:UG,953903
2000-02-23,26.3707,26.6835,25.8654,26.3467,XPAR:UG,1304497
2000-02-24,26.5753,27.1888,26.0218,27.1888,XPAR:UG,1445706
2000-02-25,26.1181,26.467,25.1436,26.467,XPAR:UG,3291150
2000-02-28,25.8293,26.467,25.1917,26.2263,XPAR:UG,1295254
2000-02-29,25.7571,26.9001,25.6489,26.3226,XPAR:UG,1354354
2000-03-01,26.2865,27.67,25.8895,25.9376,XPAR:UG,1480451
2000-03-02,27.6099,27.8865,26.2504,26.3828,XPAR:UG,3333517
2000-03-03,28.2716,28.6325,27.3211,27.4655,XPAR:UG,1587288
2000-03-06,27.5978,28.1272,27.5978,28.0309,XPAR:UG,842461
2000-03-07,25.9858,27.261,25.9858,26.9723,XPAR:UG,1885956
2000-03-08,24.903,25.9617,24.6865,25.9376,XPAR:UG,2003491
2000-03-09,24.9992,25.4684,24.6022,25.2639,XPAR:UG,959996
2000-03-10,24.7947,25.2639,24.109,25.2639,XPAR:UG,1533242
2000-03-13,25.1436,25.9256,25.0233,25.4083,XPAR:UG,1167246
2000-03-14,26.3467,26.7076,25.5527,26.0218,XPAR:UG,2191871
2000-03-15,26.2865,26.5872,25.9256,26.2144,XPAR:UG,1003436
2000-03-16,28.1151,28.5121,26.5271,26.5271,XPAR:UG,2462277
2000-03-17,28.6325,28.8249,27.8143,28.5121,XPAR:UG,1393688
2000-03-20,27.7903,28.7166,27.7061,28.1392,XPAR:UG,395553
2000-03-21,27.682,28.0309,27.1407,27.7422,XPAR:UG,743229
2000-03-22,27.2129,27.9587,27.1407,27.9106,XPAR:UG,911220
2000-03-23,26.9241,27.4294,26.888,27.2008,XPAR:UG,908942
2000-03-24,26.9963,27.3572,26.5151,27.0685,XPAR:UG,1101629
2000-03-27,27.0084,27.1888,26.2144,27.0685,XPAR:UG,1497815
2000-03-28,26.8279,26.9843,26.4309,26.491,XPAR:UG,1058895
2000-03-29,26.8038,26.9482,26.6114,26.8279,XPAR:UG,448086
2000-03-30,26.8038,27.1888,26.7076,27.1888,XPAR:UG,1240776
2000-03-31,27.1888,27.285,26.6474,26.9482,XPAR:UG,736638
2000-04-03,27.67,27.8865,26.7316,27.5256,XPAR:UG,795962
2000-04-04,28.3918,28.5723,28.0911,28.0911,XPAR:UG,1544804
2000-04-05,27.0084,28.5482,26.7076,28.5362,XPAR:UG,774367
2000-04-06,27.0203,28.1512,26.5753,27.3091,XPAR:UG,578655
2000-04-07,28.8731,28.8731,26.4188,26.6114,XPAR:UG,1467542
2000-04-10,27.7903,28.2716,27.5497,28.0911,XPAR:UG,731933
2000-04-11,27.67,28.464,27.67,27.9106,XPAR:UG,611356
2000-04-12,27.3332,28.2595,26.8399,27.3091,XPAR:UG,765988
2000-04-13,27.8865,28.2474,26.8279,27.1286,XPAR:UG,1169340
2000-04-14,27.2249,28.04300000000001,27.2249,27.9106,XPAR:UG,903365
2000-04-17,27.0445,27.0445,26.3587,26.467,XPAR:UG,1316949
2000-04-18,26.9963,27.4294,26.4309,27.1888,XPAR:UG,1042977
2000-04-19,26.4068,27.5136,26.2384,27.4173,XPAR:UG,893465
2000-04-20,27.0203,27.3572,25.9858,26.7076,XPAR:UG,711194
2000-04-21,27.0203,27.3572,25.9858,26.7076,XPAR:UG,0
2000-04-24,27.0203,27.3572,25.9858,26.7076,XPAR:UG,0
2000-04-25,27.4294,27.6099,26.467,27.3091,XPAR:UG,803011
2000-04-26,27.3091,28.3918,26.8279,28.2716,XPAR:UG,2836927
2000-04-27,26.8279,27.7302,26.5872,27.7302,XPAR:UG,576710
2000-04-28,27.3813,27.67,26.8519,27.0685,XPAR:UG,866932
2000-05-01,27.3813,27.67,26.8519,27.0685,XPAR:UG,0
2000-05-02,27.7783,27.9106,27.1888,27.6339,XPAR:UG,1261008
2000-05-03,27.1888,27.9708,27.1046,27.9106,XPAR:UG,1659638
2000-05-04,27.1888,27.5256,26.6114,27.5256,XPAR:UG,458086
2000-05-05,27.2249,27.3091,26.467,27.0685,XPAR:UG,685227
2000-05-08,27.273000000000003,27.4054,26.9963,27.2489,XPAR:UG,229998
2000-05-09,27.3091,27.646,26.8519,27.3091,XPAR:UG,770618
2000-05-10,28.0911,28.3798,27.2008,27.3091,XPAR:UG,1497092
2000-05-11,27.67,27.9106,27.3091,27.4415,XPAR:UG,860066
2000-05-12,27.3693,27.67,26.9602,27.3813,XPAR:UG,347583
2000-05-15,27.4294,27.8504,27.0805,27.4294,XPAR:UG,622361
2000-05-16,27.67,27.8986,26.8279,27.658,XPAR:UG,933173
2000-05-17,27.4054,27.8986,27.1407,27.8986,XPAR:UG,363518
2000-05-18,26.9241,27.67,26.8519,27.67,XPAR:UG,833800
2000-05-19,26.864,27.4294,26.479,26.9482,XPAR:UG,799670
2000-05-22,26.9963,27.5497,26.7677,26.864,XPAR:UG,564882
2000-05-23,26.9001,27.4895,26.7076,27.1888,XPAR:UG,1765295
2000-05-24,26.3467,26.7196,26.0459,26.7076,XPAR:UG,1008216
2000-05-25,26.5872,27.3091,26.5511,26.7196,XPAR:UG,791881
2000-05-26,26.6474,27.285,26.5872,27.285,XPAR:UG,335372
2000-05-29,26.6114,26.9482,26.4188,26.9482,XPAR:UG,1760083
