Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,33.0,33.8,33.0,33.8,XPAR:VAC,1515
2000-01-04,31.6,33.0,31.5,33.0,XPAR:VAC,2759
2000-01-05,31.0,31.0,30.3,31.0,XPAR:VAC,2046
2000-01-06,30.5,30.5,30.35,30.5,XPAR:VAC,2167
2000-01-07,30.25,30.25,30.2,30.25,XPAR:VAC,651
2000-01-10,30.13,30.13,30.0,30.13,XPAR:VAC,2726
2000-01-11,30.13,30.13,29.73,29.73,XPAR:VAC,17335
2000-01-12,33.0,33.0,30.49,30.49,XPAR:VAC,9466
2000-01-13,34.28,35.0,34.2,35.0,XPAR:VAC,2715
2000-01-14,34.8,34.8,34.25,34.3,XPAR:VAC,1400
2000-01-17,34.35,35.0,34.35,35.0,XPAR:VAC,1854
2000-01-18,37.88,37.88,34.75,34.8,XPAR:VAC,15765
2000-01-19,41.0,41.35,38.2,38.2,XPAR:VAC,6084
2000-01-20,39.5,41.4,39.0,41.4,XPAR:VAC,6950
2000-01-21,38.5,39.85,37.53,38.0,XPAR:VAC,2831
2000-01-24,37.88,38.87,37.09,37.5,XPAR:VAC,10296
2000-01-25,38.77,38.8,37.9,38.75,XPAR:VAC,50120
2000-01-26,38.75,38.79,37.8,38.7,XPAR:VAC,1044
2000-01-27,40.2,40.2,37.97,39.5,XPAR:VAC,3473
2000-01-28,44.34,44.34,44.34,44.34,XPAR:VAC,2914
2000-01-31,45.0,45.0,44.35,44.35,XPAR:VAC,11806
2000-02-01,48.38,48.38,44.5,45.0,XPAR:VAC,4260
2000-02-02,52.5,53.3,48.38,50.0,XPAR:VAC,33283
2000-02-03,47.9,52.8,47.9,51.15,XPAR:VAC,60280
2000-02-04,46.0,48.98,44.5,47.0,XPAR:VAC,7164
2000-02-07,46.95,47.09,46.0,46.0,XPAR:VAC,4825
2000-02-08,47.5,48.15,47.0,47.5,XPAR:VAC,7381
2000-02-09,45.0,47.5,45.0,46.29,XPAR:VAC,2637
2000-02-10,43.1,45.0,43.1,45.0,XPAR:VAC,4070
2000-02-11,45.2,45.2,43.0,43.9,XPAR:VAC,3371
2000-02-14,45.8,46.77,45.6,46.35,XPAR:VAC,2112
2000-02-15,48.0,48.0,46.8,47.0,XPAR:VAC,5316
2000-02-16,48.0,48.79,46.9,47.8,XPAR:VAC,8182
2000-02-17,48.0,48.0,46.0,46.78,XPAR:VAC,2671
2000-02-18,47.0,48.15,46.0,47.95,XPAR:VAC,2579
2000-02-21,49.0,49.0,47.5,48.0,XPAR:VAC,8763
2000-02-22,49.0,49.83,49.0,49.2,XPAR:VAC,6469
2000-02-23,49.0,49.85,48.6,49.85,XPAR:VAC,3433
2000-02-24,47.75,49.75,47.09,49.0,XPAR:VAC,408
2000-02-25,47.1,49.0,47.1,48.97,XPAR:VAC,751
