Date,Close,High,Low,Open,Symbol,Volume
2008-08-21,19.75,19.86,19.7,19.86,XPAR:VALE3,300
2008-08-22,19.79,19.79,19.79,19.79,XPAR:VALE3,100
2008-08-25,18.51,20.0,18.51,20.0,XPAR:VALE3,135
2008-08-26,18.51,20.0,18.51,20.0,XPAR:VALE3,0
2008-08-27,18.51,20.0,18.51,20.0,XPAR:VALE3,0
2008-08-28,19.79,19.79,19.79,19.79,XPAR:VALE3,70
2008-08-29,19.75,19.75,19.75,19.75,XPAR:VALE3,5
2008-09-01,19.75,19.75,19.75,19.75,XPAR:VALE3,0
2008-09-02,20.0,20.0,20.0,20.0,XPAR:VALE3,100
2008-09-03,16.54,16.54,16.54,16.54,XPAR:VALE3,10
2008-09-04,16.9,17.0,16.9,17.0,XPAR:VALE3,300
2008-09-05,16.9,17.0,16.9,17.0,XPAR:VALE3,0
2008-09-08,16.9,17.0,16.9,17.0,XPAR:VALE3,0
2008-09-09,16.9,17.0,16.9,17.0,XPAR:VALE3,0
2008-09-10,16.45,17.5,16.45,17.5,XPAR:VALE3,457
2008-09-11,16.46,16.46,16.46,16.46,XPAR:VALE3,100
2008-09-12,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-15,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-16,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-17,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-18,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-19,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-22,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-23,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-24,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-25,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-26,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-29,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-09-30,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-01,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-02,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-03,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-06,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-07,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-08,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-09,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-10,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-13,16.46,16.46,16.46,16.46,XPAR:VALE3,0
2008-10-14,16.48,16.48,16.48,16.48,XPAR:VALE3,1300
2008-10-15,16.5,16.5,16.5,16.5,XPAR:VALE3,100
2008-10-16,16.5,16.5,16.5,16.5,XPAR:VALE3,0
2008-10-17,16.5,16.5,16.5,16.5,XPAR:VALE3,0
2008-10-20,16.5,16.5,16.5,16.5,XPAR:VALE3,0
2008-10-21,11.66,11.69,11.66,11.69,XPAR:VALE3,140
2008-10-22,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-23,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-24,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-27,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-28,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-29,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-30,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-10-31,11.66,11.69,11.66,11.69,XPAR:VALE3,0
2008-11-03,12.5,12.5,12.5,12.5,XPAR:VALE3,20
2008-11-04,12.5,12.5,12.5,12.5,XPAR:VALE3,0
2008-11-05,12.5,12.5,12.5,12.5,XPAR:VALE3,0
2008-11-06,12.5,12.5,12.5,12.5,XPAR:VALE3,0
2008-11-07,12.43,12.43,12.43,12.43,XPAR:VALE3,100
2008-11-10,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-11,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-12,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-13,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-14,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-17,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-18,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-19,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-20,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-21,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-24,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-25,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-26,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-27,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-11-28,12.43,12.43,12.43,12.43,XPAR:VALE3,0
2008-12-01,9.0,9.0,9.0,9.0,XPAR:VALE3,320
2008-12-02,9.0,9.0,9.0,9.0,XPAR:VALE3,0
2008-12-03,9.0,9.0,9.0,9.0,XPAR:VALE3,0
2008-12-04,9.0,9.0,9.0,9.0,XPAR:VALE3,0
2008-12-05,9.0,9.0,9.0,9.0,XPAR:VALE3,0
2008-12-08,9.0,9.0,9.0,9.0,XPAR:VALE3,0
2008-12-09,8.38,8.38,8.38,8.38,XPAR:VALE3,50
2008-12-10,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-11,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-12,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-15,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-16,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-17,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-18,8.38,8.38,8.38,8.38,XPAR:VALE3,0
2008-12-19,8.22,8.22,8.22,8.22,XPAR:VALE3,50
2008-12-22,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-23,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-24,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-25,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-26,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-29,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-30,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2008-12-31,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2009-01-01,8.22,8.22,8.22,8.22,XPAR:VALE3,0
2009-01-02,9.01,9.01,8.53,8.53,XPAR:VALE3,37000
2009-01-05,9.4,9.4,9.4,9.4,XPAR:VALE3,12000
2009-01-06,10.27,10.27,10.27,10.27,XPAR:VALE3,5200
2009-01-07,10.4,10.98,10.4,10.46,XPAR:VALE3,50100
2009-01-08,10.4,10.98,10.4,10.46,XPAR:VALE3,0
2009-01-09,10.4,10.98,10.4,10.46,XPAR:VALE3,0
2009-01-12,10.4,10.98,10.4,10.46,XPAR:VALE3,0
2009-01-13,9.49,9.49,9.49,9.49,XPAR:VALE3,6000
2009-01-14,9.49,9.49,9.49,9.49,XPAR:VALE3,0
2009-01-15,9.49,9.49,9.49,9.49,XPAR:VALE3,0
2009-01-16,9.49,9.49,9.49,9.49,XPAR:VALE3,0
2009-01-19,9.49,9.49,9.49,9.49,XPAR:VALE3,0
2009-01-20,9.38,9.38,9.38,9.38,XPAR:VALE3,50
2009-01-21,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-22,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-23,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-26,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-27,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-28,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-29,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-01-30,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-02-02,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-02-03,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-02-04,9.38,9.38,9.38,9.38,XPAR:VALE3,0
2009-02-05,11.99,11.99,11.25,11.25,XPAR:VALE3,12750
2009-02-06,13.39,13.39,12.93,12.93,XPAR:VALE3,6040
2009-02-09,13.39,13.39,12.93,12.93,XPAR:VALE3,0
2009-02-10,12.89,12.89,12.89,12.89,XPAR:VALE3,6000
2009-02-11,12.41,12.41,12.4,12.4,XPAR:VALE3,6070
2009-02-12,12.41,12.41,12.4,12.4,XPAR:VALE3,0
2009-02-13,12.41,12.41,12.4,12.4,XPAR:VALE3,0
2009-02-16,12.41,12.41,12.4,12.4,XPAR:VALE3,0
2009-02-17,12.41,12.41,12.41,12.41,XPAR:VALE3,40
2009-02-18,12.41,12.41,12.41,12.41,XPAR:VALE3,0
2009-02-19,12.41,12.41,12.41,12.41,XPAR:VALE3,0
2009-02-20,11.2,11.5,11.2,11.5,XPAR:VALE3,20040
2009-02-23,9.98,11.2,9.98,11.2,XPAR:VALE3,30575
2009-02-24,9.67,9.67,9.67,9.67,XPAR:VALE3,6000
2009-02-25,10.38,10.49,10.11,10.11,XPAR:VALE3,161294
2009-02-26,10.38,10.49,10.11,10.11,XPAR:VALE3,0
2009-02-27,9.8,9.8,9.75,9.75,XPAR:VALE3,12000
2009-03-02,9.8,9.8,9.75,9.75,XPAR:VALE3,0
2009-03-03,9.8,9.8,9.75,9.75,XPAR:VALE3,0
2009-03-04,10.21,10.21,9.97,9.97,XPAR:VALE3,27000
2009-03-05,10.66,11.09,10.66,11.09,XPAR:VALE3,20130
2009-03-06,10.52,10.52,10.52,10.52,XPAR:VALE3,5000
2009-03-09,10.52,10.52,10.52,10.52,XPAR:VALE3,0
2009-03-10,10.06,10.06,9.96,9.96,XPAR:VALE3,18000
2009-03-11,10.06,10.06,9.96,9.96,XPAR:VALE3,0
2009-03-12,10.06,10.06,9.96,9.96,XPAR:VALE3,0
2009-03-13,10.77,10.77,10.77,10.77,XPAR:VALE3,5000
2009-03-16,10.77,10.77,10.77,10.77,XPAR:VALE3,0
2009-03-17,10.25,10.25,10.25,10.25,XPAR:VALE3,5000
2009-03-18,10.23,10.23,10.23,10.23,XPAR:VALE3,5000
2009-03-19,10.33,10.33,10.33,10.33,XPAR:VALE3,5000
2009-03-20,10.33,10.33,10.33,10.33,XPAR:VALE3,0
2009-03-23,10.33,10.33,10.33,10.33,XPAR:VALE3,0
2009-03-24,10.33,10.33,10.33,10.33,XPAR:VALE3,0
2009-03-25,10.33,10.33,10.33,10.33,XPAR:VALE3,0
2009-03-26,10.69,10.69,10.69,10.69,XPAR:VALE3,5000
2009-03-27,10.69,10.69,10.69,10.69,XPAR:VALE3,0
2009-03-30,10.69,10.69,10.69,10.69,XPAR:VALE3,0
2009-03-31,9.99,9.99,9.99,9.99,XPAR:VALE3,99
2009-04-01,9.99,9.99,9.99,9.99,XPAR:VALE3,0
2009-04-02,11.11,11.11,10.55,10.55,XPAR:VALE3,25544
2009-04-03,11.26,11.26,11.26,11.26,XPAR:VALE3,200
2009-04-06,11.26,11.26,11.26,11.26,XPAR:VALE3,0
2009-04-07,10.93,10.93,10.93,10.93,XPAR:VALE3,300
2009-04-08,10.93,10.93,10.93,10.93,XPAR:VALE3,0
2009-04-09,11.69,11.7,11.66,11.66,XPAR:VALE3,20000
2009-04-10,11.69,11.7,11.66,11.66,XPAR:VALE3,0
2009-04-13,11.69,11.7,11.66,11.66,XPAR:VALE3,0
2009-04-14,12.63,12.63,12.63,12.63,XPAR:VALE3,1000
2009-04-15,12.22,12.23,12.18,12.18,XPAR:VALE3,55000
2009-04-16,12.4,12.4,12.4,12.4,XPAR:VALE3,1000
2009-04-17,12.44,12.48,12.44,12.48,XPAR:VALE3,560
2009-04-20,12.39,12.39,12.39,12.39,XPAR:VALE3,200
2009-04-21,11.5,11.96,11.5,11.96,XPAR:VALE3,1120
