Date,Close,High,Low,Open,Symbol,Volume
2000-01-03,84.3871,88.5484,84.3871,87.1935,XPAR:VIV,1959095
2000-01-04,80.3226,84.3871,80.12899999999998,84.2903,XPAR:VIV,2412132
2000-01-05,78.3871,79.8871,77.6129,77.9516,XPAR:VIV,2394403
2000-01-06,77.4677,79.4032,76.5484,78.4355,XPAR:VIV,1818080
2000-01-07,78.0968,80.0323,77.37100000000002,78.3387,XPAR:VIV,2262756
2000-01-10,85.1129,85.5968,79.6452,80.3226,XPAR:VIV,4244080
2000-01-11,86.7097,88.4516,83.0323,86.6129,XPAR:VIV,4781305
2000-01-12,83.5161,86.12899999999998,83.5161,85.1613,XPAR:VIV,2020561
2000-01-13,88.3065,88.5484,83.8065,84.0968,XPAR:VIV,3763082
2000-01-14,89.4194,90.9194,86.6129,88.9839,XPAR:VIV,5384980
2000-01-17,90.3871,91.4516,87.3871,89.9032,XPAR:VIV,3263999
2000-01-18,87.1935,93.3871,87.1935,91.8387,XPAR:VIV,4889955
2000-01-19,87.4839,89.0323,85.6452,87.6774,XPAR:VIV,2973539
2000-01-20,88.5484,90.0,87.5806,88.7419,XPAR:VIV,3383778
2000-01-21,87.0968,89.8065,85.8871,88.0161,XPAR:VIV,2994554
2000-01-24,85.3065,88.9355,84.5806,88.5,XPAR:VIV,1859233
2000-01-25,88.7419,89.0323,84.0,84.1935,XPAR:VIV,2933949
2000-01-26,91.9355,92.9032,89.2258,90.0,XPAR:VIV,3781188
2000-01-27,95.2742,96.0968,92.5161,92.9032,XPAR:VIV,5609735
2000-01-28,96.7742,100.6452,95.8065,97.7419,XPAR:VIV,5786460
2000-01-31,101.6129,103.0645,98.4194,102.5806,XPAR:VIV,8400029
2000-02-01,106.9355,109.7419,101.4194,101.4194,XPAR:VIV,7694499
2000-02-02,115.1613,123.3871,107.4194,107.4194,XPAR:VIV,10194435
2000-02-03,116.129,120.9677,107.4194,120.3871,XPAR:VIV,9139845
2000-02-04,112.8387,121.9355,112.8387,120.9677,XPAR:VIV,6022162
2000-02-07,115.1613,119.7097,114.1935,114.9677,XPAR:VIV,2928413
2000-02-08,120.9677,123.6774,116.7097,117.7742,XPAR:VIV,3777545
2000-02-09,125.7097,130.3548,122.5161,124.8387,XPAR:VIV,3892258
2000-02-10,119.0323,125.4194,117.6774,122.5161,XPAR:VIV,3179112
2000-02-11,124.8387,124.8387,118.7419,120.0,XPAR:VIV,4594294
2000-02-14,121.4516,123.3871,118.7419,121.9355,XPAR:VIV,2304560
2000-02-15,115.1613,122.0323,114.3871,121.0645,XPAR:VIV,2963960
2000-02-16,113.7097,118.4516,112.2581,116.5161,XPAR:VIV,2843249
2000-02-17,116.129,117.3871,111.871,113.2258,XPAR:VIV,2120789
2000-02-18,115.6452,117.7742,114.0,116.3226,XPAR:VIV,1462008
2000-02-21,113.4194,114.4839,109.8387,113.2258,XPAR:VIV,1932716
2000-02-22,113.9032,116.5161,111.5806,113.0323,XPAR:VIV,2129195
2000-02-23,114.1935,116.9032,113.5161,115.3548,XPAR:VIV,1602914
2000-02-24,116.7097,118.9355,115.4516,116.129,XPAR:VIV,2023563
2000-02-25,119.0323,120.871,117.6774,119.0323,XPAR:VIV,3100935
2000-02-28,116.2258,120.9677,114.2903,120.1935,XPAR:VIV,2519566
2000-02-29,118.0645,120.2903,115.7419,116.129,XPAR:VIV,2430060
2000-03-01,119.9032,120.7742,117.4839,119.5161,XPAR:VIV,1480099
2000-03-02,120.9677,122.4194,119.129,120.6774,XPAR:VIV,1820366
2000-03-03,129.5806,132.3871,121.9355,122.2258,XPAR:VIV,4144842
2000-03-06,135.871,137.2258,131.8065,132.1935,XPAR:VIV,2952822
2000-03-07,132.871,137.2258,132.871,136.4516,XPAR:VIV,2660595
2000-03-08,133.5484,136.8387,130.9355,131.4194,XPAR:VIV,1970903
2000-03-09,133.5484,136.4516,132.1935,136.4516,XPAR:VIV,1446129
2000-03-10,137.0323,145.1613,135.1935,135.3871,XPAR:VIV,3391762
2000-03-13,131.5161,140.3226,126.2903,140.129,XPAR:VIV,2958544
2000-03-14,128.7097,133.4516,126.2903,129.5806,XPAR:VIV,1936845
2000-03-15,120.3871,125.3226,117.1935,125.2258,XPAR:VIV,3939673
2000-03-16,119.0323,122.7097,116.6129,118.5484,XPAR:VIV,2355257
2000-03-17,120.0,124.5484,116.9032,122.9032,XPAR:VIV,3028842
2000-03-20,122.9032,123.5806,121.1613,121.8387,XPAR:VIV,1424027
2000-03-21,120.4839,121.9355,118.4516,121.6452,XPAR:VIV,1592559
2000-03-22,115.1613,125.129,113.8065,123.3871,XPAR:VIV,3664124
2000-03-23,116.2258,119.2258,114.1935,116.129,XPAR:VIV,2025555
2000-03-24,119.7097,121.4516,117.3871,118.4516,XPAR:VIV,2719083
2000-03-27,123.871,124.3548,121.3548,122.3226,XPAR:VIV,1597665
2000-03-28,125.4194,127.1613,123.871,124.6452,XPAR:VIV,1916399
2000-03-29,125.0323,125.4194,122.0323,124.3548,XPAR:VIV,1049595
2000-03-30,118.6452,122.6129,116.4194,121.9355,XPAR:VIV,2731793
2000-03-31,116.6129,117.871,112.2581,115.1613,XPAR:VIV,2956239
2000-04-03,107.7097,118.0645,105.0,117.871,XPAR:VIV,3924746
2000-04-04,102.5806,105.9677,100.6452,104.5161,XPAR:VIV,4681090
2000-04-05,103.0645,105.7742,98.129,102.5806,XPAR:VIV,3811543
2000-04-06,107.3226,108.6774,103.5484,104.0323,XPAR:VIV,2792575
2000-04-07,111.7742,113.7097,107.7097,110.7097,XPAR:VIV,2615619
2000-04-10,115.1613,117.5806,114.0968,114.0968,XPAR:VIV,2355092
2000-04-11,111.4839,113.2258,107.5161,111.2903,XPAR:VIV,2830569
2000-04-12,107.9032,113.2258,105.7742,113.129,XPAR:VIV,2518269
2000-04-13,108.2903,108.7742,104.3226,104.8065,XPAR:VIV,2790324
2000-04-14,103.2581,106.4516,101.4194,106.4516,XPAR:VIV,3101202
2000-04-17,102.5806,103.0645,97.2581,99.6774,XPAR:VIV,3013884
2000-04-18,105.0,105.9677,102.0,105.7742,XPAR:VIV,3692907
2000-04-19,106.8387,108.6774,105.5806,107.8065,XPAR:VIV,2723575
2000-04-20,108.871,109.5484,107.4194,107.9032,XPAR:VIV,1204809
2000-04-21,108.871,109.5484,107.4194,107.9032,XPAR:VIV,0
2000-04-24,108.871,109.5484,107.4194,107.9032,XPAR:VIV,0
2000-04-25,107.9032,108.5806,104.0323,106.9355,XPAR:VIV,1661688
2000-04-26,107.7097,109.7419,106.2581,109.3548,XPAR:VIV,2497804
2000-04-27,102.0968,107.2258,101.129,107.2258,XPAR:VIV,3314121
2000-04-28,105.2903,105.7742,103.5484,104.5161,XPAR:VIV,2757242
2000-05-01,105.2903,105.7742,103.5484,104.5161,XPAR:VIV,0
2000-05-02,111.871,112.1613,106.5484,107.4194,XPAR:VIV,3721602
2000-05-03,110.6129,112.0645,108.9677,109.3548,XPAR:VIV,1594979
2000-05-04,111.2903,112.2581,109.5484,111.1935,XPAR:VIV,1575532
2000-05-05,111.871,114.0,110.0323,112.1613,XPAR:VIV,1309172
2000-05-08,112.7419,113.9032,111.7742,112.7419,XPAR:VIV,886281
2000-05-09,107.9032,112.7419,107.9032,111.6774,XPAR:VIV,1888565
2000-05-10,104.0323,109.6452,102.1935,107.9032,XPAR:VIV,2505761
2000-05-11,103.7419,103.7419,98.3226,102.0968,XPAR:VIV,3457766
2000-05-12,104.8065,106.4516,102.9677,104.5161,XPAR:VIV,1711891
2000-05-15,105.0,105.9677,104.0323,105.6774,XPAR:VIV,989955
2000-05-16,110.3226,111.0,105.0968,106.4516,XPAR:VIV,2798801
2000-05-17,111.0968,112.0645,108.0,109.8387,XPAR:VIV,2514255
2000-05-18,109.8387,111.6774,108.3871,109.3548,XPAR:VIV,1909205
2000-05-19,103.0645,110.3226,102.1935,107.5161,XPAR:VIV,2032684
2000-05-22,102.4839,105.1935,99.3871,103.0645,XPAR:VIV,1840745
2000-05-23,102.5806,105.2903,99.3871,104.5161,XPAR:VIV,2049149
2000-05-24,99.6774,101.3226,97.2581,98.8065,XPAR:VIV,3084297
2000-05-25,102.5806,103.6452,101.129,102.3871,XPAR:VIV,1556845
2000-05-26,101.7097,102.3871,100.5484,101.5161,XPAR:VIV,1204498
2000-05-29,103.0645,104.4194,102.4839,103.0645,XPAR:VIV,4008608
2000-05-30,108.1935,108.1935,103.0645,104.2258,XPAR:VIV,3201344
2000-05-31,111.2903,111.7742,108.3871,110.3226,XPAR:VIV,3359139
2000-06-01,115.1613,115.6452,110.9032,111.5806,XPAR:VIV,1578381
2000-06-02,114.9677,117.1935,111.7742,113.3226,XPAR:VIV,2683633
2000-06-05,114.3871,115.5484,112.0645,115.2581,XPAR:VIV,1576012
2000-06-06,115.3548,117.7742,113.5161,116.0323,XPAR:VIV,2561419
2000-06-07,112.1613,114.0,110.0323,113.2258,XPAR:VIV,2112471
2000-06-08,112.2581,114.3871,110.3226,114.3871,XPAR:VIV,1842511
2000-06-09,112.2581,114.0,111.2903,112.9355,XPAR:VIV,1182802
2000-06-12,112.2581,114.0,111.2903,112.9355,XPAR:VIV,0
2000-06-13,111.3871,114.1935,110.3226,112.2581,XPAR:VIV,1204501
2000-06-14,100.1613,108.3871,97.9355,108.3871,XPAR:VIV,12591991
2000-06-15,95.2742,101.7097,92.6613,100.7419,XPAR:VIV,11041752
2000-06-16,95.8065,97.8387,93.3871,97.6452,XPAR:VIV,7120347
2000-06-19,93.3387,97.6452,91.9355,96.7742,XPAR:VIV,5642235
2000-06-20,85.2581,92.4194,84.7258,91.9355,XPAR:VIV,19009923
2000-06-21,86.5645,88.3065,82.5484,85.1613,XPAR:VIV,12143462
2000-06-22,89.8065,90.4839,87.5806,87.6774,XPAR:VIV,7656419
2000-06-23,90.9677,90.9677,88.7903,89.0323,XPAR:VIV,5288204
2000-06-26,90.9677,92.4194,89.6613,92.4194,XPAR:VIV,2987416
2000-06-27,90.0484,91.2581,89.12899999999998,91.2581,XPAR:VIV,2415435
2000-06-28,89.9516,90.3871,85.7419,90.0484,XPAR:VIV,5355664
2000-06-29,87.1452,90.2903,86.2258,90.2903,XPAR:VIV,4533141
2000-06-30,89.4677,89.5161,86.7097,86.7097,XPAR:VIV,3532565
2000-07-03,89.0323,90.0,88.2097,89.0323,XPAR:VIV,2184587
2000-07-04,91.0161,91.9355,89.4194,89.4194,XPAR:VIV,2580353
2000-07-05,90.0,93.3871,89.12899999999998,91.9355,XPAR:VIV,2765238
2000-07-06,88.1613,89.8065,87.3871,89.8065,XPAR:VIV,2955143
2000-07-07,87.1452,89.12899999999998,85.7903,88.3548,XPAR:VIV,3492790
2000-07-10,87.0968,88.2097,85.7903,86.8065,XPAR:VIV,2236431
2000-07-11,84.4355,87.1935,83.7097,87.0968,XPAR:VIV,4032114
2000-07-12,85.6935,87.0,83.5161,84.0968,XPAR:VIV,5201029
2000-07-13,85.1613,85.8871,82.7419,84.7742,XPAR:VIV,2974750
2000-07-14,85.1613,85.8871,82.7419,84.7742,XPAR:VIV,0
2000-07-17,85.9355,87.0,85.1613,85.9355,XPAR:VIV,1537663
2000-07-18,85.5,87.0,85.1613,85.9355,XPAR:VIV,1928886
2000-07-19,86.5161,87.2903,85.5,86.3226,XPAR:VIV,2442716
2000-07-20,87.9677,88.8387,86.12899999999998,87.0968,XPAR:VIV,4360673
2000-07-21,88.0645,89.0323,87.4839,87.4839,XPAR:VIV,1822340
2000-07-24,87.87100000000002,87.9677,86.3226,86.3226,XPAR:VIV,1730704
2000-07-25,86.4194,88.0161,85.7903,87.5806,XPAR:VIV,2914481
2000-07-26,86.0323,87.0968,85.1613,86.4194,XPAR:VIV,2950049
2000-07-27,85.9355,86.5161,85.0161,85.9355,XPAR:VIV,2837039
2000-07-28,83.7097,85.3065,83.3226,85.1613,XPAR:VIV,2879417
2000-07-31,83.4194,83.7097,82.2581,83.2258,XPAR:VIV,1534453
2000-08-01,82.7903,83.8548,82.5,83.5161,XPAR:VIV,1500980
2000-08-02,83.2258,83.3226,81.62899999999998,82.8387,XPAR:VIV,3055357
2000-08-03,79.6452,83.0806,79.6452,82.9839,XPAR:VIV,3274537
2000-08-04,81.3387,81.5806,80.12899999999998,80.4194,XPAR:VIV,1830690
2000-08-07,82.0645,82.6452,81.3871,82.0161,XPAR:VIV,1442207
2000-08-08,81.2903,82.5,80.9032,82.2581,XPAR:VIV,1955800
2000-08-09,82.3548,83.7097,81.1452,81.1452,XPAR:VIV,2236933
2000-08-10,82.8387,83.3226,81.9677,82.3548,XPAR:VIV,1935197
2000-08-11,83.12899999999998,83.4194,82.1613,83.4194,XPAR:VIV,1209007
2000-08-14,83.4677,84.5806,83.37100000000002,84.0,XPAR:VIV,1300651
2000-08-15,83.5161,84.9677,82.5968,84.0968,XPAR:VIV,1541001
2000-08-16,82.4516,84.5806,82.1129,84.5806,XPAR:VIV,1545585
2000-08-17,81.2903,83.12899999999998,81.1935,82.7419,XPAR:VIV,2465749
2000-08-18,80.37100000000002,81.3871,79.8387,81.2903,XPAR:VIV,2830711
2000-08-21,80.3226,81.0968,79.5,80.3226,XPAR:VIV,1936085
2000-08-22,79.5484,80.8065,79.1129,80.8065,XPAR:VIV,2905371
2000-08-23,78.87100000000002,79.3548,78.1452,79.3548,XPAR:VIV,3320091
2000-08-24,78.5806,79.1613,77.7097,78.9194,XPAR:VIV,2505637
2000-08-25,80.5161,80.8065,78.62899999999998,78.62899999999998,XPAR:VIV,3699058
2000-08-28,82.8387,83.3226,80.7097,80.8065,XPAR:VIV,3283045
2000-08-29,87.0968,87.0968,82.9839,83.4194,XPAR:VIV,7089097
2000-08-30,89.0323,90.6774,85.8871,87.0968,XPAR:VIV,7135043
2000-08-31,89.0323,90.629,87.3387,89.0323,XPAR:VIV,3638532
2000-09-01,92.0806,92.9032,89.2258,89.7581,XPAR:VIV,4994236
2000-09-04,93.9677,93.9677,91.4516,91.4516,XPAR:VIV,2671515
2000-09-05,90.4355,93.7742,90.0968,93.7742,XPAR:VIV,3180021
2000-09-06,88.5,90.0968,87.9194,89.2742,XPAR:VIV,2831090
2000-09-07,90.0484,90.2903,87.0968,87.0968,XPAR:VIV,2267740
2000-09-08,88.9355,90.6774,88.1613,90.0484,XPAR:VIV,1710756
2000-09-11,89.4194,90.8226,88.3548,89.0323,XPAR:VIV,2046124
2000-09-12,89.2742,89.9516,87.2903,89.0323,XPAR:VIV,3401903
2000-09-13,88.0161,89.3226,86.4677,89.12899999999998,XPAR:VIV,2468058
2000-09-14,88.9355,88.9355,86.7581,87.6774,XPAR:VIV,3678413
2000-09-15,88.9839,88.9839,87.3871,88.0645,XPAR:VIV,3730864
2000-09-18,87.7742,88.7419,86.8065,87.6774,XPAR:VIV,2023588
2000-09-19,85.8871,87.0,84.3871,86.0323,XPAR:VIV,3883062
2000-09-20,83.4677,86.5645,83.2742,85.8871,XPAR:VIV,2679482
2000-09-21,81.62899999999998,84.1452,81.2903,83.2258,XPAR:VIV,3596211
2000-09-22,81.7742,81.7742,79.3548,80.5161,XPAR:VIV,4390237
2000-09-25,81.87100000000002,82.9355,81.3871,82.2581,XPAR:VIV,2073925
2000-09-26,82.4516,82.9839,81.0,81.7742,XPAR:VIV,2028932
2000-09-27,82.5484,84.0,81.4355,82.2581,XPAR:VIV,2037104
2000-09-28,82.3548,82.9355,81.62899999999998,82.9355,XPAR:VIV,2217053
2000-09-29,81.4839,83.3226,80.8065,82.3548,XPAR:VIV,3024863
2000-10-02,83.12899999999998,83.6129,79.9355,79.9355,XPAR:VIV,2224946
2000-10-03,85.6935,87.2903,83.2258,84.0,XPAR:VIV,6228485
2000-10-04,85.5,87.0484,84.6774,85.4032,XPAR:VIV,2979489
2000-10-05,86.7581,88.4516,85.6452,85.8871,XPAR:VIV,3698486
2000-10-06,86.12899999999998,88.7903,85.3065,86.5645,XPAR:VIV,2798716
2000-10-09,84.2419,86.3226,83.8065,86.12899999999998,XPAR:VIV,1899073
2000-10-10,84.2419,85.7419,83.8548,85.5968,XPAR:VIV,1998248
2000-10-11,83.2258,84.5806,82.7419,83.3226,XPAR:VIV,3178192
2000-10-12,81.7742,87.0968,79.7419,85.1613,XPAR:VIV,7709116
2000-10-13,82.1613,83.12899999999998,78.7258,80.3226,XPAR:VIV,6132882
2000-10-16,81.5806,85.1613,80.8548,83.7097,XPAR:VIV,4090570
2000-10-17,80.3226,82.2581,80.3226,81.7258,XPAR:VIV,2500819
2000-10-18,77.12899999999998,79.3548,73.6935,79.3548,XPAR:VIV,7718443
2000-10-19,77.6613,77.9032,74.7097,77.9032,XPAR:VIV,4877557
2000-10-20,76.8387,79.2097,76.4516,78.3871,XPAR:VIV,3845116
2000-10-23,76.5968,78.3871,76.5,77.0806,XPAR:VIV,2224110
2000-10-24,79.9839,80.12899999999998,76.1613,76.9355,XPAR:VIV,6688940
2000-10-25,78.5806,79.5484,78.2903,79.4032,XPAR:VIV,3148769
2000-10-26,77.9032,79.6935,77.2258,78.0968,XPAR:VIV,3079345
2000-10-27,78.1935,79.0161,77.4194,78.3871,XPAR:VIV,3394845
2000-10-30,79.5968,80.2258,77.7097,78.3871,XPAR:VIV,2252570
2000-10-31,81.9677,82.0161,79.7419,80.3226,XPAR:VIV,3913380
2000-11-01,83.7097,83.9516,82.0161,82.2581,XPAR:VIV,3413599
2000-11-02,82.8871,84.0968,82.3548,82.7903,XPAR:VIV,2698490
2000-11-03,82.6452,83.12899999999998,81.7742,82.6452,XPAR:VIV,3012179
2000-11-06,83.0806,84.4355,82.8387,83.2258,XPAR:VIV,3047040
2000-11-07,82.5484,83.4677,82.0645,83.0323,XPAR:VIV,2814607
2000-11-08,82.8387,84.4355,82.4516,82.7419,XPAR:VIV,2109982
2000-11-09,83.12899999999998,84.0,81.87100000000002,82.3548,XPAR:VIV,3447818
2000-11-10,81.4839,84.2419,80.7097,82.5968,XPAR:VIV,4814063
2000-11-13,79.5,81.2419,78.87100000000002,81.0968,XPAR:VIV,2624282
2000-11-14,81.87100000000002,82.0161,79.4516,80.2258,XPAR:VIV,2976697
2000-11-15,81.2903,82.3548,81.1452,81.3871,XPAR:VIV,2163833
2000-11-16,80.8548,82.0645,80.7581,82.0645,XPAR:VIV,2449238
2000-11-17,79.8871,81.0484,79.8387,80.8065,XPAR:VIV,3197372
2000-11-20,78.9677,80.5645,78.9194,80.12899999999998,XPAR:VIV,2267772
2000-11-21,79.7419,80.8065,78.9677,79.0161,XPAR:VIV,2508526
2000-11-22,76.9839,79.0645,76.9839,79.0645,XPAR:VIV,3471226
2000-11-23,76.5484,77.2258,75.9194,76.4516,XPAR:VIV,2211812
2000-11-24,76.8387,78.0968,76.4516,76.9355,XPAR:VIV,2591979
2000-11-27,75.62899999999998,79.1129,75.5323,77.8065,XPAR:VIV,4147423
2000-11-28,73.3548,75.3871,73.1613,74.8065,XPAR:VIV,4609043
2000-11-29,72.0,73.4516,71.6613,73.4516,XPAR:VIV,5919802
2000-11-30,68.7097,70.8871,68.7097,70.3548,XPAR:VIV,6083934
2000-12-01,69.2903,71.5161,68.7581,69.6774,XPAR:VIV,7594577
2000-12-04,68.12899999999999,70.7903,67.5968,69.87100000000001,XPAR:VIV,4408232
2000-12-05,71.6129,71.8548,68.4194,68.5161,XPAR:VIV,7361378
2000-12-06,73.2097,75.8226,72.8226,73.5484,XPAR:VIV,12008276
2000-12-07,72.6774,75.6774,72.6774,73.1613,XPAR:VIV,8933752
2000-12-08,72.7742,75.3871,71.9032,73.5484,XPAR:VIV,34689661
2000-12-11,71.6129,72.3387,69.6774,70.6452,XPAR:VIV,21575726
2000-12-12,74.8548,75.2903,71.9032,72.2419,XPAR:VIV,17298120
2000-12-13,75.7258,77.12899999999998,75.2903,75.7258,XPAR:VIV,10570560
2000-12-14,74.2742,75.2903,73.2581,74.5161,XPAR:VIV,7498850
2000-12-15,73.1129,74.9516,72.87100000000002,73.2581,XPAR:VIV,10904330
2000-12-18,73.3548,74.7581,72.9194,73.0161,XPAR:VIV,7212802
2000-12-19,72.62899999999998,73.1613,71.4194,72.3387,XPAR:VIV,6971501
2000-12-20,70.1613,72.0,69.6774,71.0806,XPAR:VIV,6322781
2000-12-21,67.8387,69.6774,66.9677,68.8065,XPAR:VIV,7274292
2000-12-22,67.7419,68.9032,67.0645,68.12899999999999,XPAR:VIV,5105495
2000-12-25,67.7419,68.9032,67.0645,68.12899999999999,XPAR:VIV,0
2000-12-26,67.7419,68.9032,67.0645,68.12899999999999,XPAR:VIV,0
2000-12-27,67.1613,67.6452,66.3871,66.87100000000001,XPAR:VIV,3262122
2000-12-28,67.9839,68.2258,66.5806,66.5806,XPAR:VIV,2616598
2000-12-29,67.8387,68.9516,67.5968,67.9839,XPAR:VIV,2699916
2001-01-01,67.8387,68.9516,67.5968,67.9839,XPAR:VIV,0
2001-01-02,65.8065,68.37100000000001,64.9839,68.37100000000001,XPAR:VIV,4443840
2001-01-03,65.3226,65.5161,63.1935,64.8387,XPAR:VIV,5718485
2001-01-04,68.3226,68.5645,67.2581,67.9839,XPAR:VIV,6004027
2001-01-05,68.4194,70.4516,67.5,67.8387,XPAR:VIV,5978241
2001-01-08,67.8387,68.3226,67.1129,67.7419,XPAR:VIV,2594555
2001-01-09,67.7419,69.4355,67.3548,69.1935,XPAR:VIV,3726920
2001-01-10,67.0645,68.1774,66.0484,67.7419,XPAR:VIV,4274976
2001-01-11,66.9194,67.9839,65.8065,67.0645,XPAR:VIV,3393443
2001-01-12,70.6452,70.6452,67.4516,67.8387,XPAR:VIV,8092149
2001-01-15,71.8065,73.2581,69.87100000000001,71.2258,XPAR:VIV,4482583
2001-01-16,71.5161,73.2581,70.9355,72.0968,XPAR:VIV,4177744
2001-01-17,74.7097,74.7097,72.1935,72.5323,XPAR:VIV,6872588
2001-01-18,72.7742,75.3871,71.9032,73.5484,XPAR:VIV,34689661
2001-01-19,75.2419,77.0323,74.3226,74.5161,XPAR:VIV,8369987
2001-01-22,76.2097,76.5968,75.0968,75.7742,XPAR:VIV,3935756
2001-01-23,76.9355,77.7097,75.62899999999998,76.3548,XPAR:VIV,7496248
2001-01-24,76.9355,77.7097,75.62899999999998,76.3548,XPAR:VIV,0
2001-01-25,78.7258,79.0645,71.9032,73.5484,XPAR:VIV,6182717
2001-01-26,78.7258,79.0645,71.9032,73.5484,XPAR:VIV,0
2001-01-29,77.1774,77.6613,75.9194,77.1774,XPAR:VIV,2301702
2001-01-30,78.6774,79.1613,76.9839,77.5645,XPAR:VIV,4358972
2001-01-31,78.62899999999998,79.1129,78.1452,78.4839,XPAR:VIV,3648476
2001-02-01,77.0806,78.3871,75.9194,77.5161,XPAR:VIV,3703127
2001-02-02,76.2097,77.37100000000002,75.9194,76.9355,XPAR:VIV,2275855
2001-02-05,75.4839,75.9194,74.3226,75.4839,XPAR:VIV,3190912
2001-02-06,75.5323,75.7258,74.3226,75.3871,XPAR:VIV,2955536
2001-02-07,74.6613,75.4355,74.12899999999998,74.9516,XPAR:VIV,3537256
2001-02-08,75.2419,75.4839,73.9355,74.3226,XPAR:VIV,1786578
2001-02-09,73.8387,75.2903,73.3548,74.7581,XPAR:VIV,3042012
2001-02-12,73.7419,74.2742,72.5806,73.1613,XPAR:VIV,2490412
2001-02-13,74.4677,75.1452,73.9355,74.0806,XPAR:VIV,2849982
2001-02-14,73.0161,74.4677,71.7581,74.0323,XPAR:VIV,4415536
2001-02-15,73.7419,73.9839,72.3871,73.1613,XPAR:VIV,3027285
2001-02-16,69.9194,73.0645,69.9194,73.0645,XPAR:VIV,5685608
2001-02-19,70.4516,70.7419,69.4839,69.6774,XPAR:VIV,1382143
2001-02-20,69.4839,71.5161,69.2419,70.6452,XPAR:VIV,2559726
2001-02-21,67.4516,69.1935,66.9677,68.9516,XPAR:VIV,4944978
2001-02-22,67.2581,68.7097,66.0968,66.8226,XPAR:VIV,4233849
2001-02-23,66.62899999999999,67.8871,65.8065,67.6452,XPAR:VIV,3855863
2001-02-26,67.8871,68.4677,66.3387,66.9677,XPAR:VIV,6257005
2001-02-27,67.8387,68.7097,66.7742,68.7097,XPAR:VIV,4100308
2001-02-28,66.3871,67.4032,65.8548,67.2581,XPAR:VIV,4190939
2001-03-01,64.8387,66.2903,63.1935,65.9032,XPAR:VIV,6281239
2001-03-02,64.8387,65.3226,63.4355,64.5484,XPAR:VIV,2702359
2001-03-05,65.7097,65.7097,63.7258,64.8387,XPAR:VIV,3129839
2001-03-06,67.4516,67.6935,66.0968,66.1452,XPAR:VIV,4314713
2001-03-07,67.4032,68.5161,66.1452,67.2581,XPAR:VIV,4147015
2001-03-08,68.2258,68.8065,67.1129,67.7419,XPAR:VIV,3626786
2001-03-09,68.7097,69.1935,67.3065,67.5,XPAR:VIV,3760015
2001-03-12,66.7742,68.6613,66.0968,67.2581,XPAR:VIV,3827069
2001-03-13,66.0484,66.2419,65.12899999999999,65.4194,XPAR:VIV,2965017
2001-03-14,66.0484,66.2419,65.12899999999999,65.4194,XPAR:VIV,0
2001-03-15,65.3226,65.7097,63.4355,64.5484,XPAR:VIV,3045294
2001-03-16,64.8387,66.2903,64.3548,65.7097,XPAR:VIV,2461665
2001-03-19,64.7903,66.0968,63.5806,64.5484,XPAR:VIV,2216335
