Date,Close,High,Low,Open,Symbol,Volume
2014-06-27,16.4,16.6,16.0,16.4,XPAR:WLN,3596612
2014-06-30,16.6,16.69,16.37,16.68,XPAR:WLN,146964
2014-07-01,16.4,16.69,16.4,16.68,XPAR:WLN,66224
2014-07-02,16.3,16.45,16.3,16.42,XPAR:WLN,222561
2014-07-03,16.4,16.4,16.34,16.39,XPAR:WLN,204469
2014-07-04,16.35,16.45,16.35,16.45,XPAR:WLN,114908
2014-07-07,16.38,16.45,16.35,16.45,XPAR:WLN,18393
2014-07-08,16.4,16.45,16.35,16.45,XPAR:WLN,114928
2014-07-09,16.4,16.42,16.33,16.42,XPAR:WLN,7259
2014-07-10,16.38,16.4,16.3,16.4,XPAR:WLN,52969
2014-07-11,16.38,16.38,16.32,16.38,XPAR:WLN,31440
2014-07-14,16.35,16.38,16.3,16.38,XPAR:WLN,13429
2014-07-15,16.27,16.39,16.25,16.35,XPAR:WLN,22569
2014-07-16,16.4,16.4,16.11,16.34,XPAR:WLN,72501
2014-07-17,16.27,16.4,16.11,16.4,XPAR:WLN,11458
2014-07-18,15.91,16.12,15.8,16.1,XPAR:WLN,15518
2014-07-21,15.67,15.89,15.39,15.8,XPAR:WLN,66759
2014-07-22,16.1,16.4,15.6,15.65,XPAR:WLN,21321
2014-07-23,16.3,16.4,16.1,16.1,XPAR:WLN,19052
2014-07-24,16.32,16.4,16.3,16.3,XPAR:WLN,53813
2014-07-25,16.4,16.4,16.3,16.31,XPAR:WLN,50918
2014-07-28,16.4,16.42,16.3,16.41,XPAR:WLN,43105
2014-07-29,16.7,16.72,16.4,16.45,XPAR:WLN,55995
2014-07-30,16.72,16.79,16.51,16.7,XPAR:WLN,19804
2014-07-31,17.09,17.09,16.5,16.7,XPAR:WLN,82263
2014-08-01,16.73,17.0,16.4,16.61,XPAR:WLN,280108
2014-08-04,16.53,16.65,16.5,16.6,XPAR:WLN,24652
2014-08-05,16.48,16.63,16.41,16.6,XPAR:WLN,5874
2014-08-06,16.43,16.56,16.31,16.55,XPAR:WLN,37805
2014-08-07,16.3,16.46,16.2,16.34,XPAR:WLN,6018
2014-08-08,16.1,16.24,16.0,16.16,XPAR:WLN,13639
2014-08-11,16.1,16.37,15.9,16.1,XPAR:WLN,10792
2014-08-12,16.16,16.3,16.0,16.11,XPAR:WLN,11468
2014-08-13,16.16,16.48,16.06,16.16,XPAR:WLN,12352
2014-08-14,16.16,16.39,16.09,16.39,XPAR:WLN,11925
2014-08-15,16.28,16.34,16.16,16.34,XPAR:WLN,12777
2014-08-18,16.16,16.29,16.0,16.28,XPAR:WLN,18490
2014-08-19,16.12,16.3,16.1,16.3,XPAR:WLN,3326
2014-08-20,16.07,16.26,16.0,16.2,XPAR:WLN,7889
2014-08-21,16.07,16.2,16.07,16.07,XPAR:WLN,6935
2014-08-22,16.16,16.27,16.13,16.18,XPAR:WLN,10063
2014-08-25,16.4,16.5,16.3,16.5,XPAR:WLN,17144
2014-08-26,16.5,16.54,16.4,16.4,XPAR:WLN,16631
2014-08-27,16.47,16.55,16.36,16.55,XPAR:WLN,32717
2014-08-28,16.19,16.54,16.18,16.54,XPAR:WLN,17142
2014-08-29,16.2,16.5,16.1,16.49,XPAR:WLN,9476
2014-09-01,16.15,16.35,16.12,16.26,XPAR:WLN,5727
2014-09-02,16.23,16.55,16.15,16.45,XPAR:WLN,44031
2014-09-03,16.55,16.55,16.3,16.47,XPAR:WLN,17801
2014-09-04,16.5,16.55,16.35,16.55,XPAR:WLN,17548
2014-09-05,16.48,16.49,16.33,16.4,XPAR:WLN,9667
2014-09-08,16.3,16.5,16.2,16.49,XPAR:WLN,43623
2014-09-09,16.28,16.39,16.15,16.39,XPAR:WLN,6043
2014-09-10,16.28,16.4,16.1,16.3,XPAR:WLN,46056
2014-09-11,16.38,16.43,16.18,16.43,XPAR:WLN,5388
2014-09-12,16.36,16.47,16.3,16.38,XPAR:WLN,8431
2014-09-15,16.36,16.36,16.15,16.31,XPAR:WLN,9436
2014-09-16,16.2,16.34,16.1,16.33,XPAR:WLN,3741
2014-09-17,16.0,16.28,15.9,16.25,XPAR:WLN,24328
2014-09-18,15.9,16.0,15.5,16.0,XPAR:WLN,58378
2014-09-19,16.0,16.0,15.51,15.9,XPAR:WLN,56808
2014-09-22,16.07,16.07,15.65,15.96,XPAR:WLN,17584
2014-09-23,16.0,16.09,15.84,16.0,XPAR:WLN,22094
2014-09-24,15.9,16.0,15.71,16.0,XPAR:WLN,7511
2014-09-25,15.79,16.0,15.66,15.7,XPAR:WLN,22096
2014-09-26,15.85,15.99,15.7,15.71,XPAR:WLN,12118
2014-09-29,15.7,15.9,15.68,15.8,XPAR:WLN,62384
2014-09-30,16.0,16.0,15.7,15.71,XPAR:WLN,38266
2014-10-01,16.0,16.06,15.89,16.0,XPAR:WLN,77106
2014-10-02,15.9,16.44,15.82,16.44,XPAR:WLN,17846
2014-10-03,16.12,16.12,15.86,16.09,XPAR:WLN,52990
2014-10-06,15.9,16.11,15.8,16.07,XPAR:WLN,20666
2014-10-07,15.77,15.96,15.65,15.96,XPAR:WLN,58771
2014-10-08,15.6,15.95,15.6,15.85,XPAR:WLN,18894
2014-10-09,15.45,15.74,15.4,15.57,XPAR:WLN,119829
2014-10-10,15.46,15.73,14.75,15.12,XPAR:WLN,51871
2014-10-13,15.38,15.5,15.1,15.45,XPAR:WLN,29455
2014-10-14,15.39,15.45,15.11,15.2,XPAR:WLN,200384
2014-10-15,15.2,15.5,15.2,15.5,XPAR:WLN,14074
2014-10-16,15.14,15.39,14.9,15.15,XPAR:WLN,32156
2014-10-17,15.3,15.4,15.2,15.2,XPAR:WLN,47845
2014-10-20,15.25,15.53,15.11,15.4,XPAR:WLN,4311
2014-10-21,15.3,15.8,15.1,15.25,XPAR:WLN,25124
2014-10-22,15.51,15.55,15.3,15.51,XPAR:WLN,3458
2014-10-23,15.45,15.5,15.27,15.41,XPAR:WLN,13941
2014-10-24,15.76,15.76,15.3,15.52,XPAR:WLN,53006
2014-10-27,15.76,15.76,15.52,15.76,XPAR:WLN,2994
2014-10-28,16.25,16.39,15.67,15.7,XPAR:WLN,83612
2014-10-29,16.15,16.39,16.1,16.37,XPAR:WLN,16580
2014-10-30,15.95,16.2,15.95,16.2,XPAR:WLN,114750
2014-10-31,16.0,16.19,15.95,16.19,XPAR:WLN,9373
2014-11-03,16.14,16.18,15.95,15.95,XPAR:WLN,3902
2014-11-04,16.0,16.2,15.92,16.03,XPAR:WLN,24722
2014-11-05,16.2,16.2,15.82,16.19,XPAR:WLN,19659
