Date,Close,High,Low,Open,Symbol,Volume
2002-02-11,13.9,13.9,12.51,13.9,XPAR:XIL,14687
2002-02-12,13.5,13.5,13.0,13.5,XPAR:XIL,5959
2002-02-13,13.25,13.5,13.02,13.5,XPAR:XIL,1539
2002-02-14,13.7,14.98,13.5,14.0,XPAR:XIL,4283
2002-02-15,13.58,13.6,13.2,13.6,XPAR:XIL,676
2002-02-18,13.59,13.6,13.22,13.58,XPAR:XIL,1935
2002-02-19,13.5,13.59,13.15,13.59,XPAR:XIL,522
2002-02-20,13.1,13.46,12.82,13.46,XPAR:XIL,1423
2002-02-21,13.08,13.19,13.05,13.19,XPAR:XIL,6425
2002-02-22,13.0,13.09,12.75,13.09,XPAR:XIL,3896
2002-02-25,12.89,12.99,12.7,12.99,XPAR:XIL,474
2002-02-26,12.2,12.65,12.0,12.5,XPAR:XIL,7849
2002-02-27,11.95,12.4,11.71,12.15,XPAR:XIL,7598
2002-02-28,12.5,12.8,12.16,12.37,XPAR:XIL,8364
2002-03-01,13.3,13.89,12.5,12.5,XPAR:XIL,43329
2002-03-04,14.5,14.5,13.25,13.25,XPAR:XIL,19649
2002-03-05,14.2,14.5,13.71,14.5,XPAR:XIL,1470
2002-03-06,14.0,14.2,13.99,14.2,XPAR:XIL,320
2002-03-07,13.99,13.99,13.99,13.99,XPAR:XIL,140
2002-03-08,13.95,13.99,13.47,13.47,XPAR:XIL,2875
2002-03-11,13.95,13.99,13.9,13.99,XPAR:XIL,661
2002-03-12,13.9,13.94,13.9,13.94,XPAR:XIL,170
2002-03-13,13.89,14.0,13.0,13.74,XPAR:XIL,10577
2002-03-14,13.88,13.88,13.3,13.88,XPAR:XIL,773
2002-03-15,13.85,13.86,13.8,13.86,XPAR:XIL,385
2002-03-18,13.78,13.8,13.25,13.8,XPAR:XIL,907
2002-03-19,13.48,13.74,13.31,13.42,XPAR:XIL,1559
2002-03-20,13.56,13.6,13.56,13.6,XPAR:XIL,90
2002-03-21,13.4,13.9,13.3,13.55,XPAR:XIL,709
2002-03-22,13.45,13.45,13.1,13.25,XPAR:XIL,2284
2002-03-25,13.29,13.5,13.02,13.02,XPAR:XIL,565
2002-03-26,13.3,13.37,13.3,13.37,XPAR:XIL,230
2002-03-27,13.25,13.4,13.1,13.39,XPAR:XIL,716
2002-03-28,13.25,13.4,13.1,13.39,XPAR:XIL,0
2002-03-29,13.25,13.4,13.1,13.39,XPAR:XIL,0
2002-04-01,13.25,13.4,13.1,13.39,XPAR:XIL,0
2002-04-02,13.5,13.5,12.9,13.5,XPAR:XIL,1792
2002-04-03,13.1,13.49,13.0,13.0,XPAR:XIL,4282
2002-04-04,14.79,15.0,13.05,13.5,XPAR:XIL,35568
2002-04-05,14.3,14.8,14.0,14.8,XPAR:XIL,6562
2002-04-08,14.0,14.0,14.0,14.0,XPAR:XIL,937
2002-04-09,14.0,14.0,13.5,13.92,XPAR:XIL,1785
2002-04-10,13.99,13.99,13.99,13.99,XPAR:XIL,691
2002-04-11,13.99,13.99,13.5,13.99,XPAR:XIL,3250
2002-04-12,13.55,13.98,13.2,13.98,XPAR:XIL,4857
2002-04-15,13.91,13.93,13.36,13.55,XPAR:XIL,483
2002-04-16,13.72,13.88,13.3,13.88,XPAR:XIL,8653
2002-04-17,13.72,13.8,13.6,13.72,XPAR:XIL,840
2002-04-18,13.55,13.72,13.45,13.72,XPAR:XIL,3653
2002-04-19,13.93,13.94,13.8,13.8,XPAR:XIL,115
2002-04-22,13.9,13.94,13.9,13.93,XPAR:XIL,265
2002-04-23,14.03,14.1,13.85,13.94,XPAR:XIL,1334
2002-04-24,13.9,13.99,13.9,13.99,XPAR:XIL,286
2002-04-25,13.95,13.95,13.7,13.95,XPAR:XIL,300
2002-04-26,13.78,13.9,13.0,13.89,XPAR:XIL,3299
2002-04-29,13.84,13.85,13.0,13.85,XPAR:XIL,1397
2002-04-30,13.98,14.2,13.69,13.7,XPAR:XIL,2229
2002-05-01,13.98,14.2,13.69,13.7,XPAR:XIL,0
2002-05-02,13.79,13.98,13.21,13.98,XPAR:XIL,538
2002-05-03,14.0,14.0,13.31,13.8,XPAR:XIL,1430
2002-05-06,13.99,13.99,13.99,13.99,XPAR:XIL,100
2002-05-07,13.4,13.99,13.4,13.99,XPAR:XIL,1336
2002-05-08,13.47,13.47,13.4,13.4,XPAR:XIL,100
2002-05-09,13.99,13.99,13.95,13.95,XPAR:XIL,106
2002-05-10,13.95,13.95,13.95,13.95,XPAR:XIL,70
2002-05-13,13.99,13.99,13.95,13.95,XPAR:XIL,1106
2002-05-14,14.05,14.05,13.7,13.9,XPAR:XIL,34357
2002-05-15,14.08,14.08,14.08,14.08,XPAR:XIL,20
2002-05-16,14.0,14.05,13.7,14.05,XPAR:XIL,842
2002-05-17,14.0,14.0,14.0,14.0,XPAR:XIL,30
2002-05-20,14.0,14.0,14.0,14.0,XPAR:XIL,1
2002-05-21,14.0,14.0,13.53,14.0,XPAR:XIL,1106
2002-05-22,14.0,14.0,14.0,14.0,XPAR:XIL,468
2002-05-23,13.89,13.89,13.89,13.89,XPAR:XIL,1
2002-05-24,14.1,14.1,13.9,13.9,XPAR:XIL,7424
2002-05-27,15.5,15.7,14.2,14.5,XPAR:XIL,103386
2002-05-28,16.0,16.09,15.5,16.0,XPAR:XIL,10235
2002-05-29,15.69,15.94,15.1,15.94,XPAR:XIL,6075
2002-05-30,14.99,15.52,14.75,15.4,XPAR:XIL,4037
2002-05-31,14.6,14.99,14.2,14.99,XPAR:XIL,2952
2002-06-03,15.2,15.4,14.21,14.21,XPAR:XIL,38222
2002-06-04,15.0,15.3,14.9,15.3,XPAR:XIL,8088
2002-06-05,15.35,15.35,15.1,15.1,XPAR:XIL,13275
2002-06-06,15.5,15.5,15.2,15.4,XPAR:XIL,7554
2002-06-07,15.1,15.4,14.7,15.3,XPAR:XIL,4690
2002-06-10,15.0,15.4,14.99,15.4,XPAR:XIL,212
2002-06-11,14.9,15.0,14.7,15.0,XPAR:XIL,220
2002-06-12,14.5,14.95,14.5,14.9,XPAR:XIL,920
2002-06-13,14.8,14.8,14.8,14.8,XPAR:XIL,50
2002-06-14,14.8,15.0,14.5,15.0,XPAR:XIL,75
2002-06-17,14.8,14.8,14.8,14.8,XPAR:XIL,20
2002-06-18,14.64,14.8,14.2,14.8,XPAR:XIL,1088
2002-06-19,14.64,14.66,14.21,14.66,XPAR:XIL,139
2002-06-20,14.69,14.69,14.69,14.69,XPAR:XIL,40
2002-06-21,14.7,14.7,14.6,14.6,XPAR:XIL,60
2002-06-24,14.4,14.7,14.0,14.7,XPAR:XIL,1843
2002-06-25,14.42,14.45,14.0,14.45,XPAR:XIL,62
2002-06-26,13.59,14.49,13.2,14.49,XPAR:XIL,946
2002-06-27,13.55,13.59,13.55,13.59,XPAR:XIL,115
2002-06-28,13.95,13.95,13.2,13.55,XPAR:XIL,2029
2002-07-01,13.97,13.99,13.5,13.99,XPAR:XIL,405
2002-07-02,13.5,13.5,13.4,13.5,XPAR:XIL,310
2002-07-03,13.5,13.5,13.05,13.05,XPAR:XIL,719
2002-07-04,13.5,13.5,13.26,13.5,XPAR:XIL,2161
2002-07-05,13.39,13.5,13.26,13.49,XPAR:XIL,1618
