,Mean Volume,Momentum,Outlier
ESP,1540574.75,-0.6478984932593179,True
ATCB,1191631.0833333333,-0.6053226211398444,True
ATC,4880206.833333333,-0.6038181361466969,True
HUNDP,25.0,-0.47058823529411786,True
AND,3184.0,-0.4013414756231857,True
SIFG,67665.41666666667,-0.2837004405286342,False
PBD,12635.25,-0.26956521739130457,True
WHA,244050.33333333334,-0.26412806209071094,True
BAMNB,1818724.5,-0.26369168356997985,True
BBED,35550.083333333336,-0.2335483870967745,True
NOVI,6042.25,-0.22499999999999998,True
VALUE,9648.583333333334,-0.21123205552926339,False
GVNV,194269.16666666666,-0.20948616600790526,False
FUR,1054178.75,-0.2061855670103091,False
PNL,3257578.6666666665,-0.2022826614861587,True
CLB,49.083333333333336,-0.15454545454545465,False
LVIDE,1832.0833333333333,-0.140625,True
PSH,225670.25,-0.1389432485322898,False
NSE,0.0,-0.1333333333333333,False
GTO,1869215.0,-0.13113888399929619,True
STRN,6815.916666666667,-0.116876934063318,True
TIE,317.4166666666667,-0.11459393445959698,True
UL,369962.3333333333,-0.1095890410958903,False
APAM,390972.6666666667,-0.108102478650281,False
HAL,8640.083333333334,-0.1012461257123316,False
BOKA,478625.5,-0.09883720930232565,True
PORF,160.41666666666666,-0.09183673469387765,True
BINCK,196307.33333333334,-0.08421450151057397,False
AD,7111639.5,-0.07766699900299112,False
CTAC,5797.833333333333,-0.07427055702917773,False
ECT,43531.666666666664,-0.056074766355140526,True
CCE,802126.4166666666,-0.05263157894736881,False
YATRA,510.4166666666667,-0.04716981132075493,True
ACCEL,31425.416666666668,-0.04034647823113724,True
VTA,4666.416666666667,-0.03804347826086918,False
SBMO,1101724.4166666667,-0.036858422321736084,True
TOM2,1306863.0,-0.03676560400635165,False
UNA,4703590.583333333,-0.036758937577047957,False
KPN,17076699.916666668,-0.03564727954971847,False
UNIA,9053.666666666666,-0.030371203599550145,False
VPK,546629.5833333334,-0.026681698609545057,True
KARD,1732811.5833333333,-0.012195121951219301,True
ACOMO,15290.916666666666,-0.008928571428571064,False
UNCP7,0.0,0.0,False
BAMA,0.0,0.0,False
ECMPA,98225.08333333333,0.0017953321364454489,False
REN,2953796.4166666665,0.0071727435744175505,False
SNOW,6822.166666666667,0.009844395046046062,False
TMG,1895.1666666666667,0.013342340820807319,True
INTER,202185.25,0.026548672566371723,True
FLOW,208906.08333333334,0.03075745983167555,True
RDSB,13104.0,0.031503672207189526,False
OCI,489677.9166666667,0.034896110815130665,False
BOLS,9157.416666666666,0.04006820119352139,False
CRBN,198037.91666666666,0.050205761316872044,True
PREVA,137.58333333333334,0.058951965065502154,True
RAND,604871.0833333334,0.07193589510107445,False
RDSA,9996330.25,0.07506152584085313,False
WKL,844313.6666666666,0.07797749903013074,False
ATRS,1692.1666666666667,0.07901554404145106,True
IEX,42.75,0.08040201005025094,True
BRNL,113376.41666666667,0.08183632734530955,False
HEIA,760927.5833333334,0.09807445442875462,False
HDG,3927.8333333333335,0.1019108280254779,False
GROHA,115.91666666666667,0.10204081632653095,True
CURE,40570.0,0.10220098959221935,True
PHIA,3445792.0833333335,0.10495882249868616,False
INGA,15715804.416666666,0.11240875912408721,False
NSI,47590.833333333336,0.11835210898611481,False
HYDRA,232.83333333333334,0.12359550561797739,True
BRILL,608.9166666666666,0.12676056338028152,False
MT,7642948.833333333,0.13317288407541095,False
HEIO,153742.83333333334,0.1403264053563955,False
AGN,9316146.833333334,0.14228776404942178,False
TBIRD,9067.583333333334,0.1499999999999999,True
VASTN,67155.5,0.15029761904761907,False
AJAX,3272.1666666666665,0.16666666666666718,False
IMCD,63906.166666666664,0.17686467172845033,False
ABN,2704208.3333333335,0.18518518518518534,False
FFARM,395372.1666666667,0.20314792583700148,False
DPA,16583.666666666668,0.20364741641337392,False
SLIGR,29294.166666666668,0.2157534246575341,True
KA,27489.916666666668,0.22080924855491335,True
ORANW,3543.25,0.22549019607843168,True
ASM,226751.75,0.22801167152980395,False
ORDI,411778.0833333333,0.22885572139303445,True
LIGHT,538556.5833333334,0.2456006120887535,False
NN,1340748.0,0.2535379369138959,False
AKZA,894449.75,0.25983256989417214,False
AALB,349381.3333333333,0.26750614250614224,False
AXS,80338.5,0.2676056338028172,False
WES,189412.16666666666,0.27872763419483126,False
HOLCO,432.5,0.2931034482758619,True
GLPG,370199.9166666667,0.2992196878751503,False
BEVER,224.41666666666666,0.3000000000000007,True
KENDR,19268.916666666668,0.3394160583941608,True
BFIT,74148.5,0.341614906832298,False
TWEKA,83626.66666666667,0.3441558441558443,False
HEIJM,103800.58333333333,0.36389280677009883,False
DSM,737240.1666666666,0.37322580645161363,False
BATEN,357.5,0.40755911375907616,False
ASML,1400034.6666666667,0.40934906072520816,False
ICT,13103.083333333334,0.41038197845249735,True
NEDAP,3783.0,0.42780748663101664,False
RFRG,248145.25,0.4514368861404148,True
ASRNL,453099.5,0.4658730158730162,False
ROOD,754322.75,0.5066079295154191,True
KDS,295255.8333333333,0.5253333333333328,True
ARCAD,235237.91666666666,0.5406250000000004,True
NEWAY,15664.0,0.6028708133971292,False
TKWY,59522.666666666664,0.6213638531235097,False
NEDSE,48926.333333333336,0.6800000000000002,True
AMG,259189.08333333334,1.0386904761904758,False
BESI,205995.75,1.253013717611196,False
UNCC7,8.833333333333334,2.1249038461538463,True
UNCP6,50.333333333333336,2.1494252873563218,True
PHARM,15851891.5,3.397435897435897,False
DOCD,141143.41666666666,5.823529411764705,True
