,Mean Volume,Momentum,Outlier
TCH,2731410.5833333335,-0.708860759493671,True
KAZI,19419.25,-0.6941747572815533,True
SRP,89971.33333333333,-0.6847147022074136,True
AB,105753.0,-0.6745538664904165,True
TONN,443.0,-0.6515151515151514,True
AMEBA,50420.0,-0.6100671140939598,True
PIX,107964.83333333333,-0.6070866141732284,True
GNE,12646.416666666666,-0.5526315789473686,False
SIGHT,28220.916666666668,-0.5417276720351393,True
GBB,37105.583333333336,-0.4975845410628018,False
ONXEO,286188.0,-0.49049429657794674,True
CLNV,82472.91666666667,-0.45849056603773586,False
TXCL,121425.33333333333,-0.44946236559139807,True
STNT,75872.33333333333,-0.4455696202531645,True
SEQ,813977.6666666666,-0.44391179290508165,False
IPH,194671.83333333334,-0.43959435626102306,True
DBV,97835.0,-0.43420449335167355,True
TKTT,72816.16666666667,-0.4325452016689848,False
SAFOR,79183.83333333333,-0.4282039289055193,True
MBWS,34428.416666666664,-0.4222704266088212,True
GV,24003.583333333332,-0.40259740259740284,True
NEO,114344.83333333333,-0.39940907869997333,True
CFI,188.58333333333334,-0.3766666666666667,True
GECP,571438.5,-0.3766666666666665,True
PARRO,70658.58333333333,-0.3762711864406779,False
AXW,8082.5,-0.37151702786377694,True
SESG,1630788.0833333333,-0.3623910336239101,False
CGG,1866640.0833333333,-0.3604761603241943,True
EKI,29832.083333333332,-0.3550720801792744,False
RAL,102039.58333333333,-0.3549351944167497,False
THEP,1935.4166666666667,-0.3532849875527655,True
PSAT,4878.583333333333,-0.3422222222222222,True
OSE,15663.666666666666,-0.34065934065934067,True
LDL,10424.75,-0.3363499245852186,False
GBT,6859.083333333333,-0.33121019108280236,False
ESI,7122.0,-0.32910920611256056,True
GNRO,4177.916666666667,-0.31777777777777794,True
FAUV,0.0,-0.3175853018372704,True
JBOG,3042.9166666666665,-0.30400000000000016,False
LIN,5990.75,-0.2989583333333332,False
SW,274316.75,-0.2964867180805484,True
ERYP,77881.83333333333,-0.2914634146341464,True
STAGR,3500.75,-0.282387190684134,True
MND,43580.833333333336,-0.2734225621414915,False
DIG,2036.75,-0.26415094339622625,True
SPIE,280795.8333333333,-0.26390253487915094,False
CHSR,0.8333333333333334,-0.26086956521739124,True
ELIOR,405248.3333333333,-0.26069868995633183,True
GNFT,141831.41666666666,-0.25984251968503935,False
ITXT,4.166666666666667,-0.25806451612903214,True
ILD,89081.41666666667,-0.25549573799910297,True
PGP,84.16666666666667,-0.24594257178526846,False
SAN,2889048.25,-0.24038794596466917,False
HCO,15316.916666666666,-0.22955974842767268,True
ARTE,11.333333333333334,-0.2272727272727274,True
GUYD,489.1666666666667,-0.2272727272727273,True
PROL,304333.75,-0.22696629213483155,False
CO,575851.0,-0.22314647377938535,False
ECP,122917.83333333333,-0.2206703910614526,True
PM,460.5,-0.21941747572815495,False
RXL,1120485.5833333333,-0.2164634146341462,False
FGA,26660.25,-0.2132424537487828,True
CA,4842422.583333333,-0.21225433526011583,True
DPT,70204.08333333333,-0.21111111111111114,True
JXR,566378.8333333334,-0.2068965517241378,True
NANO,155521.75,-0.19999999999999984,False
PARP,2367.0833333333335,-0.19838523644752037,True
CNV,1266.4166666666667,-0.19765166340508833,True
SEV,1734781.8333333333,-0.1960258401059416,True
GOE,16822.083333333332,-0.19414265470004732,False
ECASA,2389.5833333333335,-0.19232485497545715,False
BUI,114.0,-0.1917808219178081,True
PAT,1653.8333333333333,-0.18941273779983436,False
ABVX,19211.416666666668,-0.1858695652173915,True
NRG,5600.333333333333,-0.18483412322274861,False
BB,122099.58333333333,-0.181686046511628,True
METEX,95608.58333333333,-0.17759336099585088,False
MAGIS,6345.083333333333,-0.17497348886532338,True
ETL,866156.6666666666,-0.17441325356649806,False
ALT,582457.1666666666,-0.1693705386112916,False
ASY,13865.75,-0.16840536512667648,False
SESL,12267.416666666666,-0.16027990669776726,True
FR,819070.9166666666,-0.16000000000000014,True
MMB,371943.25,-0.1578947368421051,False
MGIC,18084.5,-0.15509601181683863,False
ITL,3480.1666666666665,-0.15451895043731834,True
BOI,8484.916666666666,-0.1532997250229151,False
FII,35082.916666666664,-0.1499999999999998,False
VK,4268264.666666667,-0.14994899693981667,False
TNG,101450.58333333333,-0.1466049382716048,True
OREGE,573.9166666666666,-0.14460784313725483,False
NEX,182948.83333333334,-0.14221351616062672,False
INSD,80253.25,-0.139455782312925,True
EMG,529.25,-0.13881748071979427,True
SLB,4063.9166666666665,-0.13669064748201432,False
EUCAR,301034.4166666667,-0.1366071428571427,False
ING,288936.1666666667,-0.12959846116855,True
MRK,654.3333333333334,-0.12921348314606707,False
SEFER,673.0,-0.128755364806867,False
LLY,0.0,-0.12351130737321048,True
ALP,1421.8333333333333,-0.12256267409470722,True
SGO,1850637.6666666667,-0.1221997981836529,False
UDIS,13870.5,-0.12189054726368143,False
RIN,19023.833333333332,-0.11693791440626888,True
FBEL,45.833333333333336,-0.11636363636363622,True
MERY,122475.33333333333,-0.11378249930109052,False
LHN,223649.25,-0.11185725249424383,False
COH,8511.833333333334,-0.10810810810810789,False
