Symbol,Date,Close,High,Low,Open,Volume
XBRU:BAR,2000-11-13,100.5,102.0,99.0,101.0,22193
XBRU:BAR,2000-11-14,100.5,100.5,100.5,100.5,0
XBRU:BAR,2000-11-15,99.85,101.0,97.5,99.8,14951
XBRU:BAR,2000-11-16,99.85,100.9,99.65,99.9,5030
XBRU:BAR,2000-11-17,99.5,100.0,99.5,100.0,9312
XBRU:BAR,2000-11-20,97.0,100.0,95.0,100.0,5741
XBRU:BAR,2000-11-21,98.0,98.7,95.2,95.2,7259
XBRU:BAR,2000-11-22,92.6,96.1,92.55,96.1,14746
XBRU:BAR,2000-11-23,92.5,93.95,90.25,93.7,5046
XBRU:BAR,2000-11-24,90.95,93.7,86.0,90.4,14648
XBRU:BAR,2000-11-27,87.0,90.9,85.0,90.9,21019
XBRU:BAR,2000-11-28,86.1,89.0,85.35,88.0,8981
XBRU:BAR,2000-11-29,84.55,86.0,81.7,86.0,11194
XBRU:BAR,2000-11-30,86.25,86.25,81.0,84.25,21666
XBRU:BAR,2000-12-01,85.0,86.0,82.0,85.0,12734
XBRU:BAR,2000-12-04,80.0,86.0,80.0,86.0,8271
XBRU:BAR,2000-12-05,80.4,81.45,77.1,77.1,19141
XBRU:BAR,2000-12-06,85.5,87.0,81.4,84.0,12094
XBRU:BAR,2000-12-07,84.0,85.85,82.65,85.85,10346
XBRU:BAR,2000-12-08,82.8,84.0,82.8,84.0,4192
XBRU:BAR,2000-12-11,83.5,83.95,83.25,83.95,17082
XBRU:BAR,2000-12-12,83.5,83.8,83.25,83.45,11896
XBRU:BAR,2000-12-13,83.3,85.0,83.25,83.45,56713
XBRU:BAR,2000-12-14,81.0,84.95,81.0,83.25,23669
XBRU:BAR,2000-12-15,85.0,85.0,80.2,82.0,22237
XBRU:BAR,2000-12-18,82.6,85.0,82.15,85.0,4117
XBRU:BAR,2000-12-19,80.6,85.5,80.3,85.0,7577
XBRU:BAR,2000-12-20,80.1,80.75,80.0,80.1,6142
XBRU:BAR,2000-12-21,77.5,80.0,77.0,80.0,8313
XBRU:BAR,2000-12-22,76.0,79.0,73.3,77.0,6261
XBRU:BAR,2000-12-25,76.0,79.0,73.3,77.0,0
XBRU:BAR,2000-12-26,76.0,79.0,73.3,77.0,0
XBRU:BAR,2000-12-27,77.0,78.6,75.0,76.95,26363
XBRU:BAR,2000-12-28,79.9,79.9,75.6,77.0,4982
XBRU:BAR,2000-12-29,79.9,79.9,75.6,77.0,0
XBRU:BAR,2001-01-01,79.9,79.9,75.6,77.0,0
XBRU:BAR,2001-01-02,80.75,82.9,80.2,80.2,95392
XBRU:BAR,2001-01-03,80.2,82.9,80.2,82.9,8663
XBRU:BAR,2001-01-04,80.75,82.0,78.0,82.0,20760
XBRU:BAR,2001-01-05,80.0,81.45,79.65,81.0,18101
XBRU:BAR,2001-01-08,80.1,80.5,79.5,79.5,5248
XBRU:BAR,2001-01-09,80.45,80.8,79.75,80.0,16838
XBRU:BAR,2001-01-10,80.1,80.45,79.5,80.1,16287
XBRU:BAR,2001-01-11,80.0,81.25,79.2,81.25,15528
XBRU:BAR,2001-01-12,79.95,80.4,79.0,79.5,5701
XBRU:BAR,2001-01-15,80.0,80.0,79.1,79.15,5383
XBRU:BAR,2001-01-16,79.25,80.0,79.15,80.0,5345
XBRU:BAR,2001-01-17,80.0,80.1,79.1,80.0,31826
XBRU:BAR,2001-01-18,80.15,80.2,79.2,80.1,11722
XBRU:BAR,2001-01-19,79.95,80.4,79.3,80.1,11187
XBRU:BAR,2001-01-22,78.4,80.0,78.0,80.0,7966
XBRU:BAR,2001-01-23,77.5,79.8,77.15,79.8,4747
XBRU:BAR,2001-01-24,77.5,79.8,77.15,79.8,0
XBRU:BAR,2001-01-25,77.45,78.0,76.15,77.6,15758
XBRU:BAR,2001-01-26,77.45,78.0,76.15,77.6,0
XBRU:BAR,2001-01-29,76.9,78.9,76.7,78.9,8660
XBRU:BAR,2001-01-30,74.9,76.0,73.0,75.6,24697
XBRU:BAR,2001-01-31,75.0,75.0,73.05,74.05,13283
XBRU:BAR,2001-02-01,73.7,74.4,73.25,74.4,8806
XBRU:BAR,2001-02-02,73.6,74.0,73.05,73.05,18349
XBRU:BAR,2001-02-05,75.0,75.0,73.0,73.5,12340
XBRU:BAR,2001-02-06,73.5,75.0,73.5,73.5,5954
XBRU:BAR,2001-02-07,73.95,74.1,72.1,73.25,12843
XBRU:BAR,2001-02-08,71.0,74.95,71.0,74.5,11695
XBRU:BAR,2001-02-09,71.9,73.6,70.0,70.6,17315
XBRU:BAR,2001-02-12,72.0,73.15,71.05,71.8,6324
XBRU:BAR,2001-02-13,71.8,73.9,71.0,71.05,10520
XBRU:BAR,2001-02-14,73.1,73.65,72.0,73.65,8447
XBRU:BAR,2001-02-15,74.5,74.5,72.6,73.0,10771
XBRU:BAR,2001-02-16,74.25,74.8,74.1,74.8,13653
XBRU:BAR,2001-02-19,74.6,75.0,73.0,74.25,4339
XBRU:BAR,2001-02-20,75.5,75.9,74.1,75.0,14295
XBRU:BAR,2001-02-21,74.0,76.65,74.0,76.65,14794
XBRU:BAR,2001-02-22,74.65,75.5,73.5,73.5,5238
XBRU:BAR,2001-02-23,76.7,76.75,74.25,74.25,6543
XBRU:BAR,2001-02-26,78.7,79.5,76.9,76.9,53102
XBRU:BAR,2001-02-27,77.5,78.6,77.35,77.55,11821
XBRU:BAR,2001-02-28,78.3,78.3,76.0,77.0,15168
XBRU:BAR,2001-03-01,77.95,78.45,77.35,78.45,11063
XBRU:BAR,2001-03-02,78.75,78.75,77.5,78.0,18935
XBRU:BAR,2001-03-05,78.7,78.95,78.1,78.95,6156
XBRU:BAR,2001-03-06,78.6,78.9,78.05,78.05,9242
XBRU:BAR,2001-03-07,78.5,78.8,77.6,78.05,7108
XBRU:BAR,2001-03-08,78.7,78.75,76.35,77.5,8328
XBRU:BAR,2001-03-09,76.2,78.7,75.2,78.25,5769
XBRU:BAR,2001-03-12,77.0,77.0,75.1,75.1,8456
XBRU:BAR,2001-03-13,74.2,78.0,74.2,75.2,12316
XBRU:BAR,2001-03-14,74.2,78.0,74.2,75.2,0
XBRU:BAR,2001-03-15,70.0,71.5,70.0,70.15,13993
XBRU:BAR,2001-03-16,67.0,74.0,63.9,71.0,50656
XBRU:BAR,2001-03-19,62.0,68.0,61.3,68.0,29597
XBRU:BAR,2001-03-20,61.5,64.0,61.5,62.65,39761
XBRU:BAR,2001-03-21,59.5,61.4,56.0,61.4,31720
XBRU:BAR,2001-03-22,56.0,58.0,56.0,56.5,35441
XBRU:BAR,2001-03-23,55.6,57.0,55.0,56.0,44895
XBRU:BAR,2001-03-26,59.5,59.5,55.8,55.8,16972
XBRU:BAR,2001-03-27,56.95,59.9,56.95,59.85,21382
XBRU:BAR,2001-03-28,55.0,57.7,55.0,57.1,27867
XBRU:BAR,2001-03-29,55.95,56.8,55.0,55.0,13354
XBRU:BAR,2001-03-30,64.0,64.0,56.9,57.0,18536
XBRU:BAR,2001-04-02,67.5,68.5,65.0,65.5,13582
XBRU:BAR,2001-04-03,67.5,67.5,65.0,67.45,12037
XBRU:BAR,2001-04-04,66.0,66.0,65.0,66.0,6798
XBRU:BAR,2001-04-05,69.9,69.9,65.3,66.0,12481
XBRU:BAR,2001-04-06,72.0,72.0,69.85,70.0,16965
XBRU:BAR,2001-04-09,73.0,73.0,71.0,72.0,4510
XBRU:BAR,2001-04-10,75.0,75.0,72.45,73.0,15183
XBRU:BAR,2001-04-11,78.1,78.35,75.0,75.0,23951
XBRU:BAR,2001-04-12,73.2,78.0,73.15,77.8,9217
XBRU:BAR,2001-04-13,73.2,78.0,73.15,77.8,0
XBRU:BAR,2001-04-16,73.2,78.0,73.15,77.8,0
XBRU:BAR,2001-04-17,72.0,72.75,70.05,72.5,9686
XBRU:BAR,2001-04-18,75.45,75.45,72.65,73.0,9560
